,3-Putt_Avoidance__25_RANK THIS WEEK,3-Putt_Avoidance__25_RANK LAST WEEK,3-Putt_Avoidance__25_PLAYER NAME,3-Putt_Avoidance__25_ROUNDS,3-Putt_Avoidance__25_%,3-Putt_Avoidance__25_TOTAL 3 PUTTS,3-Putt_Avoidance__25_ATTEMPTS,3-Putt_Avoidance__25_2 PUTT OR BETTER %
0,1,1,Brian Gay,91,4.88,16,328,95.1
1,2,2,Jonas Blixt,72,5.02,14,279,94.9
2,3,3,James Driscoll,83,5.04,17,337,94.9
3,4,4,Luke Donald,63,5.43,12,221,94.5
4,5,5,Kevin Kisner,69,5.88,13,221,94.1
5,6,6,Jim Furyk,85,5.98,18,301,94.0
6,7,7,Matt Kuchar,86,6.27,16,255,93.7
7,T8,T8,Brandt Jobe,57,6.55,15,229,93.4
8,T8,T8,Chris Stroud,86,6.55,22,336,93.4
9,10,10,Ben Curtis,62,6.64,15,226,93.3
10,11,11,Hunter Mahan,88,6.67,21,315,93.3
11,12,12,John Senden,81,6.74,18,267,93.2
12,13,13,Brian Davis,91,6.75,21,311,93.2
13,14,14,Greg Chalmers,88,6.89,21,305,93.1
14,15,15,Daniel Chopra,55,6.91,13,188,93.0
15,16,16,Edward Loar,59,6.93,14,202,93.0
16,17,17,Sergio Garcia,57,6.95,13,187,93.0
17,18,18,Ryo Ishikawa,54,6.96,11,158,93.0
18,19,19,Seung-Yul Noh,105,7.03,30,427,92.9
19,T20,T20,Arjun Atwal,79,7.04,19,270,92.9
20,T20,T20,David Mathis,83,7.04,20,284,92.9
21,22,22,Carl Pettersson,92,7.12,24,337,92.8
22,23,23,Martin Flores,95,7.2,28,389,92.8
23,24,24,Chris Couch,61,7.27,16,220,92.7
24,25,25,Ben Crane,73,7.52,20,266,92.4
25,26,26,Tiger Woods,69,7.55,16,212,92.4
26,27,27,Russell Knox,72,7.63,20,262,92.3
27,28,28,Dicky Pride,62,7.66,16,209,92.3
28,T29,T29,Jeff Overton,101,7.69,32,416,92.3
29,T29,T29,Steve Stricker,73,7.69,19,247,92.3
30,31,31,Bob Estes,78,7.76,19,245,92.2
31,32,32,Michael Bradley,63,7.78,21,270,92.2
32,33,33,Stewart Cink,71,7.81,21,269,92.1
33,T34,T34,J.J. Henry,93,7.82,28,358,92.1
34,T34,T34,Charlie Wi,86,7.82,23,294,92.1
35,36,36,John Huh,99,7.85,30,382,92.1
36,37,37,Charl Schwartzel,56,7.88,13,165,92.1
37,38,38,William McGirt,96,7.94,30,378,92.0
38,39,39,Richard Lee,71,7.97,20,251,92.0
39,40,40,Graeme McDowell,55,8.02,13,162,91.9
40,41,41,Tim Herron,88,8.04,30,373,91.9
41,42,42,Daniel Summerhays,81,8.07,26,322,91.9
42,43,43,Rod Pampling,88,8.16,27,331,91.8
43,44,44,Zach Johnson,95,8.17,25,306,91.8
44,45,45,John Mallinger,74,8.21,23,280,91.7
45,46,46,Davis Love III,64,8.22,18,219,91.7
46,T47,T47,Rickie Fowler,84,8.24,22,267,91.7
47,T47,T47,Freddie Jacobson,61,8.24,14,170,91.7
48,T47,T47,Billy Mayfair,90,8.24,30,364,91.7
49,50,50,Kevin Na,80,8.3,19,229,91.7
50,T51,T51,Aaron Baddeley,73,8.33,18,216,91.6
51,T51,T51,Brandt Snedeker,81,8.33,24,288,91.6
52,T51,T51,Camilo Villegas,79,8.33,28,336,91.6
53,54,54,Bubba Watson,68,8.37,19,227,91.6
54,55,55,Matt Every,80,8.39,23,274,91.6
55,T56,T56,Bryce Molder,83,8.41,28,333,91.5
56,T56,T56,Pat Perez,81,8.41,26,309,91.5
57,58,58,Jimmy Walker,101,8.42,34,404,91.5
58,T59,T59,John Daly,50,8.5,13,153,91.5
59,T59,T59,Scott Stallings,78,8.5,26,306,91.5
60,61,61,Brendon Todd,78,8.52,23,270,91.4
61,62,62,Justin Rose,69,8.54,21,246,91.4
62,63,63,Tommy Gainey,98,8.55,33,386,91.4
63,T64,T64,Ernie Els,80,8.57,24,280,91.4
64,T64,T64,Michael Thompson,80,8.57,27,315,91.4
65,66,66,Charles Howell III,98,8.62,33,383,91.3
66,67,67,Y.E. Yang,64,8.65,16,185,91.3
67,T68,T68,Phil Mickelson,79,8.66,22,254,91.3
68,T68,T68,"Ted Potter, Jr.",77,8.66,24,277,91.3
