,Total_3_Putts_-_Inside_5_RANK THIS WEEK,Total_3_Putts_-_Inside_5_RANK LAST WEEK,Total_3_Putts_-_Inside_5_PLAYER NAME,Total_3_Putts_-_Inside_5_ROUNDS,Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS INSIDE 5',Total_3_Putts_-_Inside_5_TOTAL 3 PUTTS
0,T1,T1,Chad Campbell,84,3,47
1,T1,T1,Tom Gillis,75,3,42
2,T3,T3,Mark Anderson,75,2,49
3,T3,T3,Ricky Barnes,92,2,68
4,T3,T3,Scott Brown,65,2,42
5,T3,T3,Kevin Chappell,91,2,56
6,T3,T3,Tommy Gainey,98,2,51
7,T3,T3,Jerry Kelly,84,2,40
8,T3,T3,"Ted Potter, Jr.",77,2,46
9,T3,T3,Chez Reavie,83,2,42
10,T3,T3,Charl Schwartzel,56,2,18
11,T3,T3,Heath Slocum,93,2,47
12,T3,T3,Josh Teater,97,2,62
13,T3,T3,Roland Thatcher,55,2,31
14,T3,T3,Camilo Villegas,79,2,43
15,T16,T16,Blake Adams,107,1,51
16,T16,T16,Robert Allenby,76,1,47
17,T16,T16,Arjun Atwal,79,1,34
18,T16,T16,Kris Blanks,65,1,45
19,T16,T16,Jason Bohn,81,1,31
20,T16,T16,Keegan Bradley,90,1,47
21,T16,T16,Jonathan Byrd,69,1,35
22,T16,T16,Ángel Cabrera,54,1,18
23,T16,T16,Greg Chalmers,88,1,26
24,T16,T16,Gavin Coles,72,1,34
25,T16,T16,Erik Compton,81,1,35
26,T16,T16,Ben Crane,73,1,31
27,T16,T16,Brian Davis,91,1,32
28,T16,T16,Chris DiMarco,83,1,38
29,T16,T16,Jason Dufner,83,1,35
30,T16,T16,Ken Duke,104,1,53
31,T16,T16,Scott Dunlap,57,1,43
32,T16,T16,Matt Every,80,1,34
33,T16,T16,Stephen Gangluff,57,1,28
34,T16,T16,Robert Garrigus,89,1,55
35,T16,T16,Bobby Gates,87,1,54
36,T16,T16,Mathew Goggin,65,1,32
37,T16,T16,Hunter Haas,69,1,26
38,T16,T16,David Hearn,95,1,46
39,T16,T16,Tim Herron,88,1,36
40,T16,T16,Charley Hoffman,88,1,53
41,T16,T16,Billy Horschel,63,1,30
42,T16,T16,Zach Johnson,95,1,31
43,T16,T16,Dustin Johnson,70,1,24
44,T16,T16,Russell Knox,72,1,25
45,T16,T16,Jason Kokrak,79,1,40
46,T16,T16,Spencer Levin,81,1,27
47,T16,T16,Edward Loar,59,1,18
48,T16,T16,David Mathis,83,1,26
49,T16,T16,George McNeill,85,1,37
50,T16,T16,Sean O'Hair,84,1,43
51,T16,T16,Nick O'Hern,78,1,41
52,T16,T16,Geoff Ogilvy,73,1,28
53,T16,T16,Louis Oosthuizen,65,1,26
54,T16,T16,Ryan Palmer,81,1,33
55,T16,T16,Carl Pettersson,92,1,30
56,T16,T16,D.A. Points,88,1,51
57,T16,T16,John Rollins,81,1,40
58,T16,T16,Andres Romero,68,1,46
59,T16,T16,Rory Sabbatini,84,1,46
60,T16,T16,Webb Simpson,77,1,29
61,T16,T16,Steve Stricker,73,1,20
62,T16,T16,Chris Stroud,86,1,29
63,T16,T16,Nick Watney,97,1,52
64,T16,T16,Lee Westwood,60,1,23
65,T16,T16,Mark Wilson,84,1,37
66,T16,T16,Tiger Woods,69,1,25
