,Birdie_or_Better_Conversion_Percentage_RANK THIS WEEK,Birdie_or_Better_Conversion_Percentage_RANK LAST WEEK,Birdie_or_Better_Conversion_Percentage_PLAYER NAME,Birdie_or_Better_Conversion_Percentage_ROUNDS,Birdie_or_Better_Conversion_Percentage_%,Birdie_or_Better_Conversion_Percentage_# BIRDIES,Birdie_or_Better_Conversion_Percentage_GREENS HIT
0,1,1,Rory McIlroy,60,34.68,223,643
1,2,2,Brandt Snedeker,81,33.67,301,894
2,3,3,Phil Mickelson,79,33.48,305,911
3,4,4,Ben Crane,73,33.29,279,838
4,5,5,Jonas Blixt,72,32.91,262,796
5,6,6,Webb Simpson,77,32.72,301,920
6,7,7,Aaron Baddeley,73,32.67,246,753
7,8,8,Bo Van Pelt,84,32.46,324,998
8,9,9,Sangmoon Bae,81,32.37,268,828
9,10,10,John Daly,50,32.3,166,514
10,11,11,Scott Piercy,95,32.2,360,1118
11,12,12,Jason Day,57,32.18,195,606
12,13,13,Keegan Bradley,90,32.13,337,1049
13,14,14,Ryan Palmer,81,32.11,305,950
14,15,15,Robert Karlsson,54,32.09,190,592
15,16,16,Ryan Moore,89,32.08,340,1060
16,17,17,Zach Johnson,95,32.0,351,1097
17,18,18,Tom Gillis,75,31.74,273,860
18,19,19,Robert Garrigus,89,31.71,351,1107
19,20,20,Tiger Woods,69,31.66,258,815
20,21,21,J.B. Holmes,90,31.55,300,951
21,22,22,Carl Pettersson,92,31.47,333,1058
22,23,23,Jason Dufner,83,31.4,320,1019
23,24,24,Jeff Overton,101,31.37,363,1157
24,25,25,Graeme McDowell,55,31.26,201,643
25,26,26,Matt Every,80,31.24,283,906
26,27,27,Dustin Johnson,70,31.09,245,788
27,28,28,Jimmy Walker,101,31.05,362,1166
28,29,29,Mark Anderson,75,31.02,246,793
29,30,30,Ken Duke,104,30.97,359,1159
30,31,31,Pat Perez,81,30.95,286,924
31,32,32,Martin Laird,77,30.92,265,857
32,33,33,Bubba Watson,68,30.88,256,829
33,34,34,Lee Westwood,60,30.83,209,678
34,35,35,Tommy Gainey,98,30.78,337,1095
35,36,36,Josh Teater,97,30.74,347,1129
36,37,37,Garth Mulroy,59,30.69,205,668
37,38,38,Tommy Biershenk,74,30.68,224,730
38,39,39,Daniel Chopra,55,30.66,168,548
39,40,40,James Driscoll,83,30.54,270,884
40,41,41,Chris Couch,61,30.47,206,676
41,T42,T42,Rory Sabbatini,84,30.46,286,939
42,T42,T42,Steve Stricker,73,30.46,261,857
43,44,44,Adam Scott,59,30.45,211,693
44,45,45,Charl Schwartzel,56,30.38,185,609
45,46,46,Y.E. Yang,64,30.32,198,653
46,47,47,Matt Bettencourt,80,30.28,231,763
47,48,48,Padraig Harrington,67,30.16,212,703
48,49,49,Nick Watney,97,30.15,338,1121
49,50,50,Louis Oosthuizen,65,30.12,234,777
50,51,51,Charley Hoffman,88,30.09,315,1047
51,52,52,Chris Kirk,93,30.04,319,1062
52,53,53,Davis Love III,64,29.99,224,747
53,54,54,Michael Thompson,80,29.97,273,911
54,T55,T55,Greg Chalmers,88,29.9,279,933
55,T55,T55,Charlie Wi,86,29.9,276,923
56,T57,T57,Kevin Na,80,29.89,263,880
57,T57,T57,Ian Poulter,57,29.89,185,619
58,T59,T59,Brian Harman,101,29.83,346,1160
59,T59,T59,John Senden,81,29.83,287,962
60,61,61,Geoff Ogilvy,73,29.82,246,825
61,T62,T62,Harrison Frazar,56,29.8,177,594
62,T62,T62,Andres Romero,68,29.8,197,661
63,64,64,Charlie Beljan,61,29.75,188,632
64,65,65,Rickie Fowler,84,29.72,288,969
65,66,66,Brendon de Jonge,115,29.69,408,1374
66,67,67,Brian Davis,91,29.64,294,992
67,68,68,Spencer Levin,81,29.58,255,862
68,69,69,Sergio Garcia,57,29.56,193,653
69,70,70,Erik Compton,81,29.55,242,819
70,71,71,Richard Lee,71,29.54,236,799
71,72,72,Matt Kuchar,86,29.53,285,965
72,73,73,Kyle Stanley,86,29.52,299,1013
73,74,74,John Rollins,81,29.51,270,915
74,75,75,Greg Owen,90,29.49,327,1109
75,T76,T76,John Huh,99,29.47,348,1181
76,T76,T76,Vijay Singh,99,29.47,346,1174
77,78,78,Sean O'Hair,84,29.45,303,1029
78,79,79,Nathan Green,73,29.37,230,783
79,80,80,Derek Lamely,64,29.27,197,673
80,T81,T81,Jonathan Byrd,69,29.18,227,778
81,T81,T81,Danny Lee,74,29.18,225,771
82,83,83,Luke Donald,63,29.17,210,720
83,84,84,Blake Adams,107,29.1,355,1220
84,85,85,Harris English,98,29.03,346,1192
85,86,86,Scott Brown,65,28.95,198,684
86,T87,T87,D.A. Points,88,28.87,304,1053
87,T87,T87,Camilo Villegas,79,28.87,278,963
88,89,89,Henrik Stenson,51,28.8,159,552
89,T90,T90,Cameron Beckman,81,28.76,260,904
90,T90,T90,Bud Cauley,99,28.76,340,1182
91,T90,T90,Jhonattan Vegas,77,28.76,256,890
92,93,93,Vaughn Taylor,81,28.54,254,890
93,94,94,Seung-Yul Noh,105,28.53,335,1174
94,T95,T95,Gavin Coles,72,28.52,217,761
95,T95,T95,Justin Rose,69,28.52,245,859
96,97,97,Gary Woodland,70,28.5,226,793
97,98,98,Ryuji Imada,78,28.47,236,829
98,99,99,Martin Flores,95,28.46,304,1068
99,100,100,Will Claxton,99,28.38,334,1177
100,101,101,John Merrick,83,28.31,278,982
101,T102,T102,Graham DeLaet,79,28.29,254,898
102,T102,T102,Chris DiMarco,83,28.29,243,859
103,104,104,Hunter Haas,69,28.25,202,715
104,105,105,Johnson Wagner,88,28.24,294,1041
105,T106,T106,Kevin Chappell,91,28.2,282,1000
106,T106,T106,David Toms,60,28.2,194,688
107,108,108,Roland Thatcher,55,28.19,168,596
108,109,109,Marco Dawson,60,28.17,171,607
109,110,110,Scott Stallings,78,28.16,261,927
110,111,111,Edward Loar,59,28.14,166,590
111,112,112,Bobby Gates,87,28.12,273,971
