,One-Putt_Percentage_-_Round_2_RANK THIS WEEK,One-Putt_Percentage_-_Round_2_RANK LAST WEEK,One-Putt_Percentage_-_Round_2_PLAYER NAME,One-Putt_Percentage_-_Round_2_%,One-Putt_Percentage_-_Round_2_# OF 1 PUTTS,One-Putt_Percentage_-_Round_2_# OF HOLES
0,1,1,Y.E. Yang,47.95,164,342
1,2,2,Justin Leonard,46.44,209,450
2,3,3,Pat Perez,46.03,174,378
3,4,4,Tom Gillis,45.24,171,378
4,5,5,Geoff Ogilvy,45.03,154,342
5,6,6,Greg Chalmers,44.91,194,432
6,7,7,Brandt Snedeker,44.44,168,378
7,8,8,Brian Harman,43.89,237,540
8,9,9,Zach Johnson,43.06,186,432
9,10,10,Graeme McDowell,42.96,116,270
10,11,11,Ryan Moore,42.59,184,432
11,12,12,Ryuji Imada,42.39,206,486
12,13,13,Bob Estes,42.27,175,414
13,14,14,Charlie Wi,42.22,190,450
14,15,15,Bo Van Pelt,42.17,167,396
15,T16,T16,Matt Kuchar,42.06,159,378
16,T16,T16,Jimmy Walker,42.06,212,504
17,T18,T18,Chris Couch,41.98,136,324
18,T18,T18,Tiger Woods,41.98,136,324
19,20,20,Jason Dufner,41.8,158,378
20,T21,T21,Ben Crane,41.67,165,396
21,T21,T21,Tommy Gainey,41.67,225,540
22,23,23,Chris DiMarco,41.47,209,504
23,24,24,Ryan Palmer,41.2,178,432
24,25,25,John Huh,41.15,200,486
25,26,26,Camilo Villegas,41.06,170,414
26,27,27,Aaron Baddeley,41.01,155,378
27,28,28,Spencer Levin,40.82,169,414
28,29,29,J.J. Killeen,40.8,235,576
29,30,30,Brian Gay,40.74,198,486
30,31,31,Carl Pettersson,40.6,190,468
31,T32,T32,Sangmoon Bae,40.4,160,396
32,T32,T32,Kevin Na,40.4,160,396
33,34,34,Jason Day,40.37,109,270
34,35,35,Brian Davis,40.28,203,504
35,T36,T36,Jonas Blixt,40.21,152,378
36,T36,T36,Phil Mickelson,40.21,152,378
37,38,38,Ian Poulter,40.08,101,252
38,39,39,Michael Thompson,40.0,180,450
39,40,40,Jason Kokrak,39.96,187,468
40,T41,T41,Andres Romero,39.95,151,378
41,T41,T41,John Senden,39.95,151,378
42,T43,T43,Rickie Fowler,39.9,158,396
43,T43,T43,Danny Lee,39.9,158,396
44,45,45,Padraig Harrington,39.87,122,306
45,46,46,Jeff Maggert,39.71,193,486
46,47,47,Sergio Garcia,39.63,107,270
47,T48,T48,Marc Leishman,39.61,164,414
48,T48,T48,Bryce Molder,39.61,164,414
49,50,50,Daniel Chopra,39.44,142,360
50,51,51,Brendon de Jonge,39.43,220,558
51,T52,T52,Gavin Coles,39.39,156,396
52,T52,T52,Tom Pernice Jr.,39.39,156,396
53,T54,T54,Vijay Singh,39.32,184,468
54,T54,T54,Kevin Streelman,39.32,184,468
55,56,56,Harris English,39.3,191,486
56,57,57,Bobby Gates,39.29,198,504
57,58,58,Ken Duke,39.26,212,540
58,59,59,Harrison Frazar,39.18,134,342
59,60,60,Martin Laird,39.15,148,378
60,T61,T61,Stuart Appleby,38.89,161,414
61,T61,T61,Tommy Biershenk,38.89,182,468
62,T61,T61,Erik Compton,38.89,168,432
63,T61,T61,John Daly,38.89,98,252
64,T61,T61,Martin Flores,38.89,210,540
65,T61,T61,Stephen Gangluff,38.89,154,396
