,3-Putt_Avoidance_-_Round_1_RANK THIS WEEK,3-Putt_Avoidance_-_Round_1_RANK LAST WEEK,3-Putt_Avoidance_-_Round_1_PLAYER NAME,3-Putt_Avoidance_-_Round_1_%,3-Putt_Avoidance_-_Round_1_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_1_TOTAL HOLES
0,1,1,Steve Stricker,0.62,2,324
1,2,2,Carl Pettersson,0.85,4,468
2,3,3,Hunter Haas,1.01,4,396
3,4,4,Matt Kuchar,1.06,4,378
4,T5,T5,Sergio Garcia,1.11,3,270
5,T5,T5,Charlie Wi,1.11,5,450
6,7,7,Greg Chalmers,1.16,5,432
7,8,8,Ian Poulter,1.19,3,252
8,T9,T9,Brian Gay,1.23,6,486
9,T9,T9,Dustin Johnson,1.23,4,324
10,T9,T9,Dicky Pride,1.23,4,324
11,12,12,Martin Flores,1.3,7,540
12,13,13,Rory McIlroy,1.48,4,270
13,14,14,Justin Rose,1.54,5,324
14,15,15,Marco Dawson,1.59,6,378
15,16,16,Spencer Levin,1.62,7,432
16,17,17,Kevin Na,1.69,7,414
17,18,18,Harrison Frazar,1.75,6,342
18,19,19,Troy Kelly,1.77,7,396
19,20,20,Rod Pampling,1.78,8,450
20,T21,T21,Aaron Baddeley,1.85,7,378
21,T21,T21,Brandt Snedeker,1.85,7,378
22,T23,T23,Brian Davis,1.92,10,522
23,T23,T23,Sung Kang,1.92,10,522
24,T25,T25,Jim Furyk,1.93,8,414
25,T25,T25,Kevin Kisner,1.93,8,414
26,T27,T27,Russell Knox,2.02,8,396
27,T27,T27,Pat Perez,2.02,8,396
28,T29,T29,Ben Curtis,2.05,7,342
29,T29,T29,Y.E. Yang,2.05,7,342
30,T31,T31,J.J. Killeen,2.08,12,576
31,T31,T31,Ryan Palmer,2.08,9,432
32,33,33,Jason Dufner,2.12,8,378
33,34,34,Kevin Streelman,2.14,10,468
34,35,35,Brandt Jobe,2.16,7,324
35,T36,T36,Bob Estes,2.17,9,414
36,T36,T36,Marc Leishman,2.17,9,414
37,38,38,Jimmy Walker,2.18,11,504
38,T39,T39,Ángel Cabrera,2.22,8,360
39,T39,T39,Daniel Chopra,2.22,8,360
40,T39,T39,Davis Love III,2.22,8,360
41,T39,T39,Charl Schwartzel,2.22,6,270
42,T43,T43,James Driscoll,2.26,11,486
43,T43,T43,Seung-Yul Noh,2.26,11,486
44,45,45,Ryo Ishikawa,2.29,7,306
45,46,46,Kevin Stadler,2.31,10,432
46,47,47,Tim Clark,2.34,8,342
47,T48,T48,Will Claxton,2.38,12,504
48,T48,T48,Scott Piercy,2.38,12,504
49,T48,T48,John Senden,2.38,9,378
50,T48,T48,Steve Wheatcroft,2.38,9,378
51,52,52,William McGirt,2.41,13,540
52,53,53,Luke Donald,2.43,7,288
53,T54,T54,Matt Every,2.44,11,450
54,T54,T54,Derek Lamely,2.44,11,450
55,T54,T54,Nick O'Hern,2.44,11,450
56,T57,T57,Jeff Maggert,2.47,12,486
57,T57,T57,Tiger Woods,2.47,8,324
58,59,59,Josh Teater,2.49,13,522
59,60,60,Troy Matteson,2.51,14,558
60,T61,T61,Hunter Mahan,2.53,10,396
61,T61,T61,Rocco Mediate,2.53,10,396
62,T61,T61,Phil Mickelson,2.53,10,396
63,T64,T64,Miguel Angel Carballo,2.55,11,432
64,T64,T64,Trevor Immelman,2.55,11,432
65,66,66,Arjun Atwal,2.56,12,468
66,T67,T67,Chris DiMarco,2.58,13,504
67,T67,T67,Chris Stroud,2.58,13,504
68,69,69,Padraig Harrington,2.61,8,306
69,T70,T70,Jonas Blixt,2.65,10,378
70,T70,T70,Ernie Els,2.65,10,378
71,T72,T72,Stuart Appleby,2.66,11,414
72,T72,T72,Richard Lee,2.66,11,414
73,T72,T72,John Mallinger,2.66,11,414
74,T75,T75,Gary Christian,2.67,13,486
75,T75,T75,Harris English,2.67,13,486
76,T77,T77,K.J. Choi,2.78,10,360
77,T77,T77,Gavin Coles,2.78,11,396
78,T77,T77,Erik Compton,2.78,12,432
79,T77,T77,Ken Duke,2.78,15,540
80,T77,T77,Tommy Gainey,2.78,16,576
81,T77,T77,Freddie Jacobson,2.78,8,288
82,T77,T77,Colt Knost,2.78,14,504
83,T77,T77,Edward Loar,2.78,11,396
84,T77,T77,Garth Mulroy,2.78,9,324
85,T77,T77,Camilo Villegas,2.78,12,432
86,T87,T87,Brendon de Jonge,2.87,16,558
87,T87,T87,Charles Howell III,2.87,15,522
88,T87,T87,Jeff Overton,2.87,15,522
89,T90,T90,Vijay Singh,2.88,14,486
90,T90,T90,Johnson Wagner,2.88,14,486
91,T92,T92,Cameron Beckman,2.89,13,450
92,T92,T92,George McNeill,2.89,13,450
93,T92,T92,John Merrick,2.89,13,450
94,T92,T92,Vaughn Taylor,2.89,13,450
95,96,96,Tom Gillis,2.9,12,414
96,97,97,Geoff Ogilvy,2.92,10,342
97,98,98,Brian Harman,2.96,16,540
98,T99,T99,Bud Cauley,2.98,15,504
99,T99,T99,David Hearn,2.98,15,504
100,T99,T99,David Mathis,2.98,15,504
101,T99,T99,Heath Slocum,2.98,15,504
102,T99,T99,Brendon Todd,2.98,15,504
103,T104,T104,Roberto Castro,2.99,14,468
104,T104,T104,Billy Hurley III,2.99,14,468
105,106,106,Bryce Molder,3.01,13,432
106,T107,T107,Mathew Goggin,3.03,12,396
107,T107,T107,Bill Haas,3.03,12,396
108,109,109,Jonathan Byrd,3.06,11,360
109,110,110,Rory Sabbatini,3.07,16,522
110,T111,T111,Louis Oosthuizen,3.09,10,324
111,T111,T111,David Toms,3.09,10,324
112,T111,T111,Bubba Watson,3.09,10,324
113,114,114,Nick Watney,3.11,14,450
114,T115,T115,Blake Adams,3.13,18,576
115,T115,T115,Jason Day,3.13,9,288
116,T115,T115,Billy Horschel,3.13,9,288
117,T118,T118,Sean O'Hair,3.14,13,414
118,T118,T118,Bo Van Pelt,3.14,13,414
119,T120,T120,Stewart Cink,3.17,12,378
120,T120,T120,John Huh,3.17,16,504
121,T122,T122,Sangmoon Bae,3.24,14,432
122,T122,T122,Zach Johnson,3.24,14,432
123,124,124,Stephen Gangluff,3.28,13,396
124,T125,T125,Ryuji Imada,3.29,16,486
125,T125,T125,Greg Owen,3.29,16,486
126,T125,T125,Kyle Reifers,3.29,16,486
127,T125,T125,Scott Stallings,3.29,16,486
128,T129,T129,Matt Bettencourt,3.33,18,540
129,T129,T129,Chris Couch,3.33,12,360
130,T129,T129,Danny Lee,3.33,15,450
131,T129,T129,Justin Leonard,3.33,15,450
132,T129,T129,Alexandre Rocha,3.33,12,360
133,T129,T129,Michael Thompson,3.33,15,450
134,135,135,Michael Bradley,3.38,14,414
135,T136,T136,Tommy Biershenk,3.42,16,468
136,T136,T136,Daniel Summerhays,3.42,16,468
