,Total_1_Putts_-__25_RANK THIS WEEK,Total_1_Putts_-__25_RANK LAST WEEK,Total_1_Putts_-__25_PLAYER NAME,Total_1_Putts_-__25_ROUNDS,Total_1_Putts_-__25_TOTAL,Total_1_Putts_-__25_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-__25_PCT OF ALL 1-PUTTS
0,1,1,Brendon de Jonge,115,33,691,4.8
1,T2,T2,Brian Harman,101,29,638,4.5
2,T2,T2,Seung-Yul Noh,105,29,578,5.0
3,4,4,Ben Crane,73,28,464,6.0
4,5,5,John Huh,99,27,594,4.5
5,T6,T6,Will Claxton,99,26,568,4.6
6,T6,T6,Derek Lamely,64,26,412,6.3
7,T8,T8,Jason Dufner,83,25,466,5.4
8,T8,T8,Ken Duke,104,25,679,3.7
9,T8,T8,Jeff Overton,101,25,695,3.6
10,T8,T8,D.A. Points,88,25,537,4.7
11,T8,T8,Brandt Snedeker,81,25,513,4.9
12,T8,T8,Michael Thompson,80,25,467,5.4
13,T8,T8,Nick Watney,97,25,534,4.7
14,T15,T15,Jonas Blixt,72,24,506,4.7
15,T15,T15,Michael Bradley,63,24,338,7.1
16,T15,T15,Keegan Bradley,90,24,515,4.7
17,T15,T15,David Hearn,95,24,607,4.0
18,T15,T15,Jhonattan Vegas,77,24,435,5.5
19,T15,T15,Camilo Villegas,79,24,463,5.2
20,T21,T21,Bud Cauley,99,23,649,3.5
21,T21,T21,Tommy Gainey,98,23,653,3.5
22,T21,T21,J.B. Holmes,90,23,562,4.1
23,T21,T21,John Merrick,83,23,458,5.0
24,T21,T21,Greg Owen,90,23,498,4.6
25,T21,T21,Josh Teater,97,23,583,3.9
26,T27,T27,James Driscoll,83,22,512,4.3
27,T27,T27,Martin Flores,95,22,581,3.8
28,T27,T27,Jeff Maggert,83,22,527,4.2
29,T27,T27,Phil Mickelson,79,22,470,4.7
30,T27,T27,Sean O'Hair,84,22,484,4.5
31,T27,T27,Webb Simpson,77,22,486,4.5
32,T33,T33,Jonathan Byrd,69,21,413,5.1
33,T33,T33,Kevin Chappell,91,21,496,4.2
34,T33,T33,Rickie Fowler,84,21,474,4.4
35,T33,T33,Tim Herron,88,21,484,4.3
36,T33,T33,Charles Howell III,98,21,503,4.2
37,T33,T33,Chris Kirk,93,21,590,3.6
38,T33,T33,Danny Lee,74,21,413,5.1
39,T33,T33,Rod Pampling,88,21,459,4.6
40,T33,T33,Johnson Wagner,88,21,511,4.1
41,T33,T33,Charlie Wi,86,21,536,3.9
42,T43,T43,Ricky Barnes,92,20,536,3.7
43,T43,T43,Greg Chalmers,88,20,584,3.4
44,T43,T43,Gary Christian,91,20,492,4.1
45,T43,T43,Harris English,98,20,571,3.5
46,T43,T43,Robert Garrigus,89,20,506,4.0
47,T43,T43,Bobby Gates,87,20,504,4.0
48,T43,T43,Brian Gay,91,20,589,3.4
49,T43,T43,Zach Johnson,95,20,580,3.4
50,T43,T43,Jerry Kelly,84,20,519,3.9
51,T52,T52,Blake Adams,107,19,581,3.3
52,T52,T52,Mark Anderson,75,19,433,4.4
53,T52,T52,Roberto Castro,92,19,506,3.8
54,T52,T52,Gavin Coles,72,19,433,4.4
55,T52,T52,Erik Compton,81,19,461,4.1
56,T52,T52,Brian Davis,91,19,600,3.2
57,T52,T52,Billy Mayfair,90,19,531,3.6
58,T52,T52,William McGirt,96,19,536,3.5
59,T52,T52,George McNeill,85,19,510,3.7
60,T52,T52,Pat Perez,81,19,506,3.8
61,T62,T62,Robert Allenby,76,18,417,4.3
62,T62,T62,Troy Kelly,68,18,352,5.1
63,T62,T62,J.J. Killeen,101,18,629,2.9
64,T62,T62,Troy Matteson,100,18,576,3.1
65,T62,T62,John Rollins,81,18,482,3.7
66,T62,T62,Chris Stroud,86,18,526,3.4
67,T62,T62,Brendon Todd,78,18,447,4.0
68,T62,T62,Mark Wilson,84,18,466,3.9
69,T70,T70,Kevin Kisner,69,17,387,4.4
70,T70,T70,John Mallinger,74,17,428,4.0
71,T70,T70,Louis Oosthuizen,65,17,324,5.2
72,T70,T70,Ryan Palmer,81,17,529,3.2
73,T70,T70,Scott Piercy,95,17,623,2.7
74,T70,T70,Kyle Reifers,86,17,470,3.6
75,T70,T70,Justin Rose,69,17,367,4.6
76,T70,T70,Vijay Singh,99,17,549,3.1
77,T70,T70,Henrik Stenson,51,17,285,6.0
78,T79,T79,Chad Campbell,84,16,464,3.4
79,T79,T79,Chris DiMarco,83,16,524,3.1
80,T79,T79,Tom Gillis,75,16,510,3.1
81,T79,T79,J.J. Henry,93,16,432,3.7
82,T79,T79,Jason Kokrak,79,16,469,3.4
83,T79,T79,Matt Kuchar,86,16,504,3.2
84,T79,T79,Bryce Molder,83,16,508,3.1
85,T79,T79,Carl Pettersson,92,16,602,2.7
