,Average_Putting_Distance_-_All_3_putts_RANK THIS WEEK,Average_Putting_Distance_-_All_3_putts_RANK LAST WEEK,Average_Putting_Distance_-_All_3_putts_PLAYER NAME,Average_Putting_Distance_-_All_3_putts_ROUNDS,Average_Putting_Distance_-_All_3_putts_AVG,Average_Putting_Distance_-_All_3_putts_DISTANCE (FEET),Average_Putting_Distance_-_All_3_putts_TOTAL PUTTS
0,1,1,Tommy Biershenk,74,"85' 6""",85.5,1
1,2,2,Rocco Mediate,70,"74' 5""",74.417,1
2,3,3,Brendan Steele,77,"67' 4""",134.583,2
3,4,4,J.J. Killeen,101,"65' 11""",65.917,1
4,5,5,Hunter Mahan,88,"65' 4""",65.333,1
5,6,6,Hunter Haas,69,"61' 2""",122.333,2
6,7,7,Mark Anderson,75,"60' 10""",60.833,1
7,8,8,Justin Rose,69,"60' 5""",60.417,1
8,9,9,Kris Blanks,65,"60' 0""",60.0,1
9,10,10,Harrison Frazar,56,"59' 7""",59.583,1
10,11,11,J.B. Holmes,90,"59' 4""",118.583,2
11,12,12,John Mallinger,74,"56' 5""",56.417,1
12,13,13,Billy Mayfair,90,"55' 4""",55.333,1
13,14,14,Robert Karlsson,54,"55' 2""",110.25,2
14,15,15,Webb Simpson,77,"54' 6""",54.5,1
15,16,16,Bubba Watson,68,"52' 4""",52.333,1
16,17,17,Kevin Chappell,91,"50' 11""",101.75,2
17,18,18,Stephen Ames,54,"50' 10""",101.667,2
18,19,19,Brendon de Jonge,115,"50' 0""",50.0,1
19,20,20,Tommy Gainey,98,"48' 5""",96.75,2
20,21,21,Bob Estes,78,"46' 5""",46.417,1
21,22,22,David Mathis,83,"45' 1""",90.083,2
22,23,23,Graeme McDowell,55,"44' 11""",44.917,1
23,24,24,Michael Thompson,80,"44' 5""",177.583,4
24,25,25,Sung Kang,75,"43' 10""",131.5,3
25,26,26,Sangmoon Bae,81,"43' 5""",43.417,1
26,27,27,Jeff Maggert,83,"42' 7""",42.583,1
27,28,28,Vijay Singh,99,"42' 1""",42.083,1
28,29,29,Steve Wheatcroft,56,"41' 6""",41.5,1
29,30,30,Russell Knox,72,"41' 0""",41.0,1
30,31,31,Sean O'Hair,84,"40' 9""",81.5,2
31,32,32,Charlie Wi,86,"40' 2""",80.25,2
32,33,33,Ken Duke,104,"40' 1""",40.083,1
33,34,34,Nick O'Hern,78,"38' 7""",38.583,1
34,35,35,Cameron Beckman,81,"37' 0""",74.0,2
35,36,36,Tom Pernice Jr.,62,"35' 2""",70.333,2
36,37,37,Garth Mulroy,59,"35' 1""",35.083,1
37,38,38,Rickie Fowler,84,"34' 10""",34.833,1
38,39,39,Pat Perez,81,"34' 7""",69.083,2
39,T40,T40,Bud Cauley,99,"33' 10""",33.833,1
40,T40,T40,Kevin Na,80,"33' 10""",33.833,1
41,42,42,Boo Weekley,74,"32' 10""",32.833,1
42,T43,T43,William McGirt,96,"32' 0""",32.0,1
43,T43,T43,Ian Poulter,57,"32' 0""",64.0,2
44,T45,T45,D.A. Points,88,"31' 10""",31.833000000000002,1
45,T45,T45,Andres Romero,68,"31' 10""",95.5,3
46,47,47,Marco Dawson,60,"30' 7""",30.583000000000002,1
47,48,48,Bill Lunde,83,"29' 11""",29.916999999999998,1
48,49,49,Chris Stroud,86,"29' 7""",29.583000000000002,1
49,50,50,Mark Wilson,84,"28' 5""",28.416999999999998,1
50,51,51,Robert Garrigus,89,"28' 1""",56.083,2
51,52,52,Scott Dunlap,57,"27' 2""",81.583,3
52,53,53,Brian Gay,91,"26' 9""",26.75,1
53,54,54,Nick Watney,97,"26' 0""",26.0,1
54,55,55,Chez Reavie,83,"25' 10""",25.833000000000002,1
55,56,56,Billy Horschel,63,"23' 11""",23.916999999999998,1
56,57,57,Chris Kirk,93,"23' 7""",47.083,2
57,58,58,Erik Compton,81,"23' 6""",47.0,2
58,59,59,Seung-Yul Noh,105,"23' 3""",23.25,1
59,60,60,Cameron Tringale,88,"22' 5""",67.25,3
60,61,61,Jason Kokrak,79,"22' 1""",44.083,2
61,62,62,Brian Davis,91,"21' 5""",21.416999999999998,1
62,63,63,Matt Every,80,"21' 2""",21.166999999999998,1
63,64,64,Nathan Green,73,"20' 8""",20.666999999999998,1
64,65,65,Chris Couch,61,"20' 3""",40.5,2
65,66,66,Charlie Beljan,61,"18' 4""",18.333,1
66,67,67,"Ted Potter, Jr.",77,"17' 5""",34.833,2
67,68,68,Greg Owen,90,"16' 0""",16.0,1
68,69,69,Rory Sabbatini,84,"14' 3""",14.25,1
69,70,70,Josh Teater,97,"12' 3""",12.25,1
70,71,71,Arjun Atwal,79,"9' 11""",19.75,2
71,72,72,Ryuji Imada,78,"9' 4""",9.333,1
72,73,73,Keegan Bradley,90,"9' 3""",9.25,1
73,74,74,Adam Scott,59,"9' 1""",9.083,1
74,75,75,Tim Clark,60,"9' 0""",9.0,1
75,76,76,Camilo Villegas,79,"8' 7""",8.583,1
76,77,77,John Senden,81,"7' 3""",7.25,1
77,78,78,Tim Herron,88,"4' 8""",9.25,2
78,79,79,Robert Allenby,76,"4' 7""",4.583,1
79,80,80,Charl Schwartzel,56,"3' 0""",3.0,1
