,Putting_from_Inside_5_RANK THIS WEEK,Putting_from_Inside_5_RANK LAST WEEK,Putting_from_Inside_5_PLAYER NAME,Putting_from_Inside_5_ROUNDS,Putting_from_Inside_5_%,Putting_from_Inside_5_ATTEMPTS,Putting_from_Inside_5_PUTTS MADE
0,1,1,Sergio Garcia,57,98.51,606,597
1,2,2,Louis Oosthuizen,65,98.43,699,688
2,3,3,Jim Furyk,85,98.38,924,909
3,4,4,Ian Poulter,57,98.33,538,529
4,5,5,Bo Van Pelt,84,98.28,870,855
5,T6,T6,Luke Donald,63,97.87,657,643
6,T6,T6,Brian Gay,91,97.87,1080,1057
7,8,8,Gavin Coles,72,97.84,786,769
8,9,9,Greg Chalmers,88,97.78,1038,1015
9,10,10,William McGirt,96,97.76,1115,1090
10,11,11,Martin Laird,77,97.73,749,732
11,12,12,Brandt Snedeker,81,97.6,876,855
12,13,13,Jonas Blixt,72,97.58,867,846
13,14,14,Geoff Ogilvy,73,97.56,780,761
14,15,15,Jason Day,57,97.53,648,632
15,16,16,Richard Lee,71,97.52,807,787
16,17,17,Carl Pettersson,92,97.49,1115,1087
17,18,18,Johnson Wagner,88,97.41,1044,1017
18,T19,T19,David Hearn,95,97.39,1224,1192
19,T19,T19,Steve Stricker,73,97.39,767,747
20,T19,T19,Jimmy Walker,101,97.39,1263,1230
21,22,22,Ben Curtis,62,97.32,672,654
22,23,23,Ryan Palmer,81,97.25,981,954
23,T24,T24,Billy Hurley III,70,97.23,793,771
24,T24,T24,Phil Mickelson,79,97.23,830,807
25,T26,T26,Ryo Ishikawa,54,97.21,537,522
26,T26,T26,Matt Kuchar,86,97.21,932,906
27,28,28,Edward Loar,59,97.2,608,591
28,29,29,John Huh,99,97.16,1196,1162
29,30,30,Jeff Overton,101,97.15,1299,1262
30,31,31,Seung-Yul Noh,105,97.14,1223,1188
31,32,32,Hunter Mahan,88,97.12,939,912
32,33,33,Bud Cauley,99,97.1,1312,1274
33,34,34,Harris English,98,97.09,1239,1203
34,T35,T35,Brandt Jobe,57,97.07,648,629
35,T35,T35,Tiger Woods,69,97.07,682,662
36,37,37,Martin Flores,95,97.06,1124,1091
37,38,38,Graham DeLaet,79,97.03,1009,979
38,39,39,Steve Wheatcroft,56,97.01,602,584
39,T40,T40,J.J. Henry,93,96.98,1059,1027
40,T40,T40,Zach Johnson,95,96.98,1026,995
41,42,42,Y.E. Yang,64,96.95,656,636
42,43,43,Kyle Reifers,86,96.92,1072,1039
43,T44,T44,Tom Gillis,75,96.89,966,936
44,T44,T44,Derek Lamely,64,96.89,772,748
45,46,46,Roberto Castro,92,96.88,1089,1055
46,T47,T47,Keegan Bradley,90,96.87,989,958
47,T47,T47,Bill Haas,79,96.87,863,836
48,49,49,John Daly,50,96.86,510,494
49,50,50,Rory McIlroy,60,96.85,571,553
50,51,51,Bubba Watson,68,96.82,755,731
51,52,52,Scott Piercy,95,96.81,1190,1152
52,T53,T53,Alexandre Rocha,62,96.77,713,690
53,T53,T53,Michael Thompson,80,96.77,899,870
54,55,55,Bryce Molder,83,96.76,989,957
55,T56,T56,Tim Clark,60,96.74,706,683
56,T56,T56,Marco Dawson,60,96.74,674,652
57,58,58,Rod Pampling,88,96.72,1007,974
58,59,59,Cameron Tringale,88,96.71,1094,1058
59,T60,T60,Will Claxton,99,96.7,1241,1200
60,T60,T60,Chris Kirk,93,96.7,1212,1172
61,T60,T60,Spencer Levin,81,96.7,940,909
62,T60,T60,Brendon Todd,78,96.7,878,849
63,T64,T64,Rocco Mediate,70,96.69,846,818
64,T64,T64,Kevin Na,80,96.69,906,876
65,T66,T66,Nathan Green,73,96.68,814,787
66,T66,T66,Charles Howell III,98,96.68,1113,1076
67,T68,T68,James Driscoll,83,96.67,992,959
68,T68,T68,Jhonattan Vegas,77,96.67,990,957
69,T70,T70,Rickie Fowler,84,96.66,959,927
70,T70,T70,Mark Wilson,84,96.66,988,955
71,72,72,Colt Knost,79,96.64,952,920
72,T73,T73,Ryan Moore,89,96.62,1124,1086
73,T73,T73,Nick Watney,97,96.62,1065,1029
74,T75,T75,Brian Harman,101,96.6,1266,1223
75,T75,T75,Charlie Wi,86,96.6,1030,995
76,77,77,Dustin Johnson,70,96.59,763,737
77,T78,T78,Aaron Baddeley,73,96.58,760,734
78,T78,T78,J.B. Holmes,90,96.58,1141,1102
79,80,80,Gary Christian,91,96.57,1050,1014
80,81,81,Dicky Pride,62,96.55,695,671
81,82,82,Brendon de Jonge,115,96.54,1444,1394
82,T83,T83,Garth Mulroy,59,96.52,660,637
83,T83,T83,Chris Stroud,86,96.52,1064,1027
84,85,85,George McNeill,85,96.51,1004,969
85,86,86,Jonathan Byrd,69,96.49,797,769
86,87,87,Webb Simpson,77,96.48,910,878
87,88,88,Stuart Appleby,75,96.47,934,901
88,89,89,Kevin Kisner,69,96.45,760,733
89,90,90,Blake Adams,107,96.44,1236,1192
90,T91,T91,Jerry Kelly,84,96.43,1064,1026
91,T91,T91,Russell Knox,72,96.43,812,783
92,T93,T93,Ángel Cabrera,54,96.42,530,511
93,T93,T93,Billy Horschel,63,96.42,699,674
94,95,95,Stewart Cink,71,96.41,779,751
95,T96,T96,Erik Compton,81,96.39,915,882
96,T96,T96,Ben Crane,73,96.39,859,828
97,T96,T96,Ryuji Imada,78,96.39,942,908
98,T96,T96,Scott Stallings,78,96.39,996,960
99,T100,T100,Jason Bohn,81,96.38,940,906
100,T100,T100,Daniel Chopra,55,96.38,608,586
101,102,102,Daniel Summerhays,81,96.35,987,951
102,103,103,Justin Leonard,79,96.34,984,948
103,104,104,Ernie Els,80,96.32,951,916
