,Total_3_Putts_-_10-15_RANK THIS WEEK,Total_3_Putts_-_10-15_RANK LAST WEEK,Total_3_Putts_-_10-15_PLAYER NAME,Total_3_Putts_-_10-15_ROUNDS,Total_3_Putts_-_10-15_TOTAL 3 PUTTS 10'-15',Total_3_Putts_-_10-15_TOTAL 3 PUTTS
0,1,1,Cameron Beckman,81,9,59
1,2,2,Rory Sabbatini,84,7,46
2,T3,T3,Scott Brown,65,6,42
3,T3,T3,Scott Stallings,78,6,42
4,T5,T5,James Driscoll,83,5,28
5,T5,T5,Tommy Gainey,98,5,51
6,T5,T5,Robert Garrigus,89,5,55
7,T5,T5,Robert Karlsson,54,5,40
8,T5,T5,Jason Kokrak,79,5,40
9,T5,T5,Billy Mayfair,90,5,51
10,T5,T5,Henrik Stenson,51,5,31
11,T12,T12,Ricky Barnes,92,4,68
12,T12,T12,Brian Davis,91,4,32
13,T12,T12,Scott Dunlap,57,4,43
14,T12,T12,Harris English,98,4,52
15,T12,T12,Nathan Green,73,4,34
16,T12,T12,Brian Harman,101,4,45
17,T12,T12,George McNeill,85,4,37
18,T12,T12,Andres Romero,68,4,46
19,T12,T12,Kyle Stanley,86,4,45
20,T12,T12,Kevin Streelman,89,4,38
21,T22,T22,Robert Allenby,76,3,47
22,T22,T22,Stuart Appleby,75,3,32
23,T22,T22,Tommy Biershenk,74,3,33
24,T22,T22,Miguel Angel Carballo,73,3,40
25,T22,T22,Kevin Chappell,91,3,56
26,T22,T22,Will Claxton,99,3,47
27,T22,T22,Brendon de Jonge,115,3,54
28,T22,T22,Ken Duke,104,3,53
29,T22,T22,Rickie Fowler,84,3,36
30,T22,T22,Bobby Gates,87,3,54
31,T22,T22,Charley Hoffman,88,3,53
32,T22,T22,Sung Kang,75,3,41
33,T22,T22,Colt Knost,79,3,34
34,T22,T22,John Mallinger,74,3,34
35,T22,T22,Rocco Mediate,70,3,28
36,T22,T22,Greg Owen,90,3,54
37,T22,T22,Tom Pernice Jr.,62,3,30
38,T22,T22,"Ted Potter, Jr.",77,3,46
39,T22,T22,Kyle Reifers,86,3,46
40,T22,T22,Brendan Steele,77,3,52
41,T22,T22,Daniel Summerhays,81,3,38
42,T22,T22,Cameron Tringale,88,3,47
43,T22,T22,Jhonattan Vegas,77,3,45
44,T45,T45,Matt Bettencourt,80,2,33
45,T45,T45,Kris Blanks,65,2,45
46,T45,T45,Michael Bradley,63,2,28
47,T45,T45,Chad Campbell,84,2,47
48,T45,T45,Roberto Castro,92,2,44
49,T45,T45,Bud Cauley,99,2,47
50,T45,T45,Gary Christian,91,2,43
51,T45,T45,Stewart Cink,71,2,30
52,T45,T45,Tim Clark,60,2,25
53,T45,T45,Erik Compton,81,2,35
54,T45,T45,Jason Day,57,2,28
55,T45,T45,Graham DeLaet,79,2,50
56,T45,T45,Sergio Garcia,57,2,17
57,T45,T45,Hunter Haas,69,2,26
58,T45,T45,David Hearn,95,2,46
59,T45,T45,J.B. Holmes,90,2,45
60,T45,T45,Charles Howell III,98,2,43
61,T45,T45,Ryuji Imada,78,2,45
62,T45,T45,Freddie Jacobson,61,2,23
63,T45,T45,J.J. Killeen,101,2,40
64,T45,T45,Danny Lee,74,2,34
65,T45,T45,Marc Leishman,84,2,54
66,T45,T45,Justin Leonard,79,2,42
67,T45,T45,Bill Lunde,83,2,48
68,T45,T45,Jeff Maggert,83,2,40
69,T45,T45,John Merrick,83,2,46
70,T45,T45,Phil Mickelson,79,2,31
71,T45,T45,Garth Mulroy,59,2,25
72,T45,T45,Kevin Na,80,2,24
73,T45,T45,Seung-Yul Noh,105,2,39
74,T45,T45,Sean O'Hair,84,2,43
75,T45,T45,Louis Oosthuizen,65,2,26
76,T45,T45,Rod Pampling,88,2,37
77,T45,T45,Pat Perez,81,2,39
78,T45,T45,Scott Piercy,95,2,46
79,T45,T45,Chez Reavie,83,2,42
80,T45,T45,Vijay Singh,99,2,47
81,T45,T45,Brandt Snedeker,81,2,30
82,T45,T45,Josh Teater,97,2,62
83,T45,T45,Michael Thompson,80,2,38
84,T45,T45,David Toms,60,2,24
85,T45,T45,D.J. Trahan,73,2,44
86,T45,T45,Nick Watney,97,2,52
87,T45,T45,Boo Weekley,74,2,39
88,T45,T45,Lee Westwood,60,2,23
89,T45,T45,Gary Woodland,70,2,48
90,T45,T45,Tiger Woods,69,2,25
91,T92,T92,Blake Adams,107,1,51
92,T92,T92,Stephen Ames,54,1,30
93,T92,T92,Mark Anderson,75,1,49
94,T92,T92,Arjun Atwal,79,1,34
95,T92,T92,Aaron Baddeley,73,1,24
96,T92,T92,Sangmoon Bae,81,1,33
97,T92,T92,Charlie Beljan,61,1,28
98,T92,T92,Jonas Blixt,72,1,21
99,T92,T92,Jason Bohn,81,1,31
100,T92,T92,Keegan Bradley,90,1,47
101,T92,T92,Daniel Chopra,55,1,18
102,T92,T92,Gavin Coles,72,1,34
103,T92,T92,Ben Crane,73,1,31
104,T92,T92,Ben Curtis,62,1,16
105,T92,T92,John Daly,50,1,20
106,T92,T92,Luke Donald,63,1,15
107,T92,T92,Ernie Els,80,1,31
108,T92,T92,Bob Estes,78,1,26
109,T92,T92,Matt Every,80,1,34
110,T92,T92,Martin Flores,95,1,32
111,T92,T92,Stephen Gangluff,57,1,28
112,T92,T92,Brian Gay,91,1,20
113,T92,T92,Tom Gillis,75,1,42
114,T92,T92,Bill Haas,79,1,35
115,T92,T92,Padraig Harrington,67,1,23
116,T92,T92,Tim Herron,88,1,36
117,T92,T92,Trevor Immelman,76,1,40
118,T92,T92,Zach Johnson,95,1,31
119,T92,T92,Troy Kelly,68,1,30
120,T92,T92,Chris Kirk,93,1,56
121,T92,T92,Russell Knox,72,1,25
122,T92,T92,Martin Laird,77,1,37
123,T92,T92,Edward Loar,59,1,18
124,T92,T92,Hunter Mahan,88,1,30
125,T92,T92,David Mathis,83,1,26
126,T92,T92,Troy Matteson,100,1,53
127,T92,T92,Graeme McDowell,55,1,18
128,T92,T92,William McGirt,96,1,35
129,T92,T92,Geoff Ogilvy,73,1,28
130,T92,T92,Carl Pettersson,92,1,30
131,T92,T92,D.A. Points,88,1,51
132,T92,T92,Dicky Pride,62,1,21
133,T92,T92,Alexandre Rocha,62,1,32
134,T92,T92,John Rollins,81,1,40
135,T92,T92,Adam Scott,59,1,27
136,T92,T92,Heath Slocum,93,1,47
137,T92,T92,Kevin Stadler,85,1,37
138,T92,T92,Chris Stroud,86,1,29
139,T92,T92,Vaughn Taylor,81,1,34
140,T92,T92,Roland Thatcher,55,1,31
141,T92,T92,Kyle Thompson,51,1,29
142,T92,T92,Bo Van Pelt,84,1,29
143,T92,T92,Camilo Villegas,79,1,43
144,T92,T92,Johnson Wagner,88,1,48
145,T92,T92,Jimmy Walker,101,1,40
146,T92,T92,Mark Wilson,84,1,37
