,Total_Putting_RANK THIS WEEK,Total_Putting_RANK LAST WEEK,Total_Putting_PLAYER NAME,Total_Putting_EVENTS,Total_Putting_TOTAL
0,1,1,Luke Donald,17,20.7
1,2,2,Martin Flores,30,65.6
2,3,3,Brandt Snedeker,22,70.0
3,4,4,Carl Pettersson,26,76.6
4,5,5,Jonas Blixt,21,77.1
5,6,6,Daniel Chopra,21,80.0
6,7,7,Ben Curtis,19,81.2
7,8,8,Bo Van Pelt,24,83.4
8,9,9,Matt Kuchar,22,84.7
9,10,10,Zach Johnson,25,85.8
10,11,11,Brian Gay,28,89.3
11,12,12,Greg Chalmers,25,92.6
12,13,13,Bryce Molder,25,92.8
13,14,14,Charl Schwartzel,16,93.8
14,15,15,Jim Furyk,24,94.8
15,16,16,Y.E. Yang,20,100.9
16,17,17,Ryan Moore,24,103.3
17,18,18,Jeff Overton,29,103.5
18,19,19,Brian Davis,29,104.8
19,20,20,James Driscoll,27,105.7
20,21,21,Ben Crane,23,108.0
21,22,22,Phil Mickelson,22,109.3
22,23,23,Gavin Coles,23,111.0
23,24,24,David Mathis,29,113.4
24,25,25,Jimmy Walker,28,114.0
25,26,26,Richard Lee,24,114.5
26,27,27,Aaron Baddeley,22,116.2
27,28,28,Tiger Woods,19,118.8
28,29,29,Sergio Garcia,16,123.8
29,30,30,Ryan Palmer,24,124.3
30,31,31,William McGirt,30,124.9
31,32,32,John Huh,28,128.3
32,33,33,John Daly,15,128.6
33,34,34,Michael Thompson,25,129.2
34,35,35,Billy Hurley III,27,129.8
35,36,36,Brendon Todd,29,130.0
36,37,37,Steve Stricker,19,134.1
37,38,38,Nathan Green,22,134.2
38,39,39,Tommy Biershenk,27,135.6
39,40,40,Tommy Gainey,32,137.0
40,41,41,Derek Lamely,25,137.7
41,42,42,Dicky Pride,19,137.8
42,43,43,John Senden,22,141.2
43,44,44,Chris Stroud,28,141.4
44,45,45,Charlie Wi,25,144.2
45,46,46,Jason Day,17,145.5
46,47,47,Tom Gillis,23,145.8
47,48,48,Edward Loar,23,147.4
48,49,49,Brandt Jobe,18,148.2
49,50,50,Chris Couch,21,148.9
50,51,51,Kevin Na,25,149.0
51,52,52,Stuart Appleby,24,150.2
52,53,53,Cameron Tringale,26,151.3
53,54,54,Seung-Yul Noh,28,152.3
54,55,55,Pat Perez,23,152.7
55,56,56,David Hearn,28,153.8
56,57,57,"Ted Potter, Jr.",25,156.3
57,58,58,Geoff Ogilvy,20,156.8
58,59,59,Keegan Bradley,25,159.1
59,60,60,Kevin Kisner,24,162.2
60,61,61,Ryuji Imada,28,163.6
61,62,62,Davis Love III,20,165.8
62,63,63,Ryo Ishikawa,18,166.9
63,64,64,Rory McIlroy,16,167.0
64,65,65,Johnson Wagner,27,167.9
65,66,66,Stewart Cink,22,172.0
66,67,67,Russell Knox,23,173.0
67,68,68,Colt Knost,29,174.0
68,69,69,Harris English,27,174.5
69,70,70,Kevin Streelman,26,176.6
70,71,71,Hunter Mahan,23,178.3
71,72,72,Matt Every,25,178.9
72,73,73,Ken Duke,30,179.0
73,74,74,Sangmoon Bae,25,179.6
