,Putting_-_Inside_10_RANK THIS WEEK,Putting_-_Inside_10_RANK LAST WEEK,Putting_-_Inside_10_PLAYER NAME,Putting_-_Inside_10_ROUNDS,Putting_-_Inside_10_% MADE,Putting_-_Inside_10_ATTEMPTS,Putting_-_Inside_10_PUTTS MADE
0,1,1,Brian Gay,91,90.27,1398,1262
1,2,2,Luke Donald,63,90.17,844,761
2,3,3,Carl Pettersson,92,89.69,1435,1287
3,4,4,Jonas Blixt,72,89.43,1154,1032
4,5,5,Jimmy Walker,101,89.4,1651,1476
5,6,6,Bo Van Pelt,84,89.29,1167,1042
6,7,7,Greg Chalmers,88,89.17,1357,1210
7,8,8,David Hearn,95,89.15,1613,1438
8,9,9,Steve Stricker,73,89.05,986,878
9,10,10,Gavin Coles,72,89.02,1038,924
10,11,11,Ian Poulter,57,88.97,698,621
11,T12,T12,Louis Oosthuizen,65,88.81,876,778
12,T12,T12,Kevin Streelman,89,88.81,1421,1262
13,T14,T14,Ben Curtis,62,88.8,866,769
14,T14,T14,Seung-Yul Noh,105,88.8,1562,1387
15,16,16,Matt Kuchar,86,88.73,1189,1055
16,17,17,Jim Furyk,85,88.72,1188,1054
17,18,18,J.J. Henry,93,88.7,1301,1154
18,T19,T19,Sergio Garcia,57,88.69,796,706
19,T19,T19,Geoff Ogilvy,73,88.69,1008,894
20,21,21,Bryce Molder,83,88.68,1263,1120
21,T22,T22,Jason Day,57,88.65,846,750
22,T22,T22,Garth Mulroy,59,88.65,846,750
23,24,24,John Huh,99,88.61,1554,1377
24,25,25,Pat Perez,81,88.58,1261,1117
25,26,26,Richard Lee,71,88.57,1041,922
26,27,27,Steve Wheatcroft,56,88.54,768,680
27,28,28,William McGirt,96,88.52,1437,1272
28,29,29,Mathew Goggin,65,88.51,1027,909
29,30,30,Martin Flores,95,88.49,1451,1284
30,31,31,Brandt Jobe,57,88.43,830,734
31,32,32,Bud Cauley,99,88.38,1687,1491
32,T33,T33,Derek Lamely,64,88.36,1014,896
33,T33,T33,Rory McIlroy,60,88.36,730,645
34,35,35,Phil Mickelson,79,88.3,1094,966
35,36,36,Zach Johnson,95,88.29,1341,1184
36,37,37,Dustin Johnson,70,88.26,971,857
37,T38,T38,Brendan Steele,77,88.24,1182,1043
38,T38,T38,David Toms,60,88.24,816,720
39,T40,T40,Blake Adams,107,88.22,1621,1430
40,T40,T40,Dicky Pride,62,88.22,900,794
41,42,42,Kevin Na,80,88.17,1192,1051
42,43,43,Roberto Castro,92,88.16,1393,1228
43,44,44,Brandt Snedeker,81,88.15,1156,1019
44,45,45,Colt Knost,79,88.14,1223,1078
45,46,46,Bill Haas,79,88.09,1117,984
46,47,47,Billy Horschel,63,88.08,889,783
47,T48,T48,Billy Hurley III,70,88.07,1039,915
48,T48,T48,Jeff Overton,101,88.07,1701,1498
49,T48,T48,Tiger Woods,69,88.07,872,768
50,51,51,Hunter Mahan,88,88.06,1189,1047
51,52,52,James Driscoll,83,88.05,1297,1142
52,53,53,David Mathis,83,88.03,1262,1111
53,54,54,Stuart Appleby,75,88.02,1194,1051
54,55,55,Ryan Palmer,81,87.95,1295,1139
55,56,56,Tom Gillis,75,87.92,1275,1121
56,T57,T57,Harris English,98,87.89,1602,1408
57,T57,T57,Ryan Moore,89,87.89,1470,1292
58,T57,T57,Scott Piercy,95,87.89,1569,1379
59,60,60,Charlie Wi,86,87.88,1337,1175
60,T61,T61,Daniel Chopra,55,87.85,790,694
61,T61,T61,Troy Matteson,100,87.85,1515,1331
62,T63,T63,Chris Couch,61,87.84,995,874
63,T63,T63,Johnson Wagner,88,87.84,1382,1214
64,65,65,Troy Kelly,68,87.82,936,822
65,T66,T66,Aaron Baddeley,73,87.8,1016,892
66,T66,T66,Nathan Green,73,87.8,1041,914
67,68,68,Chris Stroud,86,87.76,1397,1226
68,69,69,Mark Wilson,84,87.74,1264,1109
69,70,70,Spencer Levin,81,87.66,1216,1066
70,71,71,Patrick Sheehan,58,87.63,800,701
71,72,72,Charles Howell III,98,87.62,1422,1246
72,73,73,Kyle Reifers,86,87.56,1367,1197
73,T74,T74,Stewart Cink,71,87.55,980,858
74,T74,T74,Kevin Kisner,69,87.55,988,865
75,76,76,Keegan Bradley,90,87.54,1300,1138
76,T77,T77,Jonathan Byrd,69,87.5,1016,889
77,T77,T77,Brendon Todd,78,87.5,1152,1008
78,79,79,Russell Knox,72,87.44,1035,905
79,80,80,John Merrick,83,87.41,1334,1166
80,81,81,Tommy Biershenk,74,87.3,1063,928
81,82,82,Graham DeLaet,79,87.28,1336,1166
82,83,83,Ernie Els,80,87.27,1218,1063
83,84,84,Henrik Stenson,51,87.24,768,670
84,85,85,George McNeill,85,87.22,1322,1153
85,86,86,Jason Dufner,83,87.19,1179,1028
86,T87,T87,Brendon de Jonge,115,87.18,1888,1646
87,T87,T87,John Rollins,81,87.18,1334,1163
88,T87,T87,Charl Schwartzel,56,87.18,733,639
89,T90,T90,Sangmoon Bae,81,87.15,1043,909
90,T90,T90,John Senden,81,87.15,1144,997
91,T92,T92,Daniel Summerhays,81,87.13,1259,1097
92,T92,T92,Bubba Watson,68,87.13,956,833
93,94,94,Rocco Mediate,70,87.12,1087,947
94,T95,T95,Gary Christian,91,87.1,1395,1215
95,T95,T95,Rickie Fowler,84,87.1,1248,1087
96,T97,T97,Tim Clark,60,87.08,929,809
97,T97,T97,Michael Thompson,80,87.08,1207,1051
98,99,99,Cameron Tringale,88,87.06,1430,1245
99,100,100,Bob Estes,78,86.97,1213,1055
100,101,101,Edward Loar,59,86.95,797,693
101,102,102,"Ted Potter, Jr.",77,86.94,1133,985
102,T103,T103,Will Claxton,99,86.92,1621,1409
103,T103,T103,Brian Harman,101,86.92,1628,1415
104,105,105,Kevin Stadler,85,86.88,1326,1152
105,106,106,Marc Leishman,84,86.85,1445,1255
106,107,107,Ben Crane,73,86.82,1123,975
107,T108,T108,Ryo Ishikawa,54,86.8,682,592
108,T108,T108,Davis Love III,64,86.8,970,842
109,110,110,Danny Lee,74,86.78,1082,939
110,111,111,Webb Simpson,77,86.76,1201,1042
111,112,112,Tim Herron,88,86.72,1438,1247
112,113,113,Adam Scott,59,86.67,750,650
113,114,114,Padraig Harrington,67,86.66,847,734
114,115,115,Vaughn Taylor,81,86.65,1176,1019
115,116,116,Ángel Cabrera,54,86.62,710,615
116,117,117,Chris DiMarco,83,86.61,1337,1158
117,118,118,Chez Reavie,83,86.54,1226,1061
118,119,119,Matt Every,80,86.53,1195,1034
119,T120,T120,Erik Compton,81,86.52,1187,1027
120,T120,T120,Trevor Immelman,76,86.52,1083,937
121,122,122,Jerry Kelly,84,86.47,1375,1189
122,123,123,Freddie Jacobson,61,86.46,827,715
123,124,124,Tommy Gainey,98,86.45,1653,1429
124,125,125,Ken Duke,104,86.41,1656,1431
125,126,126,Alexandre Rocha,62,86.4,934,807
126,T127,T127,J.B. Holmes,90,86.39,1462,1263
127,T127,T127,Ryuji Imada,78,86.39,1271,1098
128,T129,T129,Chris Kirk,93,86.38,1608,1389
129,T129,T129,Josh Teater,97,86.38,1578,1363
130,T131,T131,Jason Kokrak,79,86.36,1298,1121
131,T131,T131,Jeff Maggert,83,86.36,1459,1260
132,T131,T131,Camilo Villegas,79,86.36,1393,1203
133,134,134,Martin Laird,77,86.35,1018,879
134,T135,T135,Stephen Gangluff,57,86.32,826,713
135,T135,T135,Sung Kang,75,86.32,1148,991
136,T137,T137,Matt Jones,53,86.29,824,711
137,T137,T137,Y.E. Yang,64,86.29,890,768
138,T139,T139,Arjun Atwal,79,86.28,1239,1069
139,T139,T139,Tom Pernice Jr.,62,86.28,984,849
140,141,141,Matt Bettencourt,80,86.26,1128,973
141,T142,T142,J.J. Killeen,101,86.25,1600,1380
142,T142,T142,Jhonattan Vegas,77,86.25,1295,1117
143,144,144,Hunter Haas,69,86.24,974,840
144,145,145,Billy Mayfair,90,86.23,1482,1278
145,146,146,Rod Pampling,88,86.21,1298,1119
146,147,147,Stephen Ames,54,86.2,739,637
147,148,148,Bill Lunde,83,86.19,1267,1092
148,149,149,Graeme McDowell,55,86.18,709,611
149,150,150,Bobby Gates,87,86.16,1452,1251
150,T151,T151,Brian Davis,91,86.11,1476,1271
151,T151,T151,Nick Watney,97,86.11,1425,1227
152,153,153,John Mallinger,74,86.08,1185,1020
153,154,154,Charlie Beljan,61,86.03,802,690
154,155,155,Kevin Chappell,91,86.01,1365,1174
155,156,156,Marco Dawson,60,86.0,864,743
156,157,157,Justin Leonard,79,85.96,1289,1108
157,158,158,D.A. Points,88,85.94,1487,1278
158,159,159,Heath Slocum,93,85.89,1446,1242
159,T160,T160,Jason Bohn,81,85.87,1246,1070
160,T160,T160,Kyle Stanley,86,85.87,1366,1173
161,162,162,Miguel Angel Carballo,73,85.85,1074,922
162,163,163,Michael Bradley,63,85.82,1037,890
163,164,164,Roland Thatcher,55,85.8,831,713
164,165,165,Rory Sabbatini,84,85.79,1358,1165
165,166,166,Mark Anderson,75,85.78,1146,983
166,167,167,Robert Karlsson,54,85.77,787,675
167,T168,T168,Justin Rose,69,85.71,994,852
168,T168,T168,Scott Stallings,78,85.71,1295,1110
169,170,170,Kris Blanks,65,85.56,1143,978
170,171,171,Andres Romero,68,85.52,1015,868
171,172,172,Sean O'Hair,84,85.48,1446,1236
172,173,173,Charley Hoffman,88,85.45,1450,1239
173,T174,T174,K.J. Choi,71,85.43,1071,915
174,T174,T174,Lee Westwood,60,85.43,748,639
175,176,176,Scott Brown,65,85.42,967,826
176,177,177,Ricky Barnes,92,85.4,1562,1334
177,178,178,Robert Garrigus,89,85.39,1389,1186
178,179,179,Greg Owen,90,85.38,1464,1250
179,180,180,Robert Allenby,76,85.28,1243,1060
180,181,181,Vijay Singh,99,85.27,1548,1320
181,182,182,Cameron Beckman,81,85.25,1322,1127
182,183,183,Nick O'Hern,78,85.24,1294,1103
183,184,184,Gary Woodland,70,85.13,1009,859
184,185,185,Scott Dunlap,57,85.08,878,747
185,T186,T186,Chad Campbell,84,85.06,1406,1196
186,T186,T186,Harrison Frazar,56,85.06,897,763
187,188,188,John Daly,50,84.9,715,607
188,189,189,D.J. Trahan,73,84.82,1192,1011
189,190,190,Boo Weekley,74,84.44,1125,950
190,191,191,Kyle Thompson,51,83.33,744,620
