,GIR_Putting_-_15-20_RANK THIS WEEK,GIR_Putting_-_15-20_RANK LAST WEEK,GIR_Putting_-_15-20_PLAYER NAME,GIR_Putting_-_15-20_ROUNDS,GIR_Putting_-_15-20_%,GIR_Putting_-_15-20_ATTEMPTS,GIR_Putting_-_15-20_PUTTS MADE
0,1,1,Y.E. Yang,64,28.99,69,20
1,2,2,Davis Love III,64,26.76,71,19
2,3,3,John Daly,50,25.86,58,15
3,4,4,John Senden,81,25.71,105,27
4,5,5,Luke Donald,63,25.64,78,20
5,6,6,Sung Kang,75,25.53,94,24
6,7,7,Ryuji Imada,78,25.25,99,25
7,8,8,Zach Johnson,95,25.22,115,29
8,9,9,Gary Christian,91,25.21,119,30
9,10,10,Scott Piercy,95,25.17,147,37
10,T11,T11,Dustin Johnson,70,25.0,72,18
11,T11,T11,Robert Karlsson,54,25.0,60,15
12,13,13,Ryan Moore,89,24.81,133,33
13,14,14,Matt Every,80,24.75,101,25
14,15,15,Tommy Gainey,98,24.6,126,31
15,16,16,Arjun Atwal,79,24.07,108,26
16,17,17,Charl Schwartzel,56,24.0,75,18
17,18,18,Bryce Molder,83,23.89,113,27
18,19,19,Sangmoon Bae,81,23.86,88,21
19,20,20,Jim Furyk,85,23.77,122,29
20,21,21,Nathan Green,73,23.53,85,20
21,22,22,Andres Romero,68,23.29,73,17
22,23,23,Josh Teater,97,23.13,134,31
23,24,24,Edward Loar,59,22.92,48,11
24,25,25,Cameron Beckman,81,22.69,119,27
25,26,26,Richard Lee,71,22.62,84,19
26,27,27,Ben Crane,73,22.58,93,21
27,28,28,Matt Jones,53,22.54,71,16
28,29,29,Phil Mickelson,79,22.47,89,20
29,30,30,Michael Thompson,80,22.11,95,21
30,31,31,Harrison Frazar,56,22.08,77,17
31,32,32,Carl Pettersson,92,22.05,127,28
32,33,33,Brian Davis,91,21.93,114,25
33,T34,T34,K.J. Choi,71,21.88,96,21
34,T34,T34,Erik Compton,81,21.88,96,21
35,T34,T34,Brandt Snedeker,81,21.88,96,21
36,T37,T37,Scott Dunlap,57,21.84,87,19
37,T37,T37,Louis Oosthuizen,65,21.84,87,19
38,39,39,Brian Harman,101,21.6,125,27
39,40,40,Charles Howell III,98,21.49,121,26
40,41,41,Mark Anderson,75,21.43,70,15
41,42,42,Jimmy Walker,101,21.25,160,34
42,T43,T43,Jason Day,57,21.21,66,14
43,T43,T43,Rory McIlroy,60,21.21,66,14
44,45,45,Mathew Goggin,65,21.18,85,18
45,46,46,Sergio Garcia,57,21.13,71,15
46,47,47,Lee Westwood,60,21.05,57,12
47,48,48,David Toms,60,20.97,62,13
48,49,49,Daniel Chopra,55,20.75,53,11
49,50,50,Martin Flores,95,20.69,145,30
50,51,51,Bo Van Pelt,84,20.66,121,25
51,T52,T52,Blake Adams,107,20.59,136,28
52,T52,T52,Padraig Harrington,67,20.59,68,14
53,T52,T52,Jason Kokrak,79,20.59,102,21
54,55,55,Tommy Biershenk,74,20.51,78,16
55,56,56,Ben Curtis,62,20.43,93,19
56,57,57,Kevin Chappell,91,20.37,108,22
57,58,58,Ken Duke,104,20.27,148,30
