,Putts_per_Round_-_Round_3_RANK THIS WEEK,Putts_per_Round_-_Round_3_RANK LAST WEEK,Putts_per_Round_-_Round_3_PLAYER NAME,Putts_per_Round_-_Round_3_AVG,Putts_per_Round_-_Round_3_TOTAL PUTTS,Putts_per_Round_-_Round_3_TOTAL ROUNDS
0,1,1,Brian Gay,26.82,456,17
1,T2,T2,Jonas Blixt,27.19,435,16
2,T2,T2,Jeff Overton,27.19,571,21
3,4,4,Phil Mickelson,27.5,495,18
4,5,5,Billy Hurley III,27.56,248,9
5,6,6,Daniel Chopra,27.57,193,7
6,7,7,Zach Johnson,27.74,638,23
7,8,8,Sangmoon Bae,27.75,444,16
8,9,9,Ryan Palmer,27.76,472,17
9,10,10,Matt Bettencourt,27.78,250,9
10,11,11,Ian Poulter,27.86,390,14
11,12,12,Bryce Molder,27.88,474,17
12,13,13,Kevin Kisner,27.89,251,9
13,T14,T14,Brian Davis,27.94,475,17
14,T14,T14,William McGirt,27.94,503,18
15,T14,T14,Webb Simpson,27.94,475,17
16,17,17,Greg Chalmers,27.95,559,20
17,T18,T18,Freddie Jacobson,28.0,392,14
18,T18,T18,Jerry Kelly,28.0,448,16
19,T20,T20,Brandt Snedeker,28.06,505,18
20,T20,T20,Johnson Wagner,28.06,477,17
21,22,22,Luke Donald,28.07,421,15
22,23,23,Y.E. Yang,28.08,337,12
23,24,24,Padraig Harrington,28.13,422,15
24,25,25,Gavin Coles,28.15,366,13
25,26,26,David Mathis,28.23,367,13
26,27,27,Geoff Ogilvy,28.24,480,17
27,28,28,Derek Lamely,28.25,226,8
28,T29,T29,Brandt Jobe,28.3,283,10
29,T29,T29,Matt Kuchar,28.3,566,20
30,31,31,Rory McIlroy,28.33,340,12
31,32,32,Spencer Levin,28.38,454,16
32,33,33,J.J. Killeen,28.41,483,17
33,T34,T34,Jonathan Byrd,28.43,398,14
34,T34,T34,James Driscoll,28.43,398,14
35,T34,T34,Rory Sabbatini,28.43,398,14
36,37,37,Charlie Wi,28.44,512,18
37,38,38,Troy Kelly,28.45,313,11
38,39,39,Aaron Baddeley,28.47,427,15
39,40,40,Bud Cauley,28.5,627,22
40,41,41,Ken Duke,28.52,599,21
41,T42,T42,Jim Furyk,28.53,542,19
42,T42,T42,Kevin Na,28.53,485,17
43,44,44,Keegan Bradley,28.55,571,20
44,45,45,Harrison Frazar,28.56,257,9
45,T46,T46,Cameron Beckman,28.57,400,14
46,T46,T46,Edward Loar,28.57,200,7
47,48,48,Mark Anderson,28.58,343,12
48,49,49,"Ted Potter, Jr.",28.62,372,13
49,50,50,Sung Kang,28.63,229,8
50,51,51,Tommy Gainey,28.65,573,20
51,T52,T52,John Daly,28.67,258,9
52,T52,T52,Kyle Reifers,28.67,430,15
53,54,54,Jason Bohn,28.69,373,13
54,55,55,Louis Oosthuizen,28.71,402,14
55,56,56,D.J. Trahan,28.73,316,11
56,57,57,Brian Harman,28.76,604,21
57,T58,T58,Ryuji Imada,28.77,374,13
58,T58,T58,Davis Love III,28.77,374,13
59,60,60,Cameron Tringale,28.78,518,18
60,61,61,Jhonattan Vegas,28.79,403,14
61,T62,T62,Tommy Biershenk,28.8,288,10
62,T62,T62,Trevor Immelman,28.8,432,15
63,T62,T62,Dicky Pride,28.8,288,10
64,T65,T65,Tom Gillis,28.81,461,16
65,T65,T65,Bill Lunde,28.81,461,16
66,T67,T67,Kris Blanks,28.83,346,12
67,T67,T67,Martin Flores,28.83,519,18
68,69,69,Stephen Ames,28.86,202,7
69,T70,T70,Robert Garrigus,28.89,549,19
70,T70,T70,Josh Teater,28.89,520,18
71,72,72,Rickie Fowler,28.9,578,20
72,T73,T73,Stuart Appleby,28.92,376,13
73,T73,T73,Jason Day,28.92,347,12
74,T73,T73,Hunter Haas,28.92,347,12
75,T73,T73,Billy Horschel,28.92,376,13
76,77,77,Chris DiMarco,28.93,405,14
77,78,78,Dustin Johnson,28.94,463,16
78,79,79,Chris Kirk,28.95,550,19
79,T80,T80,Richard Lee,29.0,348,12
80,T80,T80,John Mallinger,29.0,348,12
81,T80,T80,Ryan Moore,29.0,609,21
82,T80,T80,Nick O'Hern,29.0,377,13
83,T80,T80,Steve Stricker,29.0,493,17
84,T80,T80,Vaughn Taylor,29.0,435,15
85,T80,T80,David Toms,29.0,319,11
86,87,87,Tiger Woods,29.06,465,16
87,T88,T88,Ben Crane,29.07,407,14
88,T88,T88,Mark Wilson,29.07,436,15
89,90,90,Garth Mulroy,29.09,320,11
90,T91,T91,Charles Howell III,29.1,582,20
91,T91,T91,Scott Piercy,29.1,582,20
92,T93,T93,Charley Hoffman,29.11,553,19
93,T93,T93,Brendon Todd,29.11,262,9
94,T95,T95,Kevin Chappell,29.12,495,17
95,T95,T95,Chris Stroud,29.12,495,17
96,T97,T97,K.J. Choi,29.13,437,15
97,T97,T97,Bob Estes,29.13,466,16
98,T97,T97,Matt Jones,29.13,233,8
99,T100,T100,John Rollins,29.14,408,14
100,T100,T100,Steve Wheatcroft,29.14,204,7
101,T102,T102,Gary Christian,29.18,496,17
102,T102,T102,Bill Haas,29.18,496,17
103,T102,T102,Billy Mayfair,29.18,496,17
104,105,105,Kyle Thompson,29.2,146,5
105,T106,T106,J.B. Holmes,29.21,555,19
106,T106,T106,Brendan Steele,29.21,409,14
107,108,108,Ernie Els,29.22,526,18
108,T109,T109,David Hearn,29.25,585,20
109,T109,T109,Graeme McDowell,29.25,351,12
110,T109,T109,Carl Pettersson,29.25,585,20
111,112,112,Jimmy Walker,29.26,673,23
112,T113,T113,Matt Every,29.27,439,15
113,T113,T113,D.A. Points,29.27,439,15
114,T115,T115,Roberto Castro,29.33,528,18
115,T115,T115,Will Claxton,29.33,616,21
116,T115,T115,Chris Couch,29.33,352,12
117,118,118,Daniel Summerhays,29.36,411,14
118,119,119,Marc Leishman,29.37,558,19
119,T120,T120,Marco Dawson,29.38,235,8
120,T120,T120,Sergio Garcia,29.38,382,13
121,T120,T120,Tom Pernice Jr.,29.38,235,8
122,123,123,Michael Thompson,29.4,441,15
123,T124,T124,Michael Bradley,29.44,265,9
124,T124,T124,Tim Herron,29.44,530,18
125,T124,T124,George McNeill,29.44,530,18
126,127,127,Ben Curtis,29.45,324,11
127,T128,T128,Ricky Barnes,29.47,501,17
128,T128,T128,Hunter Mahan,29.47,560,19
129,130,130,Blake Adams,29.48,619,21
130,T131,T131,Charlie Beljan,29.5,236,8
131,T131,T131,Pat Perez,29.5,531,18
132,T131,T131,Adam Scott,29.5,413,14
133,T131,T131,Roland Thatcher,29.5,177,6
134,135,135,Bo Van Pelt,29.53,561,19
135,136,136,Nathan Green,29.54,384,13
