,3_Putts_per_Round_RANK THIS WEEK,3_Putts_per_Round_RANK LAST WEEK,3_Putts_per_Round_PLAYER NAME,3_Putts_per_Round_ROUNDS,3_Putts_per_Round_AVG,3_Putts_per_Round_TOTAL 3+ PUTTS,3_Putts_per_Round_TOTAL ROUNDS
0,T1,T1,Scott Dunlap,57,0.06,3,53
1,T1,T1,Andres Romero,68,0.06,4,64
2,T1,T1,Cameron Tringale,88,0.06,5,88
3,4,4,Michael Thompson,80,0.05,4,80
4,T5,T5,Stephen Ames,54,0.04,2,54
5,T5,T5,Sung Kang,75,0.04,3,73
6,T5,T5,Robert Karlsson,54,0.04,2,52
7,T5,T5,David Mathis,83,0.04,3,81
8,T5,T5,"Ted Potter, Jr.",77,0.04,3,77
9,T5,T5,Ian Poulter,57,0.04,2,56
10,T11,T11,Arjun Atwal,79,0.03,2,75
11,T11,T11,Cameron Beckman,81,0.03,2,77
12,T11,T11,Tommy Biershenk,74,0.03,2,72
13,T11,T11,Tim Clark,60,0.03,2,60
14,T11,T11,Erik Compton,81,0.03,2,77
15,T11,T11,Chris Couch,61,0.03,2,59
16,T11,T11,Robert Garrigus,89,0.03,3,89
17,T11,T11,Hunter Haas,69,0.03,2,65
18,T11,T11,Jason Kokrak,79,0.03,2,75
19,T11,T11,Bill Lunde,83,0.03,2,79
20,T11,T11,Pat Perez,81,0.03,2,79
21,T11,T11,Tom Pernice Jr.,62,0.03,2,58
22,T11,T11,Justin Rose,69,0.03,2,68
23,T11,T11,Brendan Steele,77,0.03,2,73
24,T25,T25,Charlie Beljan,61,0.02,1,57
25,T25,T25,Kris Blanks,65,0.02,1,65
26,T25,T25,Keegan Bradley,90,0.02,2,88
27,T25,T25,Kevin Chappell,91,0.02,2,87
28,T25,T25,Marco Dawson,60,0.02,1,58
29,T25,T25,Harrison Frazar,56,0.02,1,54
30,T25,T25,Tommy Gainey,98,0.02,2,98
31,T25,T25,Tim Herron,88,0.02,2,88
32,T25,T25,J.B. Holmes,90,0.02,2,86
33,T25,T25,Billy Horschel,63,0.02,1,59
34,T25,T25,Chris Kirk,93,0.02,2,89
35,T25,T25,Edward Loar,59,0.02,1,57
36,T25,T25,Graeme McDowell,55,0.02,1,54
37,T25,T25,Ryan Moore,89,0.02,2,89
38,T25,T25,Garth Mulroy,59,0.02,1,57
39,T25,T25,Sean O'Hair,84,0.02,2,84
40,T25,T25,Charl Schwartzel,56,0.02,1,54
41,T25,T25,Adam Scott,59,0.02,1,58
42,T25,T25,David Toms,60,0.02,1,58
43,T25,T25,Bubba Watson,68,0.02,1,66
44,T25,T25,Steve Wheatcroft,56,0.02,1,52
45,T25,T25,Charlie Wi,86,0.02,2,86
46,T25,T25,Y.E. Yang,64,0.02,1,62
47,T48,T48,Robert Allenby,76,0.01,1,76
48,T48,T48,Mark Anderson,75,0.01,1,73
49,T48,T48,Sangmoon Bae,81,0.01,1,77
50,T48,T48,Ricky Barnes,92,0.01,1,88
51,T48,T48,Matt Bettencourt,80,0.01,1,76
52,T48,T48,Miguel Angel Carballo,73,0.01,1,69
53,T48,T48,Bud Cauley,99,0.01,1,99
54,T48,T48,Brian Davis,91,0.01,1,91
55,T48,T48,Brendon de Jonge,115,0.01,1,115
56,T48,T48,Jason Dufner,83,0.01,1,82
57,T48,T48,Ken Duke,104,0.01,1,104
58,T48,T48,Bob Estes,78,0.01,1,78
59,T48,T48,Matt Every,80,0.01,1,80
60,T48,T48,Rickie Fowler,84,0.01,1,83
61,T48,T48,Bobby Gates,87,0.01,1,85
62,T48,T48,Brian Gay,91,0.01,1,87
63,T48,T48,Nathan Green,73,0.01,1,69
64,T48,T48,John Huh,99,0.01,1,99
65,T48,T48,Ryuji Imada,78,0.01,1,76
66,T48,T48,Zach Johnson,95,0.01,1,94
67,T48,T48,J.J. Killeen,101,0.01,1,97
68,T48,T48,Russell Knox,72,0.01,1,68
69,T48,T48,Jeff Maggert,83,0.01,1,83
70,T48,T48,Hunter Mahan,88,0.01,1,82
71,T48,T48,John Mallinger,74,0.01,1,70
72,T48,T48,Billy Mayfair,90,0.01,1,86
73,T48,T48,William McGirt,96,0.01,1,96
74,T48,T48,Rocco Mediate,70,0.01,1,68
75,T48,T48,Kevin Na,80,0.01,1,79
76,T48,T48,Seung-Yul Noh,105,0.01,1,101
77,T48,T48,Nick O'Hern,78,0.01,1,74
78,T48,T48,Jeff Overton,101,0.01,1,101
79,T48,T48,Greg Owen,90,0.01,1,90
80,T48,T48,Ryan Palmer,81,0.01,1,81
81,T48,T48,Rod Pampling,88,0.01,1,84
82,T48,T48,Carl Pettersson,92,0.01,1,92
83,T48,T48,Scott Piercy,95,0.01,1,95
84,T48,T48,D.A. Points,88,0.01,1,88
85,T48,T48,Chez Reavie,83,0.01,1,83
86,T48,T48,Rory Sabbatini,84,0.01,1,84
87,T48,T48,John Senden,81,0.01,1,78
88,T48,T48,Webb Simpson,77,0.01,1,76
89,T48,T48,Vijay Singh,99,0.01,1,99
90,T48,T48,Kevin Streelman,89,0.01,1,89
91,T48,T48,Steve Stricker,73,0.01,1,70
92,T48,T48,Chris Stroud,86,0.01,1,86
93,T48,T48,Josh Teater,97,0.01,1,93
94,T48,T48,Bo Van Pelt,84,0.01,1,83
95,T48,T48,Camilo Villegas,79,0.01,1,77
96,T48,T48,Nick Watney,97,0.01,1,94
97,T48,T48,Boo Weekley,74,0.01,1,70
98,T48,T48,Mark Wilson,84,0.01,1,78
99,T48,T48,Gary Woodland,70,0.01,1,69
