,3-Putt_Avoidance_-_Round_3_RANK THIS WEEK,3-Putt_Avoidance_-_Round_3_RANK LAST WEEK,3-Putt_Avoidance_-_Round_3_PLAYER NAME,3-Putt_Avoidance_-_Round_3_%,3-Putt_Avoidance_-_Round_3_TOTAL 3 PUTTS,3-Putt_Avoidance_-_Round_3_TOTAL HOLES
0,1,1,Stuart Appleby,0.85,2,234
1,2,2,William McGirt,0.88,3,342
2,3,3,Brian Gay,0.98,3,306
3,T4,T4,Greg Chalmers,1.11,4,360
4,T4,T4,James Driscoll,1.11,3,270
5,T6,T6,Ángel Cabrera,1.23,2,162
6,T6,T6,Billy Hurley III,1.23,2,162
7,T8,T8,Jerry Kelly,1.31,4,306
8,T8,T8,Webb Simpson,1.31,4,306
9,T10,T10,Jonas Blixt,1.39,4,288
10,T10,T10,Richard Lee,1.39,3,216
11,T10,T10,Edward Loar,1.39,2,144
12,T10,T10,Graeme McDowell,1.39,3,216
13,T10,T10,Tom Pernice Jr.,1.39,2,144
14,T10,T10,Vaughn Taylor,1.39,4,288
15,16,16,Martin Flores,1.54,5,324
16,T17,T17,Daniel Chopra,1.59,2,126
17,T17,T17,Freddie Jacobson,1.59,4,252
18,T17,T17,Louis Oosthuizen,1.59,4,252
19,T20,T20,Matt Bettencourt,1.67,3,180
20,T20,T20,Kevin Kisner,1.67,3,180
21,22,22,Sangmoon Bae,1.74,5,288
22,T23,T23,Chris Couch,1.85,4,216
23,T23,T23,John Daly,1.85,3,162
24,T23,T23,Brian Davis,1.85,6,324
25,T23,T23,Marco Dawson,1.85,3,162
26,T23,T23,Ernie Els,1.85,6,324
27,T23,T23,Tim Herron,1.85,6,324
28,T23,T23,Matt Jones,1.85,3,162
29,T23,T23,Ryan Moore,1.85,7,378
30,T23,T23,Daniel Summerhays,1.85,5,270
31,T23,T23,Michael Thompson,1.85,5,270
32,T33,T33,Bryce Molder,1.96,6,306
33,T33,T33,Kevin Na,1.96,6,306
34,T33,T33,Steve Stricker,1.96,6,306
35,T36,T36,Gavin Coles,1.98,5,252
36,T36,T36,Ben Crane,1.98,5,252
37,T36,T36,Ian Poulter,1.98,5,252
38,T39,T39,Tim Clark,2.02,4,198
39,T39,T39,Dicky Pride,2.02,4,198
40,41,41,Jim Furyk,2.05,7,342
41,42,42,Sung Kang,2.08,3,144
42,T43,T43,Mark Anderson,2.14,5,234
43,T43,T43,Arjun Atwal,2.14,5,234
44,T45,T45,Phil Mickelson,2.16,7,324
45,T45,T45,Brandt Snedeker,2.16,7,324
46,47,47,Zach Johnson,2.17,9,414
47,48,48,Rickie Fowler,2.22,8,360
48,49,49,Bud Cauley,2.27,9,396
49,T50,T50,Geoff Ogilvy,2.29,7,306
50,T50,T50,Ryan Palmer,2.29,7,306
51,T52,T52,Ben Curtis,2.31,5,216
52,T52,T52,Y.E. Yang,2.31,5,216
53,54,54,J.J. Henry,2.34,8,342
54,T55,T55,Stephen Ames,2.38,3,126
55,T55,T55,Brian Harman,2.38,9,378
56,T55,T55,David Mathis,2.38,6,252
57,T55,T55,Steve Wheatcroft,2.38,3,126
58,T59,T59,Dustin Johnson,2.43,7,288
59,T59,T59,Spencer Levin,2.43,7,288
60,61,61,Charlie Beljan,2.47,4,162
61,T62,T62,Ken Duke,2.53,10,396
62,T62,T62,Mathew Goggin,2.53,5,198
63,T62,T62,Brandt Jobe,2.53,5,198
64,T62,T62,Jeff Overton,2.53,10,396
65,T62,T62,D.J. Trahan,2.53,5,198
66,T67,T67,Ryuji Imada,2.56,6,234
67,T67,T67,Davis Love III,2.56,6,234
68,T67,T67,Nick O'Hern,2.56,6,234
69,T70,T70,K.J. Choi,2.59,7,270
70,T70,T70,Luke Donald,2.59,7,270
71,T70,T70,Bubba Watson,2.59,7,270
72,73,73,Bill Haas,2.61,8,306
73,T74,T74,Robert Garrigus,2.63,9,342
74,T74,T74,Hunter Mahan,2.63,9,342
75,T74,T74,George McNeill,2.63,9,342
76,T77,T77,Michael Bradley,2.78,5,180
77,T77,T77,Chris DiMarco,2.78,7,252
78,T77,T77,Tom Gillis,2.78,8,288
79,T77,T77,J.J. Killeen,2.78,9,324
80,T77,T77,Colt Knost,2.78,6,216
81,T77,T77,Derek Lamely,2.78,4,144
82,T77,T77,John Mallinger,2.78,6,216
83,T77,T77,Kyle Reifers,2.78,8,288
84,T77,T77,Rory Sabbatini,2.78,7,252
85,T77,T77,Adam Scott,2.78,7,252
86,T77,T77,Brendan Steele,2.78,7,252
87,88,88,Kevin Streelman,2.92,10,342
88,T89,T89,Kevin Chappell,2.94,9,306
89,T89,T89,Kevin Stadler,2.94,9,306
90,T91,T91,Padraig Harrington,2.96,8,270
91,T91,T91,Mark Wilson,2.96,8,270
92,93,93,Russell Knox,2.99,7,234
93,T94,T94,Tommy Biershenk,3.03,6,198
94,T94,T94,Garth Mulroy,3.03,6,198
95,T94,T94,Alexandre Rocha,3.03,6,198
96,T97,T97,Tommy Gainey,3.06,11,360
97,T97,T97,David Hearn,3.06,11,360
98,T97,T97,Matt Kuchar,3.06,11,360
99,T97,T97,Carl Pettersson,3.06,11,360
100,T101,T101,Ryo Ishikawa,3.09,5,162
101,T101,T101,Greg Owen,3.09,10,324
102,T101,T101,Pat Perez,3.09,10,324
103,T104,T104,Chez Reavie,3.13,9,288
104,T104,T104,Tiger Woods,3.13,9,288
105,T106,T106,Stephen Gangluff,3.17,4,126
106,T106,T106,Nathan Green,3.17,8,252
107,T106,T106,Justin Leonard,3.17,8,252
108,T106,T106,Roland Thatcher,3.17,4,126
109,T106,T106,Jhonattan Vegas,3.17,8,252
110,T111,T111,Charley Hoffman,3.22,11,342
111,T111,T111,Sean O'Hair,3.22,11,342
112,T113,T113,Kris Blanks,3.24,7,216
113,T113,T113,Charl Schwartzel,3.24,7,216
114,T115,T115,Bill Lunde,3.27,10,306
115,T115,T115,Billy Mayfair,3.27,10,306
116,T115,T115,Johnson Wagner,3.27,10,306
117,118,118,Brendon de Jonge,3.29,16,486
118,T119,T119,Aaron Baddeley,3.33,9,270
119,T119,T119,Jason Dufner,3.33,12,360
120,T119,T119,Bobby Gates,3.33,9,270
121,T119,T119,Charles Howell III,3.33,12,360
122,123,123,Cameron Tringale,3.4,11,324
123,T124,T124,Jason Kokrak,3.42,8,234
124,T124,T124,Lee Westwood,3.42,8,234
125,T126,T126,Chad Campbell,3.47,10,288
126,T126,T126,Bob Estes,3.47,10,288
127,T126,T126,Seung-Yul Noh,3.47,15,432
128,129,129,Harris English,3.54,14,396
129,T130,T130,Jonathan Byrd,3.57,9,252
130,T130,T130,Billy Horschel,3.57,9,252
131,T130,T130,Rocco Mediate,3.57,9,252
132,T130,T130,"Ted Potter, Jr.",3.57,9,252
133,T130,T130,John Rollins,3.57,9,252
134,135,135,Chris Stroud,3.59,11,306
135,136,136,J.B. Holmes,3.61,13,360
136,T137,T137,Jason Day,3.7,8,216
137,T137,T137,Harrison Frazar,3.7,6,162
138,T137,T137,Hunter Haas,3.7,8,216
139,T137,T137,Rod Pampling,3.7,12,324
140,T137,T137,John Senden,3.7,12,324
141,T137,T137,Patrick Sheehan,3.7,6,162
142,T137,T137,Charlie Wi,3.7,12,324
143,144,144,John Huh,3.79,15,396
144,T145,T145,Jason Bohn,3.85,9,234
145,T145,T145,Stewart Cink,3.85,9,234
146,T145,T145,Sergio Garcia,3.85,9,234
147,T145,T145,Scott Stallings,3.85,9,234
148,T149,T149,Vijay Singh,3.86,16,414
149,T149,T149,Jimmy Walker,3.86,16,414
150,151,151,Brendon Todd,3.89,7,180
151,T152,T152,Gary Christian,3.92,12,306
152,T152,T152,Graham DeLaet,3.92,12,306
153,T152,T152,Kyle Stanley,3.92,12,306
154,T155,T155,Blake Adams,4.04,16,396
155,T155,T155,Troy Kelly,4.04,8,198
156,T155,T155,Nick Watney,4.04,16,396
157,T158,T158,Erik Compton,4.07,11,270
158,T158,T158,Camilo Villegas,4.07,11,270
159,T158,T158,Gary Woodland,4.07,11,270
160,161,161,Troy Matteson,4.09,14,342
161,T162,T162,Martin Laird,4.17,12,288
162,T162,T162,Danny Lee,4.17,9,216
163,T162,T162,Rory McIlroy,4.17,9,216
164,165,165,Will Claxton,4.29,17,396
165,166,166,Heath Slocum,4.32,14,324
166,T167,T167,Roberto Castro,4.39,15,342
167,T167,T167,Bo Van Pelt,4.39,15,342
168,169,169,Jeff Maggert,4.44,12,270
169,170,170,John Merrick,4.51,13,288
170,171,171,David Toms,4.55,9,198
171,T172,T172,Miguel Angel Carballo,4.63,10,216
172,T172,T172,Josh Teater,4.63,15,324
173,T174,T174,Keegan Bradley,4.72,17,360
174,T174,T174,Scott Piercy,4.72,17,360
175,176,176,Cameron Beckman,4.76,12,252
176,177,177,Matt Every,4.86,14,288
177,178,178,Chris Kirk,4.97,17,342
178,179,179,Robert Karlsson,5.0,9,180
179,180,180,Henrik Stenson,5.05,10,198
180,181,181,Robert Allenby,5.09,11,216
181,182,182,Boo Weekley,5.13,12,234
182,T183,T183,Trevor Immelman,5.19,14,270
183,T183,T183,D.A. Points,5.19,14,270
184,185,185,Justin Rose,5.21,15,288
185,T186,T186,Scott Brown,5.56,10,180
186,T186,T186,Marc Leishman,5.56,19,342
187,188,188,Ricky Barnes,5.88,18,306
188,189,189,Kyle Thompson,6.67,6,90
189,190,190,Scott Dunlap,8.02,13,162
190,191,191,Andres Romero,8.59,17,198
