,One-Putt_Percentage_-_Round_1_RANK THIS WEEK,One-Putt_Percentage_-_Round_1_RANK LAST WEEK,One-Putt_Percentage_-_Round_1_PLAYER NAME,One-Putt_Percentage_-_Round_1_ROUNDS,One-Putt_Percentage_-_Round_1_%,One-Putt_Percentage_-_Round_1_# OF 1 PUTTS,One-Putt_Percentage_-_Round_1_# OF HOLES
0,1,1,Aaron Baddeley,73,45.24,171,378
1,2,2,Dustin Johnson,70,44.44,144,324
2,3,3,Carl Pettersson,92,44.23,207,468
3,4,4,Rory McIlroy,60,44.07,119,270
4,5,5,Ian Poulter,57,44.05,111,252
5,6,6,Kevin Na,80,43.96,182,414
6,T7,T7,Greg Chalmers,88,43.75,189,432
7,T7,T7,Robert Karlsson,54,43.75,126,288
8,9,9,Phil Mickelson,79,43.69,173,396
9,10,10,Ryan Moore,89,43.52,188,432
10,11,11,Charl Schwartzel,56,43.33,117,270
11,12,12,Keegan Bradley,90,43.29,187,432
12,13,13,Brandt Snedeker,81,42.86,162,378
13,14,14,Rory Sabbatini,84,42.72,223,522
14,T15,T15,Jason Dufner,83,42.59,161,378
15,T15,T15,Ken Duke,104,42.59,230,540
16,T15,T15,Zach Johnson,95,42.59,184,432
17,18,18,Derek Lamely,64,42.44,191,450
18,19,19,Luke Donald,63,42.36,122,288
19,20,20,David Toms,60,42.28,137,324
20,T21,T21,Matt Every,80,42.22,190,450
21,T21,T21,Nick Watney,97,42.22,190,450
22,23,23,Ben Crane,73,42.17,167,396
23,24,24,David Mathis,83,42.06,212,504
24,25,25,Jason Day,57,42.01,121,288
25,T26,T26,Scott Piercy,95,41.87,211,504
26,T26,T26,Chris Stroud,86,41.87,211,504
27,28,28,Harrison Frazar,56,41.81,143,342
28,29,29,James Driscoll,83,41.77,203,486
29,30,30,Jonas Blixt,72,41.53,157,378
30,31,31,Padraig Harrington,67,41.5,127,306
31,32,32,Chris Couch,61,41.39,149,360
32,33,33,Colt Knost,79,41.27,208,504
33,34,34,Pat Perez,81,41.16,163,396
34,35,35,Stuart Appleby,75,41.06,170,414
35,36,36,Matt Kuchar,86,41.01,155,378
36,37,37,Charlie Wi,86,40.89,184,450
37,38,38,Davis Love III,64,40.83,147,360
38,39,39,Bo Van Pelt,84,40.82,169,414
39,T40,T40,Ryuji Imada,78,40.74,198,486
40,T40,T40,Webb Simpson,77,40.74,154,378
41,42,42,Steve Stricker,73,40.43,131,324
42,43,43,Tom Gillis,75,40.34,167,414
43,T44,T44,Bud Cauley,99,40.28,203,504
44,T44,T44,Bill Lunde,83,40.28,174,432
45,T46,T46,Troy Kelly,68,40.15,159,396
46,T46,T46,Rocco Mediate,70,40.15,159,396
47,T48,T48,J.J. Killeen,101,40.1,231,576
48,T48,T48,Marc Leishman,84,40.1,166,414
49,50,50,John Daly,50,40.08,101,252
50,51,51,Jonathan Byrd,69,40.0,144,360
51,52,52,Andres Romero,68,39.95,151,378
52,53,53,Brian Gay,91,39.92,194,486
53,54,54,Bob Estes,78,39.86,165,414
54,55,55,Jerry Kelly,84,39.74,186,468
55,T56,T56,Ernie Els,80,39.68,150,378
56,T56,T56,David Hearn,95,39.68,200,504
57,58,58,Graeme McDowell,55,39.63,107,270
58,59,59,Jim Furyk,85,39.61,164,414
59,60,60,Chris Kirk,93,39.53,185,468
60,61,61,Tiger Woods,69,39.51,128,324
61,62,62,Sung Kang,75,39.46,206,522
62,63,63,Gary Woodland,70,39.42,149,378
63,64,64,Tom Pernice Jr.,62,39.39,156,396
64,65,65,Graham DeLaet,79,39.37,163,414
65,66,66,Justin Leonard,79,39.33,177,450
66,67,67,Billy Mayfair,90,39.3,191,486
67,68,68,Kevin Chappell,91,39.29,198,504
68,69,69,Troy Matteson,100,39.25,219,558
69,70,70,Justin Rose,69,39.2,127,324
70,71,71,Tim Clark,60,39.18,134,342
71,72,72,Martin Laird,77,39.15,148,378
72,73,73,Brendan Steele,77,39.13,162,414
73,74,74,Brendon Todd,78,39.09,197,504
74,75,75,Mark Anderson,75,38.89,168,432
75,T76,T76,Brian Davis,91,38.7,202,522
76,T76,T76,Brian Harman,101,38.7,209,540
77,78,78,Jimmy Walker,101,38.69,195,504
78,T79,T79,Nick O'Hern,78,38.67,174,450
79,T79,T79,Rod Pampling,88,38.67,174,450
80,T79,T79,Michael Thompson,80,38.67,174,450
81,82,82,Spencer Levin,81,38.66,167,432
82,83,83,Freddie Jacobson,61,38.54,111,288
83,T84,T84,Matt Bettencourt,80,38.52,208,540
84,T84,T84,Sergio Garcia,57,38.52,104,270
85,86,86,Josh Teater,97,38.51,201,522
86,87,87,Lee Westwood,60,38.49,97,252
87,88,88,Mark Wilson,84,38.43,166,432
88,89,89,Tommy Gainey,98,38.37,221,576
89,90,90,Nathan Green,73,38.36,145,378
90,91,91,Patrick Sheehan,58,38.33,138,360
91,92,92,Vijay Singh,99,38.27,186,486
92,93,93,Billy Hurley III,70,38.25,179,468
93,T94,T94,Blake Adams,107,38.19,220,576
94,T94,T94,Billy Horschel,63,38.19,110,288
95,T94,T94,Ryan Palmer,81,38.19,165,432
96,97,97,Arjun Atwal,79,38.03,178,468
97,98,98,Y.E. Yang,64,38.01,130,342
98,99,99,Louis Oosthuizen,65,37.96,123,324
99,100,100,Greg Owen,90,37.86,184,486
100,101,101,Tommy Biershenk,74,37.82,177,468
101,102,102,Bryce Molder,83,37.73,163,432
102,103,103,Chris DiMarco,83,37.7,190,504
103,104,104,William McGirt,96,37.59,203,540
104,105,105,Vaughn Taylor,81,37.56,169,450
105,106,106,Seung-Yul Noh,105,37.45,182,486
106,107,107,Martin Flores,95,37.41,202,540
107,T108,T108,Gavin Coles,72,37.37,148,396
108,T108,T108,Mathew Goggin,65,37.37,148,396
109,110,110,George McNeill,85,37.33,168,450
110,111,111,J.B. Holmes,90,37.27,161,432
111,112,112,Ryo Ishikawa,54,37.25,114,306
112,113,113,John Huh,99,37.1,187,504
113,T114,T114,Sangmoon Bae,81,37.04,160,432
