,Total_1_Putts_-_Inside_5_RANK THIS WEEK,Total_1_Putts_-_Inside_5_RANK LAST WEEK,Total_1_Putts_-_Inside_5_PLAYER NAME,Total_1_Putts_-_Inside_5_ROUNDS,Total_1_Putts_-_Inside_5_TOTAL,Total_1_Putts_-_Inside_5_TOTAL (FOR ALL DISTANCES),Total_1_Putts_-_Inside_5_PCT OF ALL 1-PUTTS
0,T1,T1,J.J. Killeen,101,357,629,56.8
1,T1,T1,Jeff Overton,101,357,695,51.4
2,3,3,Bud Cauley,99,349,649,53.8
3,4,4,Ken Duke,104,334,679,49.2
4,5,5,Tommy Gainey,98,332,653,50.8
5,6,6,Brian Harman,101,325,638,50.9
6,7,7,Brendon de Jonge,115,319,691,46.2
7,8,8,John Huh,99,314,594,52.9
8,9,9,Seung-Yul Noh,105,310,578,53.6
9,T10,T10,Greg Chalmers,88,309,584,52.9
10,T10,T10,J.B. Holmes,90,309,562,55.0
11,T10,T10,Josh Teater,97,309,583,53.0
12,13,13,Marc Leishman,84,304,531,57.3
13,T14,T14,Scott Piercy,95,302,623,48.5
14,T14,T14,Vijay Singh,99,302,549,55.0
15,16,16,Brian Gay,91,301,589,51.1
16,17,17,Jimmy Walker,101,298,630,47.3
17,18,18,Carl Pettersson,92,296,602,49.2
18,19,19,David Hearn,95,295,607,48.6
19,20,20,Rory Sabbatini,84,294,539,54.5
20,21,21,Chris Kirk,93,291,590,49.3
21,22,22,Zach Johnson,95,289,580,49.8
22,23,23,Will Claxton,99,287,568,50.5
23,24,24,Chris DiMarco,83,284,524,54.2
24,25,25,Billy Mayfair,90,283,531,53.3
25,T26,T26,Harris English,98,281,571,49.2
26,T26,T26,Martin Flores,95,281,581,48.4
27,28,28,Kevin Streelman,89,278,529,52.6
28,29,29,Brian Davis,91,277,600,46.2
29,30,30,Troy Matteson,100,276,576,47.9
30,31,31,Charlie Wi,86,275,536,51.3
31,32,32,D.A. Points,88,273,537,50.8
32,33,33,Chris Stroud,86,272,526,51.7
33,34,34,Jerry Kelly,84,268,519,51.6
34,35,35,Matt Kuchar,86,267,504,53.0
35,T36,T36,Charley Hoffman,88,266,515,51.7
36,T36,T36,Ryan Moore,89,266,577,46.1
37,38,38,Jeff Maggert,83,265,527,50.3
38,T39,T39,Pat Perez,81,264,506,52.2
39,T39,T39,Cameron Tringale,88,264,528,50.0
40,T41,T41,Ricky Barnes,92,263,536,49.1
41,T41,T41,Tom Gillis,75,263,510,51.6
42,T41,T41,David Mathis,83,263,518,50.8
43,44,44,William McGirt,96,260,536,48.5
44,45,45,Greg Owen,90,259,498,52.0
45,46,46,Bobby Gates,87,258,504,51.2
46,T47,T47,Blake Adams,107,257,581,44.2
47,T47,T47,Roberto Castro,92,257,506,50.8
48,T47,T47,Kevin Chappell,91,257,496,51.8
49,T47,T47,James Driscoll,83,257,512,50.2
50,51,51,Justin Leonard,79,256,482,53.1
51,T52,T52,Spencer Levin,81,255,487,52.4
52,T52,T52,Bill Lunde,83,255,473,53.9
53,T52,T52,Nick Watney,97,255,534,47.8
54,T55,T55,Jonas Blixt,72,254,506,50.2
55,T55,T55,Kevin Na,80,254,489,51.9
56,T57,T57,Ryan Palmer,81,253,529,47.8
57,T57,T57,Heath Slocum,93,253,477,53.0
58,59,59,Kyle Stanley,86,252,451,55.9
59,60,60,Keegan Bradley,90,251,515,48.7
60,61,61,George McNeill,85,250,510,49.0
61,T62,T62,Jim Furyk,85,248,466,53.2
62,T62,T62,Charles Howell III,98,248,503,49.3
63,64,64,Tim Herron,88,247,484,51.0
64,65,65,Rickie Fowler,84,246,474,51.9
65,66,66,Kevin Stadler,85,244,461,52.9
66,67,67,Phil Mickelson,79,243,470,51.7
67,68,68,Bob Estes,78,242,486,49.8
68,T69,T69,Matt Bettencourt,80,240,434,55.3
69,T69,T69,John Merrick,83,240,458,52.4
70,T71,T71,Stuart Appleby,75,239,461,51.8
71,T71,T71,Rod Pampling,88,239,459,52.1
72,T71,T71,Brandt Snedeker,81,239,513,46.6
73,74,74,Mark Wilson,84,238,466,51.1
74,T75,T75,Bryce Molder,83,237,508,46.7
75,T75,T75,Sean O'Hair,84,237,484,49.0
76,T77,T77,Graham DeLaet,79,236,484,48.8
77,T77,T77,Ernie Els,80,236,457,51.6
78,T77,T77,Robert Garrigus,89,236,506,46.6
