,3-Putt_Avoidance_-_10-15_RANK THIS WEEK,3-Putt_Avoidance_-_10-15_RANK LAST WEEK,3-Putt_Avoidance_-_10-15_PLAYER NAME,3-Putt_Avoidance_-_10-15_ROUNDS,3-Putt_Avoidance_-_10-15_%,3-Putt_Avoidance_-_10-15_TOTAL 3 PUTTS,3-Putt_Avoidance_-_10-15_ATTEMPTS,3-Putt_Avoidance_-_10-15_2 PUTT OR BETTER %
0,T1,T1,Jonathan Byrd,69,0.0,,160,100.0
1,T1,T1,Ángel Cabrera,54,0.0,,88,100.0
2,T1,T1,Greg Chalmers,88,0.0,,189,100.0
3,T1,T1,K.J. Choi,71,0.0,,142,100.0
4,T1,T1,Chris Couch,61,0.0,,140,100.0
5,T1,T1,Marco Dawson,60,0.0,,128,100.0
6,T1,T1,Chris DiMarco,83,0.0,,203,100.0
7,T1,T1,Jason Dufner,83,0.0,,154,100.0
8,T1,T1,Harrison Frazar,56,0.0,,140,100.0
9,T1,T1,Jim Furyk,85,0.0,,150,100.0
10,T1,T1,Mathew Goggin,65,0.0,,144,100.0
11,T1,T1,J.J. Henry,93,0.0,,188,100.0
12,T1,T1,Billy Horschel,63,0.0,,123,100.0
13,T1,T1,John Huh,99,0.0,,206,100.0
14,T1,T1,Billy Hurley III,70,0.0,,160,100.0
15,T1,T1,Ryo Ishikawa,54,0.0,,109,100.0
16,T1,T1,Brandt Jobe,57,0.0,,115,100.0
17,T1,T1,Dustin Johnson,70,0.0,,145,100.0
18,T1,T1,Matt Jones,53,0.0,,117,100.0
19,T1,T1,Jerry Kelly,84,0.0,,189,100.0
20,T1,T1,Kevin Kisner,69,0.0,,114,100.0
21,T1,T1,Matt Kuchar,86,0.0,,159,100.0
22,T1,T1,Derek Lamely,64,0.0,,145,100.0
23,T1,T1,Richard Lee,71,0.0,,165,100.0
24,T1,T1,Spencer Levin,81,0.0,,174,100.0
25,T1,T1,Davis Love III,64,0.0,,137,100.0
26,T1,T1,Rory McIlroy,60,0.0,,113,100.0
27,T1,T1,Bryce Molder,83,0.0,,214,100.0
28,T1,T1,Ryan Moore,89,0.0,,216,100.0
29,T1,T1,Nick O'Hern,78,0.0,,196,100.0
30,T1,T1,Jeff Overton,101,0.0,,230,100.0
31,T1,T1,Ryan Palmer,81,0.0,,190,100.0
32,T1,T1,Ian Poulter,57,0.0,,104,100.0
33,T1,T1,Justin Rose,69,0.0,,131,100.0
34,T1,T1,Charl Schwartzel,56,0.0,,111,100.0
35,T1,T1,John Senden,81,0.0,,171,100.0
36,T1,T1,Patrick Sheehan,58,0.0,,149,100.0
37,T1,T1,Webb Simpson,77,0.0,,184,100.0
38,T1,T1,Steve Stricker,73,0.0,,156,100.0
39,T1,T1,Brendon Todd,78,0.0,,168,100.0
40,T1,T1,Bubba Watson,68,0.0,,135,100.0
41,T1,T1,Steve Wheatcroft,56,0.0,,115,100.0
42,T1,T1,Charlie Wi,86,0.0,,192,100.0
43,T1,T1,Y.E. Yang,64,0.0,,118,100.0
44,45,45,Troy Matteson,100,0.41,1.0,245,99.5
45,T46,T46,Blake Adams,107,0.44,1.0,226,99.5
46,T46,T46,D.A. Points,88,0.44,1.0,226,99.5
47,T48,T48,Carl Pettersson,92,0.45,1.0,221,99.5
48,T48,T48,Jimmy Walker,101,0.45,1.0,223,99.5
49,T50,T50,Chris Kirk,93,0.46,1.0,219,99.5
50,T50,T50,Johnson Wagner,88,0.46,1.0,218,99.5
51,52,52,Zach Johnson,95,0.47,1.0,212,99.5
52,53,53,Brian Gay,91,0.5,1.0,199,99.5
53,T54,T54,Martin Flores,95,0.51,1.0,197,99.4
54,T54,T54,William McGirt,96,0.51,1.0,195,99.4
55,T54,T54,John Rollins,81,0.51,1.0,197,99.4
56,57,57,Tim Herron,88,0.52,1.0,192,99.4
57,T58,T58,Arjun Atwal,79,0.53,1.0,190,99.4
58,T58,T58,David Mathis,83,0.53,1.0,190,99.4
59,T58,T58,Kevin Stadler,85,0.53,1.0,188,99.4
60,T58,T58,Chris Stroud,86,0.53,1.0,189,99.4
61,T62,T62,Jason Bohn,81,0.54,1.0,185,99.4
62,T62,T62,Vaughn Taylor,81,0.54,1.0,185,99.4
63,T62,T62,Mark Wilson,84,0.54,1.0,185,99.4
64,65,65,Heath Slocum,93,0.55,1.0,183,99.4
65,66,66,Bo Van Pelt,84,0.56,1.0,179,99.4
