,Average_Distance_of_Eagle_putts_made_RANK THIS WEEK,Average_Distance_of_Eagle_putts_made_RANK LAST WEEK,Average_Distance_of_Eagle_putts_made_PLAYER NAME,Average_Distance_of_Eagle_putts_made_ROUNDS,Average_Distance_of_Eagle_putts_made_AVG,Average_Distance_of_Eagle_putts_made_TOT DIST (FT),Average_Distance_of_Eagle_putts_made_TOT EAGLES PUTTS MADE.,Average_Distance_of_Eagle_putts_made_LONGEST MADE (FT),Average_Distance_of_Eagle_putts_made_SHORTEST MADE (FT)
0,1,1,Richard Lee,71,"45' 5""",45.417,1,45,45
1,T2,T2,Mark Anderson,75,"43' 1""",43.083,1,43,43
2,T2,T2,Trevor Immelman,76,"43' 1""",43.083,1,43,43
3,4,4,Freddie Jacobson,61,"40' 5""",40.417,1,40,40
4,5,5,Ian Poulter,57,"39' 10""",39.833,1,40,40
5,6,6,Matt Jones,53,"37' 6""",74.917,2,44,31
6,7,7,Charles Howell III,98,"37' 5""",373.917,10,69,2
7,8,8,Charlie Beljan,61,"35' 7""",106.75,3,48,23
8,9,9,William McGirt,96,"35' 6""",35.5,1,36,36
9,10,10,Scott Brown,65,"35' 4""",70.583,2,69,2
10,11,11,Ben Crane,73,"33' 6""",268.0,8,69,15
11,12,12,Troy Kelly,68,"33' 5""",200.333,6,72,7
12,13,13,Billy Mayfair,90,"31' 1""",62.167,2,55,7
13,T14,T14,Matt Bettencourt,80,"30' 11""",61.833,2,54,8
14,T14,T14,Tim Herron,88,"30' 11""",61.833,2,46,16
15,16,16,Jason Bohn,81,"30' 3""",60.5,2,47,13
16,17,17,Graeme McDowell,55,"29' 8""",88.917,3,51,7
17,18,18,Cameron Tringale,88,"29' 7""",59.167,2,40,20
18,19,19,Scott Stallings,78,"28' 6""",142.583,5,52,3
19,20,20,Rocco Mediate,70,"26' 8""",186.583,7,56,2
20,21,21,Dustin Johnson,70,"26' 6""",79.417,3,64,7
21,22,22,Billy Hurley III,70,"26' 0""",52.0,2,43,9
22,23,23,Jonas Blixt,72,"25' 4""",177.25,7,59,5
23,24,24,Mathew Goggin,65,"25' 3""",75.75,3,41,12
24,T25,T25,Martin Flores,95,"24' 9""",49.5,2,28,22
25,T25,T25,Spencer Levin,81,"24' 9""",49.417,2,25,25
26,27,27,Harris English,98,"24' 7""",123.0,5,45,4
27,28,28,Camilo Villegas,79,"24' 1""",48.167,2,31,17
28,T29,T29,Bud Cauley,99,"23' 8""",71.083,3,51,7
29,T29,T29,"Ted Potter, Jr.",77,"23' 8""",47.25,2,29,18
30,31,31,Adam Scott,59,"23' 7""",118.083,5,47,2
31,32,32,Jason Dufner,83,"23' 6""",70.417,3,29,19
32,33,33,Jason Day,57,"23' 4""",93.333,4,40,11
33,34,34,Bubba Watson,68,"22' 11""",252.167,11,47,6
