,GIR_Putting_-__25_RANK THIS WEEK,GIR_Putting_-__25_RANK LAST WEEK,GIR_Putting_-__25_PLAYER NAME,GIR_Putting_-__25_ROUNDS,GIR_Putting_-__25_%,GIR_Putting_-__25_ATTEMPTS,GIR_Putting_-__25_PUTTS MADE
0,1,1,Ben Crane,73,9.84,254,25
1,2,2,Adam Scott,59,9.2,174,16
2,3,3,Jason Dufner,83,9.09,253,23
3,4,4,Webb Simpson,77,8.79,239,21
4,5,5,Danny Lee,74,8.77,228,20
5,6,6,Henrik Stenson,51,8.67,196,17
6,7,7,Graeme McDowell,55,8.61,151,13
7,8,8,Tim Clark,60,8.57,175,15
8,9,9,Michael Bradley,63,8.47,248,21
9,T10,T10,Jonas Blixt,72,8.33,264,22
10,T10,T10,Sergio Garcia,57,8.33,180,15
11,12,12,Derek Lamely,64,8.26,242,20
12,13,13,Brandt Snedeker,81,8.21,268,22
13,14,14,Jonathan Byrd,69,7.96,226,18
14,15,15,Nick Watney,97,7.92,303,24
15,16,16,Jason Day,57,7.85,191,15
16,17,17,Kevin Kisner,69,7.84,204,16
17,18,18,Louis Oosthuizen,65,7.73,207,16
18,19,19,Rickie Fowler,84,7.72,246,19
19,20,20,Troy Kelly,68,7.62,210,16
20,21,21,Brian Harman,101,7.51,333,25
21,22,22,Camilo Villegas,79,7.48,321,24
22,23,23,Charlie Wi,86,7.46,268,20
23,24,24,Ian Poulter,57,7.41,135,10
24,25,25,Michael Thompson,80,7.37,285,21
25,26,26,John Huh,99,7.34,354,26
26,27,27,Lee Westwood,60,7.33,150,11
27,28,28,Phil Mickelson,79,7.23,235,17
28,29,29,Jhonattan Vegas,77,7.21,319,23
29,30,30,Brendon de Jonge,115,7.08,438,31
30,31,31,Garth Mulroy,59,7.07,184,13
31,T32,T32,Robert Garrigus,89,7.04,284,20
32,T32,T32,Billy Horschel,63,7.04,213,15
33,34,34,Gavin Coles,72,7.03,256,18
34,35,35,Erik Compton,81,7.02,242,17
35,36,36,Tiger Woods,69,6.93,202,14
36,37,37,D.A. Points,88,6.91,333,23
37,38,38,Greg Chalmers,88,6.88,276,19
38,39,39,Bubba Watson,68,6.85,219,15
39,T40,T40,James Driscoll,83,6.75,311,21
40,T40,T40,Greg Owen,90,6.75,326,22
41,42,42,Keegan Bradley,90,6.67,300,20
42,43,43,Ken Duke,104,6.63,347,23
43,44,44,Kevin Chappell,91,6.6,303,20
44,45,45,J.B. Holmes,90,6.56,320,21
45,46,46,Brian Davis,91,6.55,290,19
