,One-Putt_Percentage_RANK THIS WEEK,One-Putt_Percentage_RANK LAST WEEK,One-Putt_Percentage_PLAYER NAME,One-Putt_Percentage_ROUNDS,One-Putt_Percentage_%,One-Putt_Percentage_# OF 1 PUTTS,One-Putt_Percentage_# OF HOLES
0,1,1,Brandt Snedeker,81,44.3,622,1404
1,2,2,Aaron Baddeley,73,44.21,573,1296
2,3,3,Greg Chalmers,88,43.3,678,1566
3,4,4,Y.E. Yang,64,42.92,479,1116
4,5,5,Jonas Blixt,72,42.9,556,1296
5,6,6,Phil Mickelson,79,42.76,608,1422
6,7,7,Jason Day,57,42.63,422,990
7,8,8,Zach Johnson,95,42.61,721,1692
8,9,9,Ian Poulter,57,42.26,426,1008
9,10,10,Padraig Harrington,67,41.89,475,1134
10,11,11,Brian Gay,91,41.76,654,1566
11,12,12,Carl Pettersson,92,41.73,691,1656
12,13,13,Ryuji Imada,78,41.67,570,1368
13,14,14,Charlie Wi,86,41.54,643,1548
14,15,15,Tom Gillis,75,41.48,560,1350
15,16,16,Kevin Na,80,41.28,587,1422
16,17,17,Ben Crane,73,41.2,534,1296
17,18,18,Rory Sabbatini,84,41.14,622,1512
18,19,19,Robert Karlsson,54,41.13,385,936
19,20,20,Pat Perez,81,41.07,584,1422
20,21,21,Matt Kuchar,86,41.06,606,1476
21,22,22,Geoff Ogilvy,73,40.97,531,1296
22,23,23,Rory McIlroy,60,40.84,397,972
23,24,24,Scott Piercy,95,40.82,698,1710
24,25,25,Brian Harman,101,40.81,742,1818
25,26,26,Spencer Levin,81,40.79,580,1422
26,T27,T27,Bob Estes,78,40.74,572,1404
27,T27,T27,Ryan Palmer,81,40.74,594,1458
28,29,29,Dustin Johnson,70,40.71,491,1206
29,30,30,Chris Couch,61,40.68,432,1062
30,31,31,Ryan Moore,89,40.45,648,1602
31,32,32,Keegan Bradley,90,40.4,640,1584
32,33,33,Bo Van Pelt,84,40.36,603,1494
33,34,34,John Daly,50,40.34,334,828
34,35,35,Tommy Gainey,98,40.31,711,1764
35,36,36,Harrison Frazar,56,40.23,391,972
36,37,37,Webb Simpson,77,40.13,549,1368
37,38,38,Michael Thompson,80,40.07,577,1440
38,39,39,Tiger Woods,69,40.05,483,1206
39,T40,T40,Sangmoon Bae,81,40.04,555,1386
40,T40,T40,Jeff Overton,101,40.04,728,1818
41,42,42,Derek Lamely,64,40.02,461,1152
42,43,43,Luke Donald,63,39.96,446,1116
43,44,44,Charl Schwartzel,56,39.92,388,972
44,45,45,Jason Dufner,83,39.91,589,1476
45,46,46,Ken Duke,104,39.8,745,1872
46,47,47,Chris DiMarco,83,39.71,579,1458
47,48,48,Justin Leonard,79,39.7,536,1350
48,49,49,Stuart Appleby,75,39.67,507,1278
49,50,50,Bud Cauley,99,39.56,705,1782
50,51,51,Colt Knost,79,39.54,548,1386
51,T52,T52,J.J. Killeen,101,39.52,690,1746
52,T52,T52,Bryce Molder,83,39.52,562,1422
53,54,54,Graeme McDowell,55,39.51,384,972
54,T55,T55,Jonathan Byrd,69,39.46,483,1224
55,T55,T55,David Toms,60,39.46,412,1044
56,57,57,Freddie Jacobson,61,39.44,426,1080
57,58,58,Chris Stroud,86,39.41,610,1548
58,59,59,Brian Davis,91,39.38,645,1638
59,T60,T60,Gavin Coles,72,39.37,496,1260
60,T60,T60,Tom Pernice Jr.,62,39.37,411,1044
61,62,62,Rickie Fowler,84,39.36,588,1494
62,63,63,Sergio Garcia,57,39.29,396,1008
63,64,64,David Mathis,83,39.09,570,1458
64,65,65,Daniel Chopra,55,38.99,372,954
65,66,66,Steve Stricker,73,38.97,491,1260
66,T67,T67,Garth Mulroy,59,38.89,399,1026
67,T67,T67,Josh Teater,97,38.89,651,1674
68,69,69,Nick Watney,97,38.83,657,1692
69,70,70,Jimmy Walker,101,38.78,705,1818
70,71,71,James Driscoll,83,38.76,579,1494
71,72,72,Billy Hurley III,70,38.73,474,1224
72,73,73,Davis Love III,64,38.72,446,1152
73,74,74,Kevin Chappell,91,38.7,606,1566
74,75,75,David Hearn,95,38.65,661,1710
75,76,76,Marc Leishman,84,38.62,584,1512
76,77,77,Martin Flores,95,38.54,659,1710
77,78,78,Sung Kang,75,38.51,506,1314
78,79,79,John Huh,99,38.5,686,1782
79,80,80,Jim Furyk,85,38.49,582,1512
