,Sand_Saves_from_20-30_yards_RANK THIS WEEK,Sand_Saves_from_20-30_yards_RANK LAST WEEK,Sand_Saves_from_20-30_yards_PLAYER NAME,Sand_Saves_from_20-30_yards_ROUNDS,Sand_Saves_from_20-30_yards_%,Sand_Saves_from_20-30_yards_# OF SAVES,Sand_Saves_from_20-30_yards_# OF BUNKERS
0,1,1,Ben Crane,62,75.0,24,32
1,2,2,Steven Bowditch,67,74.07,20,27
2,3,3,K.J. Choi,85,70.37,19,27
3,T4,T4,Rickie Fowler,75,66.67,14,21
4,T4,T4,Rod Pampling,46,66.67,6,9
5,T4,T4,David Toms,49,66.67,6,9
6,7,7,Phil Mickelson,78,65.38,17,26
7,8,8,Michael Thompson,66,65.22,15,23
8,9,9,Lee Westwood,70,64.29,9,14
9,T10,T10,Mike Weir,60,64.0,16,25
10,T10,T10,Mark Wilson,56,64.0,16,25
11,T12,T12,Tom Gillis,69,63.64,14,22
12,T12,T12,Luke List,65,63.64,14,22
13,14,14,Freddie Jacobson,63,63.16,12,19
14,T15,T15,Greg Chalmers,77,62.5,25,40
15,T15,T15,Graeme McDowell,53,62.5,10,16
16,T15,T15,Jin Park,52,62.5,15,24
17,T15,T15,Brandt Snedeker,79,62.5,15,24
18,T15,T15,Lee Williams,62,62.5,15,24
19,20,20,Chez Reavie,72,62.07,18,29
20,T21,T21,Trevor Immelman,73,61.9,13,21
21,T21,T21,Cameron Percy,68,61.9,13,21
22,T21,T21,Vaughn Taylor,50,61.9,13,21
23,24,24,Matt Kuchar,93,61.11,22,36
24,25,25,Darron Stiles,51,60.87,14,23
25,T26,T26,Bobby Gates,49,60.0,15,25
26,T26,T26,Lucas Glover,65,60.0,15,25
27,T26,T26,Bill Haas,85,60.0,15,25
28,29,29,Kevin Chappell,80,59.26,16,27
29,30,30,Stuart Appleby,88,58.82,20,34
30,T31,T31,Tim Clark,64,58.33,14,24
31,T31,T31,Jason Day,86,58.33,21,36
32,T31,T31,Luke Donald,60,58.33,14,24
33,34,34,Shawn Stefani,63,58.06,18,31
34,35,35,Doug LaBelle II,72,57.5,23,40
35,36,36,Colt Knost,69,56.52,13,23
36,37,37,George McNeill,68,56.25,18,32
37,T38,T38,Matt Jones,83,56.0,14,25
38,T38,T38,Casey Wittenberg,72,56.0,14,25
39,T40,T40,Brian Davis,91,55.88,19,34
40,T40,T40,Graham DeLaet,94,55.88,19,34
41,T40,T40,Kevin Stadler,83,55.88,19,34
42,T43,T43,Keegan Bradley,88,55.56,20,36
43,T43,T43,Erik Compton,74,55.56,20,36
44,T43,T43,John Rollins,77,55.56,20,36
45,T43,T43,Justin Rose,62,55.56,10,18
46,47,47,Roberto Castro,97,55.26,21,38
47,T48,T48,Padraig Harrington,52,55.0,11,20
48,T48,T48,David Lingmerth,68,55.0,11,20
49,T48,T48,Steve Stricker,51,55.0,11,20
50,T51,T51,Justin Leonard,86,54.84,17,31
51,T51,T51,Andres Romero,63,54.84,17,31
52,T51,T51,Charlie Wi,75,54.84,17,31
53,T54,T54,Charles Howell III,87,54.55,24,44
54,T54,T54,Bubba Watson,76,54.55,12,22
55,T56,T56,Fabián Gómez,65,53.85,14,26
56,T56,T56,Charl Schwartzel,69,53.85,14,26
57,T56,T56,Johnson Wagner,64,53.85,14,26
58,T59,T59,Scott Gardiner,61,53.33,16,30
59,T59,T59,David Lynn,70,53.33,8,15
60,61,61,Rory McIlroy,56,52.94,9,17
61,T62,T62,Harris English,95,52.78,19,36
62,T62,T62,Patrick Reed,83,52.78,19,36
63,64,64,Troy Matteson,68,52.63,10,19
64,65,65,Nick Watney,88,51.72,15,29
65,66,66,Billy Horschel,96,51.06,24,47
66,T67,T67,Aaron Baddeley,68,50.0,19,38
67,T67,T67,Jonas Blixt,76,50.0,19,38
68,T67,T67,Chad Campbell,78,50.0,18,36
69,T67,T67,Bob Estes,66,50.0,9,18
70,T67,T67,Jim Furyk,80,50.0,16,32
71,T67,T67,Jim Herman,59,50.0,9,18
