,Proximity_to_Hole_from_Sand_RANK THIS WEEK,Proximity_to_Hole_from_Sand_RANK LAST WEEK,Proximity_to_Hole_from_Sand_PLAYER NAME,Proximity_to_Hole_from_Sand_ROUNDS,Proximity_to_Hole_from_Sand_AVG DTP,Proximity_to_Hole_from_Sand_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Sand_# OF SHOTS,Proximity_to_Hole_from_Sand_SCRAMBLING RANK
0,T1,T1,Bud Cauley,67,"6' 11""",574.5830000000001,83,165
1,T1,T1,Jason Day,86,"6' 11""",657.6669999999999,95,27
2,T1,T1,Justin Rose,62,"6' 11""",407.167,59,35
3,T1,T1,Lee Williams,62,"6' 11""",565.0830000000001,82,7
4,T5,T5,Steven Bowditch,67,"7' 1""",672.3330000000001,95,17
5,T5,T5,Justin Leonard,86,"7' 1""",687.5830000000001,97,72
6,T5,T5,Jin Park,52,"7' 1""",445.417,63,65
7,T8,T8,Charlie Wi,75,"7' 2""",884.1669999999999,123,47
8,T8,T8,Casey Wittenberg,72,"7' 2""",652.0830000000001,91,37
9,10,10,Luke Donald,60,"7' 3""",427.667,59,22
10,T11,T11,Bob Estes,66,"7' 4""",629.0830000000001,86,1
11,T11,T11,Tom Gillis,69,"7' 4""",707.5,96,44
12,T11,T11,Robert Karlsson,56,"7' 4""",408.667,56,100
13,T11,T11,Mike Weir,60,"7' 4""",706.0,96,70
14,T15,T15,Kevin Chappell,80,"7' 7""",650.0830000000001,86,81
15,T15,T15,Stewart Cink,71,"7' 7""",626.75,83,164
16,T17,T17,Stuart Appleby,88,"7' 8""",824.6669999999999,108,4
17,T17,T17,K.J. Choi,85,"7' 8""",746.5,97,13
18,T17,T17,Ben Crane,62,"7' 8""",664.5830000000001,87,9
19,T17,T17,Darron Stiles,51,"7' 8""",497.75,65,29
20,T21,T21,Roberto Castro,97,"7' 9""",871.5830000000001,112,26
21,T21,T21,Jim Furyk,80,"7' 9""",723.9169999999999,93,57
22,T21,T21,Brian Gay,79,"7' 9""",870.4169999999999,112,10
23,T21,T21,Matt Kuchar,93,"7' 9""",863.0,111,12
24,T21,T21,Jordan Spieth,82,"7' 9""",691.75,89,31
25,T26,T26,David Lynn,70,"7' 10""",526.4169999999999,67,38
26,T26,T26,Phil Mickelson,78,"7' 10""",727.0,93,78
27,T26,T26,Adam Scott,61,"7' 10""",531.1669999999999,68,119
28,T26,T26,Henrik Stenson,65,"7' 10""",439.25,56,102
29,T26,T26,Mark Wilson,56,"7' 10""",561.3330000000001,72,27
30,T31,T31,Rickie Fowler,75,"7' 11""",614.4169999999999,78,56
31,T31,T31,Tim Herron,45,"7' 11""",553.6669999999999,70,117
32,T31,T31,Vijay Singh,61,"7' 11""",625.0,79,103
33,T31,T31,Camilo Villegas,79,"7' 11""",640.5,81,123
34,35,35,Brad Fritsch,81,"8' 0""",911.5830000000001,114,136
35,36,36,Brian Davis,91,"8' 1""",1066.083,132,73
36,T37,T37,Jonas Blixt,76,"8' 2""",925.9169999999999,113,24
37,T37,T37,D.H. Lee,65,"8' 2""",701.4169999999999,86,89
38,T37,T37,D.A. Points,87,"8' 2""",910.25,111,129
39,T40,T40,Martin Flores,83,"8' 3""",949.25,115,15
40,T40,T40,Morgan Hoffmann,64,"8' 3""",595.0,72,85
41,T40,T40,William McGirt,75,"8' 3""",848.4169999999999,103,39
42,T43,T43,Greg Chalmers,77,"8' 4""",869.5830000000001,104,63
43,T43,T43,Freddie Jacobson,63,"8' 4""",602.0,72,54
44,T45,T45,James Hahn,78,"8' 5""",752.5,89,128
45,T45,T45,Padraig Harrington,52,"8' 5""",446.333,53,113
46,T45,T45,Richard Lee,81,"8' 5""",908.0,108,11
47,T45,T45,Webb Simpson,92,"8' 5""",697.5,83,86
48,T45,T45,Josh Teater,86,"8' 5""",765.4169999999999,91,157
49,T45,T45,Tiger Woods,61,"8' 5""",570.9169999999999,68,46
50,T45,T45,Y.E. Yang,56,"8' 5""",642.5,76,110
51,T52,T52,Charl Schwartzel,69,"8' 6""",945.3330000000001,111,140
52,T52,T52,Brandt Snedeker,79,"8' 6""",757.6669999999999,89,33
53,T52,T52,Cameron Tringale,80,"8' 6""",830.4169999999999,98,20
54,T52,T52,Jimmy Walker,84,"8' 6""",975.0830000000001,115,36
55,T56,T56,Scott Brown,65,"8' 7""",696.3330000000001,81,130
56,T56,T56,Matt Jones,83,"8' 7""",832.6669999999999,97,8
57,T56,T56,Rod Pampling,46,"8' 7""",456.5,53,127
58,T56,T56,Alistair Presnell,59,"8' 7""",585.75,68,101
59,T56,T56,Shawn Stefani,63,"8' 7""",730.75,85,79
60,T61,T61,Bill Haas,85,"8' 8""",771.5830000000001,89,18
61,T61,T61,Carl Pettersson,82,"8' 8""",903.1669999999999,104,147
62,T61,T61,Patrick Reed,83,"8' 8""",933.75,108,40
63,T61,T61,Chris Stroud,88,"8' 8""",1087.833,126,6
64,T61,T61,Lee Westwood,70,"8' 8""",582.3330000000001,67,21
65,T66,T66,Robert Allenby,58,"8' 10""",798.5830000000001,90,168
66,T66,T66,Tim Clark,64,"8' 10""",612.25,69,45
67,T66,T66,Matt Every,89,"8' 10""",1014.75,115,113
68,T66,T66,Tommy Gainey,84,"8' 10""",1059.25,120,152
69,T66,T66,David Lingmerth,68,"8' 10""",741.5830000000001,84,80
70,T66,T66,Troy Matteson,68,"8' 10""",687.0830000000001,78,63
71,T72,T72,Ken Duke,87,"8' 11""",970.9169999999999,109,108
72,T72,T72,George McNeill,68,"8' 11""",809.8330000000001,91,49
73,T72,T72,Brendan Steele,86,"8' 11""",967.25,108,104
74,T75,T75,Jason Dufner,78,"9' 0""",603.4169999999999,67,70
75,T75,T75,Billy Horschel,96,"9' 0""",1287.917,143,131
76,T75,T75,Jerry Kelly,75,"9' 0""",802.0830000000001,89,14
77,T75,T75,Scott Langley,79,"9' 0""",743.6669999999999,83,59
78,T75,T75,Dicky Pride,71,"9' 0""",799.1669999999999,89,60
79,T80,T80,Erik Compton,74,"9' 1""",1047.25,115,23
80,T80,T80,Peter Hanson,45,"9' 1""",389.75,43,82
81,T80,T80,Charles Howell III,87,"9' 1""",1036.417,114,5
82,T80,T80,Luke List,65,"9' 1""",801.5830000000001,88,151
83,T80,T80,David Mathis,71,"9' 1""",837.8330000000001,92,172
84,T80,T80,Bryce Molder,82,"9' 1""",1026.917,113,19
85,T80,T80,Vaughn Taylor,50,"9' 1""",545.6669999999999,60,107
86,T87,T87,Nicolas Colsaerts,50,"9' 2""",497.0,54,178
87,T87,T87,David Hearn,88,"9' 2""",928.3330000000001,101,90
88,T87,T87,Charley Hoffman,84,"9' 2""",989.25,108,154
89,T87,T87,Colt Knost,69,"9' 2""",706.0,77,116
90,T87,T87,Jason Kokrak,78,"9' 2""",1045.25,114,83
91,T87,T87,Tag Ridings,69,"9' 2""",837.5,91,98
92,T87,T87,Kevin Stadler,83,"9' 2""",889.75,97,143
93,T94,T94,Jason Bohn,70,"9' 3""",832.25,90,144
94,T94,T94,Doug LaBelle II,72,"9' 3""",1019.25,110,123
95,T94,T94,Seung-Yul Noh,71,"9' 3""",815.25,88,158
96,T94,T94,Sean O'Hair,56,"9' 3""",644.8330000000001,70,169
97,T94,T94,Cameron Percy,68,"9' 3""",729.8330000000001,79,40
98,T99,T99,James Driscoll,76,"9' 4""",951.75,102,53
99,T99,T99,Zach Johnson,84,"9' 4""",645.75,69,54
100,T99,T99,Geoff Ogilvy,57,"9' 4""",690.0830000000001,74,132
101,T99,T99,Brian Stuard,78,"9' 4""",775.9169999999999,83,43
102,T99,T99,Boo Weekley,100,"9' 4""",1127.333,121,135
103,T104,T104,Ernie Els,63,"9' 5""",619.9169999999999,66,84
104,T104,T104,Ryo Ishikawa,72,"9' 5""",809.3330000000001,86,160
105,T104,T104,Pat Perez,69,"9' 5""",971.4169999999999,103,111
106,T104,T104,Kevin Streelman,86,"9' 5""",958.0830000000001,102,61
107,T108,T108,Ricky Barnes,74,"9' 6""",797.25,84,162
108,T108,T108,Lucas Glover,65,"9' 6""",676.9169999999999,71,174
109,T108,T108,Greg Owen,73,"9' 6""",884.5830000000001,93,142
110,T108,T108,Rory Sabbatini,86,"9' 6""",969.1669999999999,102,91
111,T108,T108,John Senden,79,"9' 6""",921.8330000000001,97,153
112,T113,T113,Charlie Beljan,62,"9' 7""",737.75,77,170
113,T113,T113,Brendon de Jonge,110,"9' 7""",1223.083,128,16
114,T113,T113,Sergio Garcia,65,"9' 7""",727.6669999999999,76,99
115,T113,T113,Kyle Stanley,71,"9' 7""",814.3330000000001,85,155
116,T113,T113,Michael Thompson,66,"9' 7""",745.6669999999999,78,93
117,T118,T118,Chad Campbell,78,"9' 8""",887.5830000000001,92,76
118,T118,T118,Luke Guthrie,82,"9' 8""",901.8330000000001,93,75
119,T118,T118,Ian Poulter,59,"9' 8""",521.0,54,25
120,T118,T118,Daniel Summerhays,83,"9' 8""",1155.667,120,68
121,T122,T122,Russell Henley,80,"9' 9""",957.0,98,104
122,T122,T122,Chris Kirk,89,"9' 9""",1079.667,111,3
123,T122,T122,Eric Meierdierks,48,"9' 9""",597.0,61,177
124,T125,T125,Justin Bolli,59,"9' 10""",779.3330000000001,79,106
125,T125,T125,Chez Reavie,72,"9' 10""",1090.083,111,48
126,T127,T127,Rory McIlroy,56,"9' 11""",594.75,60,145
127,T127,T127,Scott Piercy,78,"9' 11""",953.4169999999999,96,161
128,T129,T129,Jim Herman,59,"10' 0""",589.6669999999999,59,149
129,T129,T129,Marc Leishman,77,"10' 0""",753.0,75,96
130,T129,T129,John Merrick,79,"10' 0""",879.0830000000001,88,115
131,T129,T129,Bo Van Pelt,72,"10' 0""",833.25,83,159
132,T133,T133,Sangmoon Bae,83,"10' 1""",1119.667,111,176
133,T133,T133,Harris English,95,"10' 1""",1194.083,118,125
134,T133,T133,Scott Stallings,79,"10' 1""",1037.583,103,139
135,T133,T133,D.J. Trahan,48,"10' 1""",404.417,40,118
136,T137,T137,Aaron Baddeley,68,"10' 2""",979.3330000000001,96,92
137,T137,T137,Keegan Bradley,88,"10' 2""",1117.333,110,32
138,T137,T137,Ben Curtis,59,"10' 2""",579.25,57,141
139,T137,T137,Scott Gardiner,61,"10' 2""",1029.667,101,173
140,T137,T137,Ryan Moore,72,"10' 2""",781.1669999999999,77,95
141,T137,T137,Andres Romero,63,"10' 2""",1040.25,102,88
142,T143,T143,Robert Garrigus,69,"10' 3""",677.8330000000001,66,180
143,T143,T143,Steve Stricker,51,"10' 3""",450.25,44,2
144,T145,T145,Fabián Gómez,65,"10' 4""",918.5,89,49
145,T145,T145,Jeff Maggert,63,"10' 4""",609.5,59,42
146,T145,T145,Robert Streb,75,"10' 4""",1029.667,100,86
147,T145,T145,Nicholas Thompson,99,"10' 4""",1220.833,118,109
148,T145,T145,Bubba Watson,76,"10' 4""",785.25,76,150
149,150,150,"Ted Potter, Jr.",65,"10' 5""",779.0,75,34
150,151,151,Brandt Jobe,62,"10' 6""",857.6669999999999,82,146
151,T152,T152,Graham DeLaet,94,"10' 7""",1040.083,98,51
152,T152,T152,Graeme McDowell,53,"10' 7""",506.5,48,30
153,T152,T152,Henrik Norlander,70,"10' 7""",846.75,80,138
154,T152,T152,Ryan Palmer,79,"10' 7""",1093.917,103,133
155,T156,T156,Bobby Gates,49,"10' 8""",808.6669999999999,76,137
156,T156,T156,Brian Harman,89,"10' 8""",1185.417,111,77
157,T156,T156,John Rollins,77,"10' 8""",1098.25,103,93
158,T156,T156,David Toms,49,"10' 8""",404.0,38,51
159,160,160,Trevor Immelman,73,"10' 9""",817.0,76,68
160,161,161,Jeff Overton,78,"10' 10""",1236.75,114,66
161,T162,T162,Stephen Ames,49,"10' 11""",696.8330000000001,64,67
162,T162,T162,Dustin Johnson,71,"10' 11""",620.75,57,163
163,T162,T162,Martin Kaymer,61,"10' 11""",580.4169999999999,53,171
164,T162,T162,Ben Kohles,75,"10' 11""",920.1669999999999,84,126
165,T162,T162,Johnson Wagner,64,"10' 11""",908.5830000000001,83,120
166,T162,T162,Aaron Watkins,46,"10' 11""",514.0,47,58
167,T162,T162,Nick Watney,88,"10' 11""",1029.667,94,121
168,169,169,Martin Laird,68,"11' 0""",935.1669999999999,85,122
169,T170,T170,J.J. Henry,83,"11' 1""",1032.333,93,112
170,T170,T170,John Huh,88,"11' 1""",1197.5,108,62
171,172,172,Justin Hicks,79,"11' 4""",908.0,80,175
172,173,173,Michael Bradley,56,"11' 10""",650.6669999999999,55,166
173,174,174,Steve LeBrun,66,"12' 0""",803.25,67,97
174,175,175,Ángel Cabrera,73,"12' 1""",884.9169999999999,73,134
175,176,176,Derek Ernst,58,"12' 3""",1080.75,88,179
176,177,177,Hunter Mahan,91,"12' 6""",1238.583,99,73
177,178,178,Gary Woodland,94,"12' 7""",1407.8329999999999,112,148
178,179,179,Andrew Svoboda,46,"12' 10""",526.6669999999999,41,167
179,180,180,Will Claxton,67,"13' 1""",1062.75,81,156
