,Scrambling_RANK THIS WEEK,Scrambling_RANK LAST WEEK,Scrambling_PLAYER NAME,Scrambling_ROUNDS,Scrambling_%,Scrambling_PAR OR BETTER,Scrambling_MISSED GIR
0,1,1,Bob Estes,66,66.19,276,417
1,2,2,Steve Stricker,51,65.57,160,244
2,3,3,Chris Kirk,89,65.38,357,546
3,4,4,Stuart Appleby,88,65.21,343,526
4,5,5,Charles Howell III,87,64.83,330,509
5,6,6,Chris Stroud,88,64.6,365,565
6,7,7,Lee Williams,62,64.25,266,414
7,8,8,Matt Jones,83,63.98,325,508
8,9,9,Ben Crane,62,63.83,240,376
9,10,10,Brian Gay,79,63.8,393,616
10,11,11,Richard Lee,81,63.58,295,464
11,12,12,Matt Kuchar,93,63.55,340,535
12,13,13,K.J. Choi,85,62.98,325,516
13,14,14,Jerry Kelly,75,62.96,294,467
14,15,15,Martin Flores,83,62.91,324,515
15,16,16,Brendon de Jonge,110,62.56,386,617
16,17,17,Steven Bowditch,67,62.47,278,445
17,18,18,Bill Haas,85,62.01,302,487
18,19,19,Bryce Molder,82,61.76,323,523
19,20,20,Cameron Tringale,80,61.68,293,475
20,21,21,Lee Westwood,70,61.57,266,432
21,22,22,Luke Donald,60,61.52,243,395
22,23,23,Erik Compton,74,61.51,286,465
23,24,24,Jonas Blixt,76,61.5,329,535
24,25,25,Ian Poulter,59,61.49,214,348
25,26,26,Roberto Castro,97,61.47,351,571
26,T27,T27,Jason Day,86,61.39,310,505
27,T27,T27,Mark Wilson,56,61.39,194,316
28,29,29,Darron Stiles,51,61.26,204,333
29,30,30,Graeme McDowell,53,61.09,201,329
30,31,31,Jordan Spieth,82,61.07,298,488
31,32,32,Keegan Bradley,88,60.88,319,524
32,33,33,Brandt Snedeker,79,60.86,297,488
33,34,34,"Ted Potter, Jr.",65,60.77,237,390
34,35,35,Justin Rose,62,60.71,204,336
35,36,36,Jimmy Walker,84,60.62,311,513
36,37,37,Casey Wittenberg,72,60.59,289,477
37,38,38,David Lynn,70,60.52,282,466
38,39,39,William McGirt,75,60.47,283,468
39,T40,T40,Cameron Percy,68,60.44,246,407
40,T40,T40,Patrick Reed,83,60.44,327,541
41,42,42,Jeff Maggert,63,60.42,229,379
42,43,43,Brian Stuard,78,60.31,275,456
43,44,44,Tom Gillis,69,60.22,277,460
44,45,45,Tim Clark,64,60.19,251,417
45,46,46,Tiger Woods,61,60.0,210,350
46,47,47,Charlie Wi,75,59.92,302,504
47,48,48,Chez Reavie,72,59.86,258,431
48,T49,T49,Fabián Gómez,65,59.76,251,420
49,T49,T49,George McNeill,68,59.76,254,425
50,T51,T51,Graham DeLaet,94,59.72,298,499
51,T51,T51,David Toms,49,59.72,172,288
52,53,53,James Driscoll,76,59.7,280,469
53,T54,T54,Freddie Jacobson,63,59.66,247,414
54,T54,T54,Zach Johnson,84,59.66,284,476
55,56,56,Rickie Fowler,75,59.59,289,485
56,57,57,Jim Furyk,80,59.55,265,445
57,58,58,Aaron Watkins,46,59.53,178,299
58,59,59,Scott Langley,79,59.47,289,486
59,60,60,Dicky Pride,71,59.44,255,429
60,61,61,Kevin Streelman,86,59.42,309,520
61,62,62,John Huh,88,59.36,314,529
62,T63,T63,Greg Chalmers,77,59.33,299,504
63,T63,T63,Troy Matteson,68,59.33,248,418
64,65,65,Jin Park,52,59.27,195,329
65,66,66,Jeff Overton,78,59.23,292,493
66,67,67,Stephen Ames,49,59.18,203,343
67,T68,T68,Trevor Immelman,73,59.13,246,416
68,T68,T68,Daniel Summerhays,83,59.13,314,531
69,T70,T70,Jason Dufner,78,59.11,266,450
70,T70,T70,Mike Weir,60,59.11,266,450
71,72,72,Justin Leonard,86,59.02,337,571
72,T73,T73,Brian Davis,91,58.87,365,620
73,T73,T73,Hunter Mahan,91,58.87,292,496
74,75,75,Luke Guthrie,82,58.85,316,537
75,76,76,Chad Campbell,78,58.76,265,451
76,77,77,Brian Harman,89,58.74,336,572
77,78,78,Phil Mickelson,78,58.55,274,468
78,79,79,Shawn Stefani,63,58.5,241,412
79,80,80,David Lingmerth,68,58.44,263,450
80,81,81,Kevin Chappell,80,58.4,285,488
81,82,82,Peter Hanson,45,58.33,175,300
82,83,83,Jason Kokrak,78,58.3,281,482
83,84,84,Ernie Els,63,58.08,248,427
84,85,85,Morgan Hoffmann,64,57.99,236,407
85,T86,T86,Webb Simpson,92,57.95,306,528
86,T86,T86,Robert Streb,75,57.95,255,440
87,88,88,Andres Romero,63,57.91,238,411
88,89,89,D.H. Lee,65,57.79,230,398
89,90,90,David Hearn,88,57.78,323,559
90,91,91,Rory Sabbatini,86,57.77,275,476
91,92,92,Aaron Baddeley,68,57.72,288,499
92,T93,T93,John Rollins,77,57.71,247,428
93,T93,T93,Michael Thompson,66,57.71,262,454
94,95,95,Ryan Moore,72,57.68,263,456
95,96,96,Marc Leishman,77,57.64,279,484
96,97,97,Steve LeBrun,66,57.58,209,363
97,98,98,Tag Ridings,69,57.5,230,400
98,99,99,Sergio Garcia,65,57.45,212,369
99,100,100,Robert Karlsson,56,57.39,198,345
100,101,101,Alistair Presnell,59,57.36,222,387
101,102,102,Henrik Stenson,65,57.28,185,323
102,103,103,Vijay Singh,61,57.23,194,339
103,T104,T104,Russell Henley,80,57.17,287,502
104,T104,T104,Brendan Steele,86,57.17,287,502
105,106,106,Justin Bolli,59,57.14,220,385
106,107,107,Vaughn Taylor,50,56.95,172,302
107,108,108,Ken Duke,87,56.92,329,578
108,109,109,Nicholas Thompson,99,56.89,326,573
109,110,110,Y.E. Yang,56,56.65,213,376
110,111,111,Pat Perez,69,56.64,226,399
111,112,112,J.J. Henry,83,56.53,264,467
112,T113,T113,Matt Every,89,56.52,312,552
113,T113,T113,Padraig Harrington,52,56.52,195,345
114,115,115,John Merrick,79,56.51,269,476
115,116,116,Colt Knost,69,56.47,253,448
116,117,117,Tim Herron,45,56.44,184,326
117,118,118,D.J. Trahan,48,56.39,150,266
118,119,119,Adam Scott,61,56.38,190,337
119,120,120,Johnson Wagner,64,56.36,217,385
120,121,121,Nick Watney,88,56.35,275,488
121,122,122,Martin Laird,68,56.18,250,445
122,T123,T123,Doug LaBelle II,72,56.12,252,449
123,T123,T123,Camilo Villegas,79,56.12,252,449
124,125,125,Harris English,95,56.11,326,581
125,126,126,Ben Kohles,75,56.08,249,444
126,127,127,Rod Pampling,46,55.97,150,268
127,128,128,James Hahn,78,55.96,263,470
128,129,129,D.A. Points,87,55.92,326,583
129,130,130,Scott Brown,65,55.71,234,420
130,131,131,Billy Horschel,96,55.69,313,562
131,132,132,Geoff Ogilvy,57,55.67,216,388
132,133,133,Ryan Palmer,79,55.63,267,480
