,Scrambling_from__10_yards_RANK THIS WEEK,Scrambling_from__10_yards_RANK LAST WEEK,Scrambling_from__10_yards_PLAYER NAME,Scrambling_from__10_yards_ROUNDS,Scrambling_from__10_yards_%,Scrambling_from__10_yards_SUCCESSES,Scrambling_from__10_yards_ATTEMPTS
0,1,1,K.J. Choi,85,95.35,82,86
1,2,2,Steve Stricker,51,94.59,35,37
2,T3,T3,Jim Furyk,80,93.51,72,77
3,T3,T3,Scott Stallings,79,93.51,72,77
4,T5,T5,Justin Leonard,86,93.18,82,88
5,T5,T5,Aaron Watkins,46,93.18,41,44
6,7,7,Vaughn Taylor,50,93.02,40,43
7,8,8,Casey Wittenberg,72,92.94,79,85
8,9,9,Greg Chalmers,77,92.65,63,68
9,10,10,Scott Langley,79,92.59,75,81
10,11,11,Luke List,65,92.45,49,53
11,12,12,Doug LaBelle II,72,92.42,61,66
12,13,13,Jerry Kelly,75,92.22,83,90
13,14,14,Bobby Gates,49,92.11,35,38
14,T15,T15,Steven Bowditch,67,92.0,69,75
15,T15,T15,James Hahn,78,92.0,92,100
16,T15,T15,Jason Kokrak,78,92.0,92,100
17,18,18,Troy Matteson,68,91.55,65,71
18,19,19,Jin Park,52,91.53,54,59
19,20,20,William McGirt,75,91.46,75,82
20,21,21,Brandt Snedeker,79,91.43,64,70
21,22,22,Tim Herron,45,91.38,53,58
22,23,23,Rickie Fowler,75,91.11,82,90
23,24,24,Jonas Blixt,76,90.67,68,75
24,25,25,Justin Bolli,59,90.63,58,64
25,26,26,Marc Leishman,77,90.59,77,85
26,27,27,Nicholas Thompson,99,90.27,102,113
27,28,28,Brian Gay,79,90.09,100,111
28,29,29,Chris Stroud,88,90.0,90,100
29,T30,T30,Matt Jones,83,89.66,78,87
30,T30,T30,Michael Thompson,66,89.66,52,58
31,T30,T30,Jimmy Walker,84,89.66,78,87
32,33,33,"Ted Potter, Jr.",65,89.61,69,77
33,34,34,Chris Kirk,89,89.57,103,115
34,T35,T35,Charles Howell III,87,89.47,85,95
35,T35,T35,Robert Karlsson,56,89.47,51,57
36,37,37,Matt Kuchar,93,89.13,82,92
37,38,38,Matt Every,89,89.11,90,101
38,39,39,Jason Day,86,89.04,65,73
39,T40,T40,Peter Hanson,45,88.89,40,45
40,T40,T40,John Senden,79,88.89,64,72
41,T40,T40,Tiger Woods,61,88.89,48,54
42,43,43,Hunter Mahan,91,88.75,71,80
43,44,44,Josh Teater,86,88.73,63,71
44,45,45,Russell Henley,80,88.37,76,86
45,46,46,Webb Simpson,92,88.35,91,103
46,47,47,Jason Dufner,78,88.24,75,85
47,48,48,Stuart Appleby,88,88.12,89,101
48,49,49,Jeff Maggert,63,88.1,74,84
49,50,50,David Lingmerth,68,88.0,66,75
50,51,51,Andrew Svoboda,46,87.88,29,33
51,52,52,Graham DeLaet,94,87.83,101,115
52,53,53,Ben Curtis,59,87.76,43,49
53,54,54,Jeff Overton,78,87.74,93,106
54,55,55,Michael Bradley,56,87.5,42,48
55,56,56,John Merrick,79,87.34,69,79
56,57,57,Justin Rose,62,87.32,62,71
57,T58,T58,Brian Harman,89,87.18,102,117
58,T58,T58,Lee Williams,62,87.18,68,78
59,T60,T60,Richard Lee,81,87.14,61,70
60,T60,T60,Shawn Stefani,63,87.14,61,70
61,62,62,Luke Guthrie,82,87.06,74,85
62,63,63,Brendan Steele,86,87.01,67,77
63,64,64,Keegan Bradley,88,87.0,87,100
64,65,65,Ian Poulter,59,86.79,46,53
65,66,66,Brian Davis,91,86.67,104,120
66,T67,T67,Tim Clark,64,86.57,58,67
67,T67,T67,Tag Ridings,69,86.57,58,67
68,69,69,David Lynn,70,86.49,64,74
69,70,70,D.J. Trahan,48,86.44,51,59
70,T71,T71,Tom Gillis,69,86.36,76,88
71,T71,T71,Zach Johnson,84,86.36,76,88
72,73,73,Ernie Els,63,86.3,63,73
73,74,74,Bryce Molder,82,86.25,69,80
74,75,75,Phil Mickelson,78,85.94,55,64
75,76,76,Cameron Percy,68,85.9,67,78
76,77,77,Kevin Chappell,80,85.88,73,85
77,T78,T78,Martin Flores,83,85.71,78,91
78,T78,T78,Padraig Harrington,52,85.71,42,49
79,T78,T78,Graeme McDowell,53,85.71,42,49
80,T78,T78,Bubba Watson,76,85.71,48,56
81,82,82,James Driscoll,76,85.54,71,83
82,83,83,Ryan Moore,72,85.53,65,76
83,T84,T84,Bob Estes,66,85.51,59,69
84,T84,T84,Bill Haas,85,85.51,59,69
85,T86,T86,Harris English,95,85.42,82,96
86,T86,T86,David Toms,49,85.42,41,48
87,88,88,Brendon de Jonge,110,85.34,99,116
88,89,89,Ángel Cabrera,73,85.29,58,68
89,90,90,Stephen Ames,49,85.25,52,61
90,91,91,Charley Hoffman,84,85.23,75,88
91,92,92,Kevin Streelman,86,85.14,63,74
92,93,93,Patrick Reed,83,85.0,85,100
93,94,94,Lucas Glover,65,84.93,62,73
94,T95,T95,Ryan Palmer,79,84.78,78,92
95,T95,T95,Kyle Stanley,71,84.78,78,92
96,97,97,Alistair Presnell,59,84.75,50,59
97,98,98,Nick Watney,88,84.38,81,96
98,99,99,Sergio Garcia,65,84.31,43,51
99,100,100,David Hearn,88,84.16,85,101
100,101,101,Darron Stiles,51,84.06,58,69
101,102,102,Tommy Gainey,84,83.96,89,106
102,103,103,Scott Piercy,78,83.87,78,93
103,104,104,Daniel Summerhays,83,83.81,88,105
104,105,105,Rory Sabbatini,86,83.65,87,104
105,106,106,Carl Pettersson,82,83.53,71,85
106,T107,T107,Jim Herman,59,83.33,45,54
107,T107,T107,Billy Horschel,96,83.33,75,90
