,Sand_Save_Percentage_RANK THIS WEEK,Sand_Save_Percentage_RANK LAST WEEK,Sand_Save_Percentage_PLAYER NAME,Sand_Save_Percentage_ROUNDS,Sand_Save_Percentage_%,Sand_Save_Percentage_# SAVES,Sand_Save_Percentage_# BUNKERS,Sand_Save_Percentage_TOTAL O/U PAR
0,1,1,K.J. Choi,85,67.18,88,131,22.0
1,2,2,Steven Bowditch,67,64.91,74,114,7.0
2,3,3,Matt Kuchar,93,64.9,98,151,31.0
3,4,4,Lee Williams,62,63.64,63,99,18.0
4,5,5,Casey Wittenberg,72,63.3,69,109,20.0
5,6,6,Ben Crane,62,63.11,65,103,27.0
6,7,7,Tom Gillis,69,62.61,72,115,31.0
7,8,8,Kevin Chappell,80,61.74,71,115,27.0
8,9,9,Stuart Appleby,88,61.72,79,128,31.0
9,10,10,Cameron Tringale,80,61.47,67,109,23.0
10,11,11,Jason Day,86,61.36,81,132,26.0
11,12,12,Peter Hanson,45,61.02,36,59,12.0
12,13,13,Michael Thompson,66,60.87,70,115,33.0
13,14,14,Tiger Woods,61,60.82,59,97,19.0
14,15,15,Brandt Snedeker,79,60.48,75,124,35.0
15,16,16,Rickie Fowler,75,60.34,70,116,31.0
16,17,17,Bob Estes,66,59.8,61,102,29.0
17,18,18,Patrick Reed,83,59.71,83,139,37.0
18,19,19,Shawn Stefani,63,59.48,69,116,37.0
19,20,20,Justin Rose,62,59.26,48,81,23.0
20,21,21,Brian Gay,79,59.09,78,132,37.0
21,T22,T22,Jin Park,52,58.97,46,78,29.0
22,T22,T22,Darron Stiles,51,58.97,46,78,20.0
23,24,24,Greg Chalmers,77,58.87,73,124,41.0
24,25,25,Brad Fritsch,81,58.7,81,138,30.0
25,26,26,Luke List,65,58.33,63,108,27.0
26,27,27,Mike Weir,60,58.26,67,115,37.0
27,28,28,Cameron Percy,68,58.16,57,98,27.0
28,29,29,Ian Poulter,59,57.14,44,77,27.0
29,30,30,Jason Bohn,70,56.88,62,109,32.0
30,31,31,David Lynn,70,56.86,58,102,25.0
31,32,32,Andres Romero,63,56.45,70,124,42.0
32,33,33,William McGirt,75,56.41,66,117,33.0
