,Proximity_to_Hole_from_30_yards_RANK THIS WEEK,Proximity_to_Hole_from_30_yards_RANK LAST WEEK,Proximity_to_Hole_from_30_yards_PLAYER NAME,Proximity_to_Hole_from_30_yards_ROUNDS,Proximity_to_Hole_from_30_yards_AVG DTP,Proximity_to_Hole_from_30_yards_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_30_yards_# OF SHOTS,Proximity_to_Hole_from_30_yards_SCRAMBLING RANK
0,1,1,Steve Stricker,51,"7' 10""",203.083,26,2
1,2,2,Zach Johnson,84,"8' 11""",455.25,51,54
2,3,3,Peter Hanson,45,"9' 0""",224.417,25,82
3,4,4,Mike Weir,60,"9' 6""",465.083,49,70
4,T5,T5,Freddie Jacobson,63,"9' 7""",326.75,34,54
5,T5,T5,Scott Langley,79,"9' 7""",507.083,53,59
6,7,7,Jordan Spieth,82,"9' 8""",578.0,60,31
7,T8,T8,Brian Gay,79,"9' 9""",417.667,43,10
8,T8,T8,Geoff Ogilvy,57,"9' 9""",282.16700000000003,29,132
9,10,10,Shawn Stefani,63,"9' 10""",414.083,42,79
10,T11,T11,Jonas Blixt,76,"9' 11""",557.4169999999999,56,24
11,T11,T11,Brandt Snedeker,79,"9' 11""",526.25,53,33
12,T13,T13,Greg Chalmers,77,"10' 0""",559.9169999999999,56,63
13,T13,T13,Casey Wittenberg,72,"10' 0""",519.0,52,37
14,T15,T15,Luke Donald,60,"10' 1""",281.41700000000003,28,22
15,T15,T15,Phil Mickelson,78,"10' 1""",452.583,45,78
16,T15,T15,Darron Stiles,51,"10' 1""",201.083,20,29
17,T15,T15,Kevin Streelman,86,"10' 1""",352.167,35,61
18,T19,T19,Henrik Stenson,65,"10' 2""",356.417,35,102
19,T19,T19,Jimmy Walker,84,"10' 2""",669.9169999999999,66,36
20,T21,T21,Bob Estes,66,"10' 3""",421.833,41,1
21,T21,T21,Jim Furyk,80,"10' 3""",327.16700000000003,32,57
22,T23,T23,Jerry Kelly,75,"10' 4""",495.667,48,14
23,T23,T23,Brian Stuard,78,"10' 4""",412.667,40,43
24,T23,T23,Josh Teater,86,"10' 4""",391.667,38,157
25,T26,T26,D.H. Lee,65,"10' 5""",437.417,42,89
26,T26,T26,Seung-Yul Noh,71,"10' 5""",605.5,58,158
27,T26,T26,Lee Williams,62,"10' 5""",396.25,38,7
28,T29,T29,Will Claxton,67,"10' 7""",476.917,45,156
29,T29,T29,David Lynn,70,"10' 7""",520.4169999999999,49,38
30,T31,T31,Ernie Els,63,"10' 9""",355.417,33,84
31,T31,T31,Martin Flores,83,"10' 9""",546.75,51,15
32,T31,T31,James Hahn,78,"10' 9""",526.8330000000001,49,128
33,T34,T34,Billy Horschel,96,"10' 10""",748.25,69,131
34,T34,T34,Gary Woodland,94,"10' 10""",597.5,55,148
35,T36,T36,Scott Brown,65,"10' 11""",503.583,46,130
36,T36,T36,Ben Crane,62,"10' 11""",435.083,40,9
37,T36,T36,Brendon de Jonge,110,"10' 11""",740.0,68,16
38,T36,T36,John Merrick,79,"10' 11""",481.083,44,115
39,T36,T36,Carl Pettersson,82,"10' 11""",458.333,42,147
40,T41,T41,Brian Davis,91,"11' 0""",684.5,62,73
41,T41,T41,Bill Haas,85,"11' 0""",658.8330000000001,60,18
42,T41,T41,Charles Howell III,87,"11' 0""",724.4169999999999,66,5
43,T41,T41,Webb Simpson,92,"11' 0""",551.9169999999999,50,86
44,T41,T41,Y.E. Yang,56,"11' 0""",275.0,25,110
45,T46,T46,Kevin Chappell,80,"11' 1""",607.5830000000001,55,81
46,T46,T46,Rickie Fowler,75,"11' 1""",545.0830000000001,49,56
47,T46,T46,Lucas Glover,65,"11' 1""",331.667,30,174
48,T46,T46,Matt Kuchar,93,"11' 1""",497.833,45,12
49,50,50,Fabián Gómez,65,"11' 2""",435.167,39,49
50,T51,T51,Ben Curtis,59,"11' 3""",450.917,40,141
51,T51,T51,Jim Herman,59,"11' 3""",371.167,33,149
52,T51,T51,Tim Herron,45,"11' 3""",527.5,47,117
53,T51,T51,Charley Hoffman,84,"11' 3""",607.5830000000001,54,154
