,Proximity_to_Hole_from_Fringe_RANK THIS WEEK,Proximity_to_Hole_from_Fringe_RANK LAST WEEK,Proximity_to_Hole_from_Fringe_PLAYER NAME,Proximity_to_Hole_from_Fringe_ROUNDS,Proximity_to_Hole_from_Fringe_AVG DTP,Proximity_to_Hole_from_Fringe_TOTAL DISTANCE (FEET),Proximity_to_Hole_from_Fringe_# OF SHOTS,Proximity_to_Hole_from_Fringe_SCRAMBLING RANK
0,1,1,Aaron Baddeley,68,"2' 0""",114.0,58,92
1,T2,T2,Ben Curtis,59,"2' 1""",89.0,43,141
2,T2,T2,Bob Estes,66,"2' 1""",126.417,60,1
3,T2,T2,"Ted Potter, Jr.",65,"2' 1""",105.167,51,34
4,T2,T2,Ian Poulter,59,"2' 1""",85.0,41,25
5,T6,T6,Justin Leonard,86,"2' 2""",141.25,64,72
6,T6,T6,Pat Perez,69,"2' 2""",113.667,53,111
7,T6,T6,Justin Rose,62,"2' 2""",107.333,50,35
8,T9,T9,Jim Furyk,80,"2' 3""",185.583,81,57
9,T9,T9,Andrew Svoboda,46,"2' 3""",58.333,26,167
10,T11,T11,Justin Bolli,59,"2' 4""",103.833,45,106
11,T11,T11,James Hahn,78,"2' 4""",174.833,74,128
12,T11,T11,Robert Streb,75,"2' 4""",139.333,60,86
13,T11,T11,David Toms,49,"2' 4""",79.25,34,51
14,T11,T11,Bo Van Pelt,72,"2' 4""",139.333,59,159
15,T16,T16,Marc Leishman,77,"2' 5""",149.833,62,96
16,T16,T16,Troy Matteson,68,"2' 5""",181.833,74,63
17,T16,T16,Greg Owen,73,"2' 5""",155.333,65,142
18,T19,T19,Keegan Bradley,88,"2' 6""",182.75,74,32
19,T19,T19,Will Claxton,67,"2' 6""",137.667,55,156
20,T19,T19,Brian Harman,89,"2' 6""",216.417,87,77
21,T19,T19,Brandt Jobe,62,"2' 6""",132.333,53,146
22,T23,T23,Jason Dufner,78,"2' 7""",161.083,62,70
23,T23,T23,Tom Gillis,69,"2' 7""",130.5,50,44
24,T23,T23,Morgan Hoffmann,64,"2' 7""",125.0,48,85
25,T23,T23,Zach Johnson,84,"2' 7""",155.167,61,54
26,T23,T23,Matt Jones,83,"2' 7""",193.417,74,8
27,T23,T23,Chris Kirk,89,"2' 7""",237.5,92,3
28,T23,T23,Ryan Palmer,79,"2' 7""",201.167,77,133
29,T23,T23,Tag Ridings,69,"2' 7""",124.5,48,98
30,T23,T23,Charlie Wi,75,"2' 7""",166.25,64,47
31,T32,T32,Stephen Ames,49,"2' 8""",121.417,45,67
32,T32,T32,Bud Cauley,67,"2' 8""",152.833,58,165
33,T32,T32,Jason Kokrak,78,"2' 8""",179.583,68,83
34,T32,T32,Hunter Mahan,91,"2' 8""",153.917,58,73
35,T32,T32,Chez Reavie,72,"2' 8""",160.583,60,48
36,T32,T32,Charl Schwartzel,69,"2' 8""",98.333,37,140
37,T32,T32,Mark Wilson,56,"2' 8""",134.583,51,27
38,T39,T39,Michael Bradley,56,"2' 9""",95.417,35,166
39,T39,T39,Chad Campbell,78,"2' 9""",182.0,66,76
40,T39,T39,K.J. Choi,85,"2' 9""",179.167,65,13
41,T39,T39,Brendon de Jonge,110,"2' 9""",258.75,94,16
42,T39,T39,Charley Hoffman,84,"2' 9""",196.5,72,154
43,T39,T39,Robert Karlsson,56,"2' 9""",87.583,32,100
44,T39,T39,Jerry Kelly,75,"2' 9""",207.167,76,14
45,T39,T39,Scott Langley,79,"2' 9""",165.25,60,59
46,T39,T39,Chris Stroud,88,"2' 9""",247.583,91,6
47,T39,T39,Daniel Summerhays,83,"2' 9""",251.917,91,68
48,T39,T39,Cameron Tringale,80,"2' 9""",183.0,67,20
49,T39,T39,Lee Westwood,70,"2' 9""",149.083,55,21
50,T51,T51,Stuart Appleby,88,"2' 10""",252.5,89,4
51,T51,T51,Tim Clark,64,"2' 10""",135.417,48,45
