,SG_Around-the-Green_RANK THIS WEEK,SG_Around-the-Green_RANK LAST WEEK,SG_Around-the-Green_PLAYER NAME,SG_Around-the-Green_ROUNDS,SG_Around-the-Green_AVERAGE,SG_Around-the-Green_TOTAL SG:ARG,SG_Around-the-Green_MEASURED ROUNDS
0,1,1,Luke Donald,60,0.628,28.891,46
1,2,2,Steve Stricker,51,0.596,20.865,35
2,3,3,Justin Rose,62,0.491,22.605,46
3,4,4,Mike Weir,60,0.39899999999999997,18.757,47
4,5,5,Bryce Molder,82,0.395,28.046999999999997,71
5,6,6,Jonas Blixt,76,0.39399999999999996,26.41,67
6,7,7,Rod Pampling,46,0.389,13.614,35
7,8,8,Stuart Appleby,88,0.387,30.604,79
8,9,9,Lee Williams,62,0.38,19.382,51
9,10,10,Charles Howell III,87,0.374,29.936,80
10,11,11,Justin Leonard,86,0.363,27.197,75
11,12,12,Bob Estes,66,0.36200000000000004,22.461,62
12,13,13,Brandt Snedeker,79,0.354,20.51,58
13,14,14,Roberto Castro,97,0.348,29.225,84
14,15,15,Brian Gay,79,0.336,23.826999999999998,71
15,16,16,Chris Stroud,88,0.33299999999999996,26.005,78
16,T17,T17,Jim Furyk,80,0.32299999999999995,20.691,64
17,T17,T17,David Lynn,70,0.32299999999999995,18.083,56
18,19,19,Padraig Harrington,52,0.321,11.235999999999999,35
19,20,20,Steven Bowditch,67,0.316,18.355,58
20,21,21,Seung-Yul Noh,71,0.315,19.554000000000002,62
21,22,22,Charlie Wi,75,0.295,19.468,66
22,23,23,Aaron Baddeley,68,0.293,17.284000000000002,59
23,24,24,Ian Poulter,59,0.29,11.315999999999999,39
24,25,25,Bill Haas,85,0.289,19.908,69
25,26,26,Aaron Watkins,46,0.285,9.964,35
26,27,27,Matt Kuchar,93,0.278,19.205,69
27,28,28,Casey Wittenberg,72,0.263,16.053,61
28,29,29,Phil Mickelson,78,0.26,14.843,57
29,30,30,Sergio Garcia,65,0.259,12.17,47
30,31,31,K.J. Choi,85,0.258,16.223,63
31,T32,T32,Freddie Jacobson,63,0.247,11.347000000000001,46
32,T32,T32,Tiger Woods,61,0.247,10.609000000000002,43
33,34,34,Morgan Hoffmann,64,0.242,12.805,53
34,35,35,Webb Simpson,92,0.225,15.770999999999999,70
35,36,36,Matt Jones,83,0.22,15.411,70
36,37,37,Scott Langley,79,0.215,13.761,64
37,38,38,Ben Curtis,59,0.20800000000000002,9.566,46
38,39,39,Jordan Spieth,82,0.2,13.378,67
39,40,40,Tim Herron,45,0.19699999999999998,8.658,44
40,41,41,John Huh,88,0.19,14.283,75
41,T42,T42,Keegan Bradley,88,0.185,13.323,72
42,T42,T42,Brian Davis,91,0.185,15.341,83
43,44,44,Troy Matteson,68,0.175,10.343,59
44,T45,T45,Andres Romero,63,0.17,8.836,52
45,T45,T45,Lee Westwood,70,0.17,8.654,51
46,47,47,Jason Day,86,0.16699999999999998,10.173,61
47,48,48,William McGirt,75,0.165,11.735999999999999,71
48,49,49,Jimmy Walker,84,0.16399999999999998,12.308,75
49,50,50,D.A. Points,87,0.163,11.085,68
50,51,51,Cameron Tringale,80,0.149,11.162,75
51,52,52,Bud Cauley,67,0.14800000000000002,8.282,56
52,T53,T53,Ernie Els,63,0.14300000000000002,6.871,48
53,T53,T53,Robert Karlsson,56,0.14300000000000002,5.305,37
54,T55,T55,James Driscoll,76,0.139,8.767000000000001,63
55,T55,T55,Ryan Moore,72,0.139,7.9110000000000005,57
56,57,57,Peter Hanson,45,0.138,4.57,33
57,58,58,John Senden,79,0.13,7.938,61
58,59,59,Henrik Stenson,65,0.128,5.6160000000000005,44
59,T60,T60,Tom Gillis,69,0.126,7.581,60
60,T60,T60,Carl Pettersson,82,0.126,8.032,64
61,62,62,Jerry Kelly,75,0.125,8.031,64
62,63,63,Alistair Presnell,59,0.12300000000000001,5.672000000000001,46
63,64,64,Martin Flores,83,0.11800000000000001,8.992,76
64,65,65,Geoff Ogilvy,57,0.11699999999999999,4.923,42
65,66,66,Brendan Steele,86,0.105,8.081,77
66,67,67,Chris Kirk,89,0.099,8.041,81
67,68,68,Brian Harman,89,0.096,7.329,76
68,69,69,David Toms,49,0.095,3.0239999999999996,32
69,70,70,Trevor Immelman,73,0.094,5.806,62
70,71,71,Kevin Chappell,80,0.077,5.148,67
71,72,72,Rickie Fowler,75,0.07400000000000001,4.364,59
72,73,73,Mark Wilson,56,0.07200000000000001,3.615,50
73,T74,T74,Daniel Summerhays,83,0.067,5.1979999999999995,78
74,T74,T74,Michael Thompson,66,0.067,3.562,53
75,76,76,Charl Schwartzel,69,0.061,3.2969999999999997,54
76,T77,T77,Luke Guthrie,82,0.055,3.55,65
77,T77,T77,Adam Scott,61,0.055,2.412,44
78,79,79,John Merrick,79,0.051,3.445,68
79,80,80,Hunter Mahan,91,0.05,3.425,68
80,81,81,Zach Johnson,84,0.047,3.1239999999999997,67
81,82,82,Greg Owen,73,0.036000000000000004,2.346,66
82,T83,T83,Brendon de Jonge,110,0.032,3.1210000000000004,97
83,T83,T83,Rory McIlroy,56,0.032,1.327,41
84,85,85,Jason Kokrak,78,0.028999999999999998,2.114,72
85,86,86,Jin Park,52,0.016,0.674,43
86,87,87,Patrick Reed,83,0.011000000000000001,0.792,74
87,88,88,Ben Crane,62,0.005,0.276,55
88,T89,T89,Tag Ridings,69,0.003,0.182,58
89,T89,T89,Darron Stiles,51,0.003,0.145,42
90,T89,T89,Robert Streb,75,0.003,0.21,62
91,T92,T92,Dicky Pride,71,0.002,0.145,59
92,T92,T92,Rory Sabbatini,86,0.002,0.125,72
93,94,94,Scott Piercy,78,-0.006,-0.365,62
94,95,95,Kevin Streelman,86,-0.008,-0.56,68
95,96,96,Marc Leishman,77,-0.009000000000000001,-0.604,64
96,97,97,Scott Brown,65,-0.013999999999999999,-0.7490000000000001,55
97,98,98,D.H. Lee,65,-0.015,-0.882,58
98,99,99,D.J. Trahan,48,-0.018000000000000002,-0.695,38
99,100,100,Vijay Singh,61,-0.021,-1.0070000000000001,48
100,101,101,David Lingmerth,68,-0.022000000000000002,-1.278,57
101,102,102,Fabián Gómez,65,-0.026000000000000002,-1.454,56
102,103,103,George McNeill,68,-0.03,-1.915,64
103,104,104,Chad Campbell,78,-0.033,-2.406,72
104,105,105,James Hahn,78,-0.034,-2.279,67
105,106,106,Richard Lee,81,-0.043,-3.1069999999999998,72
106,107,107,Tim Clark,64,-0.049,-2.1,43
107,108,108,"Ted Potter, Jr.",65,-0.052000000000000005,-2.873,55
108,109,109,Pat Perez,69,-0.055,-3.5189999999999997,64
109,T110,T110,Stewart Cink,71,-0.057999999999999996,-3.247,56
110,T110,T110,Martin Laird,68,-0.057999999999999996,-3.1,53
111,112,112,Ángel Cabrera,73,-0.059000000000000004,-3.358,57
112,113,113,Graeme McDowell,53,-0.061,-2.238,37
113,114,114,Bubba Watson,76,-0.065,-3.81,59
114,115,115,Michael Bradley,56,-0.068,-2.93,43
115,116,116,Billy Horschel,96,-0.069,-5.689,83
116,117,117,Erik Compton,74,-0.076,-4.953,65
117,118,118,Harris English,95,-0.077,-6.297999999999999,82
118,119,119,Lucas Glover,65,-0.083,-4.3,52
119,120,120,Robert Allenby,58,-0.085,-4.445,52
120,121,121,J.J. Henry,83,-0.08900000000000001,-6.603,74
121,122,122,Dustin Johnson,71,-0.09,-4.566,51
122,123,123,Cameron Percy,68,-0.092,-5.22,57
123,T124,T124,Jason Bohn,70,-0.095,-6.294,66
124,T124,T124,Camilo Villegas,79,-0.095,-6.0889999999999995,64
125,126,126,Luke List,65,-0.09699999999999999,-5.03,52
126,127,127,Bo Van Pelt,72,-0.1,-5.405,54
127,128,128,Greg Chalmers,77,-0.102,-7.142,70
128,T129,T129,Jason Dufner,78,-0.10300000000000001,-6.276,61
129,T129,T129,John Rollins,77,-0.10300000000000001,-6.974,68
130,131,131,David Mathis,71,-0.105,-6.535,62
131,132,132,Kevin Stadler,83,-0.11,-7.62,69
132,133,133,David Hearn,88,-0.11900000000000001,-8.698,73
133,134,134,Brian Stuard,78,-0.125,-7.879,63
134,135,135,Josh Teater,86,-0.133,-8.094,61
135,136,136,Y.E. Yang,56,-0.13699999999999998,-5.615,41
136,137,137,Charley Hoffman,84,-0.145,-10.578,73
137,138,138,Stephen Ames,49,-0.147,-6.4879999999999995,44
138,139,139,Brad Fritsch,81,-0.152,-10.307,68
139,T140,T140,Henrik Norlander,70,-0.155,-9.146,59
140,T140,T140,Shawn Stefani,63,-0.155,-7.742000000000001,50
141,142,142,Graham DeLaet,94,-0.159,-12.88,81
142,143,143,Ryo Ishikawa,72,-0.165,-9.062000000000001,55
143,144,144,Jeff Maggert,63,-0.166,-9.477,57
144,145,145,Jim Herman,59,-0.17600000000000002,-7.7589999999999995,44
145,146,146,Ken Duke,87,-0.17800000000000002,-13.386,75
146,147,147,Chez Reavie,72,-0.184,-12.31,67
147,148,148,Steve LeBrun,66,-0.185,-9.811,53
148,149,149,Scott Gardiner,61,-0.19,-9.9,52
149,150,150,Brandt Jobe,62,-0.191,-10.1,53
150,151,151,Sean O'Hair,56,-0.198,-10.106,51
151,T152,T152,Justin Bolli,59,-0.21,-9.644,46
152,T152,T152,Doug LaBelle II,72,-0.21,-12.367,59
153,154,154,Will Claxton,67,-0.215,-12.012,56
154,155,155,Boo Weekley,100,-0.221,-18.324,83
155,156,156,Ricky Barnes,74,-0.22699999999999998,-14.745,65
156,157,157,Russell Henley,80,-0.233,-15.408,66
157,158,158,Matt Every,89,-0.23399999999999999,-18.695999999999998,80
158,159,159,Colt Knost,69,-0.242,-14.033,58
159,160,160,Vaughn Taylor,50,-0.247,-9.887,40
160,161,161,Nicholas Thompson,99,-0.28800000000000003,-24.746,86
161,162,162,Charlie Beljan,62,-0.306,-16.854,55
162,163,163,Andrew Svoboda,46,-0.308,-10.767999999999999,35
163,164,164,Nick Watney,88,-0.317,-23.138,73
164,165,165,Ryan Palmer,79,-0.32299999999999995,-22.279,69
165,166,166,Bobby Gates,49,-0.331,-12.56,38
166,167,167,Martin Kaymer,61,-0.335,-14.052,42
167,168,168,Ben Kohles,75,-0.354,-21.921,62
