,Sand_Saves_from__10_yards_RANK THIS WEEK,Sand_Saves_from__10_yards_RANK LAST WEEK,Sand_Saves_from__10_yards_PLAYER NAME,Sand_Saves_from__10_yards_ROUNDS,Sand_Saves_from__10_yards_%,Sand_Saves_from__10_yards_# OF SAVES,Sand_Saves_from__10_yards_# OF BUNKERS
0,T1,T1,Stephen Ames,49,100.0,4.0,4
1,T1,T1,Justin Bolli,59,100.0,5.0,5
2,T1,T1,Michael Bradley,56,100.0,2.0,2
3,T1,T1,Luke Donald,60,100.0,1.0,1
4,T1,T1,Sergio Garcia,65,100.0,1.0,1
5,T1,T1,Peter Hanson,45,100.0,3.0,3
6,T1,T1,Freddie Jacobson,63,100.0,2.0,2
7,T1,T1,Matt Kuchar,93,100.0,5.0,5
8,T1,T1,Marc Leishman,77,100.0,6.0,6
9,T1,T1,Hunter Mahan,91,100.0,4.0,4
10,T1,T1,Steve Stricker,51,100.0,2.0,2
11,T1,T1,Vaughn Taylor,50,100.0,3.0,3
12,T1,T1,Aaron Watkins,46,100.0,1.0,1
13,T1,T1,Casey Wittenberg,72,100.0,4.0,4
14,T1,T1,Tiger Woods,61,100.0,6.0,6
15,T16,T16,Greg Chalmers,77,90.0,9.0,10
16,T16,T16,Doug LaBelle II,72,90.0,9.0,10
17,T18,T18,K.J. Choi,85,87.5,7.0,8
18,T18,T18,Martin Flores,83,87.5,7.0,8
19,T18,T18,Tommy Gainey,84,87.5,7.0,8
20,T18,T18,Brian Gay,79,87.5,7.0,8
21,T18,T18,Cameron Percy,68,87.5,7.0,8
22,T23,T23,Ernie Els,63,85.71,6.0,7
23,T23,T23,Matt Every,89,85.71,6.0,7
24,T23,T23,Jason Kokrak,78,85.71,6.0,7
25,T23,T23,Richard Lee,81,85.71,6.0,7
26,T23,T23,Alistair Presnell,59,85.71,6.0,7
27,T23,T23,Justin Rose,62,85.71,6.0,7
28,T23,T23,Jordan Spieth,82,85.71,6.0,7
29,T23,T23,Cameron Tringale,80,85.71,6.0,7
30,T31,T31,Jason Day,86,83.33,5.0,6
31,T31,T31,Justin Leonard,86,83.33,5.0,6
32,T31,T31,Eric Meierdierks,48,83.33,5.0,6
33,T31,T31,John Rollins,77,83.33,5.0,6
34,T31,T31,Shawn Stefani,63,83.33,5.0,6
35,36,36,Nicholas Thompson,99,81.82,9.0,11
36,T37,T37,James Driscoll,76,80.0,4.0,5
37,T37,T37,Jim Furyk,80,80.0,4.0,5
38,T37,T37,William McGirt,75,80.0,4.0,5
39,T37,T37,Andres Romero,63,80.0,4.0,5
40,T37,T37,John Senden,79,80.0,4.0,5
41,T37,T37,Camilo Villegas,79,80.0,4.0,5
42,T37,T37,Boo Weekley,100,80.0,4.0,5
43,44,44,Lee Williams,62,77.78,7.0,9
44,T45,T45,Steven Bowditch,67,75.0,3.0,4
45,T45,T45,Ben Curtis,59,75.0,3.0,4
46,T45,T45,Robert Karlsson,56,75.0,6.0,8
47,T45,T45,D.A. Points,87,75.0,6.0,8
48,T45,T45,Tag Ridings,69,75.0,6.0,8
49,T45,T45,Scott Stallings,79,75.0,3.0,4
50,T45,T45,Bubba Watson,76,75.0,3.0,4
51,T52,T52,Robert Allenby,58,71.43,5.0,7
52,T52,T52,Roberto Castro,97,71.43,5.0,7
53,T52,T52,Russell Henley,80,71.43,5.0,7
54,T52,T52,Josh Teater,86,71.43,5.0,7
55,T52,T52,Jimmy Walker,84,71.43,5.0,7
56,T57,T57,Jonas Blixt,76,66.67,4.0,6
57,T57,T57,Jason Bohn,70,66.67,4.0,6
58,T57,T57,Rickie Fowler,75,66.67,2.0,3
59,T57,T57,Brad Fritsch,81,66.67,4.0,6
60,T57,T57,Tim Herron,45,66.67,2.0,3
61,T57,T57,Brandt Jobe,62,66.67,4.0,6
62,T57,T57,D.H. Lee,65,66.67,4.0,6
63,T57,T57,Henrik Norlander,70,66.67,4.0,6
64,T57,T57,Sean O'Hair,56,66.67,4.0,6
65,T57,T57,Scott Piercy,78,66.67,6.0,9
66,T57,T57,Dicky Pride,71,66.67,4.0,6
67,T57,T57,Chez Reavie,72,66.67,6.0,9
68,T57,T57,Kyle Stanley,71,66.67,4.0,6
69,70,70,Brandt Snedeker,79,63.64,7.0,11
70,T71,T71,Ben Crane,62,62.5,5.0,8
71,T71,T71,George McNeill,68,62.5,5.0,8
72,T71,T71,Greg Owen,73,62.5,5.0,8
73,T71,T71,Charl Schwartzel,69,62.5,5.0,8
74,T71,T71,Johnson Wagner,64,62.5,5.0,8
75,T76,T76,Derek Ernst,58,60.0,3.0,5
76,T76,T76,Tom Gillis,69,60.0,6.0,10
77,T76,T76,Ryo Ishikawa,72,60.0,3.0,5
78,T76,T76,Chris Kirk,89,60.0,6.0,10
79,T76,T76,John Merrick,79,60.0,3.0,5
80,T76,T76,Ryan Moore,72,60.0,3.0,5
81,T76,T76,Seung-Yul Noh,71,60.0,3.0,5
82,T76,T76,Rod Pampling,46,60.0,3.0,5
83,T76,T76,Jin Park,52,60.0,3.0,5
84,T76,T76,Darron Stiles,51,60.0,3.0,5
85,T76,T76,Michael Thompson,66,60.0,3.0,5
86,T76,T76,Lee Westwood,70,60.0,3.0,5
87,T88,T88,Brian Davis,91,57.14,4.0,7
88,T88,T88,Harris English,95,57.14,4.0,7
89,T88,T88,Bob Estes,66,57.14,4.0,7
90,T88,T88,J.J. Henry,83,57.14,4.0,7
91,T88,T88,Morgan Hoffmann,64,57.14,4.0,7
92,T88,T88,Charles Howell III,87,57.14,4.0,7
93,T88,T88,Matt Jones,83,57.14,4.0,7
94,T88,T88,Jeff Maggert,63,57.14,4.0,7
95,T88,T88,Patrick Reed,83,57.14,4.0,7
96,T88,T88,Vijay Singh,61,57.14,4.0,7
97,T98,T98,Colt Knost,69,55.56,5.0,9
98,T98,T98,Chris Stroud,88,55.56,5.0,9
99,T100,T100,Stuart Appleby,88,50.0,2.0,4
100,T100,T100,Sangmoon Bae,83,50.0,3.0,6
101,T100,T100,Charlie Beljan,62,50.0,2.0,4
102,T100,T100,Keegan Bradley,88,50.0,4.0,8
103,T100,T100,Tim Clark,64,50.0,2.0,4
104,T100,T100,Brendon de Jonge,110,50.0,3.0,6
105,T100,T100,Jason Dufner,78,50.0,1.0,2
106,T100,T100,Robert Garrigus,69,50.0,1.0,2
107,T100,T100,Lucas Glover,65,50.0,4.0,8
