,Scrambling_from_the_Rough_RANK THIS WEEK,Scrambling_from_the_Rough_RANK LAST WEEK,Scrambling_from_the_Rough_PLAYER NAME,Scrambling_from_the_Rough_ROUNDS,Scrambling_from_the_Rough_%,Scrambling_from_the_Rough_SUCCESSES,Scrambling_from_the_Rough_ATTEMPTS
0,1,1,Steve Stricker,51,78.69,48,61
1,2,2,Ian Poulter,59,69.66,62,89
2,3,3,Henrik Stenson,65,67.57,50,74
3,4,4,Freddie Jacobson,63,67.52,79,117
4,5,5,David Lynn,70,66.67,112,168
5,6,6,Peter Hanson,45,66.36,71,107
6,7,7,Matt Jones,83,66.25,106,160
7,8,8,Scott Langley,79,65.77,98,149
8,T9,T9,Sergio Garcia,65,65.22,60,92
9,T9,T9,Richard Lee,81,65.22,105,161
10,11,11,Bo Van Pelt,72,64.91,74,114
11,12,12,Brandt Snedeker,79,64.62,84,130
12,13,13,Charlie Wi,75,64.53,111,172
13,14,14,Lee Williams,62,64.49,89,138
14,15,15,Jonas Blixt,76,63.98,119,186
15,16,16,Luke Guthrie,82,63.78,125,196
16,17,17,Bill Haas,85,63.58,96,151
17,18,18,K.J. Choi,85,63.25,74,117
18,19,19,Stuart Appleby,88,63.19,115,182
19,20,20,James Driscoll,76,62.58,102,163
20,21,21,"Ted Potter, Jr.",65,62.5,80,128
21,22,22,Chris Kirk,89,62.2,102,164
22,23,23,John Huh,88,61.78,97,157
23,24,24,Tim Clark,64,61.47,67,109
24,25,25,Martin Flores,83,61.45,110,179
25,26,26,Brian Gay,79,61.43,137,223
26,27,27,Ryan Moore,72,61.33,92,150
27,28,28,Graeme McDowell,53,61.22,60,98
28,29,29,Robert Streb,75,61.07,91,149
29,30,30,Chris Stroud,88,60.96,114,187
30,T31,T31,Brendon de Jonge,110,60.95,128,210
31,T31,T31,Jimmy Walker,84,60.95,103,169
32,33,33,Justin Leonard,86,60.75,113,186
33,34,34,Y.E. Yang,56,60.71,68,112
34,35,35,Zach Johnson,84,60.65,94,155
35,36,36,Phil Mickelson,78,60.63,97,160
36,37,37,Brendan Steele,86,60.36,102,169
37,38,38,Russell Henley,80,60.12,98,163
38,T39,T39,Geoff Ogilvy,57,60.0,78,130
39,T39,T39,Brian Stuard,78,60.0,93,155
40,41,41,Graham DeLaet,94,59.87,91,152
41,42,42,Cameron Percy,68,59.85,82,137
42,43,43,Jason Dufner,78,59.84,76,127
43,44,44,Bryce Molder,82,59.77,104,174
44,45,45,Fabián Gómez,65,59.73,89,149
45,46,46,Kevin Streelman,86,59.65,102,171
46,47,47,Erik Compton,74,59.63,96,161
47,48,48,Keegan Bradley,88,59.62,93,156
48,49,49,D.A. Points,87,59.55,106,178
49,T50,T50,Jim Furyk,80,59.52,75,126
50,T50,T50,Rory Sabbatini,86,59.52,100,168
