,Scrambling_Rough_RTP_Score_RANK THIS WEEK,Scrambling_Rough_RTP_Score_RANK LAST WEEK,Scrambling_Rough_RTP_Score_PLAYER NAME,Scrambling_Rough_RTP_Score_ROUNDS,Scrambling_Rough_RTP_Score_AVG RTP,Scrambling_Rough_RTP_Score_TOTAL HOLES,Scrambling_Rough_RTP_Score_TOTAL RTP
0,1,1,Steve Stricker,51,0.16399999999999998,61,10.0
1,2,2,David Lynn,70,0.321,168,54.0
2,3,3,Sergio Garcia,65,0.326,92,30.0
3,4,4,Freddie Jacobson,63,0.342,117,40.0
4,5,5,Brandt Snedeker,79,0.34600000000000003,130,45.0
5,6,6,Matt Jones,83,0.35,160,56.0
6,7,7,K.J. Choi,85,0.359,117,42.0
7,8,8,Brian Gay,79,0.368,223,82.0
8,T9,T9,Bill Haas,85,0.371,151,56.0
9,T9,T9,Ian Poulter,59,0.371,89,33.0
10,11,11,Charlie Wi,75,0.37200000000000005,172,64.0
11,12,12,Peter Hanson,45,0.374,107,40.0
12,13,13,Stuart Appleby,88,0.379,182,69.0
13,14,14,Scott Langley,79,0.389,149,58.0
14,15,15,Richard Lee,81,0.391,161,63.0
15,T16,T16,Justin Leonard,86,0.392,186,73.0
16,T16,T16,Kevin Streelman,86,0.392,171,67.0
17,18,18,Luke Guthrie,82,0.39299999999999996,196,77.0
18,19,19,Tim Clark,64,0.39399999999999996,109,43.0
19,20,20,Justin Rose,62,0.395,86,34.0
20,T21,T21,Jonas Blixt,76,0.39799999999999996,186,74.0
21,T21,T21,Graeme McDowell,53,0.39799999999999996,98,39.0
22,23,23,Lee Williams,62,0.39899999999999997,138,55.0
23,T24,T24,Brendon de Jonge,110,0.4,210,84.0
24,T24,T24,Phil Mickelson,78,0.4,160,64.0
25,T24,T24,Ryan Moore,72,0.4,150,60.0
26,T27,T27,Bryce Molder,82,0.402,174,70.0
27,T27,T27,Jimmy Walker,84,0.402,169,68.0
28,29,29,Bo Van Pelt,72,0.40399999999999997,114,46.0
29,30,30,"Ted Potter, Jr.",65,0.406,128,52.0
30,31,31,Brian Davis,91,0.409,208,85.0
31,32,32,D.A. Points,87,0.41,178,73.0
32,T33,T33,Martin Flores,83,0.413,179,74.0
33,T33,T33,Zach Johnson,84,0.413,155,64.0
34,T33,T33,Scott Piercy,78,0.413,155,64.0
35,T36,T36,Cameron Percy,68,0.41600000000000004,137,57.0
36,T36,T36,Robert Streb,75,0.41600000000000004,149,62.0
37,38,38,James Driscoll,76,0.41700000000000004,163,68.0
38,T39,T39,Henrik Stenson,65,0.419,74,31.0
39,T39,T39,Brian Stuard,78,0.419,155,65.0
40,41,41,John Huh,88,0.42,157,66.0
41,42,42,Chris Stroud,88,0.42200000000000004,187,79.0
42,43,43,Keegan Bradley,88,0.423,156,66.0
43,44,44,Jason Dufner,78,0.425,127,54.0
44,45,45,Charl Schwartzel,69,0.426,101,43.0
45,T46,T46,Ernie Els,63,0.42700000000000005,103,44.0
46,T46,T46,Chris Kirk,89,0.42700000000000005,164,70.0
47,48,48,Graham DeLaet,94,0.428,152,65.0
48,T49,T49,D.H. Lee,65,0.43,128,55.0
49,T49,T49,Jordan Spieth,82,0.43,151,65.0
50,51,51,Geoff Ogilvy,57,0.431,130,56.0
51,T52,T52,Jason Day,86,0.43200000000000005,183,79.0
52,T52,T52,Luke Donald,60,0.43200000000000005,111,48.0
53,54,54,Ben Kohles,75,0.433,157,68.0
54,55,55,Kevin Chappell,80,0.435,170,74.0
55,T56,T56,Charles Howell III,87,0.43799999999999994,185,81.0
56,T56,T56,Brendan Steele,86,0.43799999999999994,169,74.0
57,58,58,Webb Simpson,92,0.439,189,83.0
58,59,59,Rory Sabbatini,86,0.44,168,74.0
59,60,60,David Hearn,88,0.441,179,79.0
60,61,61,Adam Scott,61,0.442,104,46.0
61,T62,T62,Vijay Singh,61,0.44299999999999995,97,43.0
62,T62,T62,Cameron Tringale,80,0.44299999999999995,183,81.0
63,T64,T64,Ángel Cabrera,73,0.444,162,72.0
64,T64,T64,Roberto Castro,97,0.444,187,83.0
65,T64,T64,Jim Furyk,80,0.444,126,56.0
66,T64,T64,Steve LeBrun,66,0.444,124,55.0
67,T64,T64,Lee Westwood,70,0.444,124,55.0
68,T69,T69,John Senden,79,0.446,148,66.0
69,T69,T69,Nicholas Thompson,99,0.446,202,90.0
70,T69,T69,Y.E. Yang,56,0.446,112,50.0
71,72,72,Ben Crane,62,0.447,132,59.0
72,73,73,Russell Henley,80,0.44799999999999995,163,73.0
73,T74,T74,Robert Karlsson,56,0.449,118,53.0
74,T74,T74,Carl Pettersson,82,0.449,138,62.0
75,76,76,Trevor Immelman,73,0.451,142,64.0
76,77,77,Dustin Johnson,71,0.45299999999999996,137,62.0
77,78,78,Charley Hoffman,84,0.45399999999999996,163,74.0
78,79,79,Matt Kuchar,93,0.455,167,76.0
79,T80,T80,Scott Brown,65,0.456,136,62.0
80,T80,T80,Fabián Gómez,65,0.456,149,68.0
81,T80,T80,Casey Wittenberg,72,0.456,182,83.0
82,83,83,Rickie Fowler,75,0.457,164,75.0
83,T84,T84,Padraig Harrington,52,0.45899999999999996,85,39.0
84,T84,T84,Nick Watney,88,0.45899999999999996,157,72.0
85,T86,T86,John Rollins,77,0.46,137,63.0
86,T86,T86,Daniel Summerhays,83,0.46,176,81.0
87,T86,T86,Bubba Watson,76,0.46,113,52.0
88,T86,T86,Tiger Woods,61,0.46,100,46.0
89,90,90,Jerry Kelly,75,0.462,132,61.0
90,T91,T91,Andres Romero,63,0.46299999999999997,123,57.0
91,T91,T91,Shawn Stefani,63,0.46299999999999997,134,62.0
92,93,93,Jeff Overton,78,0.46399999999999997,153,71.0
93,94,94,Marc Leishman,77,0.466,163,76.0
94,T95,T95,J.J. Henry,83,0.467,150,70.0
95,T95,T95,David Lingmerth,68,0.467,169,79.0
96,97,97,John Merrick,79,0.46799999999999997,158,74.0
97,98,98,Aaron Baddeley,68,0.47,200,94.0
98,99,99,Jeff Maggert,63,0.475,122,58.0
99,100,100,Tim Herron,45,0.47700000000000004,107,51.0
100,T101,T101,Chad Campbell,78,0.478,161,77.0
101,T101,T101,Erik Compton,74,0.478,161,77.0
102,T101,T101,Greg Owen,73,0.478,136,65.0
103,T101,T101,Patrick Reed,83,0.478,224,107.0
104,T105,T105,Brian Harman,89,0.479,188,90.0
105,T105,T105,Jason Kokrak,78,0.479,165,79.0
106,T105,T105,Pat Perez,69,0.479,140,67.0
107,T108,T108,Matt Every,89,0.48,152,73.0
108,T108,T108,Martin Laird,68,0.48,123,59.0
109,T110,T110,Bob Estes,66,0.48200000000000004,114,55.0
110,T110,T110,Dicky Pride,71,0.48200000000000004,141,68.0
111,112,112,Mike Weir,60,0.486,148,72.0
112,113,113,Ken Duke,87,0.48700000000000004,193,94.0
113,114,114,Troy Matteson,68,0.49,143,70.0
114,115,115,Scott Stallings,79,0.491,163,80.0
115,T116,T116,Johnson Wagner,64,0.49200000000000005,118,58.0
116,T116,T116,Gary Woodland,94,0.49200000000000005,183,90.0
117,118,118,Chez Reavie,72,0.493,142,70.0
118,119,119,Andrew Svoboda,46,0.494,81,40.0
119,T120,T120,Michael Bradley,56,0.495,97,48.0
120,T120,T120,Rory McIlroy,56,0.495,103,51.0
121,122,122,Justin Bolli,59,0.496,139,69.0
122,123,123,Morgan Hoffmann,64,0.49700000000000005,161,80.0
123,T124,T124,Charlie Beljan,62,0.5,120,60.0
124,T124,T124,Will Claxton,67,0.5,128,64.0
125,T126,T126,Doug LaBelle II,72,0.503,149,75.0
126,T126,T126,Hunter Mahan,91,0.503,149,75.0
127,T128,T128,David Mathis,71,0.504,141,71.0
128,T128,T128,Kyle Stanley,71,0.504,135,68.0
129,T130,T130,Harris English,95,0.505,216,109.0
130,T130,T130,D.J. Trahan,48,0.505,101,51.0
131,T130,T130,Aaron Watkins,46,0.505,103,52.0
132,T133,T133,Nicolas Colsaerts,50,0.506,81,41.0
133,T133,T133,Tom Gillis,69,0.506,172,87.0
134,T133,T133,Ryan Palmer,79,0.506,160,81.0
135,136,136,Billy Horschel,96,0.508,187,95.0
136,137,137,Vaughn Taylor,50,0.509,112,57.0
137,T138,T138,James Hahn,78,0.511,178,91.0
138,T138,T138,Alistair Presnell,59,0.511,135,69.0
139,140,140,Martin Kaymer,61,0.513,80,41.0
140,T141,T141,Jason Bohn,70,0.514,146,75.0
141,T141,T141,Bobby Gates,49,0.514,105,54.0
142,T141,T141,Boo Weekley,100,0.514,185,95.0
143,144,144,Jim Herman,59,0.515,103,53.0
144,145,145,Lucas Glover,65,0.518,114,59.0
145,T146,T146,Josh Teater,86,0.519,135,70.0
146,T146,T146,Mark Wilson,56,0.519,104,54.0
147,T148,T148,Brandt Jobe,62,0.52,98,51.0
148,T148,T148,George McNeill,68,0.52,150,78.0
149,150,150,Tag Ridings,69,0.521,140,73.0
150,T151,T151,William McGirt,75,0.523,130,68.0
151,T151,T151,Michael Thompson,66,0.523,149,78.0
152,153,153,Darron Stiles,51,0.526,116,61.0
153,154,154,Steven Bowditch,67,0.528,159,84.0
154,155,155,Ben Curtis,59,0.531,113,60.0
155,T156,T156,Scott Gardiner,61,0.532,141,75.0
156,T156,T156,Eric Meierdierks,48,0.532,94,50.0
157,T158,T158,Stephen Ames,49,0.5329999999999999,105,56.0
158,T158,T158,Colt Knost,69,0.5329999999999999,137,73.0
159,160,160,Robert Allenby,58,0.534,146,78.0
160,161,161,David Toms,49,0.536,69,37.0
161,T162,T162,Sangmoon Bae,83,0.539,191,103.0
162,T162,T162,Jin Park,52,0.539,102,55.0
163,164,164,Seung-Yul Noh,71,0.544,169,92.0
164,165,165,Brad Fritsch,81,0.546,163,89.0
165,166,166,Ryo Ishikawa,72,0.557,140,78.0
166,167,167,Tommy Gainey,84,0.56,200,112.0
167,168,168,Bud Cauley,67,0.563,142,80.0
168,169,169,Rod Pampling,46,0.57,79,45.0
169,170,170,Camilo Villegas,79,0.5720000000000001,152,87.0
170,171,171,Henrik Norlander,70,0.5760000000000001,132,76.0
171,172,172,Greg Chalmers,77,0.578,161,93.0
172,173,173,Luke List,65,0.5820000000000001,158,92.0
173,174,174,Derek Ernst,58,0.584,149,87.0
174,175,175,Robert Garrigus,69,0.5870000000000001,126,74.0
175,176,176,Justin Hicks,79,0.593,135,80.0
176,177,177,Stewart Cink,71,0.603,126,76.0
177,178,178,Kevin Stadler,83,0.607,140,85.0
178,179,179,Sean O'Hair,56,0.61,136,83.0
179,180,180,Ricky Barnes,74,0.615,109,67.0
