,Sand_Saves_from_30_yards_RANK THIS WEEK,Sand_Saves_from_30_yards_RANK LAST WEEK,Sand_Saves_from_30_yards_PLAYER NAME,Sand_Saves_from_30_yards_ROUNDS,Sand_Saves_from_30_yards_%,Sand_Saves_from_30_yards_# OF SAVES,Sand_Saves_from_30_yards_# OF BUNKERS
0,T1,T1,Luke Donald,60,100.0,3.0,3
1,T1,T1,Geoff Ogilvy,57,100.0,2.0,2
2,3,3,Jin Park,52,80.0,4.0,5
3,T4,T4,Charlie Beljan,62,75.0,3.0,4
4,T4,T4,Peter Hanson,45,75.0,3.0,4
5,T4,T4,Steve Stricker,51,75.0,3.0,4
6,7,7,Josh Teater,86,71.43,5.0,7
7,8,8,Luke List,65,69.23,9.0,13
8,T9,T9,Bryce Molder,82,66.67,2.0,3
9,T9,T9,Henrik Stenson,65,66.67,2.0,3
10,11,11,Harris English,95,64.29,9.0,14
11,T12,T12,Tommy Gainey,84,62.5,10.0,16
12,T12,T12,Brandt Snedeker,79,62.5,5.0,8
13,T14,T14,Nicolas Colsaerts,50,60.0,3.0,5
14,T14,T14,Jim Herman,59,60.0,3.0,5
15,T14,T14,Jason Kokrak,78,60.0,6.0,10
16,17,17,Carl Pettersson,82,58.82,10.0,17
17,T18,T18,Alistair Presnell,59,58.33,7.0,12
18,T18,T18,Charlie Wi,75,58.33,7.0,12
19,T20,T20,Bob Estes,66,57.14,4.0,7
20,T20,T20,Billy Horschel,96,57.14,8.0,14
21,T20,T20,Seung-Yul Noh,71,57.14,8.0,14
22,T20,T20,Henrik Norlander,70,57.14,4.0,7
23,T20,T20,Kevin Streelman,86,57.14,4.0,7
24,T25,T25,Michael Bradley,56,55.56,5.0,9
25,T25,T25,Kevin Chappell,80,55.56,5.0,9
26,T27,T27,Matt Kuchar,93,54.55,6.0,11
27,T27,T27,Casey Wittenberg,72,54.55,6.0,11
28,T29,T29,Jason Bohn,70,50.0,5.0,10
29,T29,T29,Roberto Castro,97,50.0,4.0,8
30,T29,T29,Ben Crane,62,50.0,6.0,12
31,T29,T29,Jim Furyk,80,50.0,2.0,4
32,T29,T29,Lucas Glover,65,50.0,5.0,10
33,T29,T29,Fabián Gómez,65,50.0,3.0,6
34,T29,T29,James Hahn,78,50.0,4.0,8
35,T29,T29,Padraig Harrington,52,50.0,3.0,6
36,T29,T29,Morgan Hoffmann,64,50.0,3.0,6
37,T29,T29,David Lynn,70,50.0,8.0,16
