,Scrambling_from_10-20_yards_RANK THIS WEEK,Scrambling_from_10-20_yards_RANK LAST WEEK,Scrambling_from_10-20_yards_PLAYER NAME,Scrambling_from_10-20_yards_ROUNDS,Scrambling_from_10-20_yards_%,Scrambling_from_10-20_yards_SUCCESSES,Scrambling_from_10-20_yards_ATTEMPTS
0,1,1,Ian Poulter,59,75.21,91,121
1,2,2,Steve Stricker,51,75.0,57,76
2,3,3,David Lynn,70,74.83,110,147
3,4,4,Charles Howell III,87,74.59,138,185
4,5,5,Padraig Harrington,52,74.47,70,94
5,6,6,Luke Donald,60,74.38,90,121
6,7,7,Bob Estes,66,73.77,135,183
7,8,8,Stuart Appleby,88,73.66,151,205
8,9,9,Chris Kirk,89,72.86,145,199
9,10,10,Tiger Woods,61,72.82,75,103
10,11,11,Bryce Molder,82,72.68,149,205
11,12,12,Richard Lee,81,72.63,138,190
12,13,13,Jonas Blixt,76,71.78,145,202
13,14,14,Chris Stroud,88,71.37,162,227
14,15,15,Keegan Bradley,88,71.35,132,185
15,16,16,Erik Compton,74,70.99,115,162
16,17,17,Brian Gay,79,70.87,163,230
17,18,18,Martin Flores,83,70.78,155,219
18,19,19,Steven Bowditch,67,70.73,116,164
19,20,20,Bill Haas,85,70.72,128,181
20,21,21,Brandt Snedeker,79,70.67,106,150
21,22,22,Lee Williams,62,70.63,101,143
22,T23,T23,Freddie Jacobson,63,70.15,94,134
23,T23,T23,Cameron Tringale,80,70.15,141,201
24,25,25,Graeme McDowell,53,70.09,82,117
25,26,26,Matt Kuchar,93,69.95,128,183
26,27,27,Tim Clark,64,69.92,93,133
27,28,28,K.J. Choi,85,69.7,115,165
28,29,29,Cameron Percy,68,69.68,108,155
29,30,30,Jason Day,86,69.59,119,171
30,31,31,Matt Jones,83,69.15,139,201
31,32,32,David Toms,49,69.14,56,81
32,33,33,Tom Gillis,69,69.1,123,178
33,34,34,Aaron Watkins,46,69.07,67,97
34,35,35,Sergio Garcia,65,68.97,80,116
35,36,36,Jerry Kelly,75,68.82,117,170
36,37,37,Greg Chalmers,77,68.78,141,205
37,38,38,Troy Matteson,68,68.59,107,156
38,39,39,Justin Rose,62,68.37,67,98
39,40,40,George McNeill,68,68.29,112,164
40,41,41,John Huh,88,68.08,145,213
41,42,42,Darron Stiles,51,68.07,81,119
42,43,43,Kevin Streelman,86,68.04,132,194
43,44,44,Hunter Mahan,91,67.97,104,153
44,45,45,Ernie Els,63,67.91,91,134
45,46,46,Chad Campbell,78,67.88,112,165
46,47,47,James Driscoll,76,67.81,99,146
47,48,48,Ben Curtis,59,67.77,82,121
48,49,49,Jordan Spieth,82,67.6,121,179
49,50,50,Scott Langley,79,67.48,110,163
50,51,51,Bo Van Pelt,72,67.31,105,156
51,52,52,Morgan Hoffmann,64,67.13,96,143
52,53,53,Peter Hanson,45,67.07,55,82
53,54,54,Brendan Steele,86,66.83,133,199
54,55,55,Patrick Reed,83,66.82,141,211
55,56,56,Trevor Immelman,73,66.67,112,168
56,57,57,Daniel Summerhays,83,66.5,137,206
57,58,58,Aaron Baddeley,68,66.48,119,179
58,59,59,Justin Bolli,59,66.45,101,152
59,60,60,Lee Westwood,70,66.44,97,146
60,61,61,Brendon de Jonge,110,66.39,158,238
61,62,62,William McGirt,75,66.32,126,190
62,63,63,Brian Stuard,78,66.28,114,172
63,64,64,Justin Leonard,86,66.04,140,212
64,T65,T65,Luke Guthrie,82,65.98,128,194
65,T65,T65,Rod Pampling,46,65.98,64,97
66,67,67,Zach Johnson,84,65.82,104,158
67,68,68,Jeff Maggert,63,65.69,90,137
68,69,69,Jim Furyk,80,65.66,109,166
69,70,70,Geoff Ogilvy,57,65.38,85,130
70,71,71,Stewart Cink,71,65.31,96,147
71,72,72,Scott Piercy,78,65.27,109,167
72,73,73,Ben Crane,62,65.22,105,161
73,74,74,Brandt Jobe,62,65.19,88,135
74,75,75,Webb Simpson,92,65.14,114,175
75,T76,T76,Tag Ridings,69,65.07,95,146
76,T76,T76,Charl Schwartzel,69,65.07,95,146
77,78,78,Robert Karlsson,56,65.05,67,103
78,79,79,Stephen Ames,49,65.0,78,120
79,T80,T80,Jimmy Walker,84,64.97,115,177
80,T80,T80,Mike Weir,60,64.97,102,157
81,82,82,Robert Streb,75,64.94,100,154
82,83,83,Casey Wittenberg,72,64.78,103,159
83,84,84,Russell Henley,80,64.67,108,167
84,85,85,D.A. Points,87,64.65,128,198
85,86,86,Charlie Wi,75,64.55,142,220
86,87,87,Henrik Stenson,65,64.42,67,104
87,88,88,Ryan Moore,72,64.38,94,146
88,89,89,David Hearn,88,64.33,110,171
89,90,90,"Ted Potter, Jr.",65,64.29,99,154
90,91,91,Graham DeLaet,94,64.2,104,162
91,92,92,Phil Mickelson,78,64.19,95,148
92,93,93,John Rollins,77,64.15,102,159
93,94,94,Roberto Castro,97,64.1,150,234
94,95,95,Alistair Presnell,59,64.06,82,128
95,96,96,Bud Cauley,67,64.03,89,139
96,97,97,Fabián Gómez,65,63.92,101,158
97,98,98,Brad Fritsch,81,63.87,122,191
98,99,99,Jeff Overton,78,63.82,127,199
99,T100,T100,Henrik Norlander,70,63.69,100,157
100,T100,T100,Dicky Pride,71,63.69,114,179
101,102,102,David Lingmerth,68,63.58,110,173
102,103,103,Pat Perez,69,63.51,94,148
103,104,104,Johnson Wagner,64,63.5,87,137
104,T105,T105,Ben Kohles,75,63.46,99,156
105,T105,T105,Marc Leishman,77,63.46,99,156
106,107,107,Doug LaBelle II,72,63.45,92,145
107,108,108,Rickie Fowler,75,63.39,116,183
108,109,109,Jin Park,52,63.25,74,117
109,110,110,Shawn Stefani,63,63.19,91,144
110,111,111,Matt Every,89,63.16,144,228
111,112,112,Colt Knost,69,63.13,101,160
112,113,113,Nick Watney,88,63.1,106,168
113,114,114,Brian Harman,89,63.03,133,211
114,115,115,J.J. Henry,83,62.92,112,178
115,116,116,Brian Davis,91,62.89,161,256
116,117,117,Rory Sabbatini,86,62.86,110,175
117,118,118,Seung-Yul Noh,71,62.82,98,156
118,119,119,Mark Wilson,56,62.59,87,139
119,T120,T120,Ryo Ishikawa,72,62.5,85,136
120,T120,T120,Kevin Stadler,83,62.5,110,176
121,T120,T120,Camilo Villegas,79,62.5,105,168
122,123,123,Sean O'Hair,56,62.25,94,151
123,T124,T124,David Mathis,71,62.22,112,180
124,T124,T124,Ryan Palmer,79,62.22,112,180
125,126,126,Scott Stallings,79,62.21,107,172
126,127,127,Greg Owen,73,62.2,102,164
127,128,128,Rory McIlroy,56,62.0,62,100
128,129,129,D.H. Lee,65,61.96,101,163
129,130,130,Carl Pettersson,82,61.88,112,181
130,131,131,Martin Laird,68,61.7,87,141
131,132,132,Bubba Watson,76,61.69,95,154
132,133,133,Gary Woodland,94,61.54,128,208
133,134,134,Michael Bradley,56,61.46,59,96
134,T135,T135,Jason Bohn,70,61.38,116,189
135,T135,T135,Ángel Cabrera,73,61.38,89,145
136,137,137,Andrew Svoboda,46,61.36,54,88
137,138,138,Nicolas Colsaerts,50,61.32,65,106
138,139,139,Kevin Chappell,80,61.21,101,165
139,140,140,Jason Kokrak,78,61.17,115,188
140,141,141,Andres Romero,63,61.15,96,157
141,142,142,Vijay Singh,61,60.94,78,128
142,143,143,Dustin Johnson,71,60.87,70,115
143,144,144,Ken Duke,87,60.81,135,222
144,145,145,Steve LeBrun,66,60.74,82,135
145,146,146,Billy Horschel,96,60.47,130,215
146,147,147,Michael Thompson,66,60.37,99,164
147,148,148,Tim Herron,45,60.33,73,121
148,149,149,Luke List,65,60.14,86,143
149,T150,T150,Harris English,95,60.0,120,200
150,T150,T150,Adam Scott,61,60.0,63,105
151,152,152,John Merrick,79,59.77,104,174
152,153,153,Jason Dufner,78,59.73,89,149
153,154,154,Martin Kaymer,61,59.65,68,114
154,155,155,Charlie Beljan,62,59.49,94,158
155,156,156,Boo Weekley,100,59.3,118,199
156,157,157,Charley Hoffman,84,59.07,114,193
157,158,158,Lucas Glover,65,59.02,72,122
158,159,159,Ricky Barnes,74,58.75,94,160
159,160,160,Vaughn Taylor,50,58.68,71,121
160,161,161,Will Claxton,67,58.11,86,148
161,162,162,James Hahn,78,58.05,101,174
162,163,163,Chez Reavie,72,58.01,105,181
163,164,164,Tommy Gainey,84,57.87,125,216
164,165,165,Robert Allenby,58,57.82,85,147
165,166,166,Scott Brown,65,57.79,89,154
166,167,167,Y.E. Yang,56,57.76,67,116
167,168,168,Josh Teater,86,57.65,98,170
168,169,169,Bobby Gates,49,57.55,61,106
169,170,170,Nicholas Thompson,99,57.21,131,229
170,171,171,Robert Garrigus,69,57.14,72,126
171,172,172,Sangmoon Bae,83,56.98,98,172
172,173,173,Kyle Stanley,71,56.82,75,132
173,174,174,Scott Gardiner,61,56.41,88,156
174,175,175,John Senden,79,56.18,100,178
175,176,176,Justin Hicks,79,56.0,84,150
176,177,177,D.J. Trahan,48,55.56,50,90
177,178,178,Jim Herman,59,54.78,63,115
178,179,179,Derek Ernst,58,54.2,71,131
179,180,180,Eric Meierdierks,48,43.27,45,104
