,Scrambling_10-20_yds_RTP_Score_RANK THIS WEEK,Scrambling_10-20_yds_RTP_Score_RANK LAST WEEK,Scrambling_10-20_yds_RTP_Score_PLAYER NAME,Scrambling_10-20_yds_RTP_Score_ROUNDS,Scrambling_10-20_yds_RTP_Score_AVG RTP,Scrambling_10-20_yds_RTP_Score_TOTAL HOLES,Scrambling_10-20_yds_RTP_Score_TOTAL RTP
0,1,1,David Lynn,70,0.204,147,30.0
1,2,2,Luke Donald,60,0.215,121,26.0
2,3,3,Charles Howell III,87,0.222,185,41.0
3,4,4,Steve Stricker,51,0.22399999999999998,76,17.0
4,5,5,Padraig Harrington,52,0.245,94,23.0
5,6,6,Bryce Molder,82,0.249,205,51.0
6,7,7,Freddie Jacobson,63,0.261,134,35.0
7,T8,T8,Jonas Blixt,76,0.262,202,53.0
8,T8,T8,Tiger Woods,61,0.262,103,27.0
9,10,10,Stuart Appleby,88,0.263,205,54.0
10,11,11,Chris Stroud,88,0.264,227,60.0
11,T12,T12,Chris Kirk,89,0.266,199,53.0
12,T12,T12,Lee Williams,62,0.266,143,38.0
13,14,14,Brandt Snedeker,79,0.267,150,40.0
14,15,15,Bob Estes,66,0.268,183,49.0
15,16,16,Brian Gay,79,0.27,230,62.0
16,17,17,Cameron Percy,68,0.271,155,42.0
17,18,18,Ian Poulter,59,0.273,121,33.0
18,19,19,Martin Flores,83,0.27399999999999997,219,60.0
19,20,20,Justin Rose,62,0.276,98,27.0
20,21,21,Keegan Bradley,88,0.281,185,52.0
21,22,22,Bill Haas,85,0.287,181,52.0
22,23,23,Aaron Watkins,46,0.289,97,28.0
23,24,24,Tim Clark,64,0.293,133,39.0
24,25,25,Richard Lee,81,0.295,190,56.0
25,26,26,Erik Compton,74,0.29600000000000004,162,48.0
26,27,27,Ben Curtis,59,0.298,121,36.0
27,T28,T28,Steven Bowditch,67,0.299,164,49.0
28,T28,T28,Cameron Tringale,80,0.299,201,60.0
29,30,30,Jerry Kelly,75,0.3,170,51.0
30,31,31,Matt Kuchar,93,0.301,183,55.0
31,32,32,K.J. Choi,85,0.303,165,50.0
32,T33,T33,William McGirt,75,0.305,190,58.0
33,T33,T33,George McNeill,68,0.305,164,50.0
34,35,35,Hunter Mahan,91,0.307,153,47.0
35,36,36,Troy Matteson,68,0.308,156,48.0
36,37,37,Justin Leonard,86,0.311,212,66.0
37,38,38,Greg Chalmers,77,0.312,205,64.0
38,39,39,Matt Jones,83,0.313,201,63.0
39,40,40,Chad Campbell,78,0.315,165,52.0
40,T41,T41,Aaron Baddeley,68,0.318,179,57.0
41,T41,T41,Jordan Spieth,82,0.318,179,57.0
42,43,43,Sergio Garcia,65,0.319,116,37.0
