,Scrambling_from_Other_Locations_RANK THIS WEEK,Scrambling_from_Other_Locations_RANK LAST WEEK,Scrambling_from_Other_Locations_PLAYER NAME,Scrambling_from_Other_Locations_ROUNDS,Scrambling_from_Other_Locations_%,Scrambling_from_Other_Locations_SUCCESSES,Scrambling_from_Other_Locations_ATTEMPTS
0,1,1,Charles Howell III,87,74.47,105,141
1,2,2,Chris Kirk,89,70.11,122,174
2,3,3,David Toms,49,69.23,54,78
3,T4,T4,Morgan Hoffmann,64,68.57,72,105
4,T4,T4,Graeme McDowell,53,68.57,48,70
5,6,6,Mark Wilson,56,68.37,67,98
6,7,7,Bob Estes,66,67.79,101,149
7,8,8,Chris Stroud,88,67.66,113,167
8,9,9,John Senden,79,67.29,72,107
9,10,10,Chez Reavie,72,67.19,86,128
10,11,11,Steve Stricker,51,66.67,40,60
11,12,12,Roberto Castro,97,66.48,119,179
12,13,13,Jerry Kelly,75,65.94,91,138
13,14,14,Richard Lee,81,65.69,90,137
14,15,15,"Ted Potter, Jr.",65,65.49,74,113
15,16,16,K.J. Choi,85,64.66,75,116
16,17,17,Bryce Molder,82,64.56,102,158
17,18,18,Trevor Immelman,73,64.23,79,123
18,19,19,Tim Clark,64,64.13,59,92
19,20,20,Lee Westwood,70,64.04,57,89
20,21,21,Stephen Ames,49,63.87,76,119
21,22,22,Dicky Pride,71,63.83,90,141
22,23,23,D.J. Trahan,48,63.77,44,69
23,24,24,Freddie Jacobson,63,63.73,65,102
24,T25,T25,Ben Curtis,59,63.64,63,99
25,T25,T25,Jordan Spieth,82,63.64,84,132
26,27,27,Ryan Moore,72,63.53,54,85
27,28,28,Stuart Appleby,88,63.52,101,159
28,T29,T29,Hunter Mahan,91,63.39,71,112
29,T29,T29,Kevin Streelman,86,63.39,71,112
30,31,31,George McNeill,68,63.2,79,125
31,32,32,William McGirt,75,62.91,95,151
32,33,33,Ken Duke,87,62.9,78,124
33,34,34,Webb Simpson,92,62.86,66,105
34,35,35,Luke Donald,60,62.79,54,86
35,36,36,Brendon de Jonge,110,62.71,111,177
36,37,37,Bill Haas,85,62.39,68,109
37,38,38,Rory McIlroy,56,62.3,38,61
38,39,39,Ángel Cabrera,73,62.1,77,124
39,40,40,Camilo Villegas,79,62.04,85,137
40,T41,T41,Matt Jones,83,61.9,91,147
41,T41,T41,Rod Pampling,46,61.9,65,105
42,43,43,Steven Bowditch,67,61.87,86,139
43,44,44,Darron Stiles,51,61.82,68,110
44,45,45,Jim Herman,59,61.8,55,89
45,46,46,Sergio Garcia,65,61.76,42,68
46,47,47,Erik Compton,74,61.59,85,138
47,T48,T48,Jonas Blixt,76,61.48,75,122
48,T48,T48,Scott Brown,65,61.48,83,135
49,T48,T48,Jeff Maggert,63,61.48,75,122
50,T51,T51,Ben Crane,62,61.47,67,109
51,T51,T51,Fabián Gómez,65,61.47,67,109
52,53,53,Ernie Els,63,61.46,59,96
53,54,54,Brian Gay,79,61.39,97,158
54,55,55,Troy Matteson,68,61.31,84,137
55,56,56,Aaron Watkins,46,61.22,60,98
56,57,57,Ian Poulter,59,61.18,52,85
57,58,58,Russell Henley,80,61.11,66,108
58,59,59,Jason Day,86,60.92,53,87
59,T60,T60,David Hearn,88,60.87,98,161
60,T60,T60,Phil Mickelson,78,60.87,56,92
61,T62,T62,Harris English,95,60.84,87,143
62,T62,T62,Jimmy Walker,84,60.84,87,143
63,64,64,Aaron Baddeley,68,60.74,82,135
64,65,65,Martin Flores,83,60.71,102,168
65,66,66,Vijay Singh,61,60.53,46,76
66,67,67,John Huh,88,60.43,84,139
67,68,68,Derek Ernst,58,60.42,58,96
68,69,69,Luke Guthrie,82,60.33,73,121
69,70,70,Scott Piercy,78,60.32,76,126
70,71,71,Henrik Norlander,70,60.31,79,131
71,72,72,Jason Kokrak,78,60.29,82,136
72,73,73,Rickie Fowler,75,60.0,60,100
73,74,74,Greg Chalmers,77,59.87,94,157
74,75,75,David Lingmerth,68,59.81,64,107
75,76,76,Zach Johnson,84,59.65,68,114
76,77,77,J.J. Henry,83,59.59,87,146
77,78,78,Brian Stuard,78,59.56,81,136
78,79,79,Y.E. Yang,56,59.52,50,84
79,80,80,Tom Gillis,69,59.4,79,133
80,81,81,Brian Harman,89,59.34,108,182
81,82,82,Keegan Bradley,88,59.32,70,118
82,T83,T83,Graham DeLaet,94,59.29,83,140
83,T83,T83,Mike Weir,60,59.29,67,113
84,85,85,Ricky Barnes,74,59.12,81,137
85,86,86,Padraig Harrington,52,58.82,60,102
86,87,87,Kevin Stadler,83,58.7,81,138
87,88,88,Tiger Woods,61,58.67,44,75
88,89,89,Jin Park,52,58.65,61,104
89,90,90,Will Claxton,67,58.59,75,128
90,91,91,Robert Karlsson,56,58.44,45,77
91,92,92,Vaughn Taylor,50,58.33,56,96
92,93,93,John Merrick,79,58.27,74,127
93,94,94,Martin Kaymer,61,58.16,57,98
94,T95,T95,Bobby Gates,49,58.06,54,93
95,T95,T95,Jeff Overton,78,58.06,90,155
96,97,97,Shawn Stefani,63,57.98,69,119
