,Last_5_Events_-_Short_Game_RANK THIS WEEK,Last_5_Events_-_Short_Game_RANK LAST WEEK,Last_5_Events_-_Short_Game_PLAYER NAME,Last_5_Events_-_Short_Game_EVENTS,Last_5_Events_-_Short_Game_RATING
0,1,1,Andy Sullivan,1,10.0
1,2,2,Josh Teater,1,9.5
2,3,3,Jamie Lovemark,1,9.2
3,4,4,Brian Stuard,1,8.8
4,5,5,Trevor Immelman,1,8.5
5,T6,T6,Joe Affrunti,1,8.3
6,T6,T6,Tom Gillis,2,8.3
7,T6,T6,Garrett Osborn,1,8.3
8,T6,T6,Chris Riley,1,8.3
9,T6,T6,David Toms,1,8.3
10,11,11,Cameron Tringale,4,8.2
11,T12,T12,Shane Lowry,1,8.1
12,T12,T12,Peter Uihlein,1,8.1
13,T12,T12,Chris Williams,1,8.1
14,T15,T15,Pat Perez,3,8.0
15,T15,T15,Michael Smith,1,8.0
16,T15,T15,Kevin Tway,1,8.0
17,T18,T18,Daniel Berger,3,7.9
18,T18,T18,Rickie Fowler,4,7.9
19,T18,T18,Steve Marino,1,7.9
20,T18,T18,Rod Pampling,2,7.9
21,T18,T18,Sung Joon Park,1,7.9
22,23,23,Bill Lunde,1,7.8
23,24,24,Zac Blair,2,7.7
24,T25,T25,Ryan Armour,2,7.6
25,T25,T25,Charlie Beljan,1,7.6
26,T27,T27,Mark Anderson,2,7.5
27,T27,T27,Adam Hadwin,3,7.5
28,T27,T27,Wes Roach,1,7.5
29,T27,T27,Justin Rose,4,7.5
30,T27,T27,Michael Thompson,1,7.5
31,T32,T32,Eric Axley,1,7.4
32,T32,T32,Chad Campbell,3,7.4
33,T32,T32,Ben Crane,1,7.4
34,T32,T32,Tommy Gainey,2,7.4
35,T32,T32,Jordan Spieth,3,7.4
36,T32,T32,Cory Whitsett,2,7.4
37,T38,T38,Aaron Baddeley,2,7.3
38,T38,T38,Scott Brown,2,7.3
39,T38,T38,Rafa Cabrera Bello,2,7.3
40,T38,T38,Alex Cejka,1,7.3
41,T38,T38,Oscar Fraustro,1,7.3
42,T38,T38,Lucas Glover,1,7.3
43,T44,T44,Woody Austin,1,7.2
44,T44,T44,Tim Clark,2,7.2
45,T44,T44,Jim Herman,2,7.2
46,T44,T44,Hiroshi Iwata,1,7.2
47,T44,T44,Boo Weekley,3,7.2
48,T49,T49,Roberto Castro,3,7.1
49,T49,T49,Martin Laird,1,7.1
50,T49,T49,William McGirt,3,7.1
51,T49,T49,Jonathan Randolph,2,7.1
52,T49,T49,Rory Sabbatini,4,7.1
53,T49,T49,Jhonattan Vegas,2,7.1
54,T49,T49,Mark Wilson,3,7.1
55,T56,T56,Jason Day,4,7.0
56,T56,T56,Ross Fisher,1,7.0
57,T56,T56,Matt Kuchar,5,7.0
58,T56,T56,Greg Owen,1,7.0
59,T56,T56,Cameron Percy,3,7.0
60,T56,T56,Robby Shelton,1,7.0
61,T56,T56,Webb Simpson,4,7.0
62,T56,T56,Bernd Wiesberger,1,7.0
63,T64,T64,George Coetzee,2,6.9
64,T64,T64,Steve Flesch,1,6.9
65,T64,T64,Freddie Jacobson,2,6.9
66,T64,T64,Louis Oosthuizen,4,6.9
67,T64,T64,Michael Putnam,3,6.9
68,T64,T64,Brendan Steele,3,6.9
69,T64,T64,Robert Streb,4,6.9
70,T71,T71,Erik Compton,3,6.8
71,T71,T71,Andrew Dodt,1,6.8
72,T71,T71,Jamie Donaldson,1,6.8
73,T71,T71,Tony Finau,4,6.8
74,T71,T71,Smylie Kaufman,1,6.8
75,T71,T71,Andrew Loupe,1,6.8
76,T71,T71,Parker McLachlin,1,6.8
77,T71,T71,Cory Renfrew,1,6.8
78,T71,T71,Andres Romero,3,6.8
79,T71,T71,Kyle Stanley,3,6.8
80,T71,T71,D.J. Trahan,1,6.8
81,T71,T71,Steve Wheatcroft,2,6.8
82,T71,T71,Danny Willett,2,6.8
83,T71,T71,Chris Wood,1,6.8
84,T85,T85,Keegan Bradley,4,6.7
85,T85,T85,Austin Cook,3,6.7
86,T85,T85,Brendon de Jonge,2,6.7
87,T85,T85,Colt Knost,2,6.7
88,T85,T85,Hunter Mahan,4,6.7
89,T85,T85,Phil Mickelson,5,6.7
90,T85,T85,Kevin Na,4,6.7
91,T85,T85,Cameron Smith,3,6.7
92,T85,T85,Steve Stricker,3,6.7
93,T85,T85,Vaughn Taylor,4,6.7
94,T85,T85,Nick Taylor,4,6.7
95,T85,T85,Tom Watson,1,6.7
96,T97,T97,Emiliano Grillo,2,6.6
97,T97,T97,Ryo Ishikawa,2,6.6
98,T97,T97,Zach Johnson,4,6.6
99,T97,T97,Whee Kim,1,6.6
100,T97,T97,Marc Leishman,1,6.6
101,T97,T97,Bryce Molder,3,6.6
102,T97,T97,Kevin Stadler,1,6.6
103,T97,T97,Camilo Villegas,4,6.6
104,T105,T105,Cameron Beckman,2,6.5
105,T105,T105,Matt Bettencourt,1,6.5
106,T105,T105,Harris English,4,6.5
107,T105,T105,Billy Hurley III,2,6.5
108,T105,T105,Chris Kirk,3,6.5
109,T105,T105,Justin Leonard,4,6.5
110,T105,T105,Charl Schwartzel,2,6.5
111,T105,T105,Byron Smith,1,6.5
112,T105,T105,Adam Svensson,1,6.5
113,T105,T105,Marc Warren,2,6.5
114,T115,T115,Ricky Barnes,3,6.4
115,T115,T115,Ángel Cabrera,1,6.4
116,T115,T115,Stephen Gallacher,1,6.4
117,T115,T115,Todd Hamilton,1,6.4
118,T115,T115,Charley Hoffman,4,6.4
