,Ryder_Cup_World_Points_RANK THIS WEEK,Ryder_Cup_World_Points_RANK LAST WEEK,Ryder_Cup_World_Points_PLAYER NAME,Ryder_Cup_World_Points_POINTS
0,1,1.0,Henrik Stenson,77.69
1,2,2.0,Thorbjørn Olesen,44.0
2,3,38.0,Matthew Fitzpatrick,41.59
3,4,3.0,Lee Slattery,39.37
4,5,4.0,Justin Rose,31.85
5,6,5.0,Rikard Karlberg,31.09
6,7,13.0,Søren Kjeldsen,28.14
7,8,6.0,Rory McIlroy,26.05
8,9,7.0,Thomas Pieters,24.0
9,10,8.0,Graeme Storm,21.34
10,11,80.0,Shane Lowry,18.29
11,12,9.0,David Horsey,15.54
12,13,10.0,Joakim Lagergren,15.09
13,14,11.0,Martin Kaymer,14.4
14,15,20.0,Chris Wood,14.36
15,16,,Benjamin Hebert,13.64
16,17,12.0,Sebastien Gros,13.0
17,18,15.0,Eduardo De La Riva,12.0
18,19,14.0,Pelle Edberg,12.0
19,20,16.0,Matteo Delpodio,12.0
20,21,28.0,Gary Boyd,12.0
21,22,,Tom Murray,12.0
22,23,17.0,Bernd Wiesberger,11.6
23,24,18.0,Lucas Bjerregaard,11.44
24,25,19.0,Jamie Donaldson,9.96
25,26,89.0,Luke Donald,9.47
26,27,90.0,Michael Lorenzo-Vera,9.42
27,28,21.0,Jens Fahrbring,9.29
28,29,32.0,Peter Hanson,8.78
29,30,22.0,Ben Evans,8.7
30,31,23.0,Josh Loughrey,8.6
31,32,24.0,Magnus Carlsson,8.38
32,33,25.0,David Drysdale,8.22
33,34,26.0,Mikko Korhonen,8.05
34,35,27.0,Mads Sogaard,7.8
35,36,52.0,Rich Bland,7.76
36,37,55.0,Tommy Fleetwood,7.66
37,38,79.0,Anthony Wall,7.55
38,39,48.0,Romain Wattel,7.21
39,40,,Nino Bertasio,7.2
40,41,29.0,James Morrison,7.02
41,42,30.0,Bradley Dredge,6.99
42,43,40.0,Michael Hoey,6.96
43,44,46.0,Eddie Pepperell,6.72
44,45,,Oliver Fisher,6.62
45,46,31.0,Alejandro Cañizares,6.47
46,47,50.0,Simon Wakefield,6.27
47,48,34.0,Daan Huizing,6.0
48,49,33.0,James Robinson,6.0
49,50,35.0,Ross Fisher,5.85
50,51,51.0,Ian Poulter,5.69
51,52,36.0,Tapio Pulkkanen,5.6
52,53,37.0,Danny Willett,5.59
53,54,39.0,Thomas Linard,5.58
54,55,41.0,Pablo Martin Benavides,5.52
55,56,42.0,James Heath,5.52
56,57,43.0,Oskar Henningsson,5.52
57,58,78.0,Kristoffer Broberg,5.46
58,59,45.0,Morten Orum Madsen,5.28
59,60,44.0,Maximilian Kieffer,5.28
60,61,64.0,David Howell,5.2
61,62,47.0,Florian Fritsch,5.19
