,FedExCup_Bonus_Money_RANK THIS WEEK,FedExCup_Bonus_Money_RANK LAST WEEK,FedExCup_Bonus_Money_PLAYER NAME,FedExCup_Bonus_Money_EVENTS,FedExCup_Bonus_Money_MONEY
0,1,1,Jordan Spieth,25,10000000
1,2,2,Henrik Stenson,16,3000000
2,3,3,Jason Day,20,2000000
3,4,4,Rickie Fowler,21,1500000
4,5,5,Bubba Watson,19,1000000
5,6,6,Zach Johnson,25,800000
6,7,7,Dustin Johnson,21,700000
7,8,8,Justin Rose,20,600000
8,9,9,Danny Lee,36,550000
9,10,10,Charley Hoffman,28,500000
10,11,11,Daniel Berger,31,300000
11,12,12,Patrick Reed,27,290000
12,13,13,Paul Casey,24,280000
13,14,14,J.B. Holmes,25,270000
14,15,15,Rory McIlroy,12,250000
15,16,16,Hideki Matsuyama,25,242500
16,16,16,Jimmy Walker,24,242500
17,18,18,Robert Streb,30,235000
18,19,19,Matt Kuchar,25,230000
19,20,20,Steven Bowditch,32,225000
20,21,21,Kevin Kisner,30,220000
21,22,22,Scott Piercy,28,215000
22,23,23,Brandt Snedeker,27,210000
23,24,24,Brooks Koepka,23,205000
24,25,25,Kevin Na,27,200000
25,26,26,Sangmoon Bae,30,195000
26,27,27,Bill Haas,25,190000
27,28,28,Harris English,29,185000
28,29,29,Jim Furyk,19,180000
29,30,30,Louis Oosthuizen,20,175000
30,31,31,Daniel Summerhays,29,165000
31,32,32,Justin Thomas,30,155000
32,33,33,Matt Jones,25,150000
33,34,34,Russell Knox,28,145000
34,35,35,Ben Martin,27,142000
35,36,36,Cameron Tringale,28,140000
36,37,37,David Lingmerth,28,138000
37,38,38,Ryan Palmer,22,137000
38,39,39,Ryan Moore,24,136000
39,40,40,Jason Bohn,27,135000
40,41,41,Gary Woodland,24,134000
41,42,42,Sean O'Hair,26,133000
42,43,43,Tony Finau,31,132000
43,44,44,Chris Kirk,21,131000
44,45,45,Pat Perez,26,130000
45,46,46,Brendon Todd,27,129000
46,47,47,Brendon de Jonge,31,128000
47,48,48,Webb Simpson,22,127000
48,49,49,Hunter Mahan,24,126000
49,50,50,Brendan Steele,24,125000
50,51,51,James Hahn,28,120000
51,52,52,Kevin Chappell,26,115000
52,53,53,Sergio Garcia,15,114000
53,54,54,Shawn Stefani,26,113000
54,55,55,David Hearn,30,110000
55,56,56,Troy Merritt,29,110000
56,57,57,Brian Harman,29,110000
57,58,58,Nick Watney,28,110000
58,59,59,Zac Blair,34,110000
59,60,60,Keegan Bradley,24,110000
60,61,61,Phil Mickelson,19,110000
61,62,62,George McNeill,27,110000
62,63,63,Russell Henley,24,110000
63,64,64,Fabián Gómez,26,110000
64,65,65,Rory Sabbatini,25,110000
65,66,66,Billy Horschel,28,110000
66,67,67,Ian Poulter,19,110000
67,68,68,Jerry Kelly,24,110000
