,All-Around_Ranking_RANK THIS WEEK,All-Around_Ranking_RANK LAST WEEK,All-Around_Ranking_PLAYER NAME,All-Around_Ranking_EVENTS,All-Around_Ranking_TOTAL
0,1,1,Jason Day,20,192
1,2,2,Willy Wilcox,17,195
2,3,3,Jordan Spieth,25,257
3,4,4,Hideki Matsuyama,25,288
4,5,5,Justin Rose,20,289
5,6,6,Brooks Koepka,23,323
6,7,7,Justin Thomas,30,324
7,8,8,Rickie Fowler,21,331
8,9,9,Matt Kuchar,25,339
9,10,10,Henrik Stenson,16,344
10,11,11,Bubba Watson,19,364
11,12,12,Louis Oosthuizen,20,402
12,13,13,Zach Johnson,25,405
13,14,14,Brendan Steele,24,414
14,15,15,Robert Streb,30,415
15,16,16,Dustin Johnson,21,430
16,17,17,Lee Westwood,15,435
17,18,18,Shawn Stefani,26,441
18,19,19,Paul Casey,24,444
19,20,20,Danny Lee,36,453
20,21,21,Pat Perez,26,466
21,T22,T22,Webb Simpson,22,487
22,T22,T22,Hudson Swafford,30,487
23,24,24,Graham DeLaet,22,488
24,25,25,Daniel Berger,31,499
25,26,26,Adam Scott,15,500
26,27,27,Jason Bohn,27,506
27,28,28,Tony Finau,31,507
28,29,29,Brandt Snedeker,27,510
29,30,30,Matt Jones,25,511
30,31,31,J.B. Holmes,25,517
31,32,32,Sergio Garcia,15,521
32,33,33,Ryan Moore,24,522
33,34,34,Carlos Ortiz,30,528
34,35,35,Jimmy Walker,24,530
35,36,36,Rory Sabbatini,25,546
36,37,37,Ryan Palmer,22,553
37,38,38,Keegan Bradley,24,558
38,39,39,Charley Hoffman,28,559
39,40,40,Russell Henley,24,561
40,41,41,Sean O'Hair,26,572
41,42,42,Kevin Na,27,573
42,43,43,Patrick Reed,27,580
43,44,44,Phil Mickelson,19,582
44,45,45,Harris English,29,584
45,46,46,Jason Gore,26,585
46,T47,T47,Steven Bowditch,32,587
47,T47,T47,Brendon Todd,27,587
48,49,49,Kevin Chappell,26,591
49,50,50,Brian Harman,29,592
50,51,51,Colt Knost,29,593
51,52,52,Steve Wheatcroft,28,595
52,53,53,Martin Laird,24,601
53,54,54,George McNeill,27,606
54,55,55,James Hahn,28,608
55,56,56,Scott Brown,30,610
56,57,57,Nick Watney,28,621
57,58,58,Patrick Rodgers,17,627
58,T59,T59,Chris Kirk,21,629
59,T59,T59,Ben Martin,27,629
60,61,61,Ian Poulter,19,633
61,62,62,Jason Dufner,21,634
62,63,63,Scott Piercy,28,638
63,64,64,Daniel Summerhays,29,643
64,65,65,Billy Horschel,28,647
65,66,66,David Lingmerth,28,649
66,67,67,Jim Herman,27,653
67,68,68,Jerry Kelly,24,658
68,69,69,Jason Kokrak,28,666
69,70,70,Brendon de Jonge,31,678
70,71,71,John Peterson,25,681
71,72,72,William McGirt,30,682
72,73,73,Boo Weekley,24,684
73,74,74,John Senden,24,691
74,75,75,Russell Knox,28,693
75,76,76,Cameron Percy,23,694
76,77,77,Aaron Baddeley,25,699
77,T78,T78,Ryo Ishikawa,28,701
78,T78,T78,Scott Pinckney,27,701
79,80,80,Steven Alker,22,705
80,T81,T81,Blayne Barber,26,706
81,T81,T81,Chad Campbell,30,706
82,T83,T83,Lucas Glover,26,714
83,T83,T83,Kevin Kisner,30,714
84,85,85,Adam Hadwin,30,716
85,86,86,Jonathan Byrd,22,726
86,87,87,Morgan Hoffmann,26,727
87,88,88,Nicholas Thompson,31,731
88,89,89,Bill Haas,25,733
89,90,90,Jim Furyk,19,734
90,91,91,Stewart Cink,23,739
91,92,92,Jonas Blixt,26,742
92,93,93,John Huh,31,743
93,94,94,Chad Collins,24,750
94,95,95,Bryce Molder,26,751
95,T96,T96,Tom Hoge,26,762
96,T96,T96,Vijay Singh,23,762
97,T98,T98,Kevin Streelman,27,766
98,T98,T98,Chris Stroud,28,766
99,100,100,Chez Reavie,19,768
100,101,101,Hunter Mahan,24,770
101,102,102,Alex Prugh,27,772
102,103,103,Seung-Yul Noh,21,773
103,104,104,Kyle Reifers,31,780
104,105,105,Johnson Wagner,23,783
105,106,106,Martin Flores,30,784
106,107,107,Marc Leishman,23,785
107,T108,T108,Chesson Hadley,30,788
108,T108,T108,Francesco Molinari,16,788
109,110,110,David Hearn,30,791
110,111,111,Sangmoon Bae,30,792
111,112,112,Zac Blair,34,793
112,113,113,Andres Gonzales,28,795
113,114,114,Carl Pettersson,32,798
114,115,115,Michael Putnam,28,799
115,116,116,Mark Wilson,28,802
116,117,117,Erik Compton,28,805
117,118,118,Charl Schwartzel,19,806
118,119,119,Jamie Donaldson,16,811
119,120,120,Jeff Overton,30,824
120,121,121,David Toms,21,825
121,122,122,Gary Woodland,24,828
122,123,123,Sam Saunders,28,829
123,124,124,Greg Chalmers,17,833
124,125,125,Alex Cejka,30,835
125,126,126,Charles Howell III,30,840
126,127,127,Cameron Tringale,28,843
127,128,128,Bill Lunde,18,845
128,129,129,Roberto Castro,16,849
129,130,130,Jon Curran,28,850
130,131,131,Mark Hubbard,25,852
131,132,132,Michael Thompson,27,854
132,133,133,Luke Guthrie,27,855
133,134,134,Scott Langley,28,858
134,135,135,Whee Kim,23,860
135,136,136,Charlie Beljan,27,875
136,137,137,John Merrick,27,879
137,138,138,Jhonattan Vegas,27,899
138,139,139,J.J. Henry,30,900
139,140,140,Scott Stallings,19,906
140,141,141,Nick Taylor,28,908
141,142,142,K.J. Choi,19,912
142,T143,T143,Spencer Levin,31,921
143,T143,T143,Andres Romero,24,921
144,T145,T145,Ken Duke,30,927
145,T145,T145,Derek Fathauer,27,927
146,147,147,Derek Ernst,26,942
147,148,148,Sung Joon Park,27,950
148,149,149,Luke Donald,20,951
149,T150,T150,Greg Owen,19,958
150,T150,T150,Brian Stuard,31,958
151,152,152,Robert Garrigus,25,959
152,153,153,Brian Davis,31,960
153,154,154,Tyrone Van Aswegen,20,967
154,155,155,Davis Love III,18,971
155,156,156,Camilo Villegas,27,977
156,157,157,Brice Garnett,29,980
157,158,158,Bo Van Pelt,28,982
158,159,159,Ángel Cabrera,19,991
159,160,160,Eric Axley,21,993
160,161,161,Billy Hurley III,28,995
161,162,162,Fabián Gómez,26,1007
162,163,163,Justin Leonard,22,1018
163,164,164,Tim Wilkinson,28,1027
164,165,165,Byron Smith,21,1032
165,166,166,Heath Slocum,22,1041
166,167,167,Ernie Els,18,1045
167,168,168,Oscar Fraustro,21,1048
168,169,169,Jonathan Randolph,25,1050
169,170,170,Geoff Ogilvy,15,1051
170,171,171,Ricky Barnes,27,1064
171,172,172,Andrew Svoboda,30,1065
172,173,173,Troy Merritt,29,1073
173,174,174,Gonzalo Fernandez-Castaño,28,1089
174,175,175,Andrew Putnam,23,1105
175,176,176,D.A. Points,26,1115
176,177,177,Ben Crane,22,1116
177,178,178,Roger Sloan,20,1118
178,179,179,Padraig Harrington,21,1120
179,180,180,Max Homa,27,1137
180,181,181,Retief Goosen,25,1140
181,182,182,Matt Every,26,1147
182,183,183,Robert Allenby,25,1180
183,184,184,Jim Renner,27,1258
