,PGA_Championship_Points_RANK THIS WEEK,PGA_Championship_Points_RANK LAST WEEK,PGA_Championship_Points_PLAYER NAME,PGA_Championship_Points_EVENTS,PGA_Championship_Points_POINTS
0,1,1,Jason Day,6,5263125
1,2,2,Henrik Stenson,6,2900600
2,3,3,Jordan Spieth,6,2860250
3,4,4,Rickie Fowler,6,2227907
4,5,5,Bubba Watson,6,2152279
5,6,6,Justin Rose,6,1842375
6,7,7,Shane Lowry,2,1570000
7,8,8,Daniel Berger,6,1225950
8,9,9,Dustin Johnson,6,1154135
9,10,10,Jim Furyk,5,1035082
10,11,11,Davis Love III,4,994344
11,12,12,Danny Lee,6,981536
12,13,13,Brooks Koepka,7,941959
13,14,14,Zach Johnson,6,917800
14,15,15,Matt Kuchar,6,883292
15,16,16,Robert Streb,6,873300
16,17,17,Paul Casey,7,834282
17,18,18,Charley Hoffman,6,816493
18,19,19,J.B. Holmes,6,786326
19,20,20,Branden Grace,3,783026
20,21,21,Hideki Matsuyama,7,780969
21,22,22,Scott Piercy,5,746223
22,23,23,Rory McIlroy,4,715463
23,24,24,Patrick Reed,6,687942
24,25,25,Jason Gore,4,682833
25,26,26,Kevin Na,6,600783
26,27,27,J.J. Henry,5,599856
27,28,28,Sangmoon Bae,6,552445
28,29,29,Daniel Summerhays,4,548835
29,30,30,Bill Haas,7,547257
30,31,31,Steven Bowditch,6,513200
31,32,32,Harris English,6,493947
32,33,33,Matt Jones,4,472368
33,34,34,Kevin Kisner,6,464363
34,35,35,Brandt Snedeker,7,459264
35,36,36,Brendan Steele,5,450110
36,37,37,Justin Thomas,5,430392
37,38,38,Hunter Mahan,5,427693
38,39,39,David Lingmerth,5,424984
39,40,40,Anirban Lahiri,2,415667
40,41,41,Kyle Reifers,4,415120
41,42,42,Zac Blair,5,412760
42,43,43,Ryan Palmer,5,409253
43,44,44,Tony Finau,4,394140
44,45,45,Charl Schwartzel,4,390500
45,46,46,Sean O'Hair,4,371801
46,47,47,Webb Simpson,6,358676
47,48,48,Louis Oosthuizen,5,357195
48,49,49,Martin Kaymer,3,334900
49,50,50,Cameron Tringale,4,326402
50,51,51,George Coetzee,2,316220
51,52,52,Russell Henley,5,310654
52,53,53,Kevin Chappell,4,308850
53,54,54,Jerry Kelly,4,303938
54,55,55,Scott Brown,3,297300
55,56,56,Jason Bohn,4,287608
56,57,57,Ryan Moore,6,285138
