,Ryder_Cup_Points_RANK THIS WEEK,Ryder_Cup_Points_RANK LAST WEEK,Ryder_Cup_Points_PLAYER NAME,Ryder_Cup_Points_EVENTS,Ryder_Cup_Points_POINTS
0,1,1,Jordan Spieth,8,5306.789000000001
1,2,2,Dustin Johnson,8,2396.366
2,3,3,Zach Johnson,8,2284.669
3,4,4,Rickie Fowler,8,1426.382
4,5,5,Phil Mickelson,7,1183.697
5,6,6,Brooks Koepka,8,952.4910000000001
6,7,7,Bubba Watson,8,931.278
7,8,8,J.B. Holmes,8,733.466
8,9,9,Jim Furyk,8,729.678
9,10,10,Kevin Kisner,5,664.425
10,11,11,Matt Kuchar,8,651.3330000000001
11,12,12,Robert Streb,7,633.148
12,13,13,Bill Haas,8,622.545
13,14,14,Kevin Na,8,599.581
14,15,15,Patrick Reed,8,581.175
15,16,16,Brandt Snedeker,8,573.0740000000001
16,17,17,Gary Woodland,7,554.1990000000001
17,18,18,Russell Henley,8,541.8380000000001
18,19,19,Hunter Mahan,8,447.352
19,20,20,Billy Horschel,8,423.209
20,21,21,Charley Hoffman,8,409.974
21,22,22,Tony Finau,2,399.935
22,23,23,Ryan Moore,8,371.059
23,24,24,Webb Simpson,8,369.115
24,25,25,Ben Martin,7,332.159
25,26,26,Keegan Bradley,8,278.851
26,27,27,Brendon Todd,8,262.452
27,28,28,Ryan Palmer,8,253.83900000000003
28,29,29,Jason Dufner,7,241.56
29,30,30,Chris Kirk,5,235.99400000000003
30,31,31,Kevin Streelman,4,218.5
31,32,32,Jimmy Walker,8,213.208
32,33,33,Morgan Hoffmann,6,198.326
33,34,34,Brendan Steele,2,185.4
34,35,35,Justin Thomas,2,166.5
35,36,36,Tiger Woods,5,165.0
36,37,37,Steve Stricker,3,146.05700000000002
37,38,38,Cameron Tringale,6,135.946
38,39,39,Brian Harman,5,135.0
39,40,40,Mark O'Meara,2,114.915
40,T41,T41,Charlie Beljan,1,113.686
41,T41,T41,Jamie Lovemark,1,113.686
42,43,43,Stewart Cink,2,95.93799999999999
43,44,44,David Toms,2,93.75
44,45,45,Harris English,4,91.993
45,46,46,Kevin Chappell,3,67.09
46,T47,T47,Derek Fathauer,1,65.429
47,T47,T47,Jerry Kelly,1,65.429
48,T47,T47,George McNeill,3,65.429
49,T47,T47,Pat Perez,2,65.429
50,51,51,Daniel Summerhays,2,64.126
51,52,52,Matt Every,7,61.141999999999996
52,53,53,Chesson Hadley,2,60.7
53,54,54,James Hahn,5,58.563
54,55,55,Nick Watney,2,56.056999999999995
55,56,56,Erik Compton,3,53.663000000000004
56,57,57,Troy Merritt,3,52.675
57,58,58,Troy Kelly,1,47.854
58,T59,T59,Jason Bohn,2,39.2
59,T59,T59,Boo Weekley,2,39.2
60,61,61,Sam Saunders,1,31.633000000000003
61,62,62,Charles Howell III,2,29.9
62,63,63,David Duval,1,29.226999999999997
63,T64,T64,Scott Brown,1,29.063000000000002
64,T64,T64,Bo Van Pelt,2,29.063000000000002
65,66,66,Scott Piercy,2,25.75
66,T67,T67,Brad Elder,1,25.358
67,T67,T67,D.A. Points,1,25.358
68,69,69,Andy Pope,1,22.651999999999997
69,70,70,Martin Flores,1,22.0
70,T71,T71,J.J. Henry,1,17.7
71,T71,T71,Sean O'Hair,2,17.7
72,73,73,Chris Stroud,1,15.7
73,74,74,Luke Guthrie,1,11.84
74,75,75,Bryce Molder,1,10.6
75,76,76,Scott Langley,1,10.3
76,77,77,Scott Stallings,1,9.5
