,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Playoffs_EVENTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_%,_of_Potential_Pts_won_-_FedExCup_Playoffs_PLAYOFF POINTS WON,_of_Potential_Pts_won_-_FedExCup_Playoffs_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Playoffs_# OF TOP 10'S
0,1,1,Jason Day,20,56.39,4511,8000,2.0,3.0
1,2,2,Henrik Stenson,16,44.33,3547,8000,,4.0
2,3,3,Rickie Fowler,21,33.73,2698,8000,1.0,2.0
3,4,4,Jordan Spieth,25,27.79,2223,8000,1.0,1.0
4,5,5,Daniel Berger,31,20.74,1659,8000,,1.0
5,6,6,Bubba Watson,19,20.03,1602,8000,,3.0
6,7,7,Justin Rose,20,16.3,1304,8000,,1.0
7,8,8,Danny Lee,36,15.63,1251,8000,,1.0
8,9,9,Zach Johnson,25,15.44,1235,8000,,2.0
9,10,10,Dustin Johnson,21,14.2,1136,8000,,3.0
10,11,11,Rory McIlroy,12,14.0,840,6000,,1.0
11,12,12,Charley Hoffman,28,13.05,1044,8000,,1.0
12,13,13,Daniel Summerhays,29,13.01,781,6000,,2.0
13,14,14,Hideki Matsuyama,25,12.33,987,8000,,1.0
14,15,15,Scott Piercy,28,12.18,974,8000,,1.0
15,16,16,J.B. Holmes,25,11.53,922,8000,,2.0
16,17,17,Jim Furyk,19,11.43,686,6000,,1.0
17,18,18,Matt Jones,25,10.4,624,6000,,1.0
18,19,19,Matt Kuchar,25,10.28,822,8000,,2.0
19,20,20,Patrick Reed,27,9.85,788,8000,,1.0
20,21,21,Zac Blair,34,9.8,588,6000,,1.0
21,22,22,Kevin Chappell,26,9.72,583,6000,,
22,T23,T23,Sean O'Hair,26,9.57,574,6000,,1.0
23,T23,T23,Cameron Tringale,28,9.57,574,6000,,1.0
24,25,25,Harris English,29,9.54,763,8000,,
25,26,26,Ryan Palmer,22,9.48,569,6000,,1.0
26,27,27,Sangmoon Bae,30,9.43,755,8000,,1.0
27,28,28,Hunter Mahan,24,9.33,560,6000,,1.0
28,29,29,Kevin Na,27,9.15,732,8000,,1.0
29,30,30,Kevin Kisner,30,8.82,705,8000,,
30,31,31,Paul Casey,24,8.78,702,8000,,1.0
31,32,32,Russell Knox,28,8.69,521,6000,,
32,33,33,Justin Thomas,30,8.19,491,6000,,
33,34,34,Robert Streb,30,7.85,628,8000,,
34,35,35,Pat Perez,26,7.7,462,6000,,
35,36,36,Brendon Todd,27,7.47,448,6000,,
36,37,37,Luke Donald,20,7.45,298,4000,,
37,38,38,Steven Bowditch,32,7.28,583,8000,,
38,39,39,Camilo Villegas,27,7.25,290,4000,,
39,40,40,Brian Harman,29,7.19,431,6000,,
40,41,41,Louis Oosthuizen,20,7.05,423,6000,,
41,42,42,Spencer Levin,31,6.7,268,4000,,
42,43,43,Rory Sabbatini,25,6.43,386,6000,,
43,44,44,Sergio Garcia,15,6.3,126,2000,,
44,45,45,George McNeill,27,6.19,371,6000,,
45,46,46,Bill Haas,25,6.03,482,8000,,
46,47,47,John Senden,24,5.95,238,4000,,
47,48,48,Stewart Cink,23,5.9,118,2000,,
48,49,49,Jim Herman,27,5.77,231,4000,,
49,50,50,Keegan Bradley,24,5.73,344,6000,,
50,T51,T51,Jason Bohn,27,5.6,336,6000,,1.0
51,T51,T51,Brendon de Jonge,31,5.6,336,6000,,
52,53,53,Jerry Kelly,24,5.57,334,6000,,1.0
53,54,54,Hudson Swafford,30,5.55,222,4000,,
54,55,55,Brendan Steele,24,5.16,309,6000,,
55,56,56,Tony Finau,31,5.13,308,6000,,
56,57,57,William McGirt,30,5.05,303,6000,,
57,58,58,Carlos Ortiz,30,4.9,196,4000,,
58,59,59,Nick Watney,28,4.8,288,6000,,
59,60,60,Bryce Molder,26,4.67,280,6000,,
60,61,61,Jason Dufner,21,4.6,184,4000,,
61,62,62,Mark Wilson,28,4.58,183,4000,,
62,63,63,Johnson Wagner,23,4.55,182,4000,,
63,64,64,Fabián Gómez,26,4.53,272,6000,,
64,T65,T65,Kyle Reifers,31,4.45,178,4000,,
65,T65,T65,Jimmy Walker,24,4.45,356,8000,,
66,67,67,Gary Woodland,24,4.39,263,6000,,
67,68,68,David Hearn,30,4.37,262,6000,,
68,69,69,Webb Simpson,22,4.33,260,6000,,
69,70,70,Phil Mickelson,19,4.03,242,6000,,
70,71,71,Brandt Snedeker,27,3.73,298,8000,,
71,72,72,Jason Gore,26,3.7,148,4000,,
72,73,73,Troy Merritt,29,3.63,218,6000,,
73,74,74,Brooks Koepka,23,3.6,288,8000,,
74,T75,T75,Chris Kirk,21,3.4,204,6000,,
75,T75,T75,Ian Poulter,19,3.4,204,6000,,
76,77,77,Ben Martin,27,3.33,200,6000,,
77,78,78,Nick Taylor,28,3.2,64,2000,,
78,79,79,James Hahn,28,3.17,190,6000,,
79,80,80,Shawn Stefani,26,3.07,184,6000,,
80,81,81,Morgan Hoffmann,26,3.04,122,4000,,
81,82,82,Alex Cejka,30,3.0,120,4000,,
82,83,83,Scott Pinckney,27,2.9,116,4000,,
83,84,84,Ryan Moore,24,2.77,166,6000,,
84,85,85,Charles Howell III,30,2.5,100,4000,,
85,86,86,Billy Horschel,28,2.46,148,6000,,
86,87,87,J.J. Henry,30,2.4,96,4000,,
87,88,88,Lee Westwood,15,2.3,46,2000,,
88,T89,T89,Colt Knost,29,2.15,86,4000,,
89,T89,T89,Davis Love III,18,2.15,86,4000,,
90,T89,T89,Carl Pettersson,32,2.15,86,4000,,
91,92,92,Kevin Streelman,27,1.73,69,4000,,
92,93,93,Ken Duke,30,1.5,30,2000,,
93,94,94,Russell Henley,24,1.43,86,6000,,
94,95,95,David Lingmerth,28,1.37,82,6000,,
