,Power_Rating_RANK THIS WEEK,Power_Rating_RANK LAST WEEK,Power_Rating_PLAYER NAME,Power_Rating_EVENTS,Power_Rating_RATING
0,T1,T1,Brandon Hagy,1,10.0
1,T1,T1,Peter Uihlein,1,10.0
2,T3,T3,Dustin Johnson,13,9.7
3,T3,T3,Jamie Lovemark,1,9.7
4,T5,T5,Jason Day,14,9.6
5,T5,T5,J.B. Holmes,15,9.6
6,T5,T5,Andrew Loupe,5,9.6
7,T5,T5,Patrick Rodgers,9,9.6
8,T5,T5,Bubba Watson,14,9.6
9,T10,T10,Jason Kokrak,15,9.4
10,T10,T10,Cory Whitsett,2,9.4
11,T12,T12,Tony Finau,19,9.3
12,T12,T12,Scott Gutschewski,1,9.3
13,14,14,Adam Scott,6,9.2
14,T15,T15,Charlie Beljan,8,9.1
15,T15,T15,Charles Howell III,22,9.1
16,T15,T15,Smylie Kaufman,1,9.1
17,T15,T15,Justin Thomas,21,9.1
18,T15,T15,Cameron Wilson,1,9.1
19,T15,T15,Gunn Yang,1,9.1
20,T21,T21,Brooks Koepka,14,9.0
21,T21,T21,Jon Rahm,2,9.0
22,23,23,Richy Werenski,1,8.9
23,T24,T24,Daniel Berger,15,8.8
24,T24,T24,Robert Garrigus,8,8.8
25,T24,T24,Rory McIlroy,8,8.8
26,T27,T27,Byeong Hun An,2,8.7
27,T27,T27,John Daly,1,8.7
28,T27,T27,Bryson DeChambeau,1,8.7
29,T30,T30,Steven Bowditch,16,8.6
30,T30,T30,Keegan Bradley,15,8.6
31,T30,T30,Patton Kizzire,1,8.6
32,T30,T30,Alexander Levy,1,8.6
33,T34,T34,Sebastian Cappelen,1,8.5
34,T34,T34,Ryan Palmer,12,8.5
35,T34,T34,Justin Rose,10,8.5
36,T34,T34,Brendan Steele,18,8.5
37,T38,T38,Jhonattan Vegas,13,8.4
38,T38,T38,Willy Wilcox,8,8.4
39,T40,T40,Charley Hoffman,17,8.3
40,T40,T40,Troy Matteson,1,8.3
41,T40,T40,Carlos Ortiz,16,8.3
42,T43,T43,Martin Flores,14,8.2
43,T43,T43,Charl Schwartzel,8,8.2
44,T43,T43,Robby Shelton,1,8.2
45,T46,T46,Victor Dubuisson,4,8.1
46,T46,T46,Stephen Gallacher,4,8.1
47,T46,T46,Sergio Garcia,9,8.1
48,T46,T46,Lucas Glover,12,8.1
49,T46,T46,Martin Laird,14,8.1
50,T46,T46,Scott Piercy,16,8.1
51,T46,T46,Gary Woodland,10,8.1
52,T53,T53,Derek Ernst,9,8.0
53,T53,T53,Russell Henley,15,8.0
54,T53,T53,Scott Stallings,9,8.0
55,T56,T56,Kelvin Day,1,7.9
56,T56,T56,Harris English,20,7.9
57,T56,T56,Max Homa,9,7.9
58,T56,T56,Chris Naegel,1,7.9
59,T56,T56,Shawn Stefani,20,7.9
60,T56,T56,Jimmy Walker,15,7.9
61,T62,T62,Branden Grace,8,7.8
62,T62,T62,Morgan Hoffmann,14,7.8
63,T62,T62,Brandt Jobe,1,7.8
64,T62,T62,Phil Mickelson,13,7.8
65,T62,T62,Martin Piller,1,7.8
66,T62,T62,Kyle Stanley,6,7.8
67,T62,T62,Andy Sullivan,1,7.8
68,T69,T69,Kiradech Aphibarnrat,2,7.7
69,T69,T69,Ángel Cabrera,6,7.7
70,T69,T69,Graham DeLaet,11,7.7
71,T69,T69,Andres Gonzales,14,7.7
72,T69,T69,Shane Lowry,5,7.7
73,T69,T69,Maverick McNealy,2,7.7
74,T69,T69,C.T. Pan,1,7.7
75,T69,T69,Ollie Schniederjans,2,7.7
76,T69,T69,Roger Sloan,5,7.7
77,T69,T69,Robert Streb,22,7.7
78,T69,T69,Josh Teater,3,7.7
79,T80,T80,Jason Allred,1,7.6
80,T80,T80,Louis Oosthuizen,9,7.6
81,T80,T80,Sam Saunders,11,7.6
82,T80,T80,Jordan Spieth,15,7.6
83,T80,T80,Nick Taylor,15,7.6
84,T80,T80,Marc Warren,4,7.6
85,T80,T80,Boo Weekley,13,7.6
86,T80,T80,Lee Westwood,7,7.6
87,T88,T88,Paul Casey,14,7.5
88,T88,T88,Rickie Fowler,13,7.5
89,T88,T88,Sean O'Hair,17,7.5
90,T88,T88,J.J. Spaun,1,7.5
91,T88,T88,Hudson Swafford,16,7.5
92,T93,T93,Rafa Cabrera Bello,1,7.4
93,T93,T93,Mark Hensby,1,7.4
94,T93,T93,Billy Horschel,17,7.4
95,T93,T93,Marc Leishman,10,7.4
96,T93,T93,Hunter Mahan,15,7.4
97,T93,T93,Greg Owen,6,7.4
98,T93,T93,Alex Prugh,14,7.4
99,T100,T100,Ernie Els,6,7.3
100,T100,T100,Tommy Gainey,3,7.3
101,T100,T100,Matt Jones,15,7.3
102,T100,T100,Seung-Yul Noh,9,7.3
103,T100,T100,Garrett Osborn,1,7.3
104,T100,T100,Carl Pettersson,20,7.3
105,T100,T100,Patrick Reed,19,7.3
106,T100,T100,Marcel Siem,4,7.3
107,T100,T100,Chris Smith,3,7.3
108,T100,T100,Adam Svensson,1,7.3
109,T110,T110,Andres Romero,8,7.2
110,T110,T110,Nick Watney,16,7.2
111,T110,T110,Tiger Woods,5,7.2
112,T113,T113,Kevin Chappell,15,7.1
113,T113,T113,Cameron Percy,11,7.1
114,T115,T115,Brian Harman,15,7.0
115,T115,T115,Tom Hoge,12,7.0
116,T115,T115,D.J. Trahan,2,7.0
117,T115,T115,Bernd Wiesberger,3,7.0
118,T119,T119,Retief Goosen,12,6.9
119,T119,T119,Chesson Hadley,18,6.9
120,T119,T119,James Hahn,17,6.9
121,T119,T119,Anirban Lahiri,4,6.9
122,T119,T119,Geoff Ogilvy,7,6.9
123,T124,T124,Aaron Baddeley,12,6.8
124,T124,T124,Andrew Dodt,1,6.8
125,T124,T124,Oscar Fraustro,4,6.8
126,T124,T124,Hideki Matsuyama,16,6.8
127,T124,T124,Michael Thompson,13,6.8
128,T129,T129,Thomas Birdsey,1,6.7
129,T129,T129,Jamie Donaldson,6,6.7
130,T129,T129,J.J. Henry,14,6.7
131,T129,T129,Richard Sterne,1,6.7
132,T129,T129,Kevin Tway,1,6.7
133,T134,T134,Derek Fathauer,11,6.6
134,T134,T134,Gonzalo Fernandez-Castaño,8,6.6
135,T134,T134,Will MacKenzie,5,6.6
136,T134,T134,Wes Roach,1,6.6
137,T134,T134,Kevin Streelman,16,6.6
138,T134,T134,Johnson Wagner,8,6.6
139,T140,T140,Stewart Cink,13,6.5
140,T140,T140,Jim Herman,14,6.5
141,T140,T140,John Senden,8,6.5
142,T140,T140,Vijay Singh,14,6.5
143,T144,T144,Matt Every,9,6.4
144,T144,T144,Harrison Frazar,2,6.4
145,T144,T144,Emiliano Grillo,3,6.4
146,T144,T144,Padraig Harrington,7,6.4
147,T144,T144,Scott Vincent,1,6.4
148,T149,T149,Sangmoon Bae,18,6.3
149,T149,T149,Jason Gore,9,6.3
150,T149,T149,Tyrrell Hatton,1,6.3
151,T149,T149,Trevor Immelman,2,6.3
152,T149,T149,Troy Kelly,1,6.3
153,T149,T149,David Lingmerth,15,6.3
154,T149,T149,Davis Love III,6,6.3
155,T149,T149,Scott Pinckney,14,6.3
156,T149,T149,Byron Smith,6,6.3
157,T158,T158,George Coetzee,2,6.2
158,T158,T158,Adam Hadwin,15,6.2
159,T158,T158,Ryo Ishikawa,14,6.2
160,T158,T158,Kevin Stadler,1,6.2
161,T162,T162,Scott Brown,15,6.1
162,T162,T162,Ross Fisher,1,6.1
163,T162,T162,Michael Putnam,13,6.1
164,T162,T162,Rory Sabbatini,12,6.1
165,T162,T162,Carlos Sainz Jr,3,6.1
166,T162,T162,Bo Van Pelt,10,6.1
167,T162,T162,Camilo Villegas,14,6.1
168,T162,T162,Danny Willett,4,6.1
169,T170,T170,Tom Johnson,1,6.0
170,T170,T170,Kyle Reifers,13,6.0
171,T170,T170,Steve Wheatcroft,12,6.0
172,T173,T173,Tommy Fleetwood,1,5.9
173,T173,T173,Martin Kaymer,6,5.9
174,T173,T173,Matt Kuchar,19,5.9
175,T173,T173,Jeff Overton,13,5.9
176,T173,T173,Chris Riley,1,5.9
177,T173,T173,Henrik Stenson,11,5.9
178,T173,T173,Danie van Tonder,1,5.9
179,T180,T180,Mikko Ilonen,3,5.8
180,T180,T180,Kevin Kisner,20,5.8
181,T180,T180,Andy Pope,1,5.8
182,T180,T180,Jonathan Randolph,8,5.8
183,T180,T180,Cory Renfrew,1,5.8
184,T185,T185,Mark Anderson,2,5.7
185,T185,T185,Blayne Barber,10,5.7
186,T185,T185,Bill Lunde,5,5.7
