,FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,FedExCup_Season_Points_for_Non-Members_PLAYER NAME,FedExCup_Season_Points_for_Non-Members_EVENTS,FedExCup_Season_Points_for_Non-Members_POINTS,FedExCup_Season_Points_for_Non-Members_WGC POINTS
0,1,1,Branden Grace,13,701,136.0
1,2,2,Patrick Rodgers,17,555,
2,3,3,Danny Willett,10,494,313.0
3,4,4,Cameron Smith,13,455,
4,5,5,Anirban Lahiri,12,301,87.0
5,6,6,Austin Cook,7,295,
6,7,7,Joost Luiten,13,283,135.0
7,8,8,Marc Warren,9,277,157.0
8,9,9,George Coetzee,7,239,113.0
9,10,10,Hiroshi Iwata,4,201,152.0
10,11,11,Bernd Wiesberger,11,194,109.0
11,12,12,Emiliano Grillo,5,191,
12,13,13,Tommy Fleetwood,7,186,147.0
13,14,14,Marcel Siem,8,156,84.0
14,15,15,Alexander Levy,8,141,100.0
15,16,16,Stephen Gallacher,11,139,78.0
16,17,17,Mikko Ilonen,8,136,122.0
17,18,18,Thomas Aiken,4,134,45.0
18,19,19,Andy Sullivan,6,122,29.0
19,20,20,Ollie Schniederjans,7,99,
20,21,21,Thorbjørn Olesen,1,96,96.0
21,22,22,Kiradech Aphibarnrat,4,94,
22,23,23,Thongchai Jaidee,10,92,71.0
23,24,24,Rafa Cabrera Bello,4,87,
24,25,25,Jamie Lovemark,2,86,
25,26,26,Pablo Larrazabal,4,76,76.0
26,T27,T27,Prom Meesawat,1,75,
27,T27,T27,Angelo Que,1,75,
28,29,29,Mark Anderson,7,69,
29,30,30,Peter Uihlein,4,68,
30,31,31,Søren Kjeldsen,3,65,65.0
31,32,32,Anthony Wall,1,64,
32,33,33,Brandon Hagy,8,63,
33,34,34,Byeong Hun An,5,62,13.0
34,35,35,Ashun Wu,1,56,56.0
35,36,36,Marcus Fraser,2,51,
36,37,37,Thomas Bjørn,7,51,30.0
37,38,38,James Morrison,2,47,
38,39,39,Hyung-Sung Kim,2,46,8.0
39,40,40,Ross Fisher,3,46,45.0
40,T41,T41,Tyrrell Hatton,2,44,
41,T41,T41,C.T. Pan,2,44,
42,43,43,Cory Whitsett,2,43,
43,44,44,Jimmy Gunn,1,39,
44,45,45,Garrett Osborn,4,38,
45,46,46,D.H. Lee,2,37,
46,47,47,Cameron Wilson,3,37,
47,48,48,Adam Svensson,1,34,
48,49,49,HaoTong Li,1,34,34.0
49,50,50,David Lipsky,5,33,22.0
50,51,51,Michael Smith,1,32,
51,52,52,Wes Homan,4,32,
52,53,53,Miguel Angel Jiménez,6,29,29.0
53,54,54,Rikard Karlberg,2,29,
54,55,55,Dawie van der Walt,1,28,28.0
55,56,56,Koumei Oda,4,28,27.0
56,57,57,WC Liang,5,28,22.0
57,58,58,Martin Piller,1,28,
58,T59,T59,Scott Arnold,1,27,
59,T59,T59,Paul Lawrie,1,27,
60,T59,T59,J.J. Spaun,1,27,
61,62,62,Cody Gribble,4,26,
62,63,63,Wes Roach,1,26,
63,64,64,Jason Allred,3,26,
64,65,65,Kelvin Day,2,26,
65,66,66,Jason Knutzon,2,25,1.0
66,67,67,Brad Fritsch,3,24,
67,68,68,Steve Lewton,1,23,
68,69,69,Fabrizio Zanotti,1,22,
69,70,70,Felipe Aguilar,1,21,21.0
70,71,71,Chris Naegel,2,19,
71,72,72,Sebastian Cappelen,2,19,
72,73,73,Darren Clarke,6,19,
73,T74,T74,Ryan Fox,1,18,
74,T74,T74,David Howell,2,18,
