,FedExCup_Points_per_Event_Leaders_RANK THIS WEEK,FedExCup_Points_per_Event_Leaders_RANK LAST WEEK,FedExCup_Points_per_Event_Leaders_PLAYER NAME,FedExCup_Points_per_Event_Leaders_EVENTS,FedExCup_Points_per_Event_Leaders_POINTS PER EVENT,FedExCup_Points_per_Event_Leaders_TOTAL POINTS
0,1,1,Jordan Spieth,21,198.515,4168.809
1,2,2,Rory McIlroy,9,174.15900000000002,1567.433
2,3,3,Bubba Watson,15,160.441,2406.614
3,4,4,Jason Day,16,153.667,2458.666
4,5,5,Justin Rose,16,108.84700000000001,1741.559
5,6,6,Dustin Johnson,17,101.072,1718.219
6,7,7,Jimmy Walker,20,100.71700000000001,2014.3329999999999
7,8,8,Rickie Fowler,17,88.094,1497.5970000000002
8,9,9,Jim Furyk,16,87.556,1400.9
9,10,10,Brooks Koepka,19,81.28399999999999,1544.405
10,11,11,Henrik Stenson,12,79.363,952.357
11,12,12,Sergio Garcia,14,75.03699999999999,1050.512
12,13,13,Zach Johnson,21,74.226,1558.7420000000002
13,14,14,J.B. Holmes,21,70.66,1483.8529999999998
14,15,15,Paul Casey,20,69.467,1389.348
15,16,16,Patrick Reed,23,69.253,1592.809
16,17,17,Brandt Snedeker,23,66.84100000000001,1537.3529999999998
17,18,18,Robert Streb,26,66.156,1720.066
18,19,19,Hideki Matsuyama,21,65.441,1374.2520000000002
19,20,20,Louis Oosthuizen,17,63.976000000000006,1087.59
20,21,21,Charley Hoffman,24,63.02,1512.475
21,22,22,Bill Haas,21,61.023,1281.489
22,23,23,Chris Kirk,18,60.409,1087.369
23,24,24,Ryan Moore,21,57.538000000000004,1208.3
24,25,25,Matt Kuchar,21,55.405,1163.5
25,26,26,Kevin Kisner,26,54.473,1416.3029999999999
26,27,27,Phil Mickelson,16,53.031000000000006,848.5
27,28,28,David Lingmerth,25,52.196000000000005,1304.904
28,29,29,Ben Martin,24,50.717,1217.1989999999998
29,30,30,Webb Simpson,19,50.148,952.809
30,31,31,Gary Woodland,21,49.373000000000005,1036.833
31,32,32,Danny Lee,32,48.791000000000004,1561.3270000000002
32,33,33,Ian Poulter,16,48.549,776.791
33,34,34,Scott Piercy,24,46.97,1127.27
34,35,35,Russell Henley,21,46.961000000000006,986.175
35,36,36,Kevin Na,23,46.168,1061.871
36,37,37,Steven Bowditch,28,45.977,1287.355
37,38,38,Jason Bohn,24,43.199,1036.77
38,39,39,Ryan Palmer,19,43.003,817.056
39,40,40,Shawn Stefani,23,42.92100000000001,987.186
40,41,41,Brendan Steele,21,42.614,894.9
41,42,42,Adam Scott,14,41.762,584.6669999999999
42,43,43,Marc Leishman,21,40.655,853.75
43,44,44,Willy Wilcox,16,40.568000000000005,649.0830000000001
44,45,45,Davis Love III,16,40.545,648.715
45,46,46,James Hahn,25,40.469,1011.725
46,47,47,Tim Clark,12,40.042,480.5
47,48,48,Sangmoon Bae,26,39.404,1024.5
48,49,49,Lee Westwood,14,37.836,529.7080000000001
49,50,50,Matt Jones,22,37.295,820.5
50,51,51,Justin Thomas,27,37.293,1006.898
51,52,52,Harris English,25,37.275999999999996,931.893
52,53,53,Russell Knox,25,36.544000000000004,913.607
53,54,54,Keegan Bradley,21,36.125,758.625
54,55,55,Billy Horschel,25,36.119,902.9789999999999
55,56,56,Pat Perez,23,35.882,825.2769999999999
56,57,57,Troy Merritt,26,35.762,929.8
57,58,58,Boo Weekley,22,35.269,775.9069999999999
58,59,59,Tony Finau,28,35.175,984.905
59,60,60,Francesco Molinari,16,34.875,558.0
60,61,61,Fabián Gómez,23,34.65,796.94
