,FedExCup_Season_Points_RANK THIS WEEK,FedExCup_Season_Points_RANK LAST WEEK,FedExCup_Season_Points_PLAYER NAME,FedExCup_Season_Points_EVENTS,FedExCup_Season_Points_POINTS,FedExCup_Season_Points_# OF WINS,FedExCup_Season_Points_# OF TOP 10'S,FedExCup_Season_Points_POINTS BEHIND LEAD,FedExCup_Season_Points_RESET POINTS
0,1,1,Jordan Spieth,21,4169,4.0,14.0,,
1,2,2,Jason Day,16,2459,3.0,8.0,1710.0,
2,3,3,Bubba Watson,15,2407,2.0,7.0,1762.0,
3,4,4,Jimmy Walker,20,2014,2.0,6.0,2155.0,
4,5,5,Justin Rose,16,1742,1.0,7.0,2427.0,
5,6,6,Robert Streb,26,1720,1.0,9.0,2449.0,
6,7,7,Dustin Johnson,17,1718,1.0,8.0,2451.0,
7,8,8,Patrick Reed,23,1593,1.0,3.0,2576.0,
8,9,9,Rory McIlroy,9,1567,2.0,6.0,2602.0,
9,10,10,Danny Lee,32,1561,1.0,7.0,2608.0,
10,11,11,Zach Johnson,21,1559,1.0,8.0,2610.0,
11,12,12,Brooks Koepka,19,1544,1.0,8.0,2625.0,
12,13,13,Brandt Snedeker,23,1537,1.0,8.0,2632.0,
13,14,14,Charley Hoffman,24,1512,1.0,6.0,2657.0,
14,15,15,Rickie Fowler,17,1498,1.0,5.0,2671.0,
15,16,16,J.B. Holmes,21,1484,1.0,5.0,2685.0,
16,17,17,Kevin Kisner,26,1416,,6.0,2753.0,
17,18,18,Jim Furyk,16,1401,1.0,6.0,2768.0,
18,19,19,Paul Casey,20,1389,,7.0,2780.0,
19,20,20,Hideki Matsuyama,21,1374,,8.0,2795.0,
20,21,21,David Lingmerth,25,1305,1.0,4.0,2864.0,
21,22,22,Steven Bowditch,28,1287,1.0,2.0,2882.0,
22,23,23,Bill Haas,21,1281,1.0,5.0,2888.0,
23,24,24,Ben Martin,24,1217,1.0,5.0,2952.0,
24,25,25,Ryan Moore,21,1208,1.0,4.0,2961.0,
25,26,26,Matt Kuchar,21,1164,,5.0,3005.0,
26,27,27,Scott Piercy,24,1127,1.0,4.0,3042.0,
27,28,28,Louis Oosthuizen,17,1088,,6.0,3081.0,
28,29,29,Chris Kirk,18,1087,1.0,3.0,3082.0,
29,30,30,Kevin Na,23,1062,,6.0,3107.0,
30,31,31,Sergio Garcia,14,1051,,4.0,3118.0,
31,32,32,Gary Woodland,21,1037,,4.0,3132.0,
32,33,33,Jason Bohn,24,1037,,5.0,3132.0,
33,34,34,Sangmoon Bae,26,1025,1.0,4.0,3144.0,
34,35,35,James Hahn,25,1012,1.0,2.0,3157.0,
35,36,36,Justin Thomas,27,1007,,7.0,3162.0,
36,37,37,Shawn Stefani,23,987,,3.0,3182.0,
37,38,38,Russell Henley,21,986,,4.0,3183.0,
38,39,39,Tony Finau,28,985,,5.0,3184.0,
39,40,40,Webb Simpson,19,953,,5.0,3216.0,
40,41,41,Henrik Stenson,12,952,,4.0,3217.0,
41,42,42,Harris English,25,932,,3.0,3237.0,
42,43,43,Troy Merritt,26,930,1.0,3.0,3239.0,
43,44,44,Russell Knox,25,914,,3.0,3255.0,
44,45,45,Billy Horschel,25,903,,2.0,3266.0,
45,46,46,Daniel Berger,27,899,,5.0,3270.0,
46,47,47,Brendan Steele,21,895,,4.0,3274.0,
47,48,48,Brendon de Jonge,28,892,,3.0,3277.0,
48,49,49,David Hearn,27,890,,4.0,3279.0,
49,50,50,Marc Leishman,21,854,,4.0,3315.0,
50,51,51,Phil Mickelson,16,849,,3.0,3320.0,
51,52,52,Nick Watney,25,847,,3.0,3322.0,
52,53,53,Brendon Todd,24,831,,4.0,3338.0,
53,54,54,Pat Perez,23,825,,2.0,3344.0,
54,55,55,Matt Jones,22,821,,3.0,3348.0,
55,56,56,Ryan Palmer,19,817,,4.0,3352.0,
56,57,57,Cameron Tringale,25,816,,2.0,3353.0,
57,58,58,Fabián Gómez,23,797,1.0,2.0,3372.0,
58,59,59,Ian Poulter,16,777,,4.0,3392.0,
59,60,60,Boo Weekley,22,776,,6.0,3393.0,
60,61,61,Kevin Streelman,25,771,,2.0,3398.0,
61,62,62,Keegan Bradley,21,759,,3.0,3410.0,
