,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK THIS WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_RANK LAST WEEK,_of_Potential_Pts_won_-_FedExCup_Regular_Season_PLAYER NAME,_of_Potential_Pts_won_-_FedExCup_Regular_Season_EVENTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_%,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POINTS WON,_of_Potential_Pts_won_-_FedExCup_Regular_Season_POTENTIAL PTS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF WINS,_of_Potential_Pts_won_-_FedExCup_Regular_Season_# OF TOP 10'S
0,1,1,Jordan Spieth,25,39.14,4169,10650,4.0,14.0
1,2,2,Bubba Watson,19,31.46,2407,7650,2.0,7.0
2,3,3,Rory McIlroy,12,31.35,1567,5000,2.0,6.0
3,4,4,Jason Day,20,30.35,2459,8100,3.0,8.0
4,5,5,Justin Rose,20,21.37,1742,8150,1.0,7.0
5,6,6,Dustin Johnson,21,19.98,1718,8600,1.0,8.0
6,7,7,Jimmy Walker,24,19.85,2014,10150,2.0,6.0
7,8,8,Rickie Fowler,21,17.31,1498,8650,1.0,5.0
8,9,9,Jim Furyk,19,17.3,1401,8100,1.0,6.0
9,10,10,Brooks Koepka,23,16.09,1544,9600,1.0,8.0
10,11,11,Henrik Stenson,16,15.49,952,6150,,4.0
11,12,12,Zach Johnson,25,14.71,1559,10600,1.0,8.0
12,13,13,Sergio Garcia,15,14.69,1051,7150,,4.0
13,14,14,J.B. Holmes,25,13.93,1484,10650,1.0,5.0
14,15,15,Paul Casey,24,13.76,1389,10100,,7.0
15,16,16,Patrick Reed,27,13.67,1593,11650,1.0,3.0
16,17,17,Robert Streb,30,13.39,1720,12850,1.0,9.0
17,18,18,Brandt Snedeker,27,13.2,1537,11650,1.0,8.0
18,19,19,Hideki Matsuyama,25,12.9,1374,10650,,8.0
19,20,20,Charley Hoffman,28,12.71,1512,11900,1.0,6.0
20,21,21,Louis Oosthuizen,20,12.57,1088,8650,,6.0
21,22,22,Bill Haas,25,12.03,1281,10650,1.0,5.0
22,23,23,Chris Kirk,21,11.51,1087,9450,1.0,3.0
23,24,24,Ryan Moore,24,11.35,1208,10650,1.0,4.0
24,25,25,Kevin Kisner,30,11.15,1416,12700,,6.0
25,26,26,Matt Kuchar,25,10.98,1164,10600,,5.0
26,27,27,David Lingmerth,28,10.7,1305,12200,1.0,4.0
27,28,28,Phil Mickelson,19,10.54,849,8050,,3.0
28,29,29,Ben Martin,27,10.27,1217,11850,1.0,5.0
29,30,30,Danny Lee,36,9.94,1561,15700,1.0,7.0
30,31,31,Webb Simpson,22,9.93,953,9600,,5.0
31,32,32,Gary Woodland,24,9.83,1037,10550,,4.0
32,33,33,Scott Piercy,28,9.55,1127,11800,1.0,4.0
33,34,34,Ian Poulter,19,9.53,777,8150,,4.0
34,35,35,Steven Bowditch,32,9.33,1287,13800,1.0,2.0
35,36,36,Russell Henley,24,9.26,986,10650,,4.0
36,37,37,Kevin Na,27,9.11,1062,11650,,6.0
37,38,38,Willy Wilcox,17,9.02,649,7200,,4.0
38,39,39,Brendan Steele,24,8.69,895,10300,,4.0
39,40,40,Jason Bohn,27,8.64,1037,12000,,5.0
40,41,41,Shawn Stefani,26,8.58,987,11500,,3.0
41,42,42,Ryan Palmer,22,8.47,817,9650,,4.0
42,43,43,James Hahn,28,8.29,1012,12200,1.0,2.0
43,44,44,Adam Scott,15,8.18,585,7150,,3.0
44,45,45,Marc Leishman,23,8.13,854,10500,,4.0
45,46,46,Tim Clark,13,8.08,481,5950,,1.0
46,47,47,Davis Love III,18,8.01,649,8100,1.0,2.0
47,48,48,Sangmoon Bae,30,7.97,1025,12850,1.0,4.0
48,49,49,Justin Thomas,30,7.46,1007,13500,,7.0
49,50,50,Fabián Gómez,26,7.45,797,10700,1.0,2.0
50,51,51,Troy Merritt,29,7.44,930,12500,1.0,3.0
51,52,52,Lee Westwood,15,7.41,530,7150,,1.0
52,53,53,Boo Weekley,24,7.32,776,10600,,6.0
53,T54,T54,Harris English,29,7.25,932,12850,,3.0
54,T54,T54,Russell Knox,28,7.25,914,12600,,3.0
55,56,56,Matt Jones,25,7.2,821,11400,,3.0
56,57,57,Billy Horschel,28,7.14,903,12650,,2.0
57,58,58,Keegan Bradley,24,7.12,759,10650,,3.0
58,59,59,Francesco Molinari,16,7.11,558,7850,,2.0
59,60,60,Pat Perez,26,7.05,825,11700,,2.0
60,61,61,Tony Finau,31,7.04,985,14000,,5.0
61,62,62,Greg Owen,19,6.99,608,8700,,2.0
62,63,63,Vaughn Taylor,12,6.94,361,5200,,2.0
63,64,64,Brendon Todd,27,6.84,831,12150,,4.0
64,65,65,Nick Watney,28,6.77,847,12500,,3.0
65,T66,T66,Daniel Berger,31,6.61,899,13600,,5.0
66,T66,T66,Fred Funk,2,6.61,66,1000,,1.0
67,68,68,Mark Hensby,2,6.56,53,800,,1.0
68,69,69,David Hearn,30,6.5,890,13700,,4.0
69,70,70,Charl Schwartzel,19,6.38,584,9150,,3.0
70,71,71,Brendon de Jonge,31,6.37,892,14000,,3.0
71,72,72,Padraig Harrington,21,6.29,610,9700,1.0,1.0
72,T73,T73,Sean O'Hair,26,6.25,719,11500,,2.0
73,T73,T73,Cameron Tringale,28,6.25,816,13050,,2.0
74,75,75,Jerry Kelly,24,6.19,632,10200,,3.0
75,76,76,Martin Kaymer,13,6.1,406,6650,,1.0
76,77,77,Hunter Mahan,24,6.08,648,10650,,3.0
77,78,78,Rory Sabbatini,25,6.06,678,11200,,4.0
78,79,79,Kevin Streelman,27,6.04,771,12750,,2.0
79,80,80,Matt Every,26,6.01,727,12100,1.0,1.0
80,81,81,George McNeill,27,5.81,715,12300,,1.0
81,82,82,Will MacKenzie,16,5.79,458,7900,,3.0
82,83,83,Martin Laird,24,5.76,628,10900,,3.0
83,84,84,Johnson Wagner,23,5.56,551,9900,,3.0
84,85,85,Daniel Summerhays,29,5.54,720,13000,,3.0
85,86,86,Alex Cejka,30,5.52,739,13400,1.0,1.0
86,87,87,Jamie Donaldson,16,5.48,447,8150,,2.0
87,88,88,Jason Dufner,21,5.38,546,10150,,2.0
88,89,89,Scott Pinckney,27,5.33,645,12100,,3.0
89,90,90,Bryce Molder,26,5.31,595,11200,,2.0
90,91,91,John Senden,24,5.23,610,11650,,3.0
91,92,92,Brian Harman,29,5.21,704,13500,,3.0
92,93,93,Kevin Chappell,26,5.1,602,11800,,2.0
93,94,94,Tom Gillis,16,5.08,391,7700,,1.0
94,T95,T95,Graham DeLaet,22,5.07,545,10750,,3.0
95,T95,T95,John Peterson,25,5.07,588,11600,,
96,T97,T97,Scott Brown,30,5.04,690,13700,,3.0
97,T97,T97,Luke Donald,20,5.04,484,9600,,2.0
98,T97,T97,Jason Gore,26,5.04,564,11200,,2.0
99,100,100,Charles Howell III,30,5.01,692,13800,,3.0
100,101,101,Morgan Hoffmann,26,4.99,627,12550,,2.0
101,102,102,Jim Herman,27,4.96,610,12300,,2.0
102,103,103,Chad Campbell,30,4.93,670,13600,,2.0
103,104,104,William McGirt,30,4.87,652,13400,,1.0
104,105,105,Colt Knost,29,4.8,628,13100,,4.0
105,106,106,Carl Pettersson,32,4.79,723,15100,,3.0
106,107,107,Jason Kokrak,28,4.76,614,12900,,2.0
107,108,108,J.J. Henry,30,4.66,620,13300,1.0,1.0
108,109,109,Scott Stallings,19,4.63,447,9650,,1.0
109,T110,T110,Chad Collins,24,4.54,504,11100,,1.0
110,T110,T110,Chesson Hadley,30,4.54,626,13800,,3.0
111,112,112,Steve Stricker,9,4.53,218,4800,,
112,113,113,Kyle Reifers,31,4.5,626,13900,,2.0
113,114,114,Geoff Ogilvy,15,4.46,350,7850,,1.0
114,115,115,Stewart Cink,23,4.41,494,11200,,1.0
115,116,116,Vijay Singh,23,4.34,490,11300,,1.0
116,117,117,Stephen Ames,1,4.25,13,300,,
117,118,118,Jon Curran,28,4.19,540,12900,,5.0
118,119,119,Graeme McDowell,15,4.18,320,7650,,1.0
119,120,120,Adam Hadwin,30,4.17,584,14000,,3.0
