,Presidents_Cup_United_States_RANK THIS WEEK,Presidents_Cup_United_States_RANK LAST WEEK,Presidents_Cup_United_States_PLAYER NAME,Presidents_Cup_United_States_POINTS
0,1,1,Jordan Spieth,10521
1,2,2,Bubba Watson,7416
2,3,3,Jimmy Walker,6609
3,4,4,Zach Johnson,5838
4,5,5,Jim Furyk,5778
5,6,6,Rickie Fowler,5770
6,7,7,Dustin Johnson,5532
7,8,8,Patrick Reed,5148
8,9,9,Matt Kuchar,4693
9,10,10,Chris Kirk,4426
10,11,11,Bill Haas,4140
11,12,12,J.B. Holmes,4075
12,13,13,Charley Hoffman,4004
13,14,14,Billy Horschel,3956
14,15,15,Brandt Snedeker,3913
15,16,16,Webb Simpson,3734
16,17,17,Robert Streb,3583
17,18,18,Kevin Na,3546
18,19,19,Harris English,3496
19,20,20,Brooks Koepka,3486
20,21,21,Kevin Kisner,3465
21,22,22,Brendon Todd,3414
22,23,23,Ryan Moore,3393
23,24,24,Gary Woodland,3352
24,25,25,Ryan Palmer,3117
25,26,26,Keegan Bradley,3072
26,27,27,Russell Henley,3032
27,28,28,Brian Harman,2962
28,29,29,Hunter Mahan,2901
29,30,30,Phil Mickelson,2795
30,31,31,Jason Bohn,2780
31,32,32,Ben Martin,2766
32,33,33,Cameron Tringale,2759
33,34,34,Matt Every,2721
34,35,35,Daniel Summerhays,2640
35,36,36,Nick Watney,2638
36,37,37,Charles Howell III,2535
37,38,38,George McNeill,2510
38,39,39,Brendan Steele,2482
39,40,40,Pat Perez,2474
40,41,41,Troy Merritt,2440
41,42,42,James Hahn,2437
42,43,43,Shawn Stefani,2355
43,44,44,Kevin Streelman,2350
44,45,45,Scott Piercy,2320
45,46,46,Justin Thomas,2129
46,47,47,Kevin Chappell,2116
47,48,48,Morgan Hoffmann,2105
48,49,49,Jerry Kelly,2094
49,50,50,Scott Brown,2070
50,51,51,William McGirt,2053
51,52,52,Chesson Hadley,2043
52,53,53,Boo Weekley,2003
53,54,54,Jason Dufner,1959
54,55,55,Chris Stroud,1943
55,56,56,Sean O'Hair,1917
56,57,57,Daniel Berger,1879
57,58,58,Jason Kokrak,1839
58,59,59,Brian Stuard,1813
59,60,60,Tony Finau,1791
60,61,61,Bryce Molder,1682
61,62,62,Erik Compton,1676
62,63,63,J.J. Henry,1671
63,64,64,Willy Wilcox,1622
64,65,65,Chad Campbell,1602
65,66,66,John Huh,1601
66,67,67,Scott Langley,1567
67,68,68,Stewart Cink,1543
68,69,69,Will MacKenzie,1541
69,70,70,Davis Love III,1492
70,71,71,Scott Stallings,1479
71,72,72,Johnson Wagner,1463
72,73,73,Jeff Overton,1435
73,74,74,Michael Putnam,1390
74,75,75,Jim Herman,1380
75,76,76,Jason Gore,1370
76,77,77,Hudson Swafford,1363
77,78,78,Billy Hurley III,1360
78,79,79,Steve Stricker,1325
79,80,80,Scott Pinckney,1310
80,81,81,Luke Guthrie,1286
81,82,82,Michael Thompson,1271
82,83,83,Spencer Levin,1249
83,84,84,Chad Collins,1241
84,85,85,Zac Blair,1238
85,86,86,Kevin Stadler,1238
86,87,87,Ben Crane,1222
87,88,88,Kyle Reifers,1222
88,89,89,Martin Flores,1208
89,90,90,John Peterson,1204
90,91,91,Bo Van Pelt,1194
91,92,92,Colt Knost,1177
92,93,93,David Toms,1170
93,94,94,Nicholas Thompson,1169
94,95,95,Patrick Rodgers,1164
95,96,96,Ricky Barnes,1158
96,97,97,Brice Garnett,1142
97,98,98,Ken Duke,1133
98,99,99,Mark Wilson,1112
99,100,100,Charlie Beljan,1111
100,101,101,Robert Garrigus,1109
101,102,102,Andrew Svoboda,1064
102,103,103,Steve Wheatcroft,1039
103,104,104,John Merrick,1028
104,105,105,Jon Curran,1027
105,106,106,Justin Hicks,997
