,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK THIS WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_RANK LAST WEEK,Non-WGC_FedExCup_Season_Points_for_Non-Members_PLAYER NAME,Non-WGC_FedExCup_Season_Points_for_Non-Members_EVENTS,Non-WGC_FedExCup_Season_Points_for_Non-Members_POINTS
0,1,1,Branden Grace,13,565
1,2,2,Patrick Rodgers,17,555
2,3,3,Cameron Smith,13,455
3,4,4,Austin Cook,7,295
4,5,5,Anirban Lahiri,12,215
5,6,6,Emiliano Grillo,5,191
6,7,7,Danny Willett,10,181
7,8,8,Joost Luiten,13,148
8,9,9,George Coetzee,7,126
9,10,10,Marc Warren,9,120
10,11,11,Ollie Schniederjans,7,99
11,12,12,Kiradech Aphibarnrat,4,94
12,13,13,Andy Sullivan,6,94
13,14,14,Thomas Aiken,4,89
14,15,15,Rafa Cabrera Bello,4,87
15,16,16,Jamie Lovemark,2,86
16,17,17,Bernd Wiesberger,11,85
17,T18,T18,Prom Meesawat,1,75
18,T18,T18,Angelo Que,1,75
19,20,20,Marcel Siem,8,73
20,21,21,Mark Anderson,7,69
21,22,22,Peter Uihlein,4,68
22,23,23,Anthony Wall,1,64
23,24,24,Brandon Hagy,8,63
24,25,25,Stephen Gallacher,11,61
25,26,26,Marcus Fraser,2,51
26,27,27,Byeong Hun An,5,50
27,28,28,Hiroshi Iwata,4,49
28,29,29,James Morrison,2,47
29,T30,T30,Tyrrell Hatton,2,44
30,T30,T30,C.T. Pan,2,44
31,32,32,Cory Whitsett,2,43
32,33,33,Alexander Levy,8,41
33,T34,T34,Tommy Fleetwood,7,39
34,T34,T34,Jimmy Gunn,1,39
35,T36,T36,Hyung-Sung Kim,2,38
36,T36,T36,Garrett Osborn,4,38
37,38,38,D.H. Lee,2,37
38,39,39,Cameron Wilson,3,37
39,40,40,Adam Svensson,1,34
40,41,41,Michael Smith,1,32
41,42,42,Wes Homan,4,32
42,43,43,Rikard Karlberg,2,29
43,44,44,Martin Piller,1,28
44,T45,T45,Scott Arnold,1,27
45,T45,T45,Paul Lawrie,1,27
46,T45,T45,J.J. Spaun,1,27
47,48,48,Cody Gribble,4,26
48,49,49,Wes Roach,1,26
49,50,50,Jason Allred,3,26
50,51,51,Kelvin Day,2,26
51,52,52,Jason Knutzon,2,25
52,53,53,Brad Fritsch,3,24
53,54,54,Steve Lewton,1,23
54,55,55,Fabrizio Zanotti,1,22
55,56,56,Thongchai Jaidee,10,21
56,57,57,Thomas Bjørn,7,21
57,58,58,Chris Naegel,2,19
58,59,59,Sebastian Cappelen,2,19
59,60,60,Darren Clarke,6,19
60,T61,T61,Ryan Fox,1,18
61,T61,T61,David Howell,2,18
62,T61,T61,Eddie Pepperell,2,18
63,T64,T64,Doug LaBelle II,1,17
64,T64,T64,Kevin Tway,1,17
65,66,66,Tom Johnson,2,16
66,67,67,Mark Silvers,2,16
67,68,68,Alexandre Rocha,1,15
68,69,69,Mikko Ilonen,8,14
69,70,70,Patton Kizzire,2,13
70,71,71,Alex Kang,1,13
71,72,72,David Lipsky,5,11
72,73,73,Brad Elder,1,11
73,74,74,Cory Renfrew,1,9
74,75,75,Robert Karlsson,2,9
75,76,76,Andy Pope,2,8
76,77,77,WC Liang,5,6
77,T78,T78,Scott Gutschewski,1,5
78,T78,T78,Colin Montgomerie,2,5
79,T80,T80,Danny Chia,1,4
80,T80,T80,Nicholas Fung,1,4
81,82,82,Smylie Kaufman,2,3
82,83,83,Michael Block,6,2
83,84,84,John Chin,1,2
84,85,85,Alvaro Quiros,2,2
85,86,86,Jay Woodson,1,2
86,T87,T87,Ross Fisher,3,1
87,T87,T87,Richie Ramsay,2,1
88,T89,T89,Brian Gaffney,1,1
89,T89,T89,Bobby Wyatt,2,1
90,91,91,Antonio Lascuna,2,1
91,92,92,Daniel Miernicki,1,1
92,T93,T93,Thomas Birdsey,1,1
93,T93,T93,John Parry,1,1
94,T95,T95,Michael McCabe,1,1
95,T95,T95,Koumei Oda,4,1
96,97,97,Richy Werenski,1,1
97,98,98,James Driscoll,1,1
98,99,99,Brett Rumford,1,1
99,100,100,Seuk-hyun Baek,2,1
100,101,101,Marcelo Rozo,1,1
