,FedExCup_Playoffs_Points_RANK THIS WEEK,FedExCup_Playoffs_Points_RANK LAST WEEK,FedExCup_Playoffs_Points_PLAYER NAME,FedExCup_Playoffs_Points_EVENTS,FedExCup_Playoffs_Points_POINTS,FedExCup_Playoffs_Points_# OF WINS,FedExCup_Playoffs_Points_# OF TOP 10'S,FedExCup_Playoffs_Points_POINTS BEHIND LEAD,FedExCup_Playoffs_Points_RESET POINTS
0,1,1,Jordan Spieth,25,3800,5.0,15.0,,1800.0
1,2,2,Henrik Stenson,16,2307,,8.0,1493.0,1440.0
2,3,3,Jason Day,20,2290,5.0,11.0,1510.0,2000.0
3,4,4,Rickie Fowler,21,1838,2.0,7.0,1962.0,1600.0
4,5,5,Bubba Watson,19,1680,2.0,10.0,2120.0,1280.0
5,6,6,Zach Johnson,25,1450,1.0,10.0,2350.0,1120.0
6,7,7,Dustin Johnson,21,1360,1.0,11.0,2440.0,960.0
7,8,8,Justin Rose,20,1235,1.0,8.0,2565.0,368.0
8,9,9,Danny Lee,36,1123,1.0,8.0,2677.0,256.0
9,10,10,Charley Hoffman,28,992,1.0,7.0,2808.0,800.0
10,11,11,Daniel Berger,31,878,,6.0,2922.0,640.0
11,12,12,Patrick Reed,27,656,1.0,4.0,3144.0,480.0
12,13,13,Paul Casey,24,632,,8.0,3168.0,232.0
13,14,14,J.B. Holmes,25,618,1.0,7.0,3182.0,288.0
14,15,15,Rory McIlroy,12,602,2.0,7.0,3198.0,384.0
15,16,16,Hideki Matsuyama,25,558,,9.0,3242.0,320.0
16,16,16,Jimmy Walker,24,558,2.0,6.0,3242.0,352.0
17,18,18,Robert Streb,30,542,1.0,9.0,3258.0,336.0
18,19,19,Matt Kuchar,25,530,,7.0,3270.0,240.0
19,20,20,Steven Bowditch,32,454,1.0,2.0,3346.0,216.0
20,21,21,Kevin Kisner,30,444,,6.0,3356.0,272.0
21,22,22,Scott Piercy,28,432,1.0,5.0,3368.0,248.0
22,23,23,Brandt Snedeker,27,416,1.0,8.0,3384.0,224.0
23,24,24,Brooks Koepka,23,414,1.0,8.0,3386.0,208.0
24,25,25,Kevin Na,27,410,,7.0,3390.0,192.0
25,26,26,Sangmoon Bae,30,390,1.0,5.0,3410.0,184.0
26,27,27,Bill Haas,25,380,1.0,5.0,3420.0,200.0
27,28,28,Harris English,29,360,,3.0,3440.0,168.0
28,29,29,Jim Furyk,19,304,1.0,7.0,3496.0,304.0
29,30,30,Louis Oosthuizen,20,176,,6.0,3624.0,176.0
30,31,31,Daniel Summerhays,29,1501,,5.0,5179.0,
31,32,32,Justin Thomas,30,1498,,7.0,5182.0,
32,33,33,Matt Jones,25,1445,,4.0,5235.0,
33,34,34,Russell Knox,28,1435,,3.0,5245.0,
34,35,35,Ben Martin,27,1417,1.0,5.0,5263.0,
35,36,36,Cameron Tringale,28,1390,,3.0,5290.0,
36,37,37,David Lingmerth,28,1387,1.0,4.0,5293.0,
37,38,38,Ryan Palmer,22,1386,,5.0,5294.0,
38,39,39,Ryan Moore,24,1374,1.0,4.0,5306.0,
39,40,40,Jason Bohn,27,1373,,6.0,5307.0,
40,41,41,Gary Woodland,24,1300,,4.0,5380.0,
41,42,42,Sean O'Hair,26,1293,,3.0,5387.0,
42,43,43,Tony Finau,31,1293,,5.0,5387.0,
43,44,44,Chris Kirk,21,1291,1.0,3.0,5389.0,
44,45,45,Pat Perez,26,1287,,2.0,5393.0,
45,46,46,Brendon Todd,27,1279,,4.0,5401.0,
46,47,47,Brendon de Jonge,31,1228,,3.0,5452.0,
47,48,48,Webb Simpson,22,1213,,5.0,5467.0,
48,49,49,Hunter Mahan,24,1208,,4.0,5472.0,
49,50,50,Brendan Steele,24,1204,,4.0,5476.0,
50,51,51,James Hahn,28,1202,1.0,2.0,5478.0,
51,52,52,Kevin Chappell,26,1186,,2.0,5494.0,
52,53,53,Sergio Garcia,15,1177,,4.0,5503.0,
53,54,54,Shawn Stefani,26,1171,,3.0,5509.0,
54,55,55,David Hearn,30,1152,,4.0,5528.0,
55,56,56,Troy Merritt,29,1148,1.0,3.0,5532.0,
56,57,57,Brian Harman,29,1135,,3.0,5545.0,
57,58,58,Nick Watney,28,1135,,3.0,5545.0,
58,59,59,Zac Blair,34,1126,,2.0,5554.0,
59,60,60,Keegan Bradley,24,1103,,3.0,5577.0,
60,61,61,Phil Mickelson,19,1091,,3.0,5589.0,
61,62,62,George McNeill,27,1086,,1.0,5594.0,
62,63,63,Russell Henley,24,1072,,4.0,5608.0,
63,64,64,Fabián Gómez,26,1069,1.0,2.0,5611.0,
64,65,65,Rory Sabbatini,25,1064,,4.0,5616.0,
65,66,66,Billy Horschel,28,1051,,2.0,5629.0,
66,67,67,Ian Poulter,19,981,,4.0,5699.0,
67,68,68,Jerry Kelly,24,966,,4.0,5714.0,
68,69,69,William McGirt,30,955,,1.0,5725.0,
69,70,70,Bryce Molder,26,875,,2.0,5805.0,
70,71,71,Alex Cejka,30,859,1.0,1.0,5821.0,
71,72,72,Marc Leishman,23,854,,4.0,5826.0,
72,73,73,John Senden,24,848,,3.0,5832.0,
73,74,74,Jim Herman,27,840,,2.0,5840.0,
74,75,75,Kevin Streelman,27,840,,2.0,5840.0,
75,76,76,Boo Weekley,24,830,,6.0,5850.0,
76,77,77,Carl Pettersson,32,809,,3.0,5871.0,
77,78,78,Kyle Reifers,31,804,,2.0,5876.0,
78,79,79,Charles Howell III,30,792,,3.0,5888.0,
79,80,80,Luke Donald,20,782,,2.0,5898.0,
80,81,81,Hudson Swafford,30,776,,1.0,5904.0,
81,82,82,Spencer Levin,31,764,,1.0,5916.0,
82,83,83,Scott Pinckney,27,761,,3.0,5919.0,
83,84,84,Camilo Villegas,27,757,,,5923.0,
84,85,85,Morgan Hoffmann,26,749,,2.0,5931.0,
85,86,86,Davis Love III,18,735,1.0,2.0,5945.0,
86,87,87,Johnson Wagner,23,733,,3.0,5947.0,
87,88,88,Jason Dufner,21,730,,2.0,5950.0,
88,89,89,Matt Every,26,727,1.0,1.0,5953.0,
89,90,90,J.J. Henry,30,716,1.0,1.0,5964.0,
90,91,91,Colt Knost,29,714,,4.0,5966.0,
91,92,92,Jason Gore,26,712,,2.0,5968.0,
92,93,93,Carlos Ortiz,30,711,,1.0,5969.0,
93,94,94,Scott Brown,30,696,,3.0,5984.0,
94,95,95,Mark Wilson,28,681,,3.0,5999.0,
95,96,96,Chad Campbell,30,670,,2.0,6010.0,
96,97,97,Willy Wilcox,17,649,,4.0,6031.0,
97,98,98,Chesson Hadley,30,630,,3.0,6050.0,
98,99,99,Martin Laird,24,628,,3.0,6052.0,
99,100,100,Jason Kokrak,28,614,,2.0,6066.0,
100,101,101,Nick Taylor,28,613,1.0,1.0,6067.0,
101,102,102,Stewart Cink,23,612,,1.0,6068.0,
102,103,103,Padraig Harrington,21,610,1.0,1.0,6070.0,
103,104,104,Greg Owen,19,608,,2.0,6072.0,
104,105,105,John Peterson,25,588,,,6092.0,
105,106,106,Adam Scott,15,585,,3.0,6095.0,
106,107,107,Adam Hadwin,30,584,,3.0,6096.0,
107,108,108,Charl Schwartzel,19,584,,3.0,6096.0,
108,109,109,Lee Westwood,15,576,,1.0,6104.0,
109,110,110,John Huh,31,565,,,6115.0,
110,111,111,Francesco Molinari,16,558,,2.0,6122.0,
111,112,112,Graham DeLaet,22,545,,3.0,6135.0,
112,113,113,Jon Curran,28,540,,5.0,6140.0,
113,114,114,Steve Wheatcroft,28,536,,2.0,6144.0,
114,115,115,Andres Gonzales,28,531,,3.0,6149.0,
115,116,116,Chris Stroud,28,531,,2.0,6149.0,
116,117,117,Ken Duke,30,523,,3.0,6157.0,
117,118,118,Retief Goosen,25,519,,3.0,6161.0,
118,119,119,Vijay Singh,23,508,,1.0,6172.0,
119,120,120,Chad Collins,24,504,,1.0,6176.0,
120,121,121,Tim Clark,13,481,,1.0,6199.0,
121,122,122,Ryo Ishikawa,28,476,,2.0,6204.0,
122,123,123,Jonas Blixt,26,471,,1.0,6209.0,
123,124,124,Erik Compton,28,471,,1.0,6209.0,
124,125,125,Jeff Overton,30,464,,1.0,6216.0,
125,126,126,Will MacKenzie,16,458,,3.0,6222.0,
126,127,127,Scott Langley,28,448,,,6232.0,
127,128,128,Brian Stuard,31,447,,1.0,6233.0,
128,129,129,Scott Stallings,19,447,,1.0,6233.0,
129,130,130,Jamie Donaldson,16,447,,2.0,6233.0,
130,131,131,Nicholas Thompson,31,442,,1.0,6238.0,
131,132,132,Tom Hoge,26,441,,2.0,6239.0,
132,133,133,Alex Prugh,27,433,,2.0,6247.0,
133,134,134,Seung-Yul Noh,21,432,,1.0,6248.0,
134,135,135,Sung Joon Park,27,426,,1.0,6254.0,
135,136,136,Billy Hurley III,28,420,,1.0,6260.0,
136,137,137,Sam Saunders,28,413,,1.0,6267.0,
137,138,138,Michael Putnam,28,407,,,6273.0,
138,139,139,Martin Kaymer,13,406,,1.0,6274.0,
139,140,140,Brice Garnett,29,398,,1.0,6282.0,
140,141,141,Whee Kim,23,393,,2.0,6287.0,
141,142,142,Tom Gillis,16,391,,1.0,6289.0,
142,143,143,Brian Davis,31,387,,2.0,6293.0,
143,144,144,David Toms,21,383,,2.0,6297.0,
144,145,145,Blayne Barber,26,380,,4.0,6300.0,
145,146,146,Michael Thompson,27,378,,1.0,6302.0,
146,147,147,Lucas Glover,26,375,,,6305.0,
147,148,148,Luke Guthrie,27,373,,1.0,6307.0,
148,149,149,Charlie Beljan,27,369,,1.0,6311.0,
149,150,150,Cameron Percy,23,361,,1.0,6319.0,
