,Last_15_Events_-_Putting_RANK THIS WEEK,Last_15_Events_-_Putting_RANK LAST WEEK,Last_15_Events_-_Putting_PLAYER NAME,Last_15_Events_-_Putting_EVENTS,Last_15_Events_-_Putting_RATING
0,1,1,Joe Affrunti,1,9.5
1,2,2,Andy Sullivan,1,9.4
2,3,3,Ollie Schniederjans,2,9.2
3,T4,T4,George Coetzee,2,9.1
4,T4,T4,Steve Marino,1,9.1
5,T6,T6,Steve Lowery,1,8.9
6,T6,T6,Martin Piller,1,8.9
7,T6,T6,Michael Smith,1,8.9
8,T9,T9,Jason Allred,1,8.8
9,T9,T9,Bryson DeChambeau,1,8.8
10,T9,T9,Trevor Immelman,1,8.8
11,T12,T12,Tyrrell Hatton,1,8.7
12,T12,T12,Tom Johnson,1,8.7
13,T12,T12,Scott Verplank,2,8.7
14,T15,T15,Erik Compton,7,8.6
15,T15,T15,Rickie Fowler,8,8.6
16,T15,T15,D.H. Lee,1,8.6
17,T15,T15,Robby Shelton,1,8.6
18,T15,T15,Gunn Yang,1,8.6
19,T20,T20,Austin Cook,5,8.5
20,T20,T20,Nick Cullen,1,8.5
21,T20,T20,Cameron Smith,6,8.5
22,T23,T23,Mark Anderson,3,8.4
23,T23,T23,Søren Kjeldsen,1,8.4
24,T23,T23,Rod Pampling,4,8.4
25,T23,T23,Carl Pettersson,10,8.4
26,T23,T23,Daniel Summerhays,8,8.4
27,T23,T23,Brendon Todd,9,8.4
28,T23,T23,Peter Uihlein,1,8.4
29,T23,T23,Cory Whitsett,2,8.4
30,T31,T31,Blayne Barber,4,8.3
31,T31,T31,Matt Bettencourt,3,8.3
32,T31,T31,Derek Fathauer,5,8.3
33,T31,T31,Steve Flesch,1,8.3
34,T31,T31,J.B. Holmes,8,8.3
35,T31,T31,Danny Lee,12,8.3
36,T31,T31,Jordan Niebrugge,1,8.3
37,T31,T31,Kenny Perry,3,8.3
38,T31,T31,Nicholas Thompson,4,8.3
39,T31,T31,Marc Warren,5,8.3
40,T31,T31,Steve Wheatcroft,5,8.3
41,T31,T31,Gary Woodland,7,8.3
42,T43,T43,Thomas Aiken,2,8.2
43,T43,T43,Kiradech Aphibarnrat,3,8.2
44,T43,T43,Thomas Bjørn,4,8.2
45,T43,T43,Steven Bowditch,11,8.2
46,T43,T43,Jonathan Byrd,7,8.2
47,T43,T43,Greg Chalmers,7,8.2
48,T43,T43,Todd Hamilton,1,8.2
49,T43,T43,Morgan Hoffmann,9,8.2
50,T43,T43,Hiroshi Iwata,1,8.2
51,T43,T43,David Lingmerth,8,8.2
52,T43,T43,Kevin Na,9,8.2
53,T43,T43,Ian Poulter,9,8.2
54,T43,T43,Patrick Reed,11,8.2
