,Official_World_Golf_Ranking_RANK THIS WEEK,Official_World_Golf_Ranking_RANK LAST WEEK,Official_World_Golf_Ranking_PLAYER NAME,Official_World_Golf_Ranking_EVENTS,Official_World_Golf_Ranking_AVG POINTS,Official_World_Golf_Ranking_TOTAL POINTS,Official_World_Golf_Ranking_POINTS LOST,Official_World_Golf_Ranking_POINTS GAINED,Official_World_Golf_Ranking_COUNTRY
0,1,1.0,Jordan Spieth,52,12.55,652.47,-234.61,590.31,USA
1,2,2.0,Jason Day,40,12.53,501.28,-183.84,452.68,AUS
2,3,3.0,Rory McIlroy,46,11.09,510.14,-346.85,315.89,NIR
3,4,4.0,Bubba Watson,46,8.24,378.88,-222.54,252.26,USA
4,5,5.0,Rickie Fowler,52,7.86,408.56,-175.36,299.64,USA
5,6,6.0,Henrik Stenson,52,7.44,386.69,-300.28,263.47,SWE
6,7,7.0,Justin Rose,52,7.09,368.63,-225.92,266.79,ENG
7,8,8.0,Dustin Johnson,40,6.82,272.83,-153.1,266.97,USA
8,9,9.0,Jim Furyk,41,6.78,277.97,-197.62,184.18,USA
9,10,10.0,Zach Johnson,52,5.12,266.29,-165.11,232.39,USA
10,11,11.0,Sergio Garcia,46,4.96,228.26,-219.1,112.55,ESP
11,12,12.0,Brooks Koepka,52,4.49,233.25,-101.12,179.93,USA
12,13,13.0,Louis Oosthuizen,48,4.42,211.93,-79.52,172.64,RSA
13,14,14.0,Adam Scott,40,4.28,171.01,-225.91,73.11,AUS
14,15,15.0,Hideki Matsuyama,52,4.26,221.7,-151.62,163.21,JPN
15,16,16.0,Matt Kuchar,52,4.24,220.6,-199.93,155.82,USA
16,17,17.0,Jimmy Walker,52,4.05,210.48,-165.48,181.9,USA
17,18,21.0,Shane Lowry,50,3.97,198.31,-81.71,141.84,IRL
18,19,18.0,J.B. Holmes,50,3.89,194.62,-73.44,187.08,USA
19,20,19.0,Patrick Reed,52,3.82,198.38,-143.24,165.57,USA
20,21,20.0,Martin Kaymer,52,3.68,191.21,-158.01,95.29,GER
21,22,22.0,Branden Grace,52,3.65,189.57,-75.64,173.54,RSA
22,23,23.0,Paul Casey,52,3.53,183.53,-79.42,166.6,ENG
