,FedExCup_Standings_RANK THIS WEEK,FedExCup_Standings_RANK LAST WEEK,FedExCup_Standings_PLAYER NAME,FedExCup_Standings_EVENTS,FedExCup_Standings_POINTS,FedExCup_Standings_# OF WINS,FedExCup_Standings_# OF TOP 10'S,FedExCup_Standings_POINTS BEHIND LEAD,FedExCup_Standings_RESET POINTS
0,1,1,Jordan Spieth,25,3800,5.0,15.0,,1800.0
1,2,2,Henrik Stenson,16,2307,,8.0,1493.0,1440.0
2,3,3,Jason Day,20,2290,5.0,11.0,1510.0,2000.0
3,4,4,Rickie Fowler,21,1838,2.0,7.0,1962.0,1600.0
4,5,5,Bubba Watson,19,1680,2.0,10.0,2120.0,1280.0
5,6,6,Zach Johnson,25,1450,1.0,10.0,2350.0,1120.0
6,7,7,Dustin Johnson,21,1360,1.0,11.0,2440.0,960.0
7,8,8,Justin Rose,20,1235,1.0,8.0,2565.0,368.0
8,9,9,Danny Lee,36,1123,1.0,8.0,2677.0,256.0
9,10,10,Charley Hoffman,28,992,1.0,7.0,2808.0,800.0
10,11,11,Daniel Berger,31,878,,6.0,2922.0,640.0
11,12,12,Patrick Reed,27,656,1.0,4.0,3144.0,480.0
12,13,13,Paul Casey,24,632,,8.0,3168.0,232.0
13,14,14,J.B. Holmes,25,618,1.0,7.0,3182.0,288.0
14,15,15,Rory McIlroy,12,602,2.0,7.0,3198.0,384.0
15,16,16,Hideki Matsuyama,25,558,,9.0,3242.0,320.0
16,16,16,Jimmy Walker,24,558,2.0,6.0,3242.0,352.0
17,18,18,Robert Streb,30,542,1.0,9.0,3258.0,336.0
18,19,19,Matt Kuchar,25,530,,7.0,3270.0,240.0
19,20,20,Steven Bowditch,32,454,1.0,2.0,3346.0,216.0
20,21,21,Kevin Kisner,30,444,,6.0,3356.0,272.0
21,22,22,Scott Piercy,28,432,1.0,5.0,3368.0,248.0
22,23,23,Brandt Snedeker,27,416,1.0,8.0,3384.0,224.0
23,24,24,Brooks Koepka,23,414,1.0,8.0,3386.0,208.0
24,25,25,Kevin Na,27,410,,7.0,3390.0,192.0
25,26,26,Sangmoon Bae,30,390,1.0,5.0,3410.0,184.0
26,27,27,Bill Haas,25,380,1.0,5.0,3420.0,200.0
27,28,28,Harris English,29,360,,3.0,3440.0,168.0
28,29,29,Jim Furyk,19,304,1.0,7.0,3496.0,304.0
29,30,30,Louis Oosthuizen,20,176,,6.0,3624.0,176.0
30,31,31,Daniel Summerhays,29,1501,,5.0,5469.0,
31,32,32,Justin Thomas,30,1498,,7.0,5472.0,
32,33,33,Matt Jones,25,1445,,4.0,5525.0,
33,34,34,Russell Knox,28,1435,,3.0,5535.0,
34,35,35,Ben Martin,27,1417,1.0,5.0,5553.0,
35,36,36,Cameron Tringale,28,1390,,3.0,5580.0,
36,37,37,David Lingmerth,28,1387,1.0,4.0,5583.0,
37,38,38,Ryan Palmer,22,1386,,5.0,5584.0,
38,39,39,Ryan Moore,24,1374,1.0,4.0,5596.0,
39,40,40,Jason Bohn,27,1373,,6.0,5597.0,
40,41,41,Gary Woodland,24,1300,,4.0,5670.0,
41,42,42,Sean O'Hair,26,1293,,3.0,5677.0,
42,43,43,Tony Finau,31,1293,,5.0,5677.0,
43,44,44,Chris Kirk,21,1291,1.0,3.0,5679.0,
44,45,45,Pat Perez,26,1287,,2.0,5683.0,
45,46,46,Brendon Todd,27,1279,,4.0,5691.0,
46,47,47,Brendon de Jonge,31,1228,,3.0,5742.0,
47,48,48,Webb Simpson,22,1213,,5.0,5757.0,
48,49,49,Hunter Mahan,24,1208,,4.0,5762.0,
49,50,50,Brendan Steele,24,1204,,4.0,5766.0,
50,51,51,James Hahn,28,1202,1.0,2.0,5768.0,
51,52,52,Kevin Chappell,26,1186,,2.0,5784.0,
52,53,53,Sergio Garcia,15,1177,,4.0,5793.0,
53,54,54,Shawn Stefani,26,1171,,3.0,5799.0,
54,55,55,David Hearn,30,1152,,4.0,5818.0,
55,56,56,Troy Merritt,29,1148,1.0,3.0,5822.0,
56,57,57,Brian Harman,29,1135,,3.0,5835.0,
57,58,58,Nick Watney,28,1135,,3.0,5835.0,
58,59,59,Zac Blair,34,1126,,2.0,5844.0,
59,60,60,Keegan Bradley,24,1103,,3.0,5867.0,
60,61,61,Phil Mickelson,19,1091,,3.0,5879.0,
61,62,62,George McNeill,27,1086,,1.0,5884.0,
62,63,63,Russell Henley,24,1072,,4.0,5898.0,
63,64,64,Fabián Gómez,26,1069,1.0,2.0,5901.0,
64,65,65,Rory Sabbatini,25,1064,,4.0,5906.0,
65,66,66,Billy Horschel,28,1051,,2.0,5919.0,
66,67,67,Ian Poulter,19,981,,4.0,5989.0,
67,68,68,Jerry Kelly,24,966,,4.0,6004.0,
68,69,69,William McGirt,30,955,,1.0,6015.0,
69,70,70,Bryce Molder,26,875,,2.0,6095.0,
70,71,71,Alex Cejka,30,859,1.0,1.0,6111.0,
71,72,72,Marc Leishman,23,854,,4.0,6116.0,
72,73,73,John Senden,24,848,,3.0,6122.0,
73,74,74,Jim Herman,27,840,,2.0,6130.0,
74,75,75,Kevin Streelman,27,840,,2.0,6130.0,
75,76,76,Boo Weekley,24,830,,6.0,6140.0,
76,77,77,Carl Pettersson,32,809,,3.0,6161.0,
77,78,78,Kyle Reifers,31,804,,2.0,6166.0,
78,79,79,Charles Howell III,30,792,,3.0,6178.0,
79,80,80,Luke Donald,20,782,,2.0,6188.0,
80,81,81,Hudson Swafford,30,776,,1.0,6194.0,
81,82,82,Spencer Levin,31,764,,1.0,6206.0,
82,83,83,Scott Pinckney,27,761,,3.0,6209.0,
83,84,84,Camilo Villegas,27,757,,,6213.0,
84,85,85,Morgan Hoffmann,26,749,,2.0,6221.0,
85,86,86,Davis Love III,18,735,1.0,2.0,6235.0,
86,87,87,Johnson Wagner,23,733,,3.0,6237.0,
87,88,88,Jason Dufner,21,730,,2.0,6240.0,
88,89,89,Matt Every,26,727,1.0,1.0,6243.0,
89,90,90,J.J. Henry,30,716,1.0,1.0,6254.0,
90,91,91,Colt Knost,29,714,,4.0,6256.0,
91,92,92,Jason Gore,26,712,,2.0,6258.0,
92,93,93,Carlos Ortiz,30,711,,1.0,6259.0,
93,94,94,Scott Brown,30,696,,3.0,6274.0,
94,95,95,Mark Wilson,28,681,,3.0,6289.0,
95,96,96,Chad Campbell,30,670,,2.0,6300.0,
96,97,97,Willy Wilcox,17,649,,4.0,6321.0,
97,98,98,Chesson Hadley,30,630,,3.0,6340.0,
98,99,99,Martin Laird,24,628,,3.0,6342.0,
99,100,100,Jason Kokrak,28,614,,2.0,6356.0,
100,101,101,Nick Taylor,28,613,1.0,1.0,6357.0,
101,102,102,Stewart Cink,23,612,,1.0,6358.0,
102,103,103,Padraig Harrington,21,610,1.0,1.0,6360.0,
103,104,104,Greg Owen,19,608,,2.0,6362.0,
104,105,105,John Peterson,25,588,,,6382.0,
105,106,106,Adam Scott,15,585,,3.0,6385.0,
106,107,107,Adam Hadwin,30,584,,3.0,6386.0,
107,108,108,Charl Schwartzel,19,584,,3.0,6386.0,
108,109,109,Lee Westwood,15,576,,1.0,6394.0,
109,110,110,John Huh,31,565,,,6405.0,
110,111,111,Francesco Molinari,16,558,,2.0,6412.0,
111,112,112,Graham DeLaet,22,545,,3.0,6425.0,
112,113,113,Jon Curran,28,540,,5.0,6430.0,
113,114,114,Steve Wheatcroft,28,536,,2.0,6434.0,
114,115,115,Andres Gonzales,28,531,,3.0,6439.0,
115,116,116,Chris Stroud,28,531,,2.0,6439.0,
116,117,117,Ken Duke,30,523,,3.0,6447.0,
117,118,118,Retief Goosen,25,519,,3.0,6451.0,
118,119,119,Vijay Singh,23,508,,1.0,6462.0,
119,120,120,Chad Collins,24,504,,1.0,6466.0,
120,121,121,Tim Clark,13,481,,1.0,6489.0,
121,122,122,Ryo Ishikawa,28,476,,2.0,6494.0,
122,123,123,Jonas Blixt,26,471,,1.0,6499.0,
123,124,124,Erik Compton,28,471,,1.0,6499.0,
124,125,125,Jeff Overton,30,464,,1.0,6506.0,
125,126,126,Will MacKenzie,16,458,,3.0,6512.0,
126,127,127,Scott Langley,28,448,,,6522.0,
127,128,128,Brian Stuard,31,447,,1.0,6523.0,
128,129,129,Scott Stallings,19,447,,1.0,6523.0,
129,130,130,Jamie Donaldson,16,447,,2.0,6523.0,
130,131,131,Nicholas Thompson,31,442,,1.0,6528.0,
131,132,132,Tom Hoge,26,441,,2.0,6529.0,
132,133,133,Alex Prugh,27,433,,2.0,6537.0,
133,134,134,Seung-Yul Noh,21,432,,1.0,6538.0,
134,135,135,Sung Joon Park,27,426,,1.0,6544.0,
135,136,136,Billy Hurley III,28,420,,1.0,6550.0,
136,137,137,Sam Saunders,28,413,,1.0,6557.0,
137,138,138,Michael Putnam,28,407,,,6563.0,
138,139,139,Martin Kaymer,13,406,,1.0,6564.0,
139,140,140,Brice Garnett,29,398,,1.0,6572.0,
140,141,141,Whee Kim,23,393,,2.0,6577.0,
141,142,142,Tom Gillis,16,391,,1.0,6579.0,
142,143,143,Brian Davis,31,387,,2.0,6583.0,
143,144,144,David Toms,21,383,,2.0,6587.0,
144,145,145,Blayne Barber,26,380,,4.0,6590.0,
145,146,146,Michael Thompson,27,378,,1.0,6592.0,
146,147,147,Lucas Glover,26,375,,,6595.0,
147,148,148,Luke Guthrie,27,373,,1.0,6597.0,
148,149,149,Charlie Beljan,27,369,,1.0,6601.0,
149,150,150,Cameron Percy,23,361,,1.0,6609.0,
150,151,151,Vaughn Taylor,12,361,,2.0,6609.0,
151,152,152,K.J. Choi,19,358,,,6612.0,
152,153,153,Jhonattan Vegas,27,353,,,6617.0,
153,154,154,Geoff Ogilvy,15,350,,1.0,6620.0,
154,155,155,Ricky Barnes,27,347,,1.0,6623.0,
155,156,156,Martin Flores,30,345,,,6625.0,
156,157,157,Aaron Baddeley,25,336,,1.0,6634.0,
157,158,158,Jonathan Byrd,22,335,,,6635.0,
158,159,159,Bo Van Pelt,28,322,,2.0,6648.0,
159,160,160,Graeme McDowell,15,320,,1.0,6650.0,
160,161,161,Andres Romero,24,312,,2.0,6658.0,
161,162,162,John Merrick,27,311,,,6659.0,
162,163,163,Max Homa,27,278,,1.0,6692.0,
163,164,164,Mark Hubbard,25,274,,,6696.0,
164,165,165,Gonzalo Fernandez-Castaño,28,272,,,6698.0,
165,166,166,Chez Reavie,19,268,,,6702.0,
166,167,167,Freddie Jacobson,14,268,,1.0,6702.0,
167,168,168,Andrew Svoboda,30,266,,1.0,6704.0,
168,169,169,Derek Fathauer,27,263,,1.0,6707.0,
169,170,170,Derek Ernst,26,250,,,6720.0,
170,171,171,D.A. Points,26,244,,,6726.0,
171,172,172,Greg Chalmers,17,242,,,6728.0,
172,173,173,Ernie Els,18,233,,,6737.0,
173,174,174,Robert Garrigus,25,226,,,6744.0,
174,175,175,Shane Lowry,13,222,1.0,3.0,6748.0,
175,176,176,Steve Stricker,9,218,,,6752.0,
176,177,177,Steven Alker,22,216,,,6754.0,
177,178,178,Tiger Woods,11,215,,1.0,6755.0,
178,179,179,Jonathan Randolph,25,209,,,6761.0,
179,180,180,Ángel Cabrera,19,208,,,6762.0,
180,181,181,Kyle Stanley,12,200,,,6770.0,
181,182,182,Andrew Putnam,23,192,,,6778.0,
182,183,183,Justin Leonard,22,188,,,6782.0,
183,184,184,Tim Wilkinson,28,183,,,6787.0,
184,185,185,Ben Crane,22,182,,,6788.0,
185,186,186,Oscar Fraustro,21,171,,1.0,6799.0,
186,187,187,Robert Allenby,25,169,,1.0,6801.0,
187,188,188,Roberto Castro,16,167,,,6803.0,
188,189,189,Eric Axley,21,152,,,6818.0,
189,190,190,Victor Dubuisson,10,145,,,6825.0,
190,191,191,Tyrone Van Aswegen,20,142,,,6828.0,
191,192,192,Rod Pampling,10,138,,1.0,6832.0,
192,193,193,Chris Smith,9,128,,1.0,6842.0,
193,194,194,Tim Petrovic,11,123,,1.0,6847.0,
194,195,195,Ryan Armour,17,123,,,6847.0,
195,196,196,John Rollins,14,121,,1.0,6849.0,
196,197,197,Bill Lunde,18,117,,,6853.0,
197,198,198,Andrew Loupe,15,112,,1.0,6858.0,
198,199,199,Kenny Perry,9,105,,,6865.0,
199,200,200,Roger Sloan,20,103,,,6867.0,
200,201,201,Stuart Appleby,7,100,,,6870.0,
201,202,202,Byron Smith,21,96,,,6874.0,
202,203,203,Josh Teater,11,94,,,6876.0,
203,204,204,Trevor Immelman,19,76,,,6894.0,
204,205,205,Blake Adams,13,74,,,6896.0,
205,206,206,Zack Sucher,18,70,,,6900.0,
206,207,207,Fred Funk,2,66,,1.0,6904.0,
207,208,208,Arjun Atwal,7,64,,,6906.0,
208,209,209,Jarrod Lyle,10,63,,,6907.0,
209,210,210,Jim Renner,27,63,,,6907.0,
210,211,211,Heath Slocum,22,62,,,6908.0,
211,212,212,Glen Day,8,61,,,6909.0,
212,213,213,Carlos Sainz Jr,20,59,,1.0,6911.0,
213,214,214,Steve Flesch,7,58,,1.0,6912.0,
214,215,215,Tommy Gainey,9,57,,,6913.0,
215,216,216,John Daly,10,57,,1.0,6913.0,
216,217,217,Mark Hensby,2,53,,1.0,6917.0,
217,218,218,Ben Curtis,14,51,,,6919.0,
218,219,219,Troy Kelly,9,50,,,6920.0,
219,220,220,Y.E. Yang,4,49,,,6921.0,
220,221,221,Mike Weir,18,48,,,6922.0,
221,222,222,Matt Bettencourt,8,48,,,6922.0,
222,223,223,Mark O'Meara,2,47,,,6923.0,
223,224,224,Charlie Wi,9,44,,,6926.0,
224,225,225,Troy Matteson,9,43,,,6927.0,
225,226,226,Kevin Stadler,5,41,,,6929.0,
226,227,227,Justin Hicks,14,41,,,6929.0,
227,228,228,Cameron Beckman,8,40,,,6930.0,
228,229,229,Joe Affrunti,4,39,,,6931.0,
229,230,230,Dicky Pride,5,31,,,6939.0,
230,231,231,David Duval,6,31,,,6939.0,
231,232,232,D.J. Trahan,5,31,,,6939.0,
232,233,233,Richard Sterne,18,29,,,6941.0,
233,T234,T234,Woody Austin,11,29,,,6941.0,
234,T234,T234,Lee Janzen,4,29,,,6941.0,
235,236,236,Billy Mayfair,6,26,,,6944.0,
236,237,237,Benjamín Alvarado,8,26,,,6944.0,
237,T238,T238,Shaun Micheel,5,25,,,6945.0,
238,T238,T238,Duffy Waldorf,2,25,,,6945.0,
239,T240,T240,Michael Bradley,4,22,,,6948.0,
240,T240,T240,Dudley Hart,8,22,,,6948.0,
241,242,242,Scott Verplank,13,21,,,6949.0,
242,243,243,Daniel Chopra,5,17,,,6953.0,
243,244,244,Stephen Ames,1,13,,,6957.0,
244,T245,T245,Kent Jones,2,13,,,6957.0,
245,T245,T245,Chris Riley,2,13,,,6957.0,
246,247,247,Harrison Frazar,7,12,,,6958.0,
247,248,248,Garrett Willis,1,12,,,6958.0,
248,249,249,Scott McCarron,7,9,,,6961.0,
249,250,250,Parker McLachlin,2,7,,,6963.0,
250,251,251,Len Mattiace,6,5,,,6965.0,
251,252,252,Guy Boros,2,4,,,6966.0,
252,253,253,Ted Purdy,3,4,,,6966.0,
253,254,254,Brandt Jobe,6,2,,,6968.0,
254,255,255,Tom Watson,3,1,,,6969.0,
255,256,256,Tim Herron,7,1,,,6969.0,
256,T257,T257,Patrick Cantlay,1,1,,,6969.0,
257,T257,T257,Steve Lowery,3,1,,,6969.0,
258,259,259,Bernhard Langer,3,1,,,6969.0,
