,Longest_Hole_Outs_in_yards_RANK THIS WEEK,Longest_Hole_Outs_in_yards_RANK LAST WEEK,Longest_Hole_Outs_in_yards_PLAYER NAME,Longest_Hole_Outs_in_yards_ROUNDS,Longest_Hole_Outs_in_yards_DISTANCE,Longest_Hole_Outs_in_yards_TOURNAMENT,Longest_Hole_Outs_in_yards_ROUND- COURSE,Longest_Hole_Outs_in_yards_HOLE
0,1,1,Luke List,65,255,Farmers Insurance Open,4,13
1,2,2,Michael Thompson,66,231,THE PLAYERS Championship,1,8
2,3,1,Luke List,65,229,The Greenbrier Classic,4,8
3,4,4,Kevin Chappell,80,217,Arnold Palmer Invitational presented by MasterCard,2,14
4,5,5,Jerry Kelly,75,216,THE PLAYERS Championship,2,14
5,T6,6,Jonas Blixt,76,210,Sony Open in Hawaii,1,6
6,T6,7,Hunter Mahan,91,210,BMW Championship,3,17
7,T8,8,Andres Gonzales,42,205,Wyndham Championship,3,14
8,T8,9,Joey Snyder III,38,205,Travelers Championship,2,8
9,10,10,Brian Stuard,78,204,RBC Canadian Open,1,8
10,11,11,Greg Chalmers,77,199,Valero Texas Open,4,16
11,12,12,Bobby Gates,49,194,Crowne Plaza Invitational at Colonial,4,13
12,13,13,Robert Allenby,58,193,The Honda Classic,2,7
13,14,14,John Huh,88,188,Travelers Championship,1,10
14,15,15,Chris Stroud,88,186,THE PLAYERS Championship,3,13
15,16,16,Darron Stiles,51,185,John Deere Classic,2,7
16,17,17,Louis Oosthuizen,30,184,The Greenbrier Classic,4,2
17,18,18,Harris English,95,181,FedEx St. Jude Classic,2,5
18,19,19,Chris Kirk,89,180,Humana Challenge in partnership with the Clinton Foundation,1,3
19,20,20,John Merrick,79,179,AT&T National,2,7
20,T21,21,Brad Fritsch,81,177,FedEx St. Jude Classic,4,18
21,T21,22,Tim Herron,45,177,Northern Trust Open,3,5
22,23,23,Charl Schwartzel,69,176,RBC Canadian Open,2,2
23,24,24,Tommy Gainey,84,175,RBC Heritage,1,18
24,25,25,Marc Leishman,77,172,THE PLAYERS Championship,2,18
25,26,26,Keegan Bradley,88,170,TOUR Championship by Coca-Cola,4,7
26,T27,27,Charles Howell III,87,169,the Memorial Tournament presented by Nationwide Insurance,1,1
27,T27,18,Harris English,95,169,Farmers Insurance Open,1,5
28,T27,29,Charley Hoffman,84,169,Travelers Championship,1,10
29,30,30,James Driscoll,76,168,Humana Challenge in partnership with the Clinton Foundation,1,15
30,31,31,Rory McIlroy,56,164,BMW Championship,4,12
31,32,32,Billy Horschel,96,163,BMW Championship,2,16
32,T33,33,Eric Meierdierks,48,162,FedEx St. Jude Classic,3,8
33,T33,14,John Huh,88,162,HP Byron Nelson Championship,3,14
34,35,35,Gary Woodland,94,161,Wells Fargo Championship,3,18
35,T36,36,Zach Johnson,84,160,World Golf Championships-Cadillac Championship,2,11
36,T36,37,George McNeill,68,160,Zurich Classic of New Orleans,2,15
37,38,8,Andres Gonzales,42,159,Zurich Classic of New Orleans,2,1
38,T39,39,Jason Kokrak,78,158,RBC Canadian Open,3,4
39,T39,40,Roberto Castro,97,158,The Barclays,3,18
40,T39,41,Ryan Blaum,8,158,Sanderson Farms Championship,1,15
41,T39,42,Jason Dufner,78,158,THE PLAYERS Championship,1,18
42,43,43,Ben Crane,62,157,Waste Management Phoenix Open,4,11
43,T44,44,Cameron Beckman,20,156,RBC Canadian Open,3,10
44,T44,45,Mark Wilson,56,156,RBC Canadian Open,4,9
45,46,25,Marc Leishman,77,155,Sony Open in Hawaii,2,8
46,47,21,Brad Fritsch,81,154,Sony Open in Hawaii,1,5
47,T48,48,Chris DiMarco,33,153,Sanderson Farms Championship,2,10
48,T48,49,Richard Lee,81,153,Humana Challenge in partnership with the Clinton Foundation,4,15
49,T48,50,Doug LaBelle II,72,153,FedEx St. Jude Classic,4,1
50,51,51,Paul Haley II,44,151,The Greenbrier Classic,1,16
51,T52,52,Peter Tomasulo,36,149,Wells Fargo Championship,2,11
52,T52,53,Russell Henley,80,149,AT&T National,2,9
53,T52,54,Scott Harrington,4,149,Northern Trust Open,3,12
