,Approaches__200_yards-Rgh_RTP_RANK THIS WEEK,Approaches__200_yards-Rgh_RTP_RANK LAST WEEK,Approaches__200_yards-Rgh_RTP_PLAYER NAME,Approaches__200_yards-Rgh_RTP_ROUNDS,Approaches__200_yards-Rgh_RTP_AVG RTP
126,T124,T124,Graeme McDowell,53,+.071
127,128,128,Ryan Moore,72,+.074
128,129,129,Johnson Wagner,64,+.077
129,130,130,John Huh,88,+.087
130,T131,T131,Bob Estes,66,+.094
131,T131,T131,Fabián Gómez,65,+.094
132,T131,T131,Brandt Jobe,62,+.094
133,134,134,Camilo Villegas,79,+.100
134,T135,T135,K.J. Choi,85,+.111
135,T135,T135,Jeff Maggert,63,+.111
136,137,137,Seung-Yul Noh,71,+.114
137,138,138,Luke Guthrie,82,+.120
138,139,139,Kevin Chappell,80,+.121
139,140,140,Marc Leishman,77,+.122
140,141,141,J.J. Henry,83,+.128
141,142,142,Mike Weir,60,+.136
142,143,143,Ben Kohles,75,+.138
143,144,144,Henrik Stenson,65,+.150
144,145,145,Lee Williams,62,+.156
145,146,146,Eric Meierdierks,48,+.161
146,147,147,Chad Campbell,78,+.163
147,T148,T148,Ben Curtis,59,+.167
148,T148,T148,Nick Watney,88,+.167
149,T148,T148,Casey Wittenberg,72,+.167
150,T151,T151,Colt Knost,69,+.171
151,T151,T151,Doug LaBelle II,72,+.171
152,153,153,"Ted Potter, Jr.",65,+.176
153,154,154,James Driscoll,76,+.182
154,T155,T155,Tom Gillis,69,+.200
155,T155,T155,David Hearn,88,+.200
156,T155,T155,Brendan Steele,86,+.200
157,T155,T155,Darron Stiles,51,+.200
158,159,159,Vijay Singh,61,+.208
159,160,160,Jeff Overton,78,+.212
160,161,161,Brian Gay,79,+.214
161,162,162,Bud Cauley,67,+.216
162,T163,T163,Robert Allenby,58,+.220
163,T163,T163,Justin Hicks,79,+.220
164,165,165,Rod Pampling,46,+.222
165,166,166,Will Claxton,67,+.229
166,167,167,Brian Davis,91,+.234
167,168,168,Ken Duke,87,+.239
168,169,169,Bobby Gates,49,+.242
169,170,170,Justin Leonard,86,+.243
170,171,171,Michael Bradley,56,+.257
171,172,172,Dicky Pride,71,+.261
172,T173,T173,Jason Bohn,70,+.289
173,T173,T173,Bryce Molder,82,+.289
174,175,175,Jim Furyk,80,+.292
175,176,176,David Mathis,71,+.310
176,177,177,Jin Park,52,+.333
177,178,178,Justin Bolli,59,+.370
178,179,179,Scott Langley,79,+.400
179,180,180,Aaron Watkins,46,+.417
