,Approaches_from_inside_100_yards_RANK THIS WEEK,Approaches_from_inside_100_yards_RANK LAST WEEK,Approaches_from_inside_100_yards_PLAYER NAME,Approaches_from_inside_100_yards_ROUNDS,Approaches_from_inside_100_yards_AVG,Approaches_from_inside_100_yards_TOTAL DISTANCE (FEET),Approaches_from_inside_100_yards_# OF ATTEMPTS,Approaches_from_inside_100_yards_RELATIVE TO PAR
0,1,1,Lee Williams,62,"12' 6""",988.9169999999999,79,-0.19
1,2,2,Brandt Snedeker,79,"12' 11""",982.4169999999999,76,-0.17
2,3,3,Tim Clark,64,"13' 3""",783.0830000000001,59,-0.24
3,4,4,Matt Kuchar,93,"13' 5""",1206.167,90,-0.23
4,T5,T5,Matt Every,89,"13' 6""",1051.167,78,-0.23
5,T5,T5,Bryce Molder,82,"13' 6""",1118.083,83,-0.30
6,7,7,Morgan Hoffmann,64,"13' 7""",939.8330000000001,69,-0.20
7,T8,T8,Zach Johnson,84,"13' 8""",1300.167,95,-0.17
8,T8,T8,Hunter Mahan,91,"13' 8""",1027.0,75,-0.29
9,10,10,Kevin Chappell,80,"13' 10""",1229.083,89,-0.07
10,T11,T11,Stewart Cink,71,"14' 0""",672.6669999999999,48,+0.06
11,T11,T11,Doug LaBelle II,72,"14' 0""",922.5,66,-0.29
12,T11,T11,Jeff Overton,78,"14' 0""",939.0830000000001,67,-0.09
13,14,14,Henrik Stenson,65,"14' 2""",553.25,39,-0.13
14,T15,T15,Keegan Bradley,88,"14' 3""",1056.0,74,-0.04
15,T15,T15,Chad Campbell,78,"14' 3""",1054.833,74,-0.07
16,T15,T15,Bobby Gates,49,"14' 3""",597.3330000000001,42,-0.12
17,18,18,Scott Langley,79,"14' 4""",1393.0829999999999,97,-0.05
18,19,19,Jim Furyk,80,"14' 5""",1198.5,83,-0.07
19,20,20,Justin Rose,62,"14' 7""",657.5,45,-0.33
20,T21,T21,Jason Bohn,70,"14' 8""",1470.5,100,-0.19
21,T21,T21,John Rollins,77,"14' 8""",1088.083,74,-0.24
22,T23,T23,Michael Bradley,56,"14' 9""",882.8330000000001,60,+0.05
23,T23,T23,Roberto Castro,97,"14' 9""",1445.4170000000001,98,-0.20
24,T23,T23,Chris Kirk,89,"14' 9""",1622.25,110,-0.11
25,T23,T23,Charlie Wi,75,"14' 9""",941.8330000000001,64,+0.02
26,T27,T27,Freddie Jacobson,63,"14' 10""",889.0,60,-0.18
27,T27,T27,Adam Scott,61,"14' 10""",535.25,36,-0.22
