,GIR_Percentage_from_Fairway_RANK THIS WEEK,GIR_Percentage_from_Fairway_RANK LAST WEEK,GIR_Percentage_from_Fairway_PLAYER NAME,GIR_Percentage_from_Fairway_ROUNDS,GIR_Percentage_from_Fairway_%,GIR_Percentage_from_Fairway_GREENS HIT,GIR_Percentage_from_Fairway_# OF HOLES
0,1,1,Bubba Watson,76,81.56,491,602
1,2,2,Nicolas Colsaerts,50,81.07,287,354
2,3,3,Stewart Cink,71,81.06,458,565
3,4,4,Adam Scott,61,80.85,418,517
4,5,5,Ricky Barnes,74,80.27,472,588
5,6,6,Phil Mickelson,78,79.81,498,624
6,T7,T7,Chad Campbell,78,79.66,513,644
7,T7,T7,Steve Stricker,51,79.66,372,467
8,9,9,Justin Rose,62,79.59,425,534
9,T10,T10,Tag Ridings,69,79.46,383,482
10,T10,T10,Henrik Stenson,65,79.46,499,628
11,12,12,Rory McIlroy,56,79.15,353,446
12,13,13,Boo Weekley,100,79.14,732,925
13,14,14,Eric Meierdierks,48,79.08,291,368
14,15,15,Ben Curtis,59,78.97,383,485
15,16,16,Harris English,95,78.87,612,776
16,17,17,Rory Sabbatini,86,78.74,537,682
17,18,18,Bob Estes,66,78.62,456,580
18,19,19,Jim Furyk,80,78.46,601,766
19,20,20,Graham DeLaet,94,78.42,676,862
20,21,21,Jim Herman,59,78.38,377,481
21,22,22,Jason Dufner,78,78.37,547,698
22,23,23,Jimmy Walker,84,78.36,478,610
23,24,24,Matt Kuchar,93,78.35,561,716
24,25,25,Andrew Svoboda,46,78.34,293,374
25,26,26,Tiger Woods,61,78.29,411,525
26,27,27,Hunter Mahan,91,78.21,621,794
27,28,28,Brandt Snedeker,79,78.18,541,692
28,29,29,John Merrick,79,78.14,522,668
29,30,30,Charles Howell III,87,78.13,493,631
30,31,31,Keegan Bradley,88,77.97,598,767
31,32,32,Kevin Stadler,83,77.93,551,707
32,33,33,Chris Kirk,89,77.9,578,742
33,34,34,Zach Johnson,84,77.87,630,809
34,35,35,Seung-Yul Noh,71,77.75,374,481
35,36,36,Matt Jones,83,77.7,582,749
36,T37,T37,Greg Owen,73,77.66,459,591
37,T37,T37,Cameron Percy,68,77.66,424,546
38,39,39,John Rollins,77,77.65,462,595
39,40,40,Kyle Stanley,71,77.57,460,593
40,41,41,John Senden,79,77.54,511,659
41,42,42,Brendan Steele,86,77.52,545,703
42,43,43,Sergio Garcia,65,77.51,417,538
43,44,44,Nick Watney,88,77.47,581,750
44,45,45,Bo Van Pelt,72,77.4,483,624
45,46,46,Trevor Immelman,73,77.38,455,588
46,47,47,Roberto Castro,97,77.36,704,910
47,T48,T48,Brendon de Jonge,110,77.26,785,1016
48,T48,T48,Martin Kaymer,61,77.26,384,497
