,Approaches_from_50-75_yards_RANK THIS WEEK,Approaches_from_50-75_yards_RANK LAST WEEK,Approaches_from_50-75_yards_PLAYER NAME,Approaches_from_50-75_yards_ROUNDS,Approaches_from_50-75_yards_AVG,Approaches_from_50-75_yards_TOTAL DISTANCE (FEET),Approaches_from_50-75_yards_# OF ATTEMPTS,Approaches_from_50-75_yards_RELATIVE TO PAR
0,1,1,Brandt Snedeker,79,"8' 11""",89.0,10,E
1,2,2,Vijay Singh,61,"9' 2""",110.417,12,+1
2,3,3,Greg Owen,73,"9' 8""",193.583,20,-3
3,4,4,Bob Estes,66,"9' 9""",223.833,23,-8
4,5,5,Charlie Beljan,62,"10' 2""",172.417,17,-2
5,6,6,Keegan Bradley,88,"10' 3""",204.25,20,-2
6,7,7,Dustin Johnson,71,"10' 4""",124.167,12,-3
7,8,8,Kevin Stadler,83,"10' 6""",262.41700000000003,25,-3
8,9,9,Zach Johnson,84,"10' 7""",212.167,20,-5
9,T10,T10,Alistair Presnell,59,"10' 8""",170.583,16,-7
10,T10,T10,Henrik Stenson,65,"10' 8""",139.167,13,-2
11,T10,T10,Michael Thompson,66,"10' 8""",74.75,7,-1
12,13,13,David Lingmerth,68,"10' 11""",152.667,14,-3
13,14,14,Tiger Woods,61,"11' 2""",66.917,6,E
14,T15,T15,Greg Chalmers,77,"11' 4""",305.08299999999997,27,-6
15,T15,T15,Luke Guthrie,82,"11' 4""",227.0,20,-5
16,T17,T17,Jason Dufner,78,"11' 5""",216.167,19,-2
17,T17,T17,Phil Mickelson,78,"11' 5""",217.0,19,E
18,19,19,Charley Hoffman,84,"11' 6""",241.75,21,-1
19,20,20,Lee Williams,62,"11' 7""",150.5,13,-6
20,21,21,Fabián Gómez,65,"11' 8""",116.75,10,+2
21,22,22,Freddie Jacobson,63,"11' 9""",247.0,21,-9
22,T23,T23,Doug LaBelle II,72,"11' 10""",178.083,15,-2
23,T23,T23,Bo Van Pelt,72,"11' 10""",225.083,19,-6
24,T23,T23,Camilo Villegas,79,"11' 10""",213.333,18,-5
25,26,26,Trevor Immelman,73,"11' 11""",321.58299999999997,27,-3
26,T27,T27,Matt Kuchar,93,"12' 0""",348.75,29,-8
27,T27,T27,Pat Perez,69,"12' 0""",288.08299999999997,24,-1
28,29,29,Mike Weir,60,"12' 1""",254.0,21,-2
29,T30,T30,Chad Campbell,78,"12' 2""",231.917,19,+3
30,T30,T30,D.J. Trahan,48,"12' 2""",109.75,9,+2
31,T32,T32,Stephen Ames,49,"12' 3""",110.417,9,-1
32,T32,T32,David Hearn,88,"12' 3""",147.0,12,-2
33,T32,T32,Martin Laird,68,"12' 3""",196.25,16,-5
34,T32,T32,Casey Wittenberg,72,"12' 3""",232.167,19,-3
35,T36,T36,Ben Curtis,59,"12' 5""",136.917,11,-6
36,T36,T36,Scott Gardiner,61,"12' 5""",86.833,7,+1
37,T38,T38,Tim Clark,64,"12' 8""",214.667,17,-3
38,T38,T38,Ernie Els,63,"12' 8""",202.5,16,+2
39,T38,T38,Andrew Svoboda,46,"12' 8""",63.25,5,+1
40,T41,T41,Brad Fritsch,81,"12' 11""",103.5,8,-1
41,T41,T41,Dicky Pride,71,"12' 11""",232.333,18,-7
42,T41,T41,Adam Scott,61,"12' 11""",116.417,9,+2
43,T44,T44,Padraig Harrington,52,"13' 0""",181.583,14,+2
44,T44,T44,Luke List,65,"13' 0""",130.0,10,+3
45,46,46,David Toms,49,"13' 3""",212.333,16,-2
46,T47,T47,Erik Compton,74,"13' 4""",306.91700000000003,23,+1
47,T47,T47,Morgan Hoffmann,64,"13' 4""",280.58299999999997,21,-1
48,T47,T47,Matt Jones,83,"13' 4""",133.25,10,-2
49,T47,T47,Y.E. Yang,56,"13' 4""",146.667,11,E
50,51,51,Daniel Summerhays,83,"13' 5""",348.917,26,-3
51,T52,T52,Ian Poulter,59,"13' 6""",188.417,14,-3
52,T52,T52,Vaughn Taylor,50,"13' 6""",107.917,8,-3
53,T54,T54,Stewart Cink,71,"13' 7""",67.75,5,-1
54,T54,T54,Martin Flores,83,"13' 7""",271.75,20,E
55,T54,T54,Bill Haas,85,"13' 7""",243.917,18,-4
56,T54,T54,Johnson Wagner,64,"13' 7""",94.917,7,-2
57,T58,T58,Charles Howell III,87,"13' 8""",369.417,27,E
58,T58,T58,Justin Leonard,86,"13' 8""",272.75,20,+3
59,T58,T58,Jordan Spieth,82,"13' 8""",286.75,21,-3
60,T61,T61,D.H. Lee,65,"13' 9""",233.333,17,-1
61,T61,T61,John Merrick,79,"13' 9""",508.833,37,-3
62,T61,T61,Rod Pampling,46,"13' 9""",137.75,10,-5
63,T64,T64,Roberto Castro,97,"13' 10""",290.08299999999997,21,-4
64,T64,T64,Bryce Molder,82,"13' 10""",248.5,18,-4
65,T64,T64,Scott Piercy,78,"13' 10""",249.25,18,+1
66,T67,T67,Graham DeLaet,94,"13' 11""",306.41700000000003,22,-1
67,T67,T67,Jim Furyk,80,"13' 11""",236.5,17,-1
68,T67,T67,David Lynn,70,"13' 11""",334.417,24,-7
69,T67,T67,Hunter Mahan,91,"13' 11""",291.83299999999997,21,-4
