,Birdie_or_Better_Percentage_-_Fairway_RANK THIS WEEK,Birdie_or_Better_Percentage_-_Fairway_RANK LAST WEEK,Birdie_or_Better_Percentage_-_Fairway_PLAYER NAME,Birdie_or_Better_Percentage_-_Fairway_ROUNDS,Birdie_or_Better_Percentage_-_Fairway_%,Birdie_or_Better_Percentage_-_Fairway_TOTAL BIRDIES,Birdie_or_Better_Percentage_-_Fairway_TOTAL HOLES
0,1,1,Phil Mickelson,78,27.79,192,691
1,2,2,Tiger Woods,61,27.5,162,589
2,3,3,Steve Stricker,51,26.76,133,497
3,4,4,Charl Schwartzel,69,26.29,183,696
4,5,5,Rory Sabbatini,86,26.01,238,915
5,6,6,Ryan Palmer,79,25.63,225,878
6,7,7,Brandt Snedeker,79,25.58,198,774
7,8,8,Morgan Hoffmann,64,25.57,168,657
8,9,9,Rory McIlroy,56,25.49,130,510
9,10,10,Chris Kirk,89,24.93,269,1079
10,11,11,Justin Rose,62,24.88,154,619
11,12,12,Jordan Spieth,82,24.81,228,919
12,13,13,David Hearn,88,24.74,242,978
13,14,14,Billy Horschel,96,24.73,276,1116
14,15,15,Luke Donald,60,24.56,152,619
15,16,16,Keegan Bradley,88,24.45,233,953
16,17,17,Bubba Watson,76,24.3,182,749
17,18,18,Nick Watney,88,24.18,237,980
18,19,19,Gary Woodland,94,23.98,253,1055
19,20,20,Sangmoon Bae,83,23.93,218,911
20,21,21,Charley Hoffman,84,23.91,230,962
21,22,22,Matt Every,89,23.82,238,999
22,23,23,Matt Kuchar,93,23.8,209,878
23,24,24,Henrik Stenson,65,23.79,147,618
24,25,25,Brian Davis,91,23.77,276,1161
25,26,26,Josh Teater,86,23.67,192,811
26,27,27,Rickie Fowler,75,23.66,181,765
27,28,28,Steven Bowditch,67,23.6,164,695
28,29,29,Sergio Garcia,65,23.52,143,608
29,30,30,Jeff Overton,78,23.36,217,929
30,T31,T31,Harris English,95,23.3,250,1073
31,T31,T31,Charles Howell III,87,23.3,226,970
32,T31,T31,Adam Scott,61,23.3,137,588
33,34,34,Webb Simpson,92,23.22,218,939
34,35,35,Vaughn Taylor,50,22.96,124,540
35,36,36,Hunter Mahan,91,22.94,214,933
36,T37,T37,James Driscoll,76,22.88,181,791
37,T37,T37,Brad Fritsch,81,22.88,200,874
38,39,39,Kevin Stadler,83,22.78,208,913
39,40,40,Daniel Summerhays,83,22.76,234,1028
40,T41,T41,Jason Bohn,70,22.71,208,916
41,T41,T41,Jim Furyk,80,22.71,211,929
42,T41,T41,Bryce Molder,82,22.71,223,982
43,44,44,Zach Johnson,84,22.68,215,948
44,45,45,Robert Garrigus,69,22.65,135,596
45,46,46,Dustin Johnson,71,22.61,135,597
46,47,47,Charlie Wi,75,22.56,201,891
47,48,48,Peter Hanson,45,22.55,92,408
48,49,49,Kevin Chappell,80,22.51,201,893
49,50,50,Boo Weekley,100,22.5,256,1138
50,51,51,Scott Stallings,79,22.47,193,859
51,52,52,Jimmy Walker,84,22.43,205,914
52,53,53,James Hahn,78,22.39,193,862
53,T54,T54,Matt Jones,83,22.28,211,947
54,T54,T54,Camilo Villegas,79,22.28,186,835
55,56,56,Martin Flores,83,22.25,206,926
56,57,57,Russell Henley,80,22.23,201,904
57,58,58,Brendon de Jonge,110,22.2,297,1338
58,59,59,Stewart Cink,71,22.19,160,721
59,T60,T60,Graham DeLaet,94,22.18,254,1145
60,T60,T60,Seung-Yul Noh,71,22.18,163,735
61,T62,T62,Bill Haas,85,22.15,200,903
62,T62,T62,William McGirt,75,22.15,204,921
63,64,64,Scott Piercy,78,22.11,168,760
64,65,65,Patrick Reed,83,22.1,198,896
65,66,66,Carl Pettersson,82,22.09,186,842
66,67,67,Jason Kokrak,78,22.06,197,893
67,68,68,David Lingmerth,68,22.03,169,767
68,69,69,Y.E. Yang,56,21.96,121,551
69,70,70,"Ted Potter, Jr.",65,21.9,166,758
70,71,71,John Huh,88,21.86,226,1034
71,T72,T72,Roberto Castro,97,21.79,256,1175
72,T72,T72,Pat Perez,69,21.79,187,858
73,T74,T74,Jason Dufner,78,21.74,180,828
74,T74,T74,Nicholas Thompson,99,21.74,252,1159
75,76,76,Fabián Gómez,65,21.73,163,750
76,77,77,Jason Day,86,21.71,168,774
77,78,78,Tommy Gainey,84,21.66,203,937
78,79,79,Greg Owen,73,21.61,185,856
79,80,80,Doug LaBelle II,72,21.56,174,807
80,81,81,Ryan Moore,72,21.55,172,798
81,82,82,Steve LeBrun,66,21.54,148,687
82,83,83,Bud Cauley,67,21.5,158,735
83,84,84,John Merrick,79,21.42,193,901
84,T85,T85,Greg Chalmers,77,21.38,198,926
85,T85,T85,Aaron Watkins,46,21.38,99,463
86,87,87,Robert Streb,75,21.32,175,821
87,88,88,David Mathis,71,21.29,172,808
88,89,89,Andres Romero,63,21.23,138,650
89,90,90,Bob Estes,66,21.22,184,867
90,91,91,Brendan Steele,86,21.21,217,1023
91,92,92,Justin Hicks,79,21.15,199,941
92,93,93,D.A. Points,87,21.13,195,923
93,94,94,Jerry Kelly,75,21.09,190,901
94,T95,T95,Ángel Cabrera,73,21.08,148,702
95,T95,T95,Chad Campbell,78,21.08,203,963
96,97,97,Ken Duke,87,21.03,221,1051
97,98,98,Henrik Norlander,70,21.02,161,766
98,T99,T99,Stuart Appleby,88,20.98,227,1082
99,T99,T99,Justin Leonard,86,20.98,218,1039
100,101,101,Kyle Stanley,71,20.96,161,768
101,T102,T102,Tim Clark,64,20.94,125,597
102,T102,T102,John Rollins,77,20.94,183,874
103,T104,T104,Aaron Baddeley,68,20.93,148,707
104,T104,T104,Martin Kaymer,61,20.93,117,559
105,106,106,Lucas Glover,65,20.89,146,699
106,107,107,Jeff Maggert,63,20.76,163,785
107,T108,T108,George McNeill,68,20.74,185,892
108,T108,T108,Kevin Streelman,86,20.74,195,940
109,110,110,Rod Pampling,46,20.69,96,464
110,111,111,Brian Gay,79,20.64,205,993
111,T112,T112,Brian Harman,89,20.6,200,971
112,T112,T112,Brandt Jobe,62,20.6,152,738
113,114,114,Tag Ridings,69,20.59,147,714
114,115,115,Chris Stroud,88,20.58,219,1064
115,116,116,Lee Westwood,70,20.56,140,681
116,T117,T117,Jim Herman,59,20.55,119,579
117,T117,T117,Freddie Jacobson,63,20.55,119,579
118,119,119,K.J. Choi,85,20.5,182,888
119,120,120,Ian Poulter,59,20.46,107,523
120,121,121,Ben Kohles,75,20.4,174,853
121,122,122,Shawn Stefani,63,20.39,125,613
122,123,123,Chez Reavie,72,20.3,192,946
123,124,124,Tim Herron,45,20.26,110,543
124,125,125,Marc Leishman,77,20.25,165,815
125,126,126,Sean O'Hair,56,20.23,125,618
126,127,127,David Lynn,70,20.16,147,729
127,128,128,Alistair Presnell,59,20.14,117,581
128,129,129,D.H. Lee,65,20.13,160,795
129,130,130,Cameron Tringale,80,20.12,200,994
130,131,131,David Toms,49,20.05,88,439
131,132,132,Bo Van Pelt,72,20.03,151,754
132,133,133,D.J. Trahan,48,19.96,99,496
133,T134,T134,Ricky Barnes,74,19.91,169,849
134,T134,T134,Scott Langley,79,19.91,175,879
135,T136,T136,Charlie Beljan,62,19.86,142,715
136,T136,T136,Luke Guthrie,82,19.86,168,846
137,138,138,Robert Karlsson,56,19.83,95,479
138,139,139,Mike Weir,60,19.8,117,591
139,140,140,Richard Lee,81,19.78,198,1001
140,141,141,Padraig Harrington,52,19.73,88,446
141,142,142,Ben Crane,62,19.65,146,743
142,143,143,Martin Laird,68,19.61,139,709
143,T144,T144,Jonas Blixt,76,19.57,165,843
144,T144,T144,Scott Gardiner,61,19.57,128,654
