,Approaches_Right_Rough_RTP_Score_RANK THIS WEEK,Approaches_Right_Rough_RTP_Score_RANK LAST WEEK,Approaches_Right_Rough_RTP_Score_PLAYER NAME,Approaches_Right_Rough_RTP_Score_ROUNDS,Approaches_Right_Rough_RTP_Score_AVG RTP
0,1,1,Webb Simpson,92,-.075
1,2,2,Steve Stricker,51,-.054
2,3,3,Luke List,65,-.048
3,4,4,Russell Henley,80,-.025
4,5,5,Cameron Percy,68,-.018
5,6,6,Jordan Spieth,82,-.017
6,T7,T7,Jason Day,86,-.008
7,T7,T7,Graham DeLaet,94,-.008
8,T7,T7,Chris Stroud,88,-.008
9,10,10,Bill Haas,85,E
10,11,11,Stephen Ames,49,+.011
11,12,12,Harris English,95,+.012
12,13,13,Jimmy Walker,84,+.013
13,14,14,Martin Flores,83,+.014
14,15,15,Charles Howell III,87,+.015
15,16,16,Luke Guthrie,82,+.026
16,17,17,Sergio Garcia,65,+.027
17,T18,T18,Freddie Jacobson,63,+.028
18,T18,T18,Adam Scott,61,+.028
19,20,20,D.A. Points,87,+.030
20,21,21,Josh Teater,86,+.031
21,T22,T22,Charley Hoffman,84,+.033
22,T22,T22,Camilo Villegas,79,+.033
23,24,24,Shawn Stefani,63,+.034
24,25,25,Richard Lee,81,+.037
25,26,26,Phil Mickelson,78,+.038
26,27,27,Dustin Johnson,71,+.040
27,28,28,Ernie Els,63,+.045
28,29,29,Keegan Bradley,88,+.046
29,T30,T30,Tim Clark,64,+.048
30,T30,T30,Justin Rose,62,+.048
31,32,32,Andres Romero,63,+.052
32,T33,T33,Zach Johnson,84,+.053
33,T33,T33,Kyle Stanley,71,+.053
34,35,35,Kevin Streelman,86,+.056
35,36,36,Rickie Fowler,75,+.058
36,T37,T37,Nicholas Thompson,99,+.063
37,T37,T37,Cameron Tringale,80,+.063
38,39,39,Scott Piercy,78,+.064
39,40,40,Matt Jones,83,+.066
40,41,41,K.J. Choi,85,+.068
41,42,42,Patrick Reed,83,+.069
42,T43,T43,Scott Gardiner,61,+.070
43,T43,T43,Johnson Wagner,64,+.070
44,45,45,Hunter Mahan,91,+.072
45,46,46,John Merrick,79,+.078
46,47,47,David Lingmerth,68,+.080
47,48,48,Chris Kirk,89,+.081
48,49,49,Brendon de Jonge,110,+.082
49,50,50,Michael Bradley,56,+.085
50,T51,T51,Bob Estes,66,+.086
51,T51,T51,Charl Schwartzel,69,+.086
52,53,53,Marc Leishman,77,+.087
53,54,54,Ryan Palmer,79,+.088
54,T55,T55,Alistair Presnell,59,+.091
55,T55,T55,Lee Westwood,70,+.091
56,57,57,Jason Kokrak,78,+.093
57,58,58,Brendan Steele,86,+.094
58,59,59,Tim Herron,45,+.095
59,60,60,Troy Matteson,68,+.096
60,61,61,Robert Garrigus,69,+.097
61,62,62,Justin Leonard,86,+.098
62,63,63,Bubba Watson,76,+.099
63,64,64,Henrik Norlander,70,+.100
64,T65,T65,Trevor Immelman,73,+.101
65,T65,T65,Jeff Overton,78,+.101
66,67,67,Matt Kuchar,93,+.102
67,68,68,Charlie Beljan,62,+.103
68,T69,T69,Matt Every,89,+.104
69,T69,T69,Morgan Hoffmann,64,+.104
70,T71,T71,John Huh,88,+.107
71,T71,T71,Rory Sabbatini,86,+.107
72,T71,T71,Vaughn Taylor,50,+.107
73,74,74,Graeme McDowell,53,+.109
74,T75,T75,D.H. Lee,65,+.110
75,T75,T75,Pat Perez,69,+.110
76,T75,T75,Dicky Pride,71,+.110
77,78,78,Billy Horschel,96,+.115
78,T79,T79,Carl Pettersson,82,+.116
79,T79,T79,Daniel Summerhays,83,+.116
80,81,81,John Senden,79,+.117
81,T82,T82,Sean O'Hair,56,+.119
82,T82,T82,D.J. Trahan,48,+.119
83,84,84,Michael Thompson,66,+.121
84,85,85,Roberto Castro,97,+.122
85,86,86,Erik Compton,74,+.123
86,T87,T87,Jason Dufner,78,+.124
87,T87,T87,Chez Reavie,72,+.124
88,89,89,Steven Bowditch,67,+.125
89,90,90,Lee Williams,62,+.126
90,91,91,Gary Woodland,94,+.127
91,T92,T92,Tom Gillis,69,+.128
92,T92,T92,Mark Wilson,56,+.128
93,T94,T94,Ryan Moore,72,+.129
94,T94,T94,Ian Poulter,59,+.129
95,T94,T94,Andrew Svoboda,46,+.129
96,97,97,Kevin Stadler,83,+.130
97,98,98,Scott Stallings,79,+.134
98,T99,T99,Justin Hicks,79,+.135
99,T99,T99,Mike Weir,60,+.135
100,T101,T101,Stewart Cink,71,+.136
101,T101,T101,Brandt Snedeker,79,+.136
102,T103,T103,Aaron Baddeley,68,+.137
103,T103,T103,Charlie Wi,75,+.137
104,T105,T105,James Driscoll,76,+.138
105,T105,T105,Brian Harman,89,+.138
106,107,107,Steve LeBrun,66,+.140
107,108,108,John Rollins,77,+.142
108,109,109,Fabián Gómez,65,+.143
109,T110,T110,J.J. Henry,83,+.144
110,T110,T110,Bryce Molder,82,+.144
111,T112,T112,Lucas Glover,65,+.145
112,T112,T112,James Hahn,78,+.145
113,114,114,Nicolas Colsaerts,50,+.146
114,115,115,Jim Herman,59,+.148
115,T116,T116,Sangmoon Bae,83,+.150
116,T116,T116,Martin Kaymer,61,+.150
117,118,118,Brian Gay,79,+.152
118,119,119,Scott Langley,79,+.153
119,120,120,Geoff Ogilvy,57,+.159
120,T121,T121,Stuart Appleby,88,+.162
121,T121,T121,Jason Bohn,70,+.162
122,T121,T121,Peter Hanson,45,+.162
123,T121,T121,Martin Laird,68,+.162
124,T125,T125,Ángel Cabrera,73,+.163
125,T125,T125,Eric Meierdierks,48,+.163
126,T127,T127,Brad Fritsch,81,+.165
127,T127,T127,Rod Pampling,46,+.165
128,T129,T129,William McGirt,75,+.168
129,T129,T129,Tag Ridings,69,+.168
130,131,131,Greg Chalmers,77,+.169
131,132,132,Jerry Kelly,75,+.170
132,T133,T133,Kevin Chappell,80,+.171
133,T133,T133,Tiger Woods,61,+.171
134,T135,T135,Scott Brown,65,+.175
135,T135,T135,Seung-Yul Noh,71,+.175
136,137,137,David Lynn,70,+.183
137,T138,T138,Brian Davis,91,+.184
138,T138,T138,"Ted Potter, Jr.",65,+.184
139,T140,T140,Jeff Maggert,63,+.185
140,T140,T140,Casey Wittenberg,72,+.185
141,142,142,Ricky Barnes,74,+.191
142,143,143,Boo Weekley,100,+.193
143,144,144,Derek Ernst,58,+.194
144,T145,T145,Tommy Gainey,84,+.196
145,T145,T145,Henrik Stenson,65,+.196
146,T145,T145,David Toms,49,+.196
147,148,148,Luke Donald,60,+.200
148,149,149,Ben Crane,62,+.202
149,150,150,George McNeill,68,+.204
150,151,151,Bo Van Pelt,72,+.205
151,152,152,Brian Stuard,78,+.206
152,T153,T153,Ben Kohles,75,+.208
153,T153,T153,Y.E. Yang,56,+.208
154,155,155,David Mathis,71,+.209
155,156,156,Ben Curtis,59,+.212
156,157,157,Jonas Blixt,76,+.213
157,158,158,Jim Furyk,80,+.215
158,T159,T159,David Hearn,88,+.218
159,T159,T159,Aaron Watkins,46,+.218
160,161,161,Nick Watney,88,+.220
161,162,162,Darron Stiles,51,+.227
162,163,163,Vijay Singh,61,+.232
163,164,164,Robert Streb,75,+.234
164,165,165,Ryo Ishikawa,72,+.238
165,166,166,Rory McIlroy,56,+.243
166,167,167,Greg Owen,73,+.250
167,168,168,Jin Park,52,+.254
168,169,169,Colt Knost,69,+.255
169,170,170,Ken Duke,87,+.257
170,171,171,Doug LaBelle II,72,+.263
171,172,172,Chad Campbell,78,+.271
172,T173,T173,Will Claxton,67,+.294
173,T173,T173,Padraig Harrington,52,+.294
174,175,175,Bud Cauley,67,+.295
175,176,176,Robert Karlsson,56,+.302
176,177,177,Brandt Jobe,62,+.313
177,178,178,Justin Bolli,59,+.326
178,179,179,Robert Allenby,58,+.329
179,180,180,Bobby Gates,49,+.336
