,Approaches_from__275_yards_RANK THIS WEEK,Approaches_from__275_yards_RANK LAST WEEK,Approaches_from__275_yards_PLAYER NAME,Approaches_from__275_yards_ROUNDS,Approaches_from__275_yards_AVG,Approaches_from__275_yards_TOTAL DISTANCE (FEET),Approaches_from__275_yards_# OF ATTEMPTS,Approaches_from__275_yards_RELATIVE TO PAR
0,1,1,Darron Stiles,51,"41' 8""",83.333,2,-1
1,2,2,Jeff Maggert,63,"51' 3""",102.5,2,-1
2,3,3,Steve LeBrun,66,"57' 11""",231.583,4,-4
3,4,4,Brandt Jobe,62,"58' 0""",696.25,12,-6
4,5,5,John Rollins,77,"59' 3""",948.3330000000001,16,-8
5,6,6,John Merrick,79,"62' 9""",251.083,4,-2
6,7,7,Kyle Stanley,71,"64' 2""",898.5830000000001,14,-6
7,8,8,Jason Dufner,78,"64' 5""",386.25,6,-4
8,9,9,Bobby Gates,49,"65' 3""",456.75,7,-3
9,10,10,Henrik Norlander,70,"66' 7""",799.3330000000001,12,-9
10,T11,T11,Martin Kaymer,61,"66' 9""",533.75,8,-2
11,T11,T11,Boo Weekley,100,"66' 9""",1202.083,18,-8
12,13,13,George McNeill,68,"67' 8""",744.4169999999999,11,-7
13,14,14,Jimmy Walker,84,"67' 10""",1153.083,17,-8
14,15,15,Lucas Glover,65,"67' 11""",815.3330000000001,12,-5
15,16,16,Martin Flores,83,"68' 1""",816.8330000000001,12,-8
16,17,17,Jason Kokrak,78,"68' 3""",1159.667,17,-14
17,18,18,Eric Meierdierks,48,"69' 0""",414.083,6,-3
18,19,19,Martin Laird,68,"69' 4""",970.3330000000001,14,-6
19,20,20,Scott Langley,79,"69' 8""",557.0,8,-8
20,T21,T21,Steven Bowditch,67,"69' 10""",1186.75,17,-11
21,T21,T21,Charl Schwartzel,69,"69' 10""",1117.417,16,-8
22,23,23,Trevor Immelman,73,"70' 8""",565.0830000000001,8,-5
23,24,24,Ángel Cabrera,73,"71' 2""",996.8330000000001,14,-4
24,25,25,Rory Sabbatini,86,"71' 11""",1006.8330000000001,14,-9
25,T26,T26,James Hahn,78,"72' 1""",1009.1669999999999,14,-8
26,T26,T26,Charles Howell III,87,"72' 1""",1008.75,14,-10
27,28,28,Gary Woodland,94,"72' 9""",1164.5,16,-5
28,29,29,Sangmoon Bae,83,"72' 11""",1167.0,16,-4
29,30,30,Scott Gardiner,61,"73' 1""",438.5,6,-1
30,31,31,Freddie Jacobson,63,"73' 8""",220.917,3,-1
31,32,32,Charlie Wi,75,"74' 8""",448.167,6,-3
32,33,33,Daniel Summerhays,83,"74' 9""",1569.5829999999999,21,-8
