,GIR_Percentage_-__75_yards_RANK THIS WEEK,GIR_Percentage_-__75_yards_RANK LAST WEEK,GIR_Percentage_-__75_yards_PLAYER NAME,GIR_Percentage_-__75_yards_ROUNDS,GIR_Percentage_-__75_yards_%,GIR_Percentage_-__75_yards_GREENS HIT,GIR_Percentage_-__75_yards_TOTAL HOLES,GIR_Percentage_-__75_yards_RELATIVE TO PAR
0,1,1,Jim Furyk,80,96.34,79,82,-0.66
1,2,2,Vaughn Taylor,50,95.77,68,71,-0.69
2,3,3,Aaron Watkins,46,95.65,44,46,-0.61
3,4,4,Rod Pampling,46,95.0,76,80,-0.58
4,5,5,Chez Reavie,72,94.85,92,97,-0.51
5,6,6,Henrik Stenson,65,94.57,122,129,-0.66
6,7,7,Pat Perez,69,94.37,134,142,-0.6
7,8,8,Jim Herman,59,93.69,104,111,-0.55
8,9,9,Justin Rose,62,93.4,99,106,-0.7
9,10,10,Brendon de Jonge,110,93.37,183,196,-0.66
10,11,11,Padraig Harrington,52,93.1,81,87,-0.56
11,12,12,Matt Jones,83,93.04,147,158,-0.6
12,13,13,John Senden,79,93.01,133,143,-0.64
13,14,14,Tiger Woods,61,93.0,93,100,-0.76
14,15,15,Andrew Svoboda,46,92.86,65,70,-0.6
15,16,16,Sergio Garcia,65,92.68,114,123,-0.67
16,17,17,Michael Bradley,56,92.54,62,67,-0.53
17,18,18,Luke Guthrie,82,92.37,121,131,-0.6
18,19,19,Jason Kokrak,78,92.22,166,180,-0.64
19,20,20,Kevin Chappell,80,92.21,142,154,-0.63
20,21,21,Dustin Johnson,71,92.2,130,141,-0.69
21,22,22,J.J. Henry,83,92.19,118,128,-0.58
22,23,23,Jimmy Walker,84,92.18,165,179,-0.65
23,24,24,K.J. Choi,85,92.08,93,101,-0.56
24,25,25,Mark Wilson,56,92.05,81,88,-0.57
25,26,26,Keegan Bradley,88,91.98,195,212,-0.69
26,T27,T27,Webb Simpson,92,91.95,160,174,-0.62
27,T27,T27,Steve Stricker,51,91.95,80,87,-0.75
28,T27,T27,Daniel Summerhays,83,91.95,160,174,-0.67
29,30,30,Fabián Gómez,65,91.92,91,99,-0.64
30,31,31,Brandt Snedeker,79,91.67,99,108,-0.76
31,T32,T32,Roberto Castro,97,91.57,152,166,-0.7
32,T32,T32,Billy Horschel,96,91.57,163,178,-0.65
33,34,34,Steven Bowditch,67,91.5,140,153,-0.59
34,35,35,Tag Ridings,69,91.47,118,129,-0.57
35,36,36,Adam Scott,61,91.45,107,117,-0.7
36,37,37,Trevor Immelman,73,91.43,96,105,-0.51
37,38,38,Zach Johnson,84,91.41,117,128,-0.61
38,39,39,George McNeill,68,91.38,106,116,-0.62
39,40,40,Luke List,65,91.37,127,139,-0.62
40,41,41,Ricky Barnes,74,91.34,116,127,-0.44
41,42,42,D.H. Lee,65,91.3,105,115,-0.71
42,43,43,Brendan Steele,86,91.28,136,149,-0.64
