,Going_for_the_Green_-_Hit_Green_Pct._RANK THIS WEEK,Going_for_the_Green_-_Hit_Green_Pct._RANK LAST WEEK,Going_for_the_Green_-_Hit_Green_Pct._PLAYER NAME,Going_for_the_Green_-_Hit_Green_Pct._ROUNDS,Going_for_the_Green_-_Hit_Green_Pct._%,Going_for_the_Green_-_Hit_Green_Pct._SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._ATTEMPTS,Going_for_the_Green_-_Hit_Green_Pct._RTP-SUCCESSES,Going_for_the_Green_-_Hit_Green_Pct._RTP-NOT GOING FOR THE GRN
0,1,1,Martin Kaymer,61,35.63,31,87,-27,27 Under
1,2,2,Brian Stuard,78,35.0,28,80,-25,25 Under
2,3,3,Stewart Cink,71,34.0,34,100,-34,34 Under
3,4,4,Daniel Summerhays,83,33.82,46,136,-45,45 Under
4,5,5,George McNeill,68,33.66,34,101,-39,39 Under
5,6,6,Charlie Beljan,62,32.23,39,121,-38,38 Under
6,7,7,Nick Watney,88,31.79,48,151,-47,47 Under
7,8,8,Justin Rose,62,31.46,28,89,-27,27 Under
8,9,9,Dustin Johnson,71,31.45,39,124,-38,38 Under
9,10,10,Keegan Bradley,88,30.85,58,188,-61,61 Under
10,11,11,Vaughn Taylor,50,30.65,19,62,-17,17 Under
11,12,12,Nicolas Colsaerts,50,30.56,22,72,-22,22 Under
12,13,13,Graham DeLaet,94,30.19,48,159,-50,50 Under
13,14,14,Brendan Steele,86,30.08,40,133,-38,38 Under
14,15,15,Greg Owen,73,29.77,39,131,-45,45 Under
15,16,16,Stephen Ames,49,29.63,16,54,-16,16 Under
16,17,17,Russell Henley,80,29.57,34,115,-36,36 Under
17,18,18,Bubba Watson,76,29.17,49,168,-49,49 Under
18,19,19,Kevin Chappell,80,28.79,38,132,-40,40 Under
19,20,20,Bo Van Pelt,72,28.57,28,98,-28,28 Under
20,21,21,Ángel Cabrera,73,28.46,37,130,-33,33 Under
21,22,22,Tiger Woods,61,28.42,27,95,-31,31 Under
22,23,23,Pat Perez,69,28.1,34,121,-33,33 Under
23,24,24,Charl Schwartzel,69,27.56,35,127,-35,35 Under
24,25,25,Boo Weekley,100,27.44,45,164,-45,45 Under
25,26,26,Brad Fritsch,81,27.42,34,124,-34,34 Under
26,27,27,Scott Gardiner,61,27.38,23,84,-24,24 Under
27,28,28,Vijay Singh,61,27.06,23,85,-22,22 Under
28,T29,T29,Chad Campbell,78,26.92,35,130,-30,30 Under
29,T29,T29,Graeme McDowell,53,26.92,14,52,-13,13 Under
30,31,31,Morgan Hoffmann,64,26.53,26,98,-27,27 Under
31,32,32,Rory Sabbatini,86,26.49,40,151,-40,40 Under
32,33,33,Kevin Stadler,83,26.28,41,156,-36,36 Under
33,34,34,Jimmy Walker,84,26.25,42,160,-45,45 Under
34,35,35,Henrik Stenson,65,26.13,29,111,-30,30 Under
35,36,36,Kyle Stanley,71,26.06,43,165,-46,46 Under
36,37,37,Seung-Yul Noh,71,26.02,32,123,-27,27 Under
37,38,38,Ryan Moore,72,25.96,27,104,-29,29 Under
38,39,39,Matt Kuchar,93,25.95,34,131,-39,39 Under
39,T40,T40,Robert Allenby,58,25.76,17,66,-14,14 Under
40,T40,T40,Alistair Presnell,59,25.76,17,66,-19,19 Under
41,42,42,Will Claxton,67,25.61,21,82,-16,16 Under
42,43,43,Steve LeBrun,66,25.3,21,83,-21,21 Under
43,44,44,Brandt Jobe,62,25.29,22,87,-23,23 Under
44,45,45,Luke List,65,25.23,28,111,-25,25 Under
45,46,46,Nicholas Thompson,99,25.16,40,159,-40,40 Under
46,T47,T47,Roberto Castro,97,25.0,34,136,-36,36 Under
47,T47,T47,Robert Garrigus,69,25.0,37,148,-35,35 Under
48,T47,T47,Peter Hanson,45,25.0,15,60,-16,16 Under
49,T47,T47,Jim Herman,59,25.0,24,96,-22,22 Under
50,T47,T47,Chris Kirk,89,25.0,36,144,-43,43 Under
51,T47,T47,David Lingmerth,68,25.0,21,84,-22,22 Under
52,T47,T47,Gary Woodland,94,25.0,47,188,-51,51 Under
53,54,54,Martin Flores,83,24.82,35,141,-39,39 Under
54,55,55,Kevin Streelman,86,24.81,33,133,-36,36 Under
55,56,56,Lee Westwood,70,24.79,30,121,-26,26 Under
56,57,57,Scott Piercy,78,24.66,36,146,-39,39 Under
57,58,58,Tim Clark,64,24.59,15,61,-17,17 Under
58,T59,T59,Fabián Gómez,65,24.44,22,90,-22,22 Under
59,T59,T59,Shawn Stefani,63,24.44,22,90,-23,23 Under
60,61,61,Camilo Villegas,79,24.3,26,107,-29,29 Under
61,62,62,Chez Reavie,72,24.1,20,83,-21,21 Under
62,63,63,Josh Teater,86,24.03,31,129,-31,31 Under
63,64,64,Brandt Snedeker,79,23.71,23,97,-25,25 Under
64,65,65,Tag Ridings,69,23.53,24,102,-24,24 Under
65,66,66,Eric Meierdierks,48,23.46,19,81,-12,12 Under
66,67,67,John Merrick,79,23.36,25,107,-25,25 Under
67,T68,T68,Steven Bowditch,67,23.31,31,133,-32,32 Under
68,T68,T68,Harris English,95,23.31,38,163,-39,39 Under
69,70,70,Hunter Mahan,91,23.17,38,164,-37,37 Under
70,71,71,James Hahn,78,23.14,28,121,-32,32 Under
71,72,72,Jason Kokrak,78,23.13,37,160,-34,34 Under
72,73,73,Steve Stricker,51,23.08,15,65,-15,15 Under
73,T74,T74,Brian Davis,91,23.0,23,100,-20,20 Under
74,T74,T74,Sean O'Hair,56,23.0,23,100,-25,25 Under
75,76,76,Tommy Gainey,84,22.9,30,131,-30,30 Under
76,77,77,William McGirt,75,22.81,26,114,-29,29 Under
77,78,78,Patrick Reed,83,22.79,31,136,-36,36 Under
78,79,79,Charley Hoffman,84,22.78,36,158,-41,41 Under
79,80,80,Zach Johnson,84,22.73,25,110,-26,26 Under
80,81,81,Matt Every,89,22.65,41,181,-40,40 Under
81,82,82,Matt Jones,83,22.46,31,138,-33,33 Under
82,83,83,Luke Donald,60,22.39,15,67,-13,13 Under
83,84,84,Phil Mickelson,78,22.22,28,126,-31,31 Under
84,85,85,Billy Horschel,96,22.15,33,149,-32,32 Under
85,86,86,Robert Karlsson,56,22.03,13,59,-12,12 Under
86,87,87,Luke Guthrie,82,21.78,22,101,-21,21 Under
87,88,88,Adam Scott,61,21.7,23,106,-25,25 Under
88,89,89,Charlie Wi,75,21.69,18,83,-18,18 Under
89,T90,T90,J.J. Henry,83,21.62,24,111,-28,28 Under
90,T90,T90,Geoff Ogilvy,57,21.62,16,74,-9,9 Under
91,92,92,John Senden,79,21.6,27,125,-25,25 Under
92,93,93,David Mathis,71,21.59,19,88,-18,18 Under
93,94,94,Tom Gillis,69,21.52,17,79,-16,16 Under
94,T95,T95,Jason Day,86,21.43,27,126,-33,33 Under
95,T95,T95,Scott Langley,79,21.43,15,70,-19,19 Under
96,97,97,Martin Laird,68,21.36,22,103,-24,24 Under
97,98,98,Jin Park,52,21.28,10,47,-10,10 Under
98,99,99,Jeff Maggert,63,21.25,17,80,-13,13 Under
99,100,100,Aaron Baddeley,68,21.24,24,113,-24,24 Under
100,101,101,Lucas Glover,65,21.19,25,118,-23,23 Under
101,102,102,Michael Thompson,66,21.05,16,76,-17,17 Under
102,103,103,Justin Hicks,79,20.93,18,86,-19,19 Under
103,104,104,Mark Wilson,56,20.9,14,67,-14,14 Under
104,105,105,Carl Pettersson,82,20.87,24,115,-25,25 Under
105,106,106,Derek Ernst,58,20.83,20,96,-20,20 Under
106,T107,T107,Padraig Harrington,52,20.78,16,77,-15,15 Under
107,T107,T107,Freddie Jacobson,63,20.78,16,77,-18,18 Under
108,109,109,Erik Compton,74,20.72,23,111,-23,23 Under
109,110,110,Bill Haas,85,20.61,27,131,-25,25 Under
110,111,111,Aaron Watkins,46,20.59,7,34,-8,8 Under
111,112,112,Scott Brown,65,20.56,22,107,-26,26 Under
112,113,113,John Rollins,77,20.45,27,132,-26,26 Under
113,114,114,Michael Bradley,56,20.41,10,49,-7,7 Under
114,115,115,Rory McIlroy,56,20.37,22,108,-25,25 Under
115,116,116,Ben Kohles,75,20.27,15,74,-17,17 Under
116,117,117,Brendon de Jonge,110,20.22,36,178,-35,35 Under
117,118,118,Andres Romero,63,20.18,23,114,-25,25 Under
118,119,119,Rickie Fowler,75,20.0,23,115,-28,28 Under
119,120,120,Johnson Wagner,64,19.77,17,86,-17,17 Under
120,121,121,Ryan Palmer,79,19.74,30,152,-29,29 Under
121,122,122,D.A. Points,87,19.64,22,112,-18,18 Under
122,T123,T123,Jason Dufner,78,19.61,20,102,-17,17 Under
123,T123,T123,Ryo Ishikawa,72,19.61,20,102,-19,19 Under
124,125,125,Chris Stroud,88,19.53,25,128,-24,24 Under
125,126,126,Robert Streb,75,19.47,22,113,-20,20 Under
126,127,127,Webb Simpson,92,19.44,28,144,-29,29 Under
127,128,128,Henrik Norlander,70,19.27,21,109,-20,20 Under
128,129,129,Sergio Garcia,65,19.23,20,104,-25,25 Under
129,130,130,Bud Cauley,67,19.15,18,94,-17,17 Under
130,131,131,Jim Furyk,80,19.12,13,68,-15,15 Under
131,132,132,Rod Pampling,46,19.05,12,63,-12,12 Under
132,133,133,John Huh,88,19.01,27,142,-25,25 Under
133,134,134,Bobby Gates,49,18.97,11,58,-10,10 Under
134,135,135,Greg Chalmers,77,18.75,21,112,-21,21 Under
135,136,136,Charles Howell III,87,18.54,33,178,-35,35 Under
136,137,137,Bob Estes,66,18.42,14,76,-15,15 Under
137,138,138,D.J. Trahan,48,18.31,13,71,-13,13 Under
138,T139,T139,Bryce Molder,82,18.18,12,66,-14,14 Under
139,T139,T139,Lee Williams,62,18.18,10,55,-10,10 Under
140,141,141,Y.E. Yang,56,18.03,11,61,-11,11 Under
141,142,142,Jonas Blixt,76,17.95,21,117,-19,19 Under
142,143,143,Scott Stallings,79,17.86,25,140,-25,25 Under
143,T144,T144,Doug LaBelle II,72,17.81,13,73,-16,16 Under
144,T144,T144,"Ted Potter, Jr.",65,17.81,13,73,-11,11 Under
145,T146,T146,Ernie Els,63,17.78,16,90,-15,15 Under
146,T146,T146,Darron Stiles,51,17.78,8,45,-9,9 Under
147,T148,T148,Ben Curtis,59,17.65,9,51,-8,8 Under
148,T148,T148,Jeff Overton,78,17.65,27,153,-28,28 Under
149,T148,T148,Cameron Tringale,80,17.65,21,119,-22,22 Under
150,151,151,Colt Knost,69,17.54,10,57,-12,12 Under
151,152,152,Ben Crane,62,17.46,11,63,-10,10 Under
152,153,153,David Toms,49,17.24,5,29,-6,6 Under
153,154,154,Jordan Spieth,82,17.04,23,135,-25,25 Under
154,T155,T155,Sangmoon Bae,83,16.95,20,118,-17,17 Under
155,T155,T155,Tim Herron,45,16.95,10,59,-12,12 Under
156,157,157,Andrew Svoboda,46,16.92,11,65,-11,11 Under
157,158,158,Jerry Kelly,75,16.85,15,89,-17,17 Under
158,T159,T159,Stuart Appleby,88,16.67,18,108,-18,18 Under
159,T159,T159,D.H. Lee,65,16.67,15,90,-15,15 Under
160,161,161,Trevor Immelman,73,16.25,13,80,-10,10 Under
161,162,162,Dicky Pride,71,15.87,10,63,-9,9 Under
162,163,163,Ken Duke,87,15.85,13,82,-13,13 Under
163,T164,T164,Richard Lee,81,15.79,15,95,-17,17 Under
164,T164,T164,Marc Leishman,77,15.79,21,133,-21,21 Under
165,166,166,Ricky Barnes,74,15.24,16,105,-16,16 Under
166,167,167,James Driscoll,76,15.15,15,99,-13,13 Under
167,168,168,Brian Harman,89,15.11,21,139,-24,24 Under
168,169,169,Brian Gay,79,14.71,10,68,-10,10 Under
169,170,170,Mike Weir,60,14.29,8,56,-6,6 Under
170,171,171,Cameron Percy,68,13.51,15,111,-16,16 Under
171,172,172,K.J. Choi,85,12.82,10,78,-12,12 Under
172,173,173,Justin Leonard,86,12.16,9,74,-12,12 Under
173,174,174,Troy Matteson,68,12.12,12,99,-14,14 Under
174,175,175,Jason Bohn,70,11.84,9,76,-8,8 Under
175,176,176,Ian Poulter,59,11.43,8,70,-8,8 Under
176,177,177,David Lynn,70,9.86,7,71,-10,10 Under
177,178,178,Justin Bolli,59,8.16,4,49,-3,3 Under
178,179,179,David Hearn,88,7.69,7,91,-7,7 Under
179,180,180,Casey Wittenberg,72,7.59,6,79,-6,6 Under
